s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,C,C,C,C,C
Time,"HF_y-25_z20","HF_y-15_z20","HF_y0_z20","HF_y15_z20","HF_y25_z20","HF_y-25_z50","HF_y-15_z50","HF_y0_z50","HF_y15_z50","HF_y25_z50","HF_y-25_z75","HF_y-15_z75","HF_y0_z75","HF_y15_z75","HF_y25_z75","HF_y-25_z100","HF_y-15_z100","HF_y0_z100","HF_y15_z100","HF_y25_z100","Flux-1","Flux-2","Flux-3","Flux-4","Flux-5","Temp-1","Temp-2","Temp-3","Temp-4","Temp-5"
 1.4500362E+001, 4.9439646E+000, 1.0438529E+001, 1.9155510E+001, 1.1315536E+001, 4.7187387E+000, 1.5588266E+000, 2.6941530E+000, 3.7613884E+000, 1.9535694E+000, 1.5076449E+000, 8.2233761E-001, 1.2112641E+000, 1.9581117E+000, 1.0902188E+000, 6.0456752E-001, 6.0243355E-001, 7.5283117E-001, 1.3168715E+000, 7.4882946E-001, 4.0494792E-001, 8.1104849E-001, 8.2362222E-001, 5.9077399E-001, 4.5052561E-001, 3.3227924E-001, 2.4971147E+001, 2.3990803E+001, 2.2883895E+001, 2.2100620E+001, 2.1735607E+001
 1.5000016E+001, 5.1697820E+000, 1.1860970E+001, 1.5912579E+001, 1.4156061E+001, 4.9592501E+000, 1.5696039E+000, 2.5180999E+000, 4.6903334E+000, 2.3367533E+000, 1.7839168E+000, 5.4452592E-001, 1.1418879E+000, 2.2983048E+000, 1.3316690E+000, 5.5420874E-001, 5.8665700E-001, 1.0652277E+000, 1.4256199E+000, 8.6751745E-001, 5.1068464E-001, 1.1989791E+000, 9.2250877E-001, 6.1858129E-001, 4.7355721E-001, 3.8203866E-001, 2.5515157E+001, 2.4206769E+001, 2.3040460E+001, 2.2302046E+001, 2.1935165E+001
 1.5500444E+001, 4.9925865E+000, 1.7233037E+001, 2.4028336E+001, 1.4965111E+001, 4.8077466E+000, 1.9953739E+000, 2.8907601E+000, 4.5704182E+000, 2.3542239E+000, 1.6088600E+000, 6.9586357E-001, 1.1981183E+000, 1.6953995E+000, 1.3136540E+000, 1.0480042E+000, 4.5940229E-001, 9.3185074E-001, 9.8936887E-001, 7.6791025E-001, 5.3325551E-001, 6.9481075E-001, 6.8273457E-001, 6.7199078E-001, 5.5810962E-001, 5.3874331E-001, 2.5464339E+001, 2.4438817E+001, 2.3494765E+001, 2.2658650E+001, 2.2250003E+001
 1.6000307E+001, 5.2863408E+000, 1.7238115E+001, 2.4643429E+001, 1.6645380E+001, 5.2339724E+000, 1.8412417E+000, 2.5808423E+000, 5.3709345E+000, 2.5037308E+000, 1.7900086E+000, 8.3744867E-001, 1.4114907E+000, 2.3848175E+000, 1.3499620E+000, 7.6593446E-001, 4.9998261E-001, 1.0718798E+000, 1.6694736E+000, 1.1698574E+000, 7.3789757E-001, 1.2633540E+000, 8.3625872E-001, 5.0231690E-001, 3.1602545E-001, 2.8643243E-001, 2.6005851E+001, 2.4470417E+001, 2.3265736E+001, 2.2496449E+001, 2.2181777E+001
 1.6500233E+001, 5.7056394E+000, 1.8978068E+001, 2.9918219E+001, 1.8604009E+001, 5.8354660E+000, 1.8664360E+000, 3.0335661E+000, 5.9252305E+000, 2.8934314E+000, 1.8847394E+000, 9.3212622E-001, 1.3911239E+000, 2.1809273E+000, 1.3723861E+000, 7.8975910E-001, 8.3812922E-001, 1.2063531E+000, 1.7135206E+000, 1.3725633E+000, 7.4993475E-001, 1.2083659E+000, 9.3901612E-001, 5.8626359E-001, 5.6564314E-001, 4.0607372E-001, 2.6439172E+001, 2.4880645E+001, 2.3540464E+001, 2.2812468E+001, 2.2220558E+001
 1.7000286E+001, 5.6063334E+000, 1.8475719E+001, 2.8896027E+001, 1.7054086E+001, 6.0648527E+000, 1.9314690E+000, 2.9516148E+000, 6.7883384E+000, 3.2087903E+000, 2.3578294E+000, 1.0195341E+000, 1.5578753E+000, 2.2549832E+000, 1.3438971E+000, 9.1373761E-001, 8.8115076E-001, 1.4309065E+000, 1.4404913E+000, 1.0536551E+000, 7.8195286E-001, 9.6490482E-001, 7.2036994E-001, 6.9264208E-001, 5.7098358E-001, 4.1824194E-001, 2.6485877E+001, 2.5027534E+001, 2.3827929E+001, 2.3001838E+001, 2.2391309E+001
 1.7500358E+001, 6.2394138E+000, 1.7119258E+001, 2.7280085E+001, 1.6451791E+001, 6.5354468E+000, 2.0815012E+000, 3.1290807E+000, 6.0778854E+000, 3.1534819E+000, 2.0890890E+000, 9.0954267E-001, 1.2836699E+000, 2.2637909E+000, 1.1650036E+000, 8.0418993E-001, 8.3115737E-001, 1.2037144E+000, 1.6440389E+000, 8.1493132E-001, 7.1067050E-001, 1.3313331E+000, 1.0271351E+000, 6.6610582E-001, 4.1519381E-001, 3.1314314E-001, 2.7090790E+001, 2.5362425E+001, 2.3844310E+001, 2.2967295E+001, 2.2423202E+001
 1.8000407E+001, 9.1851790E+000, 1.4011755E+001, 3.1428183E+001, 1.6018627E+001, 6.2993499E+000, 1.8896159E+000, 3.6009988E+000, 7.0854223E+000, 2.9943633E+000, 1.9137240E+000, 1.1607685E+000, 2.2872242E+000, 2.8365159E+000, 1.0997750E+000, 9.3745502E-001, 9.5368099E-001, 1.6371546E+000, 1.4910307E+000, 1.0370605E+000, 7.3485102E-001, 1.2767337E+000, 5.9327395E-001, 3.0416247E-001, 3.2773642E-001, 3.4070144E-001, 2.7181121E+001, 2.5155666E+001, 2.3751240E+001, 2.2968642E+001, 2.2460835E+001
 1.8500050E+001, 1.0037040E+001, 1.7173571E+001, 3.5885749E+001, 1.6094198E+001, 7.0883343E+000, 2.5497826E+000, 4.6224567E+000, 9.9534961E+000, 3.8621418E+000, 2.2732481E+000, 9.5235305E-001, 1.9476589E+000, 3.6375585E+000, 1.5361603E+000, 1.0262971E+000, 7.3175831E-001, 1.0036345E+000, 1.3786503E+000, 8.7062006E-001, 6.8451600E-001, 8.6882404E-001, 7.4690945E-001, 4.5022167E-001, 3.3133221E-001, 2.8524669E-001, 2.7154584E+001, 2.5276082E+001, 2.3598055E+001, 2.2788690E+001, 2.2360930E+001
 1.9000155E+001, 1.0173945E+001, 2.0915783E+001, 2.9963124E+001, 2.2698094E+001, 9.3486796E+000, 2.0974608E+000, 3.1323551E+000, 5.5989110E+000, 3.1146813E+000, 2.0111179E+000, 1.0539872E+000, 1.3978000E+000, 2.3427039E+000, 1.6043197E+000, 8.8597587E-001, 6.7053739E-001, 1.3412294E+000, 1.9368014E+000, 1.2348540E+000, 5.9115180E-001, 1.6826970E+000, 1.3536127E+000, 9.8620105E-001, 6.8236415E-001, 4.6336405E-001, 2.8079965E+001, 2.6069534E+001, 2.4239004E+001, 2.3193736E+001, 2.2597099E+001
