z,coarse,medium,fine  
69.58,579,518.1,508.19
69.72,578.12,517.4,507.51
69.86,577.25,516.69,506.84
70,576.37,515.99,506.16
70.14,575.49,515.3,505.52
70.28,574.62,514.6,504.89
70.42,573.74,513.91,504.25
70.56,572.86,513.22,503.61
70.7,571.99,512.52,502.97
70.84,571.11,511.83,502.33
70.98,570.23,511.14,501.69
71.12,569.44,510.48,501.06
71.26,568.67,509.83,500.42
71.4,567.9,509.18,499.78
71.54,567.12,508.52,499.14
71.68,566.35,507.87,498.5
71.82,565.58,507.22,497.86
71.96,564.8,506.57,497.22
72.1,564.03,505.95,496.57
72.24,563.26,505.33,495.92
72.38,562.48,504.72,495.27
72.52,561.71,504.1,494.61
72.66,560.94,503.49,493.96
72.8,560.16,502.88,493.31
72.94,559.39,502.26,492.65
73.08,558.62,501.66,492.04
73.22,557.86,501.07,491.45
73.36,557.09,500.48,490.86
73.5,556.33,499.89,490.28
73.64,555.56,499.29,489.69
73.78,554.79,498.7,489.1
73.92,554.03,498.11,488.51
74.06,553.26,497.52,487.95
74.2,552.5,496.93,487.42
74.34,551.73,496.34,486.89
74.48,550.97,495.75,486.36
74.62,550.2,495.16,485.83
74.76,549.44,494.57,485.3
74.9,548.67,493.98,484.77
75.04,547.91,493.39,484.26
75.18,547.17,492.79,483.8
75.32,546.43,492.19,483.34
75.46,545.7,491.6,482.89
75.6,544.96,491,482.43
75.74,544.22,490.4,481.97
75.88,543.48,489.8,481.51
76.02,542.74,489.21,481.06
76.16,542,488.63,480.6
76.3,541.26,488.05,480.15
76.44,540.52,487.47,479.69
76.58,539.78,486.89,479.24
76.72,539.04,486.3,478.78
76.86,538.31,485.72,478.33
77,537.57,485.14,477.87
77.14,536.87,484.58,477.4
77.28,536.18,484.02,476.93
77.42,535.48,483.46,476.46
77.56,534.79,482.9,475.99
77.7,534.09,482.34,475.52
77.84,533.4,481.77,475.05
77.98,532.7,481.21,474.58
78.12,532.01,480.69,474.15
78.26,531.31,480.18,473.73
78.4,530.62,479.67,473.31
78.54,529.92,479.16,472.88
78.68,529.23,478.65,472.46
78.82,528.53,478.14,472.04
78.96,527.83,477.62,471.62
79.1,527.1,477.14,471.22
79.24,526.36,476.66,470.82
79.38,525.61,476.18,470.43
79.52,524.86,475.7,470.03
79.66,524.12,475.22,469.63
79.8,523.37,474.74,469.24
79.94,522.62,474.26,468.84
80.08,521.88,473.78,468.45
80.22,521.13,473.3,468.06
80.36,520.38,472.81,467.68
80.5,519.64,472.33,467.29
80.64,518.89,471.84,466.9
80.78,518.15,471.36,466.52
80.92,517.4,470.87,466.13
81.06,516.52,470.37,465.72
81.2,515.48,469.85,465.26
81.34,514.43,469.33,464.81
81.48,513.38,468.81,464.36
81.62,512.34,468.29,463.9
81.76,511.29,467.77,463.45
81.9,510.24,467.25,463
82.04,509.2,466.64,462.44
82.18,508.15,465.82,461.64
82.32,507.1,465,460.83
82.46,506.06,464.18,460.02
82.6,505.01,463.36,459.22
82.74,503.96,462.54,458.41
82.88,502.92,461.72,457.61
83.02,501.96,460.97,456.87
83.16,501.52,460.61,456.55
83.3,501.08,460.25,456.23
83.44,500.64,459.89,455.9
83.58,500.21,459.53,455.58
83.72,499.77,459.18,455.26
83.86,499.33,458.82,454.94
84,498.9,458.46,454.62
84.14,498.46,458.1,454.3
84.28,498.02,457.74,453.98
84.42,497.58,457.39,453.66
84.56,497.15,457.03,453.34
84.7,496.71,456.67,453.01
84.84,496.27,456.31,452.69
84.98,495.84,455.95,452.37
85.12,495.4,455.6,452.05
85.26,494.96,455.24,451.73
85.4,494.52,454.88,451.41
85.54,494.09,454.52,451.09
85.68,493.65,454.16,450.77
85.82,493.21,453.81,450.45
85.96,492.78,453.45,450.12
86.1,492.34,453.11,449.83
86.24,491.9,452.78,449.53
86.38,491.46,452.46,449.24
86.52,491.03,452.13,448.95
86.66,490.59,451.8,448.66
86.8,490.15,451.47,448.37
86.94,489.72,451.14,448.08
87.08,489.28,450.81,447.79
87.22,488.84,450.49,447.5
87.36,488.4,450.16,447.21
87.5,487.97,449.83,446.92
87.64,487.53,449.5,446.63
87.78,487.09,449.17,446.34
87.92,486.66,448.85,446.05
88.06,486.22,448.52,445.76
88.2,485.78,448.19,445.47
88.34,485.34,447.86,445.18
88.48,484.91,447.53,444.89
88.62,484.47,447.2,444.6
88.76,484.03,446.88,444.31
88.9,483.6,446.55,444.02
89.04,483.17,446.23,443.73
89.18,482.77,445.94,443.44
89.32,482.37,445.64,443.16
89.46,481.97,445.35,442.87
89.6,481.58,445.05,442.59
89.74,481.18,444.76,442.3
89.88,480.78,444.47,442.02
90.02,480.38,444.17,441.73
90.16,479.98,443.88,441.44
90.3,479.59,443.59,441.16
90.44,479.19,443.29,440.87
90.58,478.79,443,440.59
90.72,478.39,442.71,440.3
90.86,477.99,442.41,440.02
91,477.59,442.12,439.73
91.14,477.2,441.82,439.44
91.28,476.8,441.53,439.16
91.42,476.4,441.24,438.87
91.56,476,440.94,438.59
91.7,475.6,440.65,438.3
91.84,475.21,440.36,438.01
