time,HRR_fine(kW) 
6.3105,17.075
6.3143,17.314
6.3176,17.677
6.3209,18.325
6.324,18.884
6.327,19.44
6.3298,20.067
6.3326,20.554
6.3351,21.204
6.3379,21.963
6.3406,22.629
6.3434,23.286
6.3461,23.751
6.3491,24.394
6.3521,25.265
6.355,26.124
6.3578,26.365
6.3608,26.737
6.3638,27.02
6.367,27.035
6.3703,26.268
6.3735,24.687
6.3763,23.32
6.3798,21.759
6.3832,20.612
6.3865,19.725
6.3901,19.124
6.3933,18.655
6.3963,18.287
6.4001,17.734
6.404,17.282
6.4084,16.902
6.4131,16.704
6.4179,16.583
6.4223,16.447
6.4265,16.421
6.4307,16.314
6.4346,16.281
6.4387,16.345
6.4428,16.397
6.447,16.494
6.4513,16.731
6.4556,17.073
6.4601,17.531
6.4648,18.036
6.4698,18.636
6.4748,19.218
6.4796,19.79
6.4846,20.272
6.4901,20.892
6.4955,21.412
6.5011,21.957
6.5065,22.651
6.5117,23.506
6.5171,24.37
6.5224,25.265
6.5273,26.052
6.5324,26.819
6.5378,27.519
6.5432,28.077
6.5485,28.636
6.5544,28.994
6.5604,29.235
6.5661,29.289
6.5718,29.248
6.577,29.083
6.5822,28.789
6.5872,28.567
6.5921,28.203
6.597,27.772
6.6019,27.283
6.6069,26.968
6.6121,26.542
6.6173,26.272
6.6225,25.931
6.6279,25.575
6.6332,25.035
6.6384,24.424
6.6436,24.031
6.6493,23.596
6.6546,23.339
6.6599,23.259
6.6649,23.309
6.6704,23.568
6.6757,23.806
6.6809,24.226
6.6859,24.592
6.691,24.545
6.6959,24.168
6.7009,23.648
6.7058,22.986
6.7107,22.313
6.7154,21.86
6.7199,21.721
6.724,21.731
6.7283,21.748
6.7326,21.667
6.7368,21.672
6.7411,21.614
6.7453,21.343
6.7496,21.034
6.7537,21
6.7578,20.988
6.762,21.114
6.7662,21.295
6.7705,21.481
6.7747,21.899
6.7789,22.498
6.7829,23.041
6.7867,23.557
6.7906,24.185
6.7944,24.782
6.7984,25.43
6.8023,25.861
6.806,26.112
6.8097,26.467
6.8133,26.788
6.8168,26.754
6.8201,26.624
6.8233,26.729
6.8267,26.885
6.8301,26.842
6.8335,27.123
6.8372,26.84
6.841,26.419
6.8445,25.7
6.848,24.948
6.8514,24.443
6.8546,23.929
6.858,23.361
6.861,22.743
6.8638,22.463
6.8667,22.163
6.8696,21.576
6.8728,20.918
6.8761,19.989
6.8796,19.314
6.8829,18.543
6.8859,17.972
6.8887,17.686
6.8917,17.29
6.895,16.814
6.8985,16.527
6.9019,16.512
6.9054,16.562
6.9088,16.709
6.9122,16.928
6.9155,17.145
6.919,17.412
6.9226,17.752
6.9261,18.015
6.9297,18.288
6.9331,18.443
6.937,18.564
6.9409,18.713
6.9446,18.877
6.9484,19.106
6.9524,19.28
6.9561,19.448
6.96,19.582
6.9637,19.757
6.9673,19.85
6.9711,19.911
6.9747,19.987
6.9791,20.059
6.9836,20.139
6.9878,20.198
6.9919,20.242
6.996,20.205
7.0002,20.222
7.0045,20.351
7.009,20.494
7.0134,20.664
7.018,20.82
7.0225,21.014
7.0271,21.245
7.032,21.493
7.0365,21.756
7.0414,22.128
7.0463,22.603
7.0512,23.043
7.056,23.395
7.0611,23.774
7.0657,24.025
7.0702,24.281
7.0745,24.479
7.0791,24.623
7.0833,24.696
7.0877,24.773
7.092,24.671
7.0958,24.474
7.1,24.084
7.1045,23.511
7.1091,23.015
7.113,22.605
7.1167,22.361
7.1207,22.079
7.1244,21.876
7.128,21.822
7.1316,21.763
7.1358,21.476
7.1403,20.988
7.1445,20.341
7.1489,19.593
7.1533,18.875
7.1573,18.4
7.1613,18.046
7.1649,17.911
7.1686,18.016
7.1723,18.33
7.1761,18.744
7.1797,19.1
7.1832,19.417
7.1866,19.694
7.1906,19.888
7.1948,20.013
7.1988,20.082
7.2264,18.899
7.23,18.423
7.2336,18.071
7.2375,17.819
7.2413,17.662
7.2449,17.633
7.2488,17.552
7.2524,17.447
7.2559,17.443
7.2595,17.554
7.2632,17.771
7.2672,17.909
7.2711,17.951
7.2747,18.025
7.2786,18.318
7.2823,18.686
7.2857,19.009
7.2888,19.167
7.2918,19.185
7.2947,19.232
7.2978,19.449
7.301,19.603
7.3043,19.687
7.3081,19.755
7.3119,19.743
7.3154,19.605
7.319,19.399
7.3225,19.322
7.326,19.394
7.33,19.408
7.334,19.269
7.3383,18.698
7.3426,18.052
7.3469,17.273
7.3512,16.9
7.355,16.567
7.359,16.396
7.3635,16.353
7.368,16.373
7.3728,16.509
7.3771,16.842
7.3813,17.156
7.3852,17.452
7.3893,17.916
7.3934,18.225
7.3971,18.503
7.4004,18.717
7.4035,18.937
7.4067,19.172
7.4104,19.332
7.4144,19.528
7.4183,19.834
7.4219,20.388
7.4259,20.896
7.4301,21.55
7.4342,22.274
7.4384,23.017
7.4427,23.737
7.4466,24.456
7.4506,25.079
7.4547,25.78
7.4589,26.3
7.4632,26.96
7.467,27.43
7.4709,28.014
7.4746,28.454
7.4787,29.104
7.483,29.601
7.4872,30.169
7.4913,30.771
7.4952,31.337
7.4992,31.868
7.5032,32.328
7.507,32.724
7.5111,33.233
7.5154,33.809
7.5197,34.355
7.524,34.664
7.5285,35.013
7.5329,35.144
7.5371,35.051
7.5416,34.698
7.5462,33.995
7.551,33.314
7.5555,32.791
7.5606,32.296
7.5653,31.836
7.5704,31.696
7.575,31.577
7.5799,31.597
7.5848,31.215
7.5895,30.805
7.5941,30.277
7.5992,29.866
7.6043,29.42
7.6091,29.2
7.6136,29.391
7.6181,29.35
7.6223,29.25
7.6265,28.884
7.6306,28.543
7.6344,28.338
7.6385,28.158
7.6428,27.905
7.6472,27.673
7.6519,27.381
7.6564,26.784
7.6608,25.867
7.6649,25.113
7.6691,24.558
7.6734,24.08
7.6777,23.657
7.6819,23.314
7.6861,22.961
7.69,22.644
7.6938,22.268
7.698,21.825
7.7023,21.418
7.7064,21.126
7.7109,20.826
7.7152,20.485
7.7197,20.125
7.724,19.654
7.7284,19.339
7.7327,19.025
7.7369,18.706
7.7412,18.5
7.7453,18.385
7.7494,18.244
7.7535,18.17
7.7576,17.982
7.7615,17.96
7.7654,18.039
7.7695,18.198
7.7738,18.615
7.7783,19.14
7.7825,19.65
7.7865,20.079
7.7905,20.454
7.7944,20.617
7.7983,20.567
7.8023,20.55
7.8059,20.842
7.8094,21.243
7.8128,21.479
7.8159,21.685
7.8189,21.926
7.822,22.578
7.8248,23.364
7.8277,24.133
7.8306,24.214
7.8334,24.043
7.8362,23.141
7.839,21.502
7.8422,20.256
7.8454,19.654
7.8487,19.364
7.8522,19.126
7.8555,18.86
7.8589,18.657
7.8625,18.489
7.8664,18.434
7.8703,18.483
7.8742,18.611
7.8784,18.806
7.8825,19.03
7.8864,19.287
7.8903,19.591
7.894,19.916
7.8987,20.315
7.9035,20.576
7.9083,21.005
7.9136,21.485
7.9188,21.817
7.9238,22.432
7.9285,23.095
7.9332,23.537
7.9378,24.039
7.942,24.428
7.9464,24.635
7.951,24.855
7.9551,24.949
7.9592,25.037
7.9631,25.069
7.967,25.126
7.9711,24.99
7.975,24.899
7.9793,24.834
7.9834,24.951
7.987,24.874
7.9906,24.607
7.994,24.34
7.9973,23.909
8.0005,23.543
8.0038,23.163
8.0074,22.795
8.011,22.429
8.0146,22.201
8.0184,22.074
8.0221,21.989
8.0261,21.951
8.0308,21.954
8.0355,22.028
8.0404,21.964
8.0453,21.804
8.0506,21.59
8.0557,21.316
8.0613,20.846
8.0669,20.246
8.0725,19.793
8.0781,19.334
8.0834,19.024
8.0884,18.79
8.0936,18.64
8.0988,18.499
8.1041,18.243
8.1092,17.822
8.1141,17.444
8.1194,17.082
8.125,16.845
8.1307,16.793
8.1364,16.719
8.1421,16.545
8.1476,16.552
8.1532,16.722
8.1581,16.872
8.1628,16.955
8.1671,17.157
8.1714,17.506
8.1759,18.004
8.1805,18.669
8.1849,19.55
8.1893,20.582
8.1929,21.653
8.196,22.782
8.199,23.761
8.2022,24.583
8.2055,25.322
8.2091,26.059
8.2127,26.259
8.2163,25.793
8.2199,25.315
8.2235,25.218
8.227,25.425
8.2307,25.675
8.234,25.731
8.2372,25.821
8.2406,25.639
8.2444,25.247
8.2483,24.745
8.2519,24.365
8.2552,23.927
8.2586,23.452
8.2621,22.936
8.2657,22.422
8.2693,21.919
8.273,21.552
8.277,21.34
8.2812,21.046
8.2853,20.539
8.2895,19.987
8.2936,19.784
8.298,19.71
8.3029,22.181
8.3075,21.739
8.3116,21.227
8.3165,20.572
8.3211,19.963
8.3258,19.337
8.3305,18.8
8.3354,18.395
8.3402,17.969
8.345,17.652
8.35,17.542
8.355,17.55
8.36,17.754
8.3654,18.041
8.3708,18.36
8.3762,18.638
8.3816,18.904
8.3869,19.216
8.3916,19.614
8.3962,19.877
8.4009,20.127
8.406,20.341
8.4112,20.509
8.4163,20.888
8.4212,21.227
8.4263,21.509
8.4316,21.818
8.4367,22.155
8.4415,22.319
8.4466,22.47
8.4514,22.67
8.4562,22.832
8.4609,23.085
8.4655,23.352
8.4699,23.635
8.4742,23.576
8.4788,23.255
8.4837,22.891
8.4887,22.694
8.4933,22.701
8.4979,22.936
8.5017,23.161
8.5049,23.254
8.5081,23.316
8.5115,23.283
8.5153,23.08
8.5191,22.782
8.5225,22.531
8.526,22.435
8.5295,22.675
8.5334,23.04
8.5373,23.25
8.5412,23.179
8.5452,23.304
8.5491,23.611
8.5526,23.956
8.5562,24.028
8.5596,23.927
8.5629,23.911
8.5661,24.036
8.5692,24.214
8.5723,24.208
8.5758,24.024
8.5794,23.709
8.5828,23.57
8.5862,23.319
8.5898,23.192
8.5933,23.029
8.5967,22.855
8.6,22.87
8.6037,22.915
8.6074,22.806
8.6111,22.866
8.6148,23.044
8.6183,22.836
8.6219,22.502
8.6259,22.039
8.6299,21.754
8.634,21.716
8.6381,21.693
8.642,21.858
8.6464,22.073
8.6509,22.386
8.6556,22.706
8.6605,23.206
8.6656,23.481
8.6705,23.927
8.6756,24.294
8.6802,24.556
8.685,24.667
8.69,24.933
8.6952,25.275
8.7002,25.589
8.7054,25.938
8.7105,26.06
8.7156,26.103
8.7202,26.02
8.7254,25.753
8.73,25.568
8.7347,25.271
8.7397,24.928
8.7444,24.525
8.7491,24.197
8.7541,23.908
8.7588,23.769
8.7638,23.469
8.7691,23.276
8.774,23.139
8.779,22.932
8.7842,22.787
8.7893,22.921
8.7942,23.411
8.7989,24.044
8.8034,24.547
8.8081,24.922
8.8124,24.884
8.8166,24.681
8.8202,24.451
8.8238,24.171
8.8273,23.861
8.8308,23.566
8.8345,23.249
8.8385,23.002
8.8427,22.923
8.8469,23.089
8.8508,23.349
8.8546,23.626
8.8582,24.036
8.8615,24.544
8.8648,24.867
8.8679,24.721
8.871,24.513
8.8743,24.249
8.8775,24.027
8.8807,23.635
8.8841,23.192
8.8874,22.827
8.8907,22.759
8.8942,22.669
8.8978,22.162
8.9013,21.66
8.9047,21.265
8.9084,20.998
8.9121,20.962
8.916,21.097
8.9197,21.266
8.9234,21.415
8.9271,21.416
8.9308,21.309
8.9345,21.254
8.9385,21.303
8.9425,21.144
8.9467,20.824
8.9506,20.638
8.9546,20.63
8.9586,20.605
8.9602,20.664
8.9005,21.777
8.9032,21.385
8.9059,21.112
8.909,20.925
8.9118,20.913
8.9149,20.971
8.9179,21.155
8.9208,21.278
8.9237,21.395
8.9267,21.415
8.9297,21.301
8.9326,21.313
8.9357,21.292
8.9389,21.302
8.9422,21.189
8.9456,20.939
8.9488,20.715
8.9519,20.62
8.9551,20.602
8.9585,20.615
8.9619,20.702
8.9653,20.799
8.9686,20.86
8.9723,20.998
8.9759,21.107
8.9795,21.153
8.9833,21.28
8.9869,21.38
8.9906,21.572
8.9941,21.793
8.9976,21.962
9.0011,22.159
9.0048,22.46
9.0084,22.81
9.0117,23.328
9.015,23.908
9.0183,24.355
9.0215,24.869
9.0247,25.37
9.028,25.782
9.0312,26.203
9.0344,26.395
9.0377,26.586
9.0411,26.548
9.0444,26.535
9.0478,26.364
9.0513,26.08
9.0548,26.012
9.0582,25.965
9.0616,25.997
9.065,25.844
9.0684,25.488
9.0714,25.223
9.0747,24.89
9.078,24.666
9.0812,24.539
9.0845,24.406
9.0878,24.074
9.091,23.847
9.0943,23.668
9.0975,23.509
9.1007,23.491
9.104,23.44
9.1074,23.387
9.111,23.247
9.1148,23.091
9.1183,22.875
9.1218,22.776
9.1253,22.352
9.1291,21.751
9.1324,20.789
9.1358,20.008
9.1397,19.322
9.1434,18.811
9.1473,18.384
9.1513,17.887
9.1552,17.486
9.1593,17.129
9.1632,16.747
9.1672,16.395
9.1715,16.133
9.1757,15.883
9.1796,15.642
9.1833,15.48
9.1874,15.367
9.1915,15.261
9.1961,15.161
9.2004,14.972
9.2046,14.782
9.2086,14.733
9.2127,14.82
9.2168,14.961
9.2211,15.28
9.2253,15.722
9.2293,16.27
9.2332,16.806
9.2373,17.442
9.2412,17.977
9.2452,18.36
9.2491,18.577
9.2529,18.647
9.2565,18.512
9.2602,18.413
9.264,18.494
9.2677,18.703
9.2713,18.993
9.275,19.235
9.2785,19.461
9.2816,19.614
9.2847,19.693
9.2877,19.939
9.2905,19.97
9.2936,19.92
9.2968,19.802
9.3,19.692
9.3035,19.622
9.307,19.55
9.3104,19.496
9.3141,19.519
9.3178,19.364
9.3215,19.077
9.3251,18.911
9.3287,18.803
9.3322,18.761
9.3358,18.879
9.3393,19.071
9.343,19.286
9.3468,19.736
9.3504,19.991
9.3537,20.325
9.3569,20.733
9.3601,21.225
9.3633,21.734
9.3665,22.245
9.3696,22.758
9.3728,23.252
9.376,23.708
9.3792,23.997
9.3822,24.149
9.3852,24.396
9.3882,24.735
9.3911,25.082
9.3942,25.444
9.397,25.598
9.3997,25.906
9.4025,25.938
9.4053,26.266
9.4079,26.268
9.4103,26.21
9.4127,25.626
9.4153,25.332
9.4179,24.855
9.4205,24.376
9.4231,23.954
9.4257,23.919
9.4284,23.855
9.431,23.805
9.4339,23.653
9.437,23.646
9.4401,23.7
9.4432,23.758
9.4461,23.862
9.4492,23.973
9.4523,23.964
9.4554,23.978
9.4587,24.056
9.4623,24.146
9.466,24.252
9.4698,24.443
9.4735,24.566
9.4772,24.71
9.4808,24.918
9.4847,25.079
9.4887,25.36
9.4925,25.605
9.4962,25.815
9.4998,25.974
9.503,26.062
9.5063,26.227
9.5096,26.335
9.5128,26.359
9.5161,26.583
9.5198,26.642
9.5234,26.763
9.5271,26.906
9.5308,26.995
9.534,27.125
9.5376,27.288
9.5417,27.438
9.5458,27.624
9.5498,27.853
9.5538,27.958
9.5578,28.125
9.5616,28.187
9.5656,28.14
9.5693,28.015
9.5725,27.845
9.5765,27.732
9.5806,27.59
9.585,27.398
9.5889,27.219
9.5927,26.978
9.5966,26.645
9.6002,26.372
9.6042,25.995
9.6082,25.643
9.6118,25.298
9.6154,24.919
9.619,24.21
9.6227,23.513
9.6262,22.946
9.6299,22.371
9.6335,21.633
9.6372,20.967
9.6408,20.558
9.6443,20.433
9.648,20.345
9.6517,20.308
9.6554,20.255
9.6589,20.281
9.6622,20.329
9.6655,20.4
9.6687,20.469
9.6718,20.611
9.6751,20.798
9.6782,21.049
9.6811,21.256
9.684,21.457
9.6869,21.607
9.6899,21.694
9.6929,21.767
9.696,21.891
9.6991,22.04
9.702,22.082
9.7048,21.955
9.7077,21.685
9.7103,21.185
9.7133,20.903
9.7165,20.896
9.7197,21.105
9.7226,21.18
9.7256,21.084
9.7285,21.043
9.7313,21.111
9.7341,21.152
9.7369,21.212
9.7397,21.204
9.7426,21.049
9.7454,20.791
9.7483,20.532
9.7511,20.43
9.7539,20.556
9.7573,20.117
9.7605,19.785
9.7638,19.495
9.767,19.364
9.7702,19.311
9.7733,19.315
9.7765,19.393
9.7795,19.619
9.7821,19.962
9.7847,20.231
9.7876,20.571
9.7907,20.731
9.7939,20.905
9.797,20.984
9.8001,21.09
9.803,21.175
9.8058,21.352
9.8086,21.642
9.8113,22.03
9.814,22.451
9.8169,23.093
9.82,23.788
9.8229,24.246
9.8263,24.839
9.8298,25.194
9.8332,25.324
9.8365,25.481
9.8398,25.817
9.8429,26.039
9.846,26.202
9.849,26.412
9.8518,26.531
9.8548,26.343
9.8578,26.068
9.8608,25.542
9.8638,25.122
9.8668,24.797
9.8699,24.762
9.8728,24.843
9.8756,24.834
9.8784,24.849
9.8813,24.951
9.8842,24.965
9.8871,25.064
9.89,25.156
9.8929,25.12
9.8958,25.128
9.8987,25.324
9.9019,25.594
9.9049,25.934
9.9082,26.441
9.9112,26.797
9.9144,27.137
9.918,27.537
9.9215,27.859
9.9252,28.132
9.9286,28.455
9.9318,28.608
9.9353,28.779
9.939,28.855
9.942,28.972
9.9451,29.163
9.9485,29.215
9.9519,29.176
9.9554,29.127
9.9587,29.131
9.9615,29.088
9.9647,29.107
9.968,29.04
9.9715,28.908
9.9752,28.792
9.9785,28.63
9.9814,28.531
9.9847,28.442
9.9883,28.196
9.9915,27.892
9.9945,27.686
9.9975,27.444
10.001,27.149
10.004,26.686
10.009,26.32
10.013,25.897
10.017,25.358
10.021,24.716
10.025,24.162
10.029,23.551
10.033,23.11
10.038,22.645
10.041,22.326
10.045,21.973
10.05,21.556
10.054,21.278
10.059,21.036
10.063,20.786
10.067,20.677
10.072,20.569
10.076,20.384
10.08,20.218
10.085,20.146
10.089,20.023
10.094,19.812
10.098,19.518
10.102,19.113
10.106,18.62
10.111,18.321
10.115,18.201
10.119,18.074
10.123,17.957
10.127,17.904
10.131,17.955
10.135,17.998
10.139,17.961
10.143,17.91
10.146,17.854
10.15,17.737
10.153,17.702
10.156,17.712
10.159,17.671
10.163,17.757
10.166,17.997
10.17,18.145
10.173,18.236
10.176,18.175
10.179,17.959
10.182,17.766
10.185,17.595
10.187,17.583
10.19,17.63
10.193,17.663
10.196,17.733
10.198,17.857
10.202,18.039
10.205,18.206
10.208,18.371
10.21,18.68
10.213,18.832
10.216,19.041
10.219,19.314
10.221,19.567
10.224,19.795
10.227,20.004
10.23,20.274
10.232,20.654
10.235,21.106
10.238,21.658
10.24,22.092
10.243,22.628
10.246,23.138
10.248,23.587
10.251,23.944
10.253,24.218
10.256,24.362
10.258,24.306
10.261,24.317
10.264,24.248
10.266,24.31
10.269,24.318
10.271,24.228
10.274,23.748
10.276,23.16
10.279,22.511
10.282,21.844
10.285,21.198
10.287,20.695
10.289,20.301
10.292,20.073
10.294,19.825
10.297,19.536
10.3,19.203
10.303,18.941
10.306,18.689
10.31,18.451
10.313,18.327
10.316,18.301
10.319,18.303
10.322,18.319
10.325,18.356
10.329,18.462
10.332,18.54
10.335,18.6
10.338,18.823
10.341,19.008
10.344,19.142
10.347,19.224
10.35,19.498
10.353,19.696
10.356,19.867
10.36,20.152
10.362,20.359
10.365,20.444
10.368,20.674
10.371,20.833
10.375,20.984
10.379,21.244
10.383,21.356
10.386,21.521
10.39,21.677
10.394,21.842
10.397,21.871
10.401,21.897
10.404,21.775
10.407,21.81
10.41,21.84
10.414,22.033
10.417,22.202
10.421,22.492
10.424,22.592
10.427,22.9
10.431,23.159
10.435,23.507
10.439,23.907
10.444,24.394
10.448,24.854
10.452,25.426
10.456,25.965
10.46,26.49
10.463,26.916
10.467,27.348
10.47,27.701
10.474,28.002
10.477,28.416
10.481,28.735
10.485,29.108
10.49,29.381
10.494,29.442
10.498,29.51
10.502,29.409
10.507,29.257
10.512,28.884
10.517,28.417
10.521,27.744
10.527,26.858
10.531,25.818
10.536,24.689
10.54,23.641
10.545,22.387
10.549,21.41
10.554,20.772
10.558,20.464
10.563,20.219
10.567,19.971
10.571,19.812
10.576,19.716
10.58,19.668
10.584,19.711
10.588,19.864
10.592,20.02
10.595,20.052
10.599,20.032
10.602,20.169
10.605,20.373
10.609,20.679
10.612,20.939
10.615,20.996
10.619,20.915
10.622,20.697
10.625,20.276
10.628,19.795
10.63,19.416
10.633,19.169
10.635,18.714
10.638,18.356
10.64,17.989
10.642,17.771
10.645,17.513
10.647,17.355
10.65,17.219
10.653,16.925
10.656,16.236
10.659,15.612
10.662,15.224
10.664,14.797
10.668,14.352
10.671,13.946
10.674,13.692
10.678,13.61
10.681,13.601
10.684,13.657
10.688,13.733
10.691,13.792
10.695,13.849
10.698,13.928
10.702,14.057
10.705,14.165
10.709,14.264
10.712,14.358
10.716,14.484
10.72,14.647
10.723,14.808
10.726,14.948
10.729,15.084
10.732,15.216
10.735,15.327
10.739,15.442
10.741,15.62
10.744,15.768
10.748,16.019
10.751,16.337
10.754,16.675
10.758,17.095
10.762,17.519
10.765,17.87
10.768,18.181
10.772,18.559
10.775,18.835
10.778,18.962
10.781,19.067
10.785,19.258
10.788,19.454
10.79,19.608
10.793,19.6
10.796,19.475
10.798,19.387
10.801,19.365
10.804,19.425
10.807,19.46
10.81,19.393
10.813,19.402
10.816,19.438
10.819,19.459
10.822,19.506
10.825,19.531
10.828,19.529
10.831,19.575
10.834,19.619
10.837,19.677
10.841,19.774
10.845,19.781
10.849,19.836
10.853,19.828
10.857,19.946
10.861,19.942
10.865,19.912
10.869,19.915
10.872,19.824
10.876,19.918
10.879,19.96
10.883,20.069
10.887,20.182
10.891,20.328
10.895,20.403
10.899,20.641
10.903,20.771
10.907,20.93
10.911,21.121
10.915,21.395
10.919,21.6
10.922,21.788
10.926,21.876
10.93,22.122
10.934,22.269
10.938,22.562
10.942,22.804
10.946,23.062
10.95,23.49
10.954,23.806
10.958,24.082
10.962,24.377
10.966,24.634
10.97,24.802
10.975,25.194
10.979,25.632
10.984,26.099
10.988,26.562
10.992,26.907
10.996,27.21
11,27.421
11.004,27.668
11.008,27.838
11.012,27.97
11.016,27.982
11.02,27.969
11.024,27.767
11.027,27.558
11.031,27.288
11.035,26.88
11.039,26.609
11.043,26.298
11.047,26.016
11.051,25.679
11.056,25.315
11.059,25.025
11.063,24.855
11.067,24.711
11.071,24.701
11.074,24.622
11.078,24.379
11.081,24.081
11.084,23.695
11.088,23.352
11.091,23.142
11.094,23.069
11.097,22.943
11.101,22.787
11.104,22.804
11.107,22.736
11.11,22.684
11.113,22.648
11.116,22.512
11.119,22.454
11.122,22.573
11.125,22.77
11.129,23.127
11.132,23.538
11.135,23.752
11.138,23.821
11.141,23.687
11.144,23.517
11.148,23.34
11.151,23.203
11.154,23.086
11.157,22.887
11.16,22.623
11.163,22.175
11.167,21.803
11.169,21.643
11.172,21.666
11.175,21.762
11.177,21.878
11.18,22.132
11.182,22.112
11.184,22.248
11.187,22.198
11.189,22.007
11.192,21.885
11.194,21.718
11.197,21.46
11.2,21.163
11.202,20.718
11.205,20.133
11.208,19.569
11.211,19.4
11.213,19.34
11.216,19.54
11.219,19.804
11.222,20.111
11.226,20.158
11.229,19.975
11.232,19.669
11.235,19.616
11.239,19.593
11.242,19.497
11.246,19.118
11.249,18.897
11.253,18.649
11.257,18.377
11.26,18.122
11.264,17.67
11.268,17.442
11.272,17.414
11.276,17.453
11.28,17.62
11.284,17.734
11.288,17.846
11.292,17.973
11.296,18.079
11.3,18.177
11.305,18.188
11.309,18.233
11.313,18.173
11.317,18.192
11.321,18.2
11.326,18.161
11.33,18.229
11.335,18.252
11.339,18.232
11.343,18.277
11.346,18.33
11.349,18.452
11.352,18.615
11.355,18.75
11.359,18.928
11.362,19.117
11.365,19.289
11.368,19.48
11.372,19.716
11.374,19.934
11.377,20.007
11.38,20.055
11.383,19.997
11.386,19.874
11.389,19.741
11.392,19.693
11.395,19.612
11.398,19.523
11.401,19.404
11.404,19.215
11.406,19.088
11.409,19.182
11.412,19.218
11.414,19.479
11.417,19.65
11.419,19.953
11.422,20.164
11.425,20.48
11.428,20.747
11.431,21.013
11.435,21.235
11.438,21.412
11.441,21.465
11.445,21.551
11.448,21.57
11.452,21.571
11.456,21.541
11.46,21.347
11.462,21.27
11.466,21.121
11.469,21.039
11.472,20.99
11.476,20.941
11.48,20.958
11.484,20.987
11.488,21.126
11.491,21.306
11.495,21.777
11.499,22.283
11.484,21.011
11.487,21.068
11.491,21.353
11.495,21.741
11.499,22.277
11.503,22.806
11.507,23.412
11.511,24.007
11.516,24.517
11.519,24.947
11.523,25.294
11.527,25.466
11.53,25.656
11.534,25.906
11.537,26.261
11.541,26.697
11.544,27.141
11.548,27.563
11.551,27.919
11.554,28.219
11.558,28.387
11.562,28.364
11.566,28.348
11.57,28.461
11.574,28.602
11.578,28.843
11.582,28.911
11.586,28.929
11.59,28.861
11.593,28.828
11.597,28.907
11.601,28.876
11.604,29.022
11.608,29.09
11.611,29.093
11.615,29.215
11.618,29.565
11.622,29.703
11.625,29.548
11.628,29.457
11.631,29.223
11.634,28.775
11.638,28.095
11.641,27.633
11.644,27.09
11.648,26.511
11.652,26.099
11.656,25.917
11.659,25.82
11.661,25.723
11.664,25.604
11.668,25.389
11.671,25.105
11.675,24.9
11.678,24.647
11.681,24.356
11.684,24.012
11.687,23.577
11.69,23.1
11.693,22.576
11.696,22.025
11.699,21.552
11.702,21.099
11.706,20.631
11.709,20.264
11.713,19.971
11.717,19.664
11.721,19.273
11.724,19.032
11.728,18.817
11.732,18.669
11.736,18.595
11.74,18.54
11.743,18.669
11.747,18.889
11.75,19.238
11.754,19.675
11.758,20.246
11.761,20.859
11.765,21.357
11.769,21.776
11.772,22.146
11.776,22.656
11.779,23.059
11.782,23.541
11.786,24.003
11.789,24.405
11.793,24.699
11.796,24.762
11.8,24.954
11.804,24.887
11.808,24.861
11.811,24.602
11.815,24.451
11.819,24.434
11.822,24.383
11.826,24.339
11.83,24.345
11.834,24.204
11.838,23.96
11.842,23.825
11.846,23.734
11.85,23.514
11.854,23.02
11.859,22.471
11.862,21.852
11.866,21.193
11.87,20.497
11.874,19.852
11.877,19.217
11.881,18.755
11.884,18.35
11.888,18.074
11.892,17.962
11.895,18.029
11.899,18.227
11.904,29.399
11.908,30.114
11.913,30.586
11.917,31.013
11.921,31.146
11.925,31.278
11.929,31.22
11.933,31.072
11.936,30.909
11.94,30.501
11.944,29.874
11.947,29.178
11.951,28.648
11.954,28.072
11.958,27.683
11.961,27.519
11.964,27.133
11.967,26.788
11.969,26.477
11.973,26.196
11.976,25.936
11.979,25.665
11.982,25.587
11.985,25.514
11.989,25.392
11.992,25.221
11.996,25.144
11.999,25.123
12.002,25.1
12.005,25.082
12.009,24.98
12.012,24.899
12.015,25.095
12.018,25.136
12.022,25
12.025,24.899
12.029,25.033
12.033,25.384
12.037,25.951
12.04,26.612
12.044,26.485
12.048,26.124
12.051,25.958
12.054,25.887
12.058,25.872
12.062,25.887
12.065,25.785
12.069,25.702
12.072,25.554
12.076,25.6
12.079,25.602
12.083,25.918
12.086,26.059
12.089,25.564
12.092,25.188
12.096,24.878
12.099,24.616
12.102,24.17
12.105,24.045
12.108,23.981
12.112,24.19
12.116,24.456
12.12,24.86
12.124,25.139
12.127,25.446
12.131,25.543
12.134,25.666
12.138,25.617
12.141,25.616
12.144,25.524
12.147,25.604
12.15,25.74
12.153,25.897
12.157,26.135
12.16,26.393
12.163,26.581
12.166,26.651
12.169,26.785
12.172,26.791
12.176,26.748
12.18,26.747
12.183,26.738
12.187,26.714
12.191,26.665
12.195,26.563
12.199,26.393
12.203,26.163
12.208,25.862
12.212,25.534
12.217,25.098
12.221,24.463
12.226,23.844
12.23,23.307
12.235,22.86
12.24,22.461
12.244,22.097
12.248,21.711
12.251,21.297
12.255,20.835
12.259,20.473
12.263,20.258
12.267,20.143
12.271,20.137
12.276,20.054
12.281,19.739
12.286,19.28
12.291,18.957
12.296,19.005
12.301,19.146
12.306,19.472
12.31,19.788
12.315,20.018
12.319,20.168
12.324,20.227
12.328,20.468
12.332,20.998
12.336,21.549
12.34,21.828
12.344,21.964
12.348,22.174
12.352,22.368
12.356,22.453
