cm,kW/m,kW/m,cm,K,K,K,K,K,K,K,K,K,K,K,K,cm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
z,RHRRPUL,RHRRPUL_rms,r,T_1p0D,T_1p5D,T_2p0D,T_2p5D,T_3p0D,T_3p5D,T_rms_1p0D,T_rms_1p5D,T_rms_2p0D,T_rms_2p5D,T_rms_3p0D,T_rms_3p5D,x,soot_0p5D,soot_1p0D,soot_1p5D,soot_2p5D,soot_3p5D,soot_rms_0p5D,soot_rms_1p0D,soot_rms_1p5D,soot_rms_2p5D,soot_rms_3p5D
 1.5409091E+001, 1.2810284E+001, 1.3378774E+001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.6807229E+000, 1.1787634E-001, 1.8155039E-001, 1.5068724E-001, 1.3212197E-001, 1.1238037E-001, 1.3624522E-001, 2.7751672E-001, 2.8017543E-001, 2.3005824E-001, 1.5409257E-001
 1.5906061E+001, 1.2434433E+001, 1.3142909E+001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.1867470E+000, 1.7246114E-001, 1.8180919E-001, 1.5377562E-001, 1.3869839E-001, 1.2213053E-001, 2.2479316E-001, 2.4473022E-001, 2.7593789E-001, 2.3796704E-001, 1.6793010E-001
 1.6403030E+001, 1.2189229E+001, 1.3155877E+001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.6927711E+000, 1.9573033E-001, 1.8097722E-001, 1.7119763E-001, 1.4929013E-001, 1.3551756E-001, 2.6840458E-001, 2.3166945E-001, 2.7762129E-001, 2.5271898E-001, 1.9339027E-001
 1.6900000E+001, 1.2095707E+001, 1.3393540E+001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.1987952E+000, 1.8942814E-001, 1.9433396E-001, 2.0891249E-001, 1.6335687E-001, 1.4509941E-001, 2.6809790E-001, 2.5847057E-001, 3.1259680E-001, 2.7454089E-001, 2.0957621E-001
 1.7396970E+001, 1.2107377E+001, 1.3793639E+001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.7048193E+000, 2.0979397E-001, 2.2699130E-001, 2.6652053E-001, 1.7699356E-001, 1.4981904E-001, 3.2909297E-001, 3.2536001E-001, 3.7889506E-001, 2.9821743E-001, 2.1225390E-001
 1.7893939E+001, 1.2109466E+001, 1.4169220E+001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.2108434E+000, 2.4698739E-001, 2.7417103E-001, 3.3228752E-001, 1.8604312E-001, 1.4858885E-001, 4.1692889E-001, 4.2047620E-001, 4.5843517E-001, 3.1585732E-001, 2.0227692E-001
 1.8390909E+001, 1.1981411E+001, 1.4204348E+001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.7168675E+000, 3.4407276E-001, 3.5061408E-001, 4.0503818E-001, 1.9084586E-001, 1.4737204E-001, 5.5836075E-001, 5.3068748E-001, 5.5198778E-001, 3.2402018E-001, 1.9881797E-001
 1.8887879E+001, 1.1714767E+001, 1.3882637E+001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.2228916E+000, 5.0845536E-001, 4.5334257E-001, 4.7897809E-001, 1.9631332E-001, 1.4434748E-001, 7.0172684E-001, 6.3234623E-001, 6.2091330E-001, 3.2857395E-001, 1.9084159E-001
 1.9384848E+001, 1.1386821E+001, 1.3434066E+001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.7289157E+000, 7.9069234E-001, 5.7438510E-001, 5.7808409E-001, 2.0474244E-001, 1.4144118E-001, 7.7913499E-001, 6.9131292E-001, 6.8147104E-001, 3.3055522E-001, 1.8004191E-001
 1.9881818E+001, 1.1003967E+001, 1.2922168E+001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.2349398E+000, 1.3286358E+000, 8.6765654E-001, 7.1315517E-001, 2.1436639E-001, 1.3620125E-001, 6.9526782E-001, 7.0110659E-001, 7.2255332E-001, 3.2245328E-001, 1.6296360E-001
