s,kg/s,m/s
 7.577E+00, 4.812E-02, 2.943E+00
 7.588E+00, 4.812E-02, 2.899E+00
 7.599E+00, 4.812E-02, 2.865E+00
 7.611E+00, 4.812E-02, 2.840E+00
 7.622E+00, 4.812E-02, 2.822E+00
 7.634E+00, 4.812E-02, 2.808E+00
 7.645E+00, 4.812E-02, 2.797E+00
 7.656E+00, 4.812E-02, 2.788E+00
 7.668E+00, 4.812E-02, 2.782E+00
 7.679E+00, 4.812E-02, 2.777E+00
 7.690E+00, 4.812E-02, 2.773E+00
 7.702E+00, 4.812E-02, 2.768E+00
 7.712E+00, 4.812E-02, 2.761E+00
 7.722E+00, 4.812E-02, 2.751E+00
 7.732E+00, 4.812E-02, 2.734E+00
 7.743E+00, 4.812E-02, 2.709E+00
 7.753E+00, 4.812E-02, 2.674E+00
 7.763E+00, 4.812E-02, 2.628E+00
 7.773E+00, 4.812E-02, 2.572E+00
 7.784E+00, 4.812E-02, 2.500E+00
 7.796E+00, 4.812E-02, 2.419E+00
 7.807E+00, 4.812E-02, 2.335E+00
 7.818E+00, 4.812E-02, 2.249E+00
 7.829E+00, 4.812E-02, 2.168E+00
 7.841E+00, 4.812E-02, 2.094E+00
 7.852E+00, 4.812E-02, 2.031E+00
 7.863E+00, 4.812E-02, 1.979E+00
 7.874E+00, 4.812E-02, 1.942E+00
 7.885E+00, 4.812E-02, 1.919E+00
 7.897E+00, 4.812E-02, 1.912E+00
 7.908E+00, 4.812E-02, 1.920E+00
 7.919E+00, 4.812E-02, 1.946E+00
 7.930E+00, 4.812E-02, 1.987E+00
 7.942E+00, 4.812E-02, 2.042E+00
 7.953E+00, 4.812E-02, 2.111E+00
 7.964E+00, 4.812E-02, 2.190E+00
 7.975E+00, 4.812E-02, 2.276E+00
 7.987E+00, 4.812E-02, 2.364E+00
 7.998E+00, 4.812E-02, 2.450E+00
 8.009E+00, 4.812E-02, 2.528E+00
 8.020E+00, 4.812E-02, 2.592E+00
 8.032E+00, 4.812E-02, 2.640E+00
 8.043E+00, 4.812E-02, 2.667E+00
 8.054E+00, 4.812E-02, 2.672E+00
 8.065E+00, 4.812E-02, 2.655E+00
 8.076E+00, 4.812E-02, 2.617E+00
 8.088E+00, 4.812E-02, 2.562E+00
 8.099E+00, 4.812E-02, 2.493E+00
 8.110E+00, 4.812E-02, 2.417E+00
 8.121E+00, 4.812E-02, 2.338E+00
 8.133E+00, 4.812E-02, 2.262E+00
 8.144E+00, 4.812E-02, 2.193E+00
 8.155E+00, 4.812E-02, 2.134E+00
 8.166E+00, 4.812E-02, 2.088E+00
 8.178E+00, 4.812E-02, 2.056E+00
 8.189E+00, 4.812E-02, 2.037E+00
 8.200E+00, 4.812E-02, 2.029E+00
 8.211E+00, 4.812E-02, 2.031E+00
 8.222E+00, 4.812E-02, 2.039E+00
 8.234E+00, 4.812E-02, 2.051E+00
 8.245E+00, 4.812E-02, 2.065E+00
 8.256E+00, 4.812E-02, 2.079E+00
 8.267E+00, 4.812E-02, 2.093E+00
 8.279E+00, 4.812E-02, 2.105E+00
 8.290E+00, 4.812E-02, 2.116E+00
 8.301E+00, 4.812E-02, 2.126E+00
 8.312E+00, 4.812E-02, 2.135E+00
 8.324E+00, 4.812E-02, 2.145E+00
 8.335E+00, 4.812E-02, 2.155E+00
 8.346E+00, 4.812E-02, 2.167E+00
 8.357E+00, 4.812E-02, 2.182E+00
 8.368E+00, 4.812E-02, 2.202E+00
 8.380E+00, 4.812E-02, 2.227E+00
 8.391E+00, 4.812E-02, 2.259E+00
 8.402E+00, 4.812E-02, 2.298E+00
 8.413E+00, 4.812E-02, 2.342E+00
 8.425E+00, 4.812E-02, 2.391E+00
 8.436E+00, 4.812E-02, 2.441E+00
 8.447E+00, 4.812E-02, 2.490E+00
 8.458E+00, 4.812E-02, 2.536E+00
 8.470E+00, 4.812E-02, 2.578E+00
 8.481E+00, 4.812E-02, 2.618E+00
 8.492E+00, 4.812E-02, 2.657E+00
 8.503E+00, 4.812E-02, 2.698E+00
 8.515E+00, 4.812E-02, 2.746E+00
 8.526E+00, 4.812E-02, 2.804E+00
 8.537E+00, 4.812E-02, 2.874E+00
 8.548E+00, 4.812E-02, 2.956E+00
 8.559E+00, 4.812E-02, 3.048E+00
 8.571E+00, 4.812E-02, 3.148E+00
 8.582E+00, 4.812E-02, 3.248E+00
 8.593E+00, 4.812E-02, 3.342E+00
 8.604E+00, 4.812E-02, 3.423E+00
 8.616E+00, 4.812E-02, 3.486E+00
 8.627E+00, 4.812E-02, 3.527E+00
 8.638E+00, 4.812E-02, 3.546E+00
 8.650E+00, 4.812E-02, 3.545E+00
 8.663E+00, 4.812E-02, 3.525E+00
 8.675E+00, 4.812E-02, 3.494E+00
 8.688E+00, 4.812E-02, 3.462E+00
 8.700E+00, 4.812E-02, 3.435E+00
 8.712E+00, 4.812E-02, 3.416E+00
 8.725E+00, 4.812E-02, 3.404E+00
 8.737E+00, 4.812E-02, 3.396E+00
 8.748E+00, 4.812E-02, 3.387E+00
 8.759E+00, 4.812E-02, 3.369E+00
 8.769E+00, 4.812E-02, 3.337E+00
 8.780E+00, 4.812E-02, 3.288E+00
 8.791E+00, 4.812E-02, 3.222E+00
 8.802E+00, 4.812E-02, 3.138E+00
 8.813E+00, 4.812E-02, 3.042E+00
 8.824E+00, 4.812E-02, 2.937E+00
 8.835E+00, 4.812E-02, 2.832E+00
 8.845E+00, 4.812E-02, 2.732E+00
 8.856E+00, 4.812E-02, 2.644E+00
 8.867E+00, 4.812E-02, 2.574E+00
 8.878E+00, 4.812E-02, 2.527E+00
 8.889E+00, 4.812E-02, 2.504E+00
 8.900E+00, 4.812E-02, 2.507E+00
 8.910E+00, 4.812E-02, 2.534E+00
 8.921E+00, 4.812E-02, 2.582E+00
 8.932E+00, 4.812E-02, 2.647E+00
 8.943E+00, 4.812E-02, 2.725E+00
 8.954E+00, 4.812E-02, 2.807E+00
 8.965E+00, 4.812E-02, 2.887E+00
 8.977E+00, 4.812E-02, 2.966E+00
 8.988E+00, 4.812E-02, 3.026E+00
 9.000E+00, 4.812E-02, 3.061E+00
 9.012E+00, 4.812E-02, 3.068E+00
 9.024E+00, 4.812E-02, 3.047E+00
 9.036E+00, 4.812E-02, 3.002E+00
 9.048E+00, 4.812E-02, 2.940E+00
 9.060E+00, 4.812E-02, 2.871E+00
 9.072E+00, 4.812E-02, 2.804E+00
 9.084E+00, 4.812E-02, 2.749E+00
 9.096E+00, 4.812E-02, 2.716E+00
 9.108E+00, 4.812E-02, 2.711E+00
 9.120E+00, 4.812E-02, 2.736E+00
 9.132E+00, 4.812E-02, 2.792E+00
 9.144E+00, 4.812E-02, 2.872E+00
 9.155E+00, 4.812E-02, 2.969E+00
 9.167E+00, 4.812E-02, 3.071E+00
 9.179E+00, 4.812E-02, 3.167E+00
 9.191E+00, 4.812E-02, 3.242E+00
 9.203E+00, 4.812E-02, 3.289E+00
 9.215E+00, 4.812E-02, 3.302E+00
 9.227E+00, 4.812E-02, 3.280E+00
 9.239E+00, 4.812E-02, 3.230E+00
 9.251E+00, 4.812E-02, 3.161E+00
 9.263E+00, 4.812E-02, 3.085E+00
 9.275E+00, 4.812E-02, 3.016E+00
 9.287E+00, 4.812E-02, 2.967E+00
 9.299E+00, 4.812E-02, 2.950E+00
 9.311E+00, 4.812E-02, 2.973E+00
 9.322E+00, 4.812E-02, 3.040E+00
 9.334E+00, 4.812E-02, 3.146E+00
 9.346E+00, 4.812E-02, 3.281E+00
 9.358E+00, 4.812E-02, 3.430E+00
 9.370E+00, 4.812E-02, 3.572E+00
 9.382E+00, 4.812E-02, 3.686E+00
 9.394E+00, 4.812E-02, 3.757E+00
 9.406E+00, 4.812E-02, 3.776E+00
 9.418E+00, 4.812E-02, 3.747E+00
 9.430E+00, 4.812E-02, 3.681E+00
 9.442E+00, 4.812E-02, 3.596E+00
 9.454E+00, 4.812E-02, 3.513E+00
 9.466E+00, 4.812E-02, 3.447E+00
 9.478E+00, 4.812E-02, 3.411E+00
 9.489E+00, 4.812E-02, 3.410E+00
 9.501E+00, 4.812E-02, 3.440E+00
 9.513E+00, 4.812E-02, 3.495E+00
 9.525E+00, 4.812E-02, 3.562E+00
 9.537E+00, 4.812E-02, 3.629E+00
 9.549E+00, 4.812E-02, 3.682E+00
 9.561E+00, 4.812E-02, 3.712E+00
 9.573E+00, 4.812E-02, 3.714E+00
 9.585E+00, 4.812E-02, 3.687E+00
 9.597E+00, 4.812E-02, 3.635E+00
 9.609E+00, 4.812E-02, 3.563E+00
 9.621E+00, 4.812E-02, 3.481E+00
 9.633E+00, 4.812E-02, 3.398E+00
 9.645E+00, 4.812E-02, 3.321E+00
 9.656E+00, 4.812E-02, 3.257E+00
 9.668E+00, 4.812E-02, 3.208E+00
 9.680E+00, 4.812E-02, 3.177E+00
 9.692E+00, 4.812E-02, 3.162E+00
 9.704E+00, 4.812E-02, 3.158E+00
 9.716E+00, 4.812E-02, 3.162E+00
 9.728E+00, 4.812E-02, 3.166E+00
 9.740E+00, 4.812E-02, 3.166E+00
 9.752E+00, 4.812E-02, 3.159E+00
 9.764E+00, 4.812E-02, 3.143E+00
 9.776E+00, 4.812E-02, 3.117E+00
 9.788E+00, 4.812E-02, 3.081E+00
 9.800E+00, 4.812E-02, 3.038E+00
 9.812E+00, 4.812E-02, 2.988E+00
 9.823E+00, 4.812E-02, 2.933E+00
 9.835E+00, 4.812E-02, 2.876E+00
 9.847E+00, 4.812E-02, 2.818E+00
 9.859E+00, 4.812E-02, 2.758E+00
 9.871E+00, 4.812E-02, 2.698E+00
 9.883E+00, 4.812E-02, 2.635E+00
 9.895E+00, 4.812E-02, 2.570E+00
 9.907E+00, 4.812E-02, 2.501E+00
 9.919E+00, 4.812E-02, 2.429E+00
 9.931E+00, 4.812E-02, 2.355E+00
 9.943E+00, 4.812E-02, 2.282E+00
 9.955E+00, 4.812E-02, 2.213E+00
 9.967E+00, 4.812E-02, 2.150E+00
 9.979E+00, 4.812E-02, 2.095E+00
 9.990E+00, 4.812E-02, 2.051E+00
 1.000E+01, 4.812E-02, 2.019E+00
 1.001E+01, 4.812E-02, 1.998E+00
 1.003E+01, 4.812E-02, 1.991E+00
 1.004E+01, 4.812E-02, 1.997E+00
 1.005E+01, 4.812E-02, 2.016E+00
 1.006E+01, 4.812E-02, 2.047E+00
 1.007E+01, 4.812E-02, 2.089E+00
 1.009E+01, 4.812E-02, 2.139E+00
 1.010E+01, 4.812E-02, 2.191E+00
 1.011E+01, 4.812E-02, 2.239E+00
 1.012E+01, 4.812E-02, 2.277E+00
 1.013E+01, 4.812E-02, 2.299E+00
 1.015E+01, 4.812E-02, 2.301E+00
 1.016E+01, 4.812E-02, 2.279E+00
 1.017E+01, 4.812E-02, 2.234E+00
 1.018E+01, 4.812E-02, 2.168E+00
 1.019E+01, 4.812E-02, 2.087E+00
 1.021E+01, 4.812E-02, 1.995E+00
 1.022E+01, 4.812E-02, 1.899E+00
 1.023E+01, 4.812E-02, 1.806E+00
 1.024E+01, 4.812E-02, 1.721E+00
 1.025E+01, 4.812E-02, 1.651E+00
 1.026E+01, 4.812E-02, 1.600E+00
 1.028E+01, 4.812E-02, 1.571E+00
 1.029E+01, 4.812E-02, 1.566E+00
 1.030E+01, 4.812E-02, 1.581E+00
 1.031E+01, 4.812E-02, 1.616E+00
 1.032E+01, 4.812E-02, 1.668E+00
 1.033E+01, 4.812E-02, 1.735E+00
 1.034E+01, 4.812E-02, 1.814E+00
 1.035E+01, 4.812E-02, 1.900E+00
 1.036E+01, 4.812E-02, 1.991E+00
 1.037E+01, 4.812E-02, 2.083E+00
 1.038E+01, 4.812E-02, 2.171E+00
 1.039E+01, 4.812E-02, 2.250E+00
 1.041E+01, 4.812E-02, 2.317E+00
 1.042E+01, 4.812E-02, 2.368E+00
 1.043E+01, 4.812E-02, 2.400E+00
 1.044E+01, 4.812E-02, 2.410E+00
 1.045E+01, 4.812E-02, 2.398E+00
 1.046E+01, 4.812E-02, 2.367E+00
 1.047E+01, 4.812E-02, 2.317E+00
 1.048E+01, 4.812E-02, 2.254E+00
 1.049E+01, 4.812E-02, 2.182E+00
 1.050E+01, 4.812E-02, 2.107E+00
 1.051E+01, 4.812E-02, 2.034E+00
 1.052E+01, 4.812E-02, 1.967E+00
 1.053E+01, 4.812E-02, 1.911E+00
 1.055E+01, 4.812E-02, 1.866E+00
 1.056E+01, 4.812E-02, 1.833E+00
 1.057E+01, 4.812E-02, 1.811E+00
 1.058E+01, 4.812E-02, 1.800E+00
 1.059E+01, 4.812E-02, 1.797E+00
 1.060E+01, 4.812E-02, 1.801E+00
 1.061E+01, 4.812E-02, 1.813E+00
 1.062E+01, 4.812E-02, 1.832E+00
 1.063E+01, 4.812E-02, 1.866E+00
 1.064E+01, 4.812E-02, 1.916E+00
 1.066E+01, 4.812E-02, 1.983E+00
 1.067E+01, 4.812E-02, 2.068E+00
 1.068E+01, 4.812E-02, 2.169E+00
 1.069E+01, 4.812E-02, 2.267E+00
 1.070E+01, 4.812E-02, 2.367E+00
 1.071E+01, 4.812E-02, 2.467E+00
 1.072E+01, 4.812E-02, 2.558E+00
 1.073E+01, 4.812E-02, 2.638E+00
 1.074E+01, 4.812E-02, 2.702E+00
 1.075E+01, 4.812E-02, 2.747E+00
 1.076E+01, 4.812E-02, 2.771E+00
 1.077E+01, 4.812E-02, 2.774E+00
 1.078E+01, 4.812E-02, 2.755E+00
 1.079E+01, 4.812E-02, 2.718E+00
 1.080E+01, 4.812E-02, 2.664E+00
 1.082E+01, 4.812E-02, 2.599E+00
 1.083E+01, 4.812E-02, 2.526E+00
 1.084E+01, 4.812E-02, 2.453E+00
 1.085E+01, 4.812E-02, 2.385E+00
 1.086E+01, 4.812E-02, 2.326E+00
 1.087E+01, 4.812E-02, 2.282E+00
 1.088E+01, 4.812E-02, 2.253E+00
 1.089E+01, 4.812E-02, 2.241E+00
 1.090E+01, 4.812E-02, 2.246E+00
 1.091E+01, 4.812E-02, 2.265E+00
 1.092E+01, 4.812E-02, 2.295E+00
 1.093E+01, 4.812E-02, 2.334E+00
 1.094E+01, 4.812E-02, 2.377E+00
 1.095E+01, 4.812E-02, 2.420E+00
 1.096E+01, 4.812E-02, 2.461E+00
 1.097E+01, 4.812E-02, 2.496E+00
 1.098E+01, 4.812E-02, 2.526E+00
 1.100E+01, 4.812E-02, 2.544E+00
 1.101E+01, 4.812E-02, 2.551E+00
 1.102E+01, 4.812E-02, 2.548E+00
 1.103E+01, 4.812E-02, 2.536E+00
 1.104E+01, 4.812E-02, 2.517E+00
 1.105E+01, 4.812E-02, 2.493E+00
 1.106E+01, 4.812E-02, 2.467E+00
 1.108E+01, 4.812E-02, 2.439E+00
 1.109E+01, 4.812E-02, 2.414E+00
 1.110E+01, 4.812E-02, 2.389E+00
 1.111E+01, 4.812E-02, 2.366E+00
 1.112E+01, 4.812E-02, 2.346E+00
 1.113E+01, 4.812E-02, 2.331E+00
 1.114E+01, 4.812E-02, 2.322E+00
 1.115E+01, 4.812E-02, 2.324E+00
 1.116E+01, 4.812E-02, 2.338E+00
 1.117E+01, 4.812E-02, 2.367E+00
 1.118E+01, 4.812E-02, 2.413E+00
 1.119E+01, 4.812E-02, 2.476E+00
 1.120E+01, 4.812E-02, 2.555E+00
 1.121E+01, 4.812E-02, 2.647E+00
 1.122E+01, 4.812E-02, 2.746E+00
 1.123E+01, 4.812E-02, 2.855E+00
 1.124E+01, 4.812E-02, 2.950E+00
 1.125E+01, 4.812E-02, 3.022E+00
 1.127E+01, 4.812E-02, 3.062E+00
 1.128E+01, 4.812E-02, 3.066E+00
 1.129E+01, 4.812E-02, 3.040E+00
 1.130E+01, 4.812E-02, 2.994E+00
 1.131E+01, 4.812E-02, 2.942E+00
 1.132E+01, 4.812E-02, 2.898E+00
 1.133E+01, 4.812E-02, 2.879E+00
 1.135E+01, 4.812E-02, 2.894E+00
 1.136E+01, 4.812E-02, 2.949E+00
 1.137E+01, 4.812E-02, 3.045E+00
 1.138E+01, 4.812E-02, 3.177E+00
 1.139E+01, 4.812E-02, 3.348E+00
 1.140E+01, 4.812E-02, 3.522E+00
 1.142E+01, 4.812E-02, 3.668E+00
 1.143E+01, 4.812E-02, 3.758E+00
 1.144E+01, 4.812E-02, 3.771E+00
 1.145E+01, 4.812E-02, 3.701E+00
 1.147E+01, 4.812E-02, 3.560E+00
 1.148E+01, 4.812E-02, 3.372E+00
 1.149E+01, 4.812E-02, 3.173E+00
 1.150E+01, 4.812E-02, 2.996E+00
 1.152E+01, 4.812E-02, 2.867E+00
 1.153E+01, 4.812E-02, 2.806E+00
 1.154E+01, 4.812E-02, 2.798E+00
 1.155E+01, 4.812E-02, 2.840E+00
 1.156E+01, 4.812E-02, 2.926E+00
 1.157E+01, 4.812E-02, 3.044E+00
 1.158E+01, 4.812E-02, 3.182E+00
 1.159E+01, 4.812E-02, 3.328E+00
 1.161E+01, 4.812E-02, 3.466E+00
 1.162E+01, 4.812E-02, 3.585E+00
 1.163E+01, 4.812E-02, 3.673E+00
 1.164E+01, 4.812E-02, 3.722E+00
 1.165E+01, 4.812E-02, 3.729E+00
 1.166E+01, 4.812E-02, 3.694E+00
 1.167E+01, 4.812E-02, 3.624E+00
 1.168E+01, 4.812E-02, 3.529E+00
 1.170E+01, 4.812E-02, 3.421E+00
 1.171E+01, 4.812E-02, 3.315E+00
 1.172E+01, 4.812E-02, 3.223E+00
 1.173E+01, 4.812E-02, 3.154E+00
 1.174E+01, 4.812E-02, 3.112E+00
 1.175E+01, 4.812E-02, 3.097E+00
 1.176E+01, 4.812E-02, 3.106E+00
 1.177E+01, 4.812E-02, 3.131E+00
 1.178E+01, 4.812E-02, 3.165E+00
 1.180E+01, 4.812E-02, 3.198E+00
 1.181E+01, 4.812E-02, 3.224E+00
 1.182E+01, 4.812E-02, 3.237E+00
 1.183E+01, 4.812E-02, 3.233E+00
 1.184E+01, 4.812E-02, 3.211E+00
 1.185E+01, 4.812E-02, 3.174E+00
 1.186E+01, 4.812E-02, 3.124E+00
 1.187E+01, 4.812E-02, 3.068E+00
 1.189E+01, 4.812E-02, 3.009E+00
 1.190E+01, 4.812E-02, 2.955E+00
 1.191E+01, 4.812E-02, 2.908E+00
 1.192E+01, 4.812E-02, 2.869E+00
 1.193E+01, 4.812E-02, 2.839E+00
 1.194E+01, 4.812E-02, 2.814E+00
 1.195E+01, 4.812E-02, 2.792E+00
 1.196E+01, 4.812E-02, 2.770E+00
 1.197E+01, 4.812E-02, 2.745E+00
 1.199E+01, 4.812E-02, 2.715E+00
 1.200E+01, 4.812E-02, 2.682E+00
 1.201E+01, 4.812E-02, 2.645E+00
 1.202E+01, 4.812E-02, 2.605E+00
 1.203E+01, 4.812E-02, 2.565E+00
 1.204E+01, 4.812E-02, 2.526E+00
 1.205E+01, 4.812E-02, 2.491E+00
 1.206E+01, 4.812E-02, 2.461E+00
 1.208E+01, 4.812E-02, 2.437E+00
 1.209E+01, 4.812E-02, 2.423E+00
 1.210E+01, 4.812E-02, 2.419E+00
 1.211E+01, 4.812E-02, 2.429E+00
 1.212E+01, 4.812E-02, 2.455E+00
 1.213E+01, 4.812E-02, 2.497E+00
 1.214E+01, 4.812E-02, 2.559E+00
 1.215E+01, 4.812E-02, 2.639E+00
 1.216E+01, 4.812E-02, 2.738E+00
 1.218E+01, 4.812E-02, 2.851E+00
 1.219E+01, 4.812E-02, 2.972E+00
 1.220E+01, 4.812E-02, 3.094E+00
 1.221E+01, 4.812E-02, 3.206E+00
 1.222E+01, 4.812E-02, 3.302E+00
 1.223E+01, 4.812E-02, 3.374E+00
 1.224E+01, 4.812E-02, 3.420E+00
 1.225E+01, 4.812E-02, 3.439E+00
 1.227E+01, 4.812E-02, 3.434E+00
 1.228E+01, 4.812E-02, 3.406E+00
 1.229E+01, 4.812E-02, 3.361E+00
 1.230E+01, 4.812E-02, 3.302E+00
 1.231E+01, 4.812E-02, 3.236E+00
 1.232E+01, 4.812E-02, 3.167E+00
 1.233E+01, 4.812E-02, 3.100E+00
 1.234E+01, 4.812E-02, 3.039E+00
 1.235E+01, 4.812E-02, 2.990E+00
 1.237E+01, 4.812E-02, 2.953E+00
 1.238E+01, 4.812E-02, 2.929E+00
 1.239E+01, 4.812E-02, 2.919E+00
 1.240E+01, 4.812E-02, 2.922E+00
 1.241E+01, 4.812E-02, 2.937E+00
 1.242E+01, 4.812E-02, 2.965E+00
 1.244E+01, 4.812E-02, 3.006E+00
 1.245E+01, 4.812E-02, 3.058E+00
 1.246E+01, 4.812E-02, 3.119E+00
 1.247E+01, 4.812E-02, 3.184E+00
 1.248E+01, 4.812E-02, 3.248E+00
 1.250E+01, 4.812E-02, 3.304E+00
 1.251E+01, 4.812E-02, 3.346E+00
 1.252E+01, 4.812E-02, 3.369E+00
 1.253E+01, 4.812E-02, 3.370E+00
 1.255E+01, 4.812E-02, 3.352E+00
 1.256E+01, 4.812E-02, 3.317E+00
 1.257E+01, 4.812E-02, 3.272E+00
 1.258E+01, 4.812E-02, 3.224E+00
 1.260E+01, 4.812E-02, 3.176E+00
 1.261E+01, 4.812E-02, 3.136E+00
 1.262E+01, 4.812E-02, 3.105E+00
 1.263E+01, 4.812E-02, 3.086E+00
 1.264E+01, 4.812E-02, 3.081E+00
 1.266E+01, 4.812E-02, 3.087E+00
 1.267E+01, 4.812E-02, 3.106E+00
 1.268E+01, 4.812E-02, 3.136E+00
 1.269E+01, 4.812E-02, 3.169E+00
 1.270E+01, 4.812E-02, 3.207E+00
 1.271E+01, 4.812E-02, 3.247E+00
 1.273E+01, 4.812E-02, 3.289E+00
 1.274E+01, 4.812E-02, 3.329E+00
 1.275E+01, 4.812E-02, 3.368E+00
 1.276E+01, 4.812E-02, 3.404E+00
 1.277E+01, 4.812E-02, 3.437E+00
 1.278E+01, 4.812E-02, 3.466E+00
 1.279E+01, 4.812E-02, 3.489E+00
 1.280E+01, 4.812E-02, 3.505E+00
 1.281E+01, 4.812E-02, 3.513E+00
 1.282E+01, 4.812E-02, 3.512E+00
 1.283E+01, 4.812E-02, 3.503E+00
 1.285E+01, 4.812E-02, 3.486E+00
 1.286E+01, 4.812E-02, 3.464E+00
 1.287E+01, 4.812E-02, 3.440E+00
 1.288E+01, 4.812E-02, 3.416E+00
 1.289E+01, 4.812E-02, 3.397E+00
 1.290E+01, 4.812E-02, 3.386E+00
 1.291E+01, 4.812E-02, 3.384E+00
 1.292E+01, 4.812E-02, 3.391E+00
 1.293E+01, 4.812E-02, 3.406E+00
 1.294E+01, 4.812E-02, 3.426E+00
 1.295E+01, 4.812E-02, 3.447E+00
 1.297E+01, 4.812E-02, 3.468E+00
 1.298E+01, 4.812E-02, 3.485E+00
 1.299E+01, 4.812E-02, 3.496E+00
 1.300E+01, 4.812E-02, 3.499E+00
 1.301E+01, 4.812E-02, 3.489E+00
 1.302E+01, 4.812E-02, 3.464E+00
 1.303E+01, 4.812E-02, 3.423E+00
 1.304E+01, 4.812E-02, 3.367E+00
 1.305E+01, 4.812E-02, 3.297E+00
 1.306E+01, 4.812E-02, 3.218E+00
 1.308E+01, 4.812E-02, 3.134E+00
 1.309E+01, 4.812E-02, 3.047E+00
 1.310E+01, 4.812E-02, 2.960E+00
 1.311E+01, 4.812E-02, 2.875E+00
 1.312E+01, 4.812E-02, 2.793E+00
 1.313E+01, 4.812E-02, 2.714E+00
 1.314E+01, 4.812E-02, 2.640E+00
 1.315E+01, 4.812E-02, 2.574E+00
 1.316E+01, 4.812E-02, 2.515E+00
 1.317E+01, 4.812E-02, 2.466E+00
 1.318E+01, 4.812E-02, 2.426E+00
 1.320E+01, 4.812E-02, 2.394E+00
 1.321E+01, 4.812E-02, 2.368E+00
 1.322E+01, 4.812E-02, 2.347E+00
 1.323E+01, 4.812E-02, 2.328E+00
 1.324E+01, 4.812E-02, 2.310E+00
 1.325E+01, 4.812E-02, 2.292E+00
 1.326E+01, 4.812E-02, 2.274E+00
 1.327E+01, 4.812E-02, 2.256E+00
 1.328E+01, 4.812E-02, 2.238E+00
 1.329E+01, 4.812E-02, 2.217E+00
 1.331E+01, 4.812E-02, 2.194E+00
 1.332E+01, 4.812E-02, 2.168E+00
 1.333E+01, 4.812E-02, 2.137E+00
 1.334E+01, 4.812E-02, 2.102E+00
 1.335E+01, 4.812E-02, 2.065E+00
 1.336E+01, 4.812E-02, 2.026E+00
 1.337E+01, 4.812E-02, 1.990E+00
 1.338E+01, 4.812E-02, 1.956E+00
 1.339E+01, 4.812E-02, 1.929E+00
 1.340E+01, 4.812E-02, 1.909E+00
 1.341E+01, 4.812E-02, 1.897E+00
 1.343E+01, 4.812E-02, 1.895E+00
 1.344E+01, 4.812E-02, 1.903E+00
 1.345E+01, 4.812E-02, 1.922E+00
 1.346E+01, 4.812E-02, 1.952E+00
 1.347E+01, 4.812E-02, 1.993E+00
 1.348E+01, 4.812E-02, 2.045E+00
 1.349E+01, 4.812E-02, 2.104E+00
 1.350E+01, 4.812E-02, 2.168E+00
 1.351E+01, 4.812E-02, 2.232E+00
 1.352E+01, 4.812E-02, 2.289E+00
 1.354E+01, 4.812E-02, 2.334E+00
 1.355E+01, 4.812E-02, 2.363E+00
 1.356E+01, 4.812E-02, 2.371E+00
 1.357E+01, 4.812E-02, 2.357E+00
 1.358E+01, 4.812E-02, 2.322E+00
 1.359E+01, 4.812E-02, 2.269E+00
 1.360E+01, 4.812E-02, 2.201E+00
 1.361E+01, 4.812E-02, 2.124E+00
 1.362E+01, 4.812E-02, 2.043E+00
 1.363E+01, 4.812E-02, 1.966E+00
 1.364E+01, 4.812E-02, 1.897E+00
 1.366E+01, 4.812E-02, 1.842E+00
 1.367E+01, 4.812E-02, 1.803E+00
 1.368E+01, 4.812E-02, 1.784E+00
 1.369E+01, 4.812E-02, 1.787E+00
 1.370E+01, 4.812E-02, 1.813E+00
 1.371E+01, 4.812E-02, 1.860E+00
 1.372E+01, 4.812E-02, 1.928E+00
 1.373E+01, 4.812E-02, 2.015E+00
 1.374E+01, 4.812E-02, 2.118E+00
 1.375E+01, 4.812E-02, 2.234E+00
 1.376E+01, 4.812E-02, 2.357E+00
 1.378E+01, 4.812E-02, 2.484E+00
 1.379E+01, 4.812E-02, 2.606E+00
 1.380E+01, 4.812E-02, 2.718E+00
 1.381E+01, 4.812E-02, 2.812E+00
 1.382E+01, 4.812E-02, 2.882E+00
 1.383E+01, 4.812E-02, 2.922E+00
 1.384E+01, 4.812E-02, 2.929E+00
 1.385E+01, 4.812E-02, 2.901E+00
 1.386E+01, 4.812E-02, 2.842E+00
 1.387E+01, 4.812E-02, 2.759E+00
 1.389E+01, 4.812E-02, 2.661E+00
 1.390E+01, 4.812E-02, 2.559E+00
 1.391E+01, 4.812E-02, 2.465E+00
 1.392E+01, 4.812E-02, 2.389E+00
 1.393E+01, 4.812E-02, 2.339E+00
 1.394E+01, 4.812E-02, 2.320E+00
 1.395E+01, 4.812E-02, 2.330E+00
 1.396E+01, 4.812E-02, 2.368E+00
 1.397E+01, 4.812E-02, 2.427E+00
 1.398E+01, 4.812E-02, 2.503E+00
 1.399E+01, 4.812E-02, 2.588E+00
 1.401E+01, 4.812E-02, 2.676E+00
 1.402E+01, 4.812E-02, 2.759E+00
 1.403E+01, 4.812E-02, 2.832E+00
 1.404E+01, 4.812E-02, 2.889E+00
 1.405E+01, 4.812E-02, 2.924E+00
 1.406E+01, 4.812E-02, 2.934E+00
 1.407E+01, 4.812E-02, 2.919E+00
 1.408E+01, 4.812E-02, 2.879E+00
 1.409E+01, 4.812E-02, 2.819E+00
 1.410E+01, 4.812E-02, 2.745E+00
 1.412E+01, 4.812E-02, 2.664E+00
 1.413E+01, 4.812E-02, 2.586E+00
