s,m/s
Time,"w"
 1.8241884E+000, 3.2756003E+000
 1.8261575E+000, 3.2868843E+000
 1.8281267E+000, 3.3026178E+000
 1.8300958E+000, 3.3211020E+000
 1.8320649E+000, 3.3381551E+000
 1.8340341E+000, 3.3476078E+000
 1.8362001E+000, 3.3464505E+000
 1.8383662E+000, 3.3335849E+000
 1.8405322E+000, 3.3097070E+000
 1.8426983E+000, 3.2782742E+000
 1.8448643E+000, 3.2457153E+000
 1.8470304E+000, 3.2169493E+000
 1.8491964E+000, 3.1882290E+000
 1.8513625E+000, 3.1666867E+000
 1.8535285E+000, 3.1521797E+000
 1.8556946E+000, 3.1463373E+000
 1.8578606E+000, 3.1506615E+000
 1.8600267E+000, 3.1653399E+000
 1.8621927E+000, 3.1901483E+000
 1.8643588E+000, 3.2208952E+000
 1.8665248E+000, 3.2558705E+000
 1.8686909E+000, 3.2928526E+000
 1.8708569E+000, 3.3262084E+000
 1.8730230E+000, 3.3511066E+000
 1.8751890E+000, 3.3683563E+000
 1.8773551E+000, 3.3739513E+000
 1.8792554E+000, 3.3690362E+000
 1.8811557E+000, 3.3520231E+000
 1.8830560E+000, 3.3263126E+000
 1.8849563E+000, 3.2939574E+000
 1.8868566E+000, 3.2575445E+000
 1.8887569E+000, 3.2180859E+000
 1.8906572E+000, 3.1821836E+000
 1.8925574E+000, 3.1533513E+000
 1.8944577E+000, 3.1368567E+000
 1.8963580E+000, 3.1348384E+000
 1.8982583E+000, 3.1499229E+000
 1.9001586E+000, 3.1778965E+000
 1.9020589E+000, 3.2188904E+000
 1.9041493E+000, 3.2738232E+000
 1.9062396E+000, 3.3288212E+000
 1.9083299E+000, 3.3869341E+000
 1.9104202E+000, 3.4406046E+000
 1.9125106E+000, 3.4891944E+000
 1.9146009E+000, 3.5253284E+000
 1.9166912E+000, 3.5478278E+000
 1.9187815E+000, 3.5573213E+000
 1.9208719E+000, 3.5507964E+000
 1.9229622E+000, 3.5349268E+000
 1.9247713E+000, 3.5163243E+000
 1.9265804E+000, 3.4983792E+000
 1.9283896E+000, 3.4784680E+000
 1.9301987E+000, 3.4555764E+000
 1.9320078E+000, 3.4327914E+000
 1.9338170E+000, 3.4176620E+000
 1.9356261E+000, 3.4058930E+000
 1.9374352E+000, 3.3975753E+000
 1.9392443E+000, 3.3898408E+000
 1.9410535E+000, 3.3802464E+000
 1.9430435E+000, 3.3722474E+000
 1.9450335E+000, 3.3658163E+000
 1.9470236E+000, 3.3601592E+000
 1.9490136E+000, 3.3544339E+000
 1.9510037E+000, 3.3479075E+000
 1.9529937E+000, 3.3392235E+000
 1.9549837E+000, 3.3276387E+000
 1.9569738E+000, 3.3135367E+000
 1.9589638E+000, 3.2956916E+000
 1.9609539E+000, 3.2742304E+000
 1.9629439E+000, 3.2513009E+000
 1.9649339E+000, 3.2281970E+000
 1.9669240E+000, 3.2048895E+000
 1.9689140E+000, 3.1834542E+000
 1.9709041E+000, 3.1630009E+000
 1.9728941E+000, 3.1440313E+000
 1.9748841E+000, 3.1272649E+000
 1.9768742E+000, 3.1134733E+000
 1.9788642E+000, 3.1042487E+000
 1.9808543E+000, 3.0990590E+000
 1.9828443E+000, 3.0978351E+000
 1.9848343E+000, 3.1000121E+000
 1.9868244E+000, 3.1025278E+000
 1.9888144E+000, 3.1028719E+000
