cm,kW/m,kW/m,cm,K,K,K,K,K,K,K,K,K,K,K,K,cm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
z,RHRRPUL,RHRRPUL_rms,r,T_1p0D,T_1p5D,T_2p0D,T_2p5D,T_3p0D,T_3p5D,T_rms_1p0D,T_rms_1p5D,T_rms_2p0D,T_rms_2p5D,T_rms_3p0D,T_rms_3p5D,x,soot_0p5D,soot_1p0D,soot_1p5D,soot_2p5D,soot_3p5D,soot_rms_0p5D,soot_rms_1p0D,soot_rms_1p5D,soot_rms_2p5D,soot_rms_3p5D
 1.5409091E+001, 1.0556438E+001, 1.0366181E+001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.6807229E+000, 6.2524547E-002, 3.0257818E-001, 2.8211901E-001, 1.2329932E-001, 9.9634208E-002, 7.8201982E-002, 5.1956622E-001, 4.4573063E-001, 1.4467585E-001, 8.3228252E-002
 1.5906061E+001, 1.0941229E+001, 1.0761644E+001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.1867470E+000, 8.9019986E-002, 3.4863221E-001, 3.2080666E-001, 1.3773518E-001, 1.0800533E-001, 9.6538201E-002, 5.5625694E-001, 4.8069871E-001, 1.6932146E-001, 9.6205765E-002
 1.6403030E+001, 1.1323064E+001, 1.1158820E+001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.6927711E+000, 1.2974072E-001, 3.8625617E-001, 3.5403679E-001, 1.5484428E-001, 1.1507890E-001, 1.4451304E-001, 5.8881540E-001, 5.1023096E-001, 2.0420566E-001, 1.0563841E-001
 1.6900000E+001, 1.1682765E+001, 1.1509318E+001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.1987952E+000, 1.9575740E-001, 4.2782638E-001, 3.7807911E-001, 1.6976748E-001, 1.1959659E-001, 2.5998738E-001, 6.2374007E-001, 5.3069162E-001, 2.2511772E-001, 1.0708412E-001
 1.7396970E+001, 1.2004792E+001, 1.1804301E+001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.7048193E+000, 2.8583014E-001, 4.7508692E-001, 4.0073692E-001, 1.7778868E-001, 1.2251049E-001, 3.9841624E-001, 6.6226031E-001, 5.4132879E-001, 2.1860318E-001, 1.0658114E-001
 1.7893939E+001, 1.2310293E+001, 1.2118067E+001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.2108434E+000, 4.4451713E-001, 5.4510296E-001, 4.2956596E-001, 1.8774935E-001, 1.2349635E-001, 5.9313435E-001, 7.0107807E-001, 5.5623868E-001, 2.2294261E-001, 1.0168415E-001
 1.8390909E+001, 1.2575490E+001, 1.2424529E+001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.7168675E+000, 6.7829546E-001, 6.4909793E-001, 4.7806902E-001, 1.9613249E-001, 1.2367068E-001, 7.7915136E-001, 7.3934708E-001, 5.8253682E-001, 2.3933302E-001, 9.2001555E-002
 1.8887879E+001, 1.2798430E+001, 1.2731778E+001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.2228916E+000, 9.6538976E-001, 7.8129841E-001, 5.3571187E-001, 2.0020834E-001, 1.2497449E-001, 8.9202776E-001, 7.7330636E-001, 6.1834106E-001, 2.4598430E-001, 9.3309340E-002
 1.9384848E+001, 1.2972636E+001, 1.3025849E+001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.7289157E+000, 1.2932681E+000, 9.1719089E-001, 5.8433024E-001, 2.0420310E-001, 1.2724578E-001, 8.9342778E-001, 8.0026463E-001, 6.4136514E-001, 2.5066500E-001, 1.0203394E-001
 1.9881818E+001, 1.3081373E+001, 1.3262376E+001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.2349398E+000, 1.6327675E+000, 1.0365925E+000, 6.0377126E-001, 2.0598348E-001, 1.2948265E-001, 7.4641339E-001, 8.0367122E-001, 6.4578819E-001, 2.4698542E-001, 1.0554507E-001
