cm,K,K,cm,K,K,K,K,K,K,K,K,K,K,cm,cm,kW/m2,kW/m2,kW/m2,kW/m2,cm,kW/m2
z,T_CL,T_CL_RMS,r,T_20,T_20_RMS,T_60,T_60_RMS,T_100,T_100_RMS,T_140,T_140_RMS,T_180,T_180_RMS,r2,HF_00-y,HF_00,HF_41,HF_61,HF_81,z2,HF_207
 6.6500000E+001, 1.2071196E+003, 1.7821920E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.9984000E+002, 6.6670000E+000, 1.7561344E-001, 8.6959997E-001, 9.0340689E-001, 8.5502338E-001, 1.4850000E+002, 6.0443704E-001
 6.8500000E+001, 1.1988333E+003, 1.8291937E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.0432000E+002, 6.8660000E+000, 1.5713816E-001, 7.9454003E-001, 8.2784887E-001, 7.8825948E-001, 1.5300000E+002, 5.9166186E-001
 7.0500000E+001, 1.1897578E+003, 1.8752820E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.0880000E+002, 7.0650000E+000, 1.4876507E-001, 7.6059846E-001, 7.9251568E-001, 7.5758581E-001, 1.5750000E+002, 5.7894844E-001
 7.2500000E+001, 1.1800914E+003, 1.9223620E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.1328000E+002, 7.2640000E+000, 1.4091052E-001, 7.2884212E-001, 7.5867030E-001, 7.2855813E-001, 1.6200000E+002, 5.6632403E-001
 7.4500000E+001, 1.1699881E+003, 1.9698438E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.1776000E+002, 7.4630000E+000, 1.3353612E-001, 6.9912558E-001, 7.2622316E-001, 7.0106121E-001, 1.6650000E+002, 5.5374933E-001
 7.6500000E+001, 1.1594744E+003, 2.0167896E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.2224000E+002, 7.6620000E+000, 1.2660670E-001, 6.7131087E-001, 6.9509709E-001, 6.7498359E-001, 1.7100000E+002, 5.4112648E-001
 7.8500000E+001, 1.1485817E+003, 2.0615514E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.2672000E+002, 7.8610000E+000, 1.2009028E-001, 6.4526711E-001, 6.6522540E-001, 6.5021788E-001, 1.7550000E+002, 5.2839353E-001
 8.0500000E+001, 1.1376424E+003, 2.1008307E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.3120000E+002, 8.0600000E+000, 1.2017244E-001, 6.3558608E-001, 6.5133163E-001, 6.4070419E-001, 1.8000000E+002, 5.1556494E-001
 8.2500000E+001, 1.1268178E+003, 2.1323012E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.3568000E+002, 8.2590000E+000, 1.1439130E-001, 6.1342519E-001, 6.2466822E-001, 6.1889191E-001,NaN,NaN
 8.4500000E+001, 1.1160041E+003, 2.1579935E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.4016000E+002, 8.4580000E+000, 1.0377801E-001, 5.7308037E-001, 5.7447792E-001, 5.7807317E-001,NaN,NaN
