time(sec),flameHeight(cm)
-3.52869,59.5417
-3.52635,59.9583
-3.52446,59.9584
-3.52215,60.5834
-3.52026,60.5834
-3.51795,59.9584
-3.51606,59.9583
-3.51372,26.625
-3.5118,27.0418
-3.50941,27.0418
-3.50741,27.4584
-3.50495,27.4584
-3.50288,27.4584
-3.50034,27.875
-3.49826,27.875
-3.49577,27.875
-3.49369,28.2917
-3.49115,28.2917
-3.48899,28.2917
-3.48636,28.2917
-3.4841,28.2917
-3.48135,27.8751
-3.47909,27.4584
-3.47633,26.6251
-3.47406,27.0417
-3.4713,27.4584
-3.46894,27.875
-3.46603,28.2917
-3.46355,28.7083
-3.46051,29.1249
-3.45793,29.5416
-3.45495,30.375
-3.45239,30.375
-3.44944,31.2083
-3.44695,31.625
-3.44424,32.0417
-3.44187,32.4583
-3.43916,32.4583
-3.43683,33.2917
-3.43418,33.7083
-3.43196,33.7083
-3.42939,34.1249
-3.42719,34.5416
-3.42485,34.5416
-3.42279,34.5417
-3.42038,34.9583
-3.41828,34.5416
-3.41573,34.5417
-3.41367,34.9583
-3.41113,35.375
-3.40912,35.375
-3.40659,35.7917
-3.40449,34.5417
-3.40192,34.9583
-3.39969,35.375
-3.39717,35.7917
-3.39513,35.7917
-3.3927,36.2083
-3.39069,36.625
-3.38838,36.6251
-3.38645,37.4583
-3.38411,37.8751
-3.38215,38.7083
-3.37986,39.125
-3.37786,39.9583
-3.37547,40.7916
-3.37345,41.6249
-3.37109,42.4583
-3.36922,43.2916
-3.36698,43.7083
-3.36515,44.125
-3.36293,44.9584
-3.36107,45.375
-3.3589,45.7917
-3.3571,46.6251
-3.35498,47.0417
-3.35324,47.0417
-3.35115,47.4584
-3.34944,47.875
-3.34738,48.2917
-3.3457,48.7083
-3.34369,49.1249
-3.34206,49.5416
-3.34008,49.9584
-3.33848,50.3751
-3.33653,50.7917
-3.33496,51.2083
-3.33305,51.625
-3.33151,52.0418
-3.32962,52.4584
-3.3281,52.875
-3.32621,53.2917
-3.3247,53.7083
-3.32286,54.1249
-3.3214,54.1249
-3.31961,54.5416
-3.31819,53.7083
-3.31645,54.5416
-3.31506,54.5417
-3.31336,54.9583
-3.312,55.375
-3.31033,55.7916
-3.309,56.2084
-3.30736,56.625
-3.30604,56.625
-3.3044,57.0417
-3.30307,57.4584
-3.30142,57.8751
-3.30005,58.2917
-3.29844,58.7083
-3.2971,59.125
-3.29554,59.5417
-3.29421,59.9584
-3.29267,59.9584
-3.29132,60.5834
-3.28975,60.5834
-3.28837,61.4167
-3.28677,61.4167
-3.28542,59.125
-3.28383,54.9583
-3.2825,55.375
-3.28093,55.375
-3.27961,54.9583
-3.27805,54.9583
-3.27674,55.3749
-3.2752,55.7916
-3.27391,55.7916
-3.2724,56.2084
-3.27113,55.7916
-3.26964,55.7916
-3.26839,55.375
-3.2669,55.7916
-3.26565,56.2083
-3.26416,56.2083
-3.26291,55.3749
-3.26141,44.5416
-3.26013,44.9583
-3.25861,44.9583
-3.25731,45.375
-3.25577,45.7917
-3.25446,45.7917
-3.25291,46.2083
-3.25159,46.2084
-3.25003,46.625
-3.24872,47.0417
-3.24722,47.4584
-3.24595,47.875
-3.24445,48.2917
-3.24315,48.7083
-3.24165,48.7083
-3.24026,22.875
-3.2386,22.4584
-3.23719,22.0417
-3.23551,21.625
-3.23405,21.2084
-3.23238,21.2084
-3.23091,20.7917
-3.22926,20.7917
-3.22781,20.375
-3.22619,20.375
-3.22475,20.375
-3.22314,19.9584
-3.22174,19.9584
-3.22013,19.9584
-3.21875,20.3751
-3.21715,20.3751
-3.2158,20.3751
-3.21421,20.3751
-3.21288,20.7917
-3.21131,20.7917
-3.20999,20.7917
-3.20848,20.7917
-3.20706,21.2084
-3.20548,21.2084
-3.2039,21.2084
-3.20217,21.625
-3.20045,21.625
-3.19857,22.0418
-3.19679,22.0418
-3.19484,22.4584
-3.19297,22.4584
-3.19091,22.4584
-3.18889,22.875
-3.18676,22.875
-3.1847,23.2917
-3.18254,22.875
-3.18045,17.8751
-3.17829,18.2917
-3.17616,18.7084
-3.17397,19.125
-3.17178,19.5416
-3.16951,20.375
-3.16722,20.7917
-3.16483,21.2084
-3.16253,21.625
-3.16014,22.4584
-3.15782,22.875
-3.15541,23.2917
-3.15309,24.1249
-3.15065,24.5416
-3.14831,24.9583
-3.14584,25.7917
-3.14345,26.2083
-3.14092,26.625
-3.13846,27.0417
-3.13584,27.4584
-3.13335,27.4584
-3.13067,28.2917
-3.12829,28.7083
-3.12567,29.1249
-3.12336,29.5416
-3.12071,29.9583
-3.11811,30.3749
-3.11558,30.7916
-3.11304,30.7916
-3.11059,30.7916
-3.10811,30.7916
-3.1057,31.2083
-3.10332,31.625
-3.10072,31.625
-3.09828,32.0416
-3.09569,32.4583
-3.09325,32.4583
-3.09069,32.875
-3.08827,32.875
-3.08577,33.2917
-3.08338,33.7083
-3.08096,34.125
-3.0787,34.5417
-3.07638,34.5417
-3.07418,35.375
-3.0719,35.7917
-3.06968,36.2084
-3.06738,36.625
-3.06509,37.0417
-3.06284,37.8751
-3.0607,38.2917
-3.05853,38.7083
-3.0565,39.125
-3.05435,39.5416
-3.05233,39.9582
-3.05016,40.375
-3.0481,40.7916
-3.04583,41.6249
-3.04384,41.6249
-3.04165,41.6249
-3.03972,41.6249
-3.03758,42.0417
-3.03565,42.0417
-3.03358,42.4583
-3.03164,42.0416
-3.02954,42.4583
-3.02767,42.875
-3.0257,42.875
-3.02385,43.2916
-3.0219,43.2917
-3.02014,43.7084
-3.01823,44.125
-3.01663,44.5417
-3.01466,44.9583
-3.01309,45.375
-3.01112,45.7917
-3.0095,46.2084
-3.00762,46.625
-3.00613,46.6251
-3.00429,47.0417
-3.00282,47.4584
-3.00095,48.7083
-2.99952,49.125
-2.99771,49.9584
-2.99626,50.3751
-2.99446,51.2083
-2.99292,51.625
-2.99121,52.0417
-2.98971,52.4584
-2.98802,52.875
-2.98631,53.2917
-2.98436,53.7083
-2.98267,54.1249
-2.98072,54.9583
-2.97902,55.3749
-2.97707,55.7916
-2.97538,56.2084
-2.97346,57.0417
-2.97179,57.4584
-2.96989,57.875
-2.96829,58.2917
-2.96645,58.7083
-2.96488,59.1249
-2.96307,59.5417
-2.96151,59.9584
-2.95968,59.9583
-2.95812,60.5834
-2.95628,60.5834
-2.95466,61.4167
-2.95278,61.4167
-2.95112,62.2501
-2.94928,63.0833
-2.94769,63.0833
-2.94593,63.9167
-2.94442,63.9167
-2.9427,64.75
-2.94125,64.75
-2.93956,65.5833
-2.93813,65.5833
-2.93646,66.4167
-2.93505,66.4166
-2.9334,64.7499
-2.93198,63.9166
-2.93035,64.7499
-2.92892,63.9167
-2.92728,64.7499
-2.92587,64.7499
-2.92421,64.75
-2.92278,64.75
-2.9211,65.5833
-2.91963,66.4167
-2.91796,66.4167
-2.91646,67.25
-2.91479,68.0833
-2.91331,68.0834
-2.91166,68.9167
-2.91021,69.7502
-2.90857,70.584
-2.90712,70.584
-2.90546,71.416
-2.90405,72.25
-2.90243,72.25
-2.90104,41.2083
-2.89929,40.375
-2.89771,40.375
-2.89592,40.375
-2.8943,40.375
-2.89253,40.375
-2.89098,40.375
-2.8892,40.375
-2.88764,39.9582
-2.88587,39.5416
-2.88429,39.125
-2.88248,38.2917
-2.88083,38.2917
-2.87895,38.7084
-2.8773,38.7084
-2.8754,38.7084
-2.87373,39.125
-2.8718,39.125
-2.87008,39.125
