r (cm),v-bar2 (m/s),v-bar4 (m/s),v-bar6 (m/s),v-bar8 (m/s),v-bar10 (m/s),v-bar12 (m/s),v-bar14 (m/s),v-bar16 (m/s),v-bar18 (m/s),v-bar20 (m/s),v-bar30 (m/s),u-bar2 (m/s),u-bar4 (m/s),u-bar6 (m/s),u-bar8 (m/s),u-bar10 (m/s),u-bar12 (m/s),u-bar14 (m/s),u-bar16 (m/s),u-bar18 (m/s),u-bar20 (m/s),u-bar30 (m/s),T-bar2 (K),T-bar4 (K),T-bar6 (K),T-bar8 (K),T-bar10 (K),T-bar12 (K),T-bar14 (K),T-bar16 (K),T-bar18 (K),T-bar20 (K),T-bar30 (K),v-rms2 (m/s),v-rms4 (m/s),v-rms6 (m/s),v-rms8 (m/s),v-rms10 (m/s),v-rms12 (m/s),v-rms14 (m/s),v-rms16 (m/s),v-rms18 (m/s),v-rms20 (m/s),v-rms30 (m/s),u-rms2 (m/s),u-rms4 (m/s),u-rms6 (m/s),u-rms8 (m/s),u-rms10 (m/s),u-rms12 (m/s),u-rms14 (m/s),u-rms16 (m/s),u-rms18 (m/s),u-rms20 (m/s),u-rms30 (m/s),T-rms2 (K),T-rms4 (K),T-rms6 (K),T-rms8 (K),T-rms10 (K),T-rms12 (K),T-rms14 (K),T-rms16 (K),T-rms18 (K),T-rms20 (K),T-rms30 (K),u'v'2 (m/s)^2,u'v'4 (m/s)^2,u'v'6 (m/s)^2,u'v'8 (m/s)^2,u'v'10 (m/s)^2,u'v'12 (m/s)^2,u'v'14 (m/s)^2,u'v'16 (m/s)^2,u'v'18 (m/s)^2,u'v'20 (m/s)^2,u'v'30 (m/s)^2
5.306122449,-0.188381152,-0.249166419,-0.258011379,-0.250626632,-0.219625134,-0.185511724,-0.151301223,-0.118073532,-0.090160406,-0.065983795,0.000264339,0.187688705,0.465675629,0.769955325,1.064720662,1.32765485,1.549872169,1.737883628,1.890549173,2.018096377,2.127966207,2.46126443,1135.013007,1222.436892,1233.763059,1204.753765,1169.307214,1131.518772,1098.19399,1065.242595,1033.082115,1002.411454,870.6604425,0.300079713,0.304815686,0.305715569,0.315322754,0.329233517,0.346346288,0.364712839,0.385497023,0.410758985,0.432550336,0.543490336,0.234581177,0.333492514,0.409693373,0.494485081,0.588675573,0.674388263,0.743777971,0.810593345,0.872648945,0.926412848,1.096396347,338.8414709,362.4160714,386.1940982,411.5459206,425.6766363,435.6283581,438.1432236,438.5327633,438.7745501,438.1606331,401.7758964,0.008195083,0.023689364,0.029773559,0.037419848,0.044341377,0.061464551,0.079641562,0.098365497,0.118812523,0.135060206,0.202007134
6.12244898,-0.205465562,-0.282224598,-0.30497818,-0.290298405,-0.254215637,-0.212578901,-0.169662345,-0.132584664,-0.101609582,-0.075839345,-0.003564943,0.170691489,0.442443717,0.740625934,1.014579042,1.256503876,1.45651817,1.621570109,1.757948064,1.87076918,1.963486792,2.277938387,1138.688812,1212.591046,1208.673808,1161.080757,1111.023902,1065.164403,1025.113739,990.2369735,958.6059791,930.1749118,814.2945621,0.305359734,0.303204579,0.299116642,0.306018462,0.318034061,0.334586328,0.353693169,0.378719451,0.404899321,0.43015156,0.536519429,0.243193434,0.343177655,0.422215303,0.513612294,0.605290503,0.685317833,0.756654115,0.819897937,0.873660167,0.918804664,1.063022244,350.2450227,384.3540991,411.581497,434.6625646,448.8960231,454.8098732,453.6870345,452.1838456,447.4546607,440.7695937,396.0390692,0.01172317,0.028464448,0.032251361,0.03639377,0.048474747,0.066972252,0.085602994,0.105041791,0.124717765,0.139256113,0.211571123
6.93877551,-0.21708472,-0.316062323,-0.343674557,-0.323488932,-0.279213354,-0.2314448,-0.186210441,-0.144730983,-0.108726852,-0.081191614,-0.011973806,0.153347384,0.416626751,0.695306597,0.949190321,1.166867544,1.345895996,1.49142813,1.610431145,1.709215309,1.789034604,2.073822599,1140.874922,1204.536023,1166.093635,1096.711532,1037.583615,987.1794357,945.2517359,911.2606113,881.8415887,853.8278259,754.3517534,0.308558746,0.300288554,0.291927582,0.293541506,0.301680823,0.318072946,0.34173339,0.368449631,0.397326933,0.423332578,0.51897596,0.247428716,0.346654913,0.432972235,0.528989907,0.618549012,0.695873286,0.765930744,0.821156076,0.868015858,0.910550345,1.024283319,359.5063253,404.4272417,436.1774602,456.5271612,467.4816798,467.6993369,464.8222081,457.637438,448.8551078,439.9367374,384.0963579,0.016327994,0.031463742,0.030368198,0.033716047,0.046200069,0.063410507,0.081819008,0.105526328,0.125635671,0.143873871,0.213460049
7.755102041,-0.222513628,-0.343183579,-0.373683941,-0.344539239,-0.293826985,-0.244460995,-0.196365098,-0.152872647,-0.116114182,-0.087104656,-0.022376211,0.138227458,0.389496578,0.650724094,0.877803916,1.068923219,1.224708487,1.342680334,1.438265444,1.527719721,1.603297578,1.863740365,1145.852752,1188.023384,1113.21295,1019.929502,952.1553067,901.2259313,857.5271148,825.4307718,799.6907683,776.8510845,695.8316488,0.311226147,0.295075612,0.281573022,0.277243214,0.283574626,0.303666052,0.326010598,0.352099811,0.381265424,0.406516099,0.500289269,0.245054935,0.345386164,0.439827,0.538003833,0.625439835,0.699622987,0.761378466,0.813944953,0.854497058,0.885169725,0.984651312,361.862327,421.7424447,458.7160459,472.3635477,476.3776648,470.2641825,461.5566497,450.4146603,439.0048317,428.6189964,368.9316356,0.021154585,0.031959761,0.028615123,0.031313011,0.041873599,0.056482467,0.076723624,0.100049787,0.119811658,0.140542937,0.20736044
8.571428571,-0.224385663,-0.365699886,-0.393093452,-0.354544684,-0.301758421,-0.247029815,-0.195294455,-0.15554985,-0.12191246,-0.094663754,-0.032044006,0.121856279,0.361774747,0.604855326,0.804754719,0.969909088,1.092274591,1.183770155,1.264274597,1.336178478,1.40305119,1.652179118,1148.007831,1161.002914,1047.227035,935.2124549,866.0466708,809.88554,767.3205921,738.3626657,716.6388476,700.7341295,641.6947596,0.311165522,0.285452646,0.267923405,0.25981159,0.27033482,0.288180706,0.307684208,0.334443005,0.357365293,0.382812418,0.481032514,0.240716518,0.341839807,0.442867216,0.539998541,0.620800162,0.685168904,0.735762917,0.780021341,0.814343609,0.841779956,0.931638519,365.0462729,438.7018563,474.4392756,479.3286198,476.0886508,462.0061329,444.6256317,431.031415,417.8603251,407.6694659,350.3150108,0.024366154,0.031357919,0.028037606,0.029456444,0.034558345,0.04780755,0.068475016,0.089636477,0.107982656,0.127066585,0.190256525
9.387755102,-0.223500352,-0.383134892,-0.405214058,-0.362455812,-0.300699324,-0.241603414,-0.192196326,-0.155330548,-0.126367204,-0.102808637,-0.039321387,0.104227518,0.333485306,0.559224771,0.739642754,0.870103455,0.958708496,1.028462773,1.093197284,1.149832255,1.203859772,1.445347491,1150.336885,1124.137544,974.3187523,855.6247666,779.1051188,718.1408049,681.1840399,657.6971942,640.4180142,628.1221001,593.3983364,0.306441254,0.272356801,0.250299054,0.244080544,0.255863402,0.271510724,0.290711429,0.31349661,0.337967174,0.359859248,0.465053707,0.233197173,0.33508416,0.441371023,0.537973179,0.607663037,0.6562752,0.69945497,0.734933618,0.7604439,0.778956708,0.87485997,369.7643607,452.6007356,485.5986125,482.4181244,464.0127753,438.3657176,418.8043481,403.3737432,388.3555534,374.9533738,326.65136,0.02624164,0.030530705,0.026157914,0.025340039,0.029557299,0.044113911,0.060028396,0.077977272,0.092811771,0.105675995,0.175805439
10.20408163,-0.220590758,-0.397317655,-0.414579409,-0.360999455,-0.292323279,-0.232765744,-0.188255032,-0.154389716,-0.126807612,-0.106085124,-0.046556806,0.085161203,0.305919199,0.518687035,0.668573036,0.760338136,0.822738259,0.876482154,0.925847771,0.972932107,1.015955954,1.243076214,1150.733425,1080.293445,900.3479426,772.2979526,686.973566,632.8013927,602.2977338,582.7227608,569.5166417,561.6448814,546.9052052,0.296110844,0.25734485,0.232875843,0.229934059,0.242086225,0.25501989,0.273189653,0.293665421,0.319778053,0.339279132,0.442441192,0.223237323,0.32871929,0.437878113,0.524570852,0.578564552,0.618508179,0.652048781,0.677575223,0.695589643,0.710426107,0.807250317,372.7763361,465.569974,489.1749964,468.465762,432.3020689,404.5924861,382.4470551,363.0617942,346.9300766,334.742829,299.9955443,0.026391597,0.028575198,0.022221942,0.020758403,0.027727184,0.039280527,0.050448976,0.06578369,0.080668607,0.090087089,0.154091058
11.02040816,-0.216089489,-0.411302831,-0.417083713,-0.348197226,-0.279698228,-0.22487975,-0.182856455,-0.151886634,-0.127457271,-0.106461016,-0.055780059,0.065815225,0.285716322,0.479306301,0.589827602,0.649630212,0.693009365,0.725278048,0.761867291,0.800083062,0.835145169,1.050605812,1152.901877,1031.475616,817.9260056,677.2505814,593.855538,550.478854,526.2749457,512.0214334,504.992486,500.8152538,501.9007777,0.28173377,0.24163565,0.217056175,0.219816859,0.227022513,0.238147091,0.254502457,0.272479326,0.300393794,0.319719785,0.413345424,0.208000585,0.320205573,0.426515523,0.500695136,0.538093917,0.565794858,0.585041642,0.599434141,0.615898315,0.634452428,0.740312031,371.0767042,479.3185873,480.711021,434.6153427,387.1453078,355.1163284,329.9768809,311.3502637,300.5514521,291.8389489,271.0018048,0.024481167,0.025751878,0.018399542,0.016932318,0.024118851,0.030799168,0.040364299,0.052744821,0.066672647,0.075834806,0.126521376
11.83673469,-0.207794454,-0.424700314,-0.410919708,-0.332209112,-0.266575211,-0.209460155,-0.172653204,-0.147576155,-0.126317004,-0.108518129,-0.066105794,0.051502076,0.274202609,0.441172964,0.513991005,0.546849804,0.563941083,0.584336091,0.609555124,0.637062395,0.67082138,0.880877577,1157.95456,972.107937,721.2067733,578.5972847,508.7229503,475.2933884,457.7922094,450.6294212,448.8756062,449.8367385,463.5146573,0.266096362,0.227164968,0.208145888,0.210061421,0.213676552,0.222079851,0.236673882,0.251369155,0.27553044,0.299215351,0.386338622,0.190966131,0.30575585,0.406247366,0.463842631,0.485098029,0.49998939,0.506191952,0.514487155,0.531135083,0.551495211,0.665888802,366.9393947,487.6092946,453.323521,382.9621041,329.0043936,293.5226952,269.6029886,255.4868443,250.0901016,249.6333034,242.7474835,0.021903882,0.022944235,0.01551868,0.013287629,0.019167626,0.025165264,0.033186399,0.040561309,0.049956631,0.058886045,0.098079786
12.65306122,-0.196271405,-0.433069449,-0.395191315,-0.312639734,-0.247116513,-0.193629196,-0.162033831,-0.142165662,-0.12517322,-0.11089993,-0.076631806,0.041737157,0.272432315,0.404865941,0.442077478,0.452787308,0.454211642,0.463061408,0.479981024,0.504005538,0.535584643,0.723920947,1162.881643,884.8488545,610.0640474,488.6638172,437.197889,415.5436405,404.7451063,402.1173063,404.6675559,410.0255971,431.8593936,0.250736882,0.217772795,0.201774608,0.195877183,0.197524674,0.205752468,0.216781965,0.232512442,0.253561936,0.275849661,0.360414165,0.17311322,0.290409332,0.380080235,0.415394331,0.424758374,0.431227489,0.434418727,0.4396946,0.453924487,0.473662426,0.585459996,365.8183849,481.0476487,399.7498437,316.6933946,261.2047225,231.6117901,214.1104348,203.4621239,203.7816384,208.4251205,216.1947656,0.018770998,0.020340232,0.013013766,0.010883063,0.015561673,0.020779867,0.027246711,0.030691911,0.03502361,0.04225096,0.074289297
13.46938776,-0.18054208,-0.433263471,-0.373809217,-0.288886252,-0.223484567,-0.178072719,-0.152283443,-0.13645983,-0.124174836,-0.113898227,-0.087403411,0.039183797,0.292338812,0.37992148,0.383934336,0.369050769,0.360873327,0.364916321,0.375513559,0.39545761,0.424170029,0.583407397,1149.459845,753.6344877,497.372688,412.677864,381.5907829,371.4036065,367.3496538,366.7759181,372.1897304,379.7283595,404.4177785,0.235954687,0.213069123,0.194515624,0.182939372,0.182881311,0.191820007,0.19931802,0.21334413,0.231674945,0.251685577,0.33455421,0.157357684,0.279422967,0.353376537,0.367971555,0.366559829,0.367304019,0.36986742,0.377788075,0.390160402,0.408895824,0.512048978,369.2390267,450.4806284,323.6084634,239.2444972,193.8520309,177.310299,167.2312095,161.5624905,165.4109407,172.7043494,190.0709738,0.015367871,0.016581916,0.009875324,0.009042747,0.011728064,0.015981748,0.019260178,0.02203207,0.023881655,0.028130836,0.055673673
14.28571429,-0.164468318,-0.420075445,-0.342644895,-0.260010731,-0.201493224,-0.165212502,-0.14181268,-0.132149044,-0.123187066,-0.114857133,-0.093560755,0.057586412,0.338049404,0.363046535,0.332233535,0.302491082,0.289639609,0.286543613,0.293461222,0.307600354,0.328000982,0.453783611,1049.585808,581.3585707,404.281439,359.6990466,345.5477674,342.1109546,342.0070273,342.5941018,347.4746639,354.9427877,379.6656255,0.22167351,0.206725364,0.184304871,0.172903766,0.170563168,0.175638249,0.18351807,0.193978622,0.208846311,0.226015318,0.309592037,0.146353595,0.279423075,0.335645557,0.335284877,0.324441091,0.320321808,0.319036014,0.323939201,0.337253473,0.353248139,0.44408751,370.6607125,374.1275438,232.2238033,175.0502224,146.6227208,138.2734867,134.2540197,130.1860577,131.7602049,141.0283495,164.2089202,0.010074937,0.011726161,0.005786306,0.006805672,0.008878201,0.012078622,0.013882882,0.014061759,0.015066826,0.017089085,0.039441531
15.10204082,-0.111511937,-0.386867159,-0.297727372,-0.225238815,-0.177494308,-0.151667133,-0.134284222,-0.127154859,-0.121416476,-0.116089218,-0.098227128,0.180461675,0.411472232,0.345224061,0.283596574,0.246061378,0.22725667,0.228859147,0.233780882,0.24013441,0.25291191,0.348815743,754.4224145,413.1409326,341.6416886,326.7460604,322.8752994,323.5869288,326.16414,327.2441169,329.3315743,335.0772287,359.9552658,0.260271935,0.199579292,0.169714531,0.160784647,0.157749372,0.159738826,0.169715139,0.179401227,0.1885308,0.20256187,0.28518955,0.183540276,0.311888396,0.330724388,0.308407903,0.291171303,0.285734161,0.28467045,0.288018584,0.292834712,0.301395764,0.377907393,339.6863336,242.1496765,150.9877508,126.2334145,112.2714055,111.5122059,112.3749724,108.3345468,103.003464,109.1381481,143.23432,-0.006243059,0.007848225,0.003844626,0.006318662,0.007355424,0.008362543,0.010244088,0.009318418,0.008540046,0.008467658,0.026286712
