,z(cm),TMean(K),X_CH3OHMean,X_CO2Mean,X_COMean,X_H2Mean,X_H2OMean,X_N2Mean,X_O2Mean,T_rms(K),ur_rms(m/s),uz_rms(m/s),ur_Mean(m/s),uz_Mean(m/s),uruz_cov(m/s)
182,36.4,954.94,0.0009,0.0338,0.0138,0.0155,0.0796,0.7208,0.1349,527.8068,0.4898,1.758,-0.0052,2.6802,0.0062
183,36.6,951.47,0.0009,0.0336,0.0135,0.0152,0.079,0.7216,0.1354,527.1148,0.4905,1.7564,-0.0055,2.6801,0.0063
184,36.8,947.99,0.0008,0.0335,0.0133,0.0149,0.0785,0.7224,0.136,526.4219,0.4912,1.7548,-0.0058,2.6799,0.0064
185,37.0,944.51,0.0008,0.0333,0.013,0.0145,0.078,0.7232,0.1366,525.7281,0.4918,1.7532,-0.0062,2.6798,0.0065
186,37.2,941.02,0.0008,0.0331,0.0128,0.0143,0.0774,0.7239,0.1371,524.738,0.4928,1.7508,-0.0064,2.6792,0.0063
187,37.4,937.52,0.0007,0.033,0.0125,0.014,0.0769,0.7246,0.1376,523.7461,0.4938,1.7484,-0.0067,2.6786,0.0061
188,37.6,934.03,0.0007,0.0328,0.0123,0.0137,0.0764,0.7253,0.1382,522.7523,0.4947,1.746,-0.007,2.678,0.0059
189,37.8,930.53,0.0007,0.0326,0.0121,0.0134,0.0759,0.726,0.1387,521.7566,0.4957,1.7435,-0.0072,2.6774,0.0057
190,38.0,927.04,0.0007,0.0325,0.0118,0.0131,0.0753,0.7267,0.1392,520.7591,0.4966,1.7411,-0.0075,2.6768,0.0055
191,38.2,923.54,0.0006,0.0323,0.0116,0.0128,0.0748,0.7274,0.1398,519.7596,0.4975,1.7387,-0.0077,2.6762,0.0053
192,38.4,920.05,0.0006,0.0321,0.0114,0.0126,0.0743,0.7281,0.1403,518.7581,0.4985,1.7363,-0.008,2.6756,0.0051
193,38.6,916.55,0.0006,0.0319,0.0111,0.0123,0.0738,0.7288,0.1408,517.7451,0.4994,1.7338,-0.0082,2.675,0.0049
194,38.8,913.06,0.0006,0.0318,0.0109,0.012,0.0733,0.7296,0.1414,516.7398,0.5004,1.7314,-0.0085,2.6744,0.0047
195,39.0,909.56,0.0006,0.0316,0.0107,0.0117,0.0727,0.7303,0.1419,515.7325,0.5013,1.7289,-0.0087,2.6738,0.0045
196,39.2,906.14,0.0005,0.0314,0.0105,0.0115,0.0722,0.7309,0.1424,514.4998,0.501,1.7259,-0.0082,2.673,0.0034
197,39.4,902.71,0.0005,0.0313,0.0103,0.0112,0.0717,0.7315,0.1429,513.2641,0.5007,1.723,-0.0076,2.6721,0.0023
198,39.6,899.28,0.0005,0.0311,0.0101,0.011,0.0712,0.7322,0.1434,512.0254,0.5004,1.7199,-0.007,2.6713,0.0012
199,39.8,895.85,0.0005,0.0309,0.0099,0.0107,0.0707,0.7328,0.1439,510.7739,0.5001,1.7169,-0.0065,2.6705,0.0001
200,40.0,892.42,0.0005,0.0308,0.0097,0.0105,0.0702,0.7334,0.1444,509.5292,0.4998,1.7139,-0.0059,2.6697,-0.001
201,40.2,888.99,0.0004,0.0306,0.0095,0.0103,0.0698,0.7341,0.1449,508.2814,0.4995,1.7109,-0.0053,2.6689,-0.0021
202,40.4,885.56,0.0004,0.0304,0.0093,0.01,0.0693,0.7347,0.1454,507.0306,0.4992,1.7079,-0.0048,2.6681,-0.0033
203,40.6,882.14,0.0004,0.0302,0.0091,0.0098,0.0688,0.7353,0.1459,505.7766,0.4989,1.7049,-0.0042,2.6672,-0.0044
204,40.8,878.71,0.0004,0.0301,0.0089,0.0095,0.0683,0.736,0.1464,504.5097,0.4987,1.7019,-0.0036,2.6664,-0.0055
205,41.0,875.28,0.0004,0.0299,0.0087,0.0093,0.0678,0.7366,0.1469,503.2494,0.4984,1.6988,-0.0031,2.6656,-0.0066
206,41.2,871.97,0.0003,0.0297,0.0085,0.0091,0.0673,0.7372,0.1474,501.8167,0.4979,1.6953,-0.0027,2.6652,-0.0067
207,41.4,868.66,0.0003,0.0296,0.0083,0.0089,0.0668,0.7378,0.1478,500.3699,0.4974,1.6917,-0.0024,2.6647,-0.0067
208,41.6,865.35,0.0003,0.0294,0.0082,0.0087,0.0663,0.7383,0.1483,498.9188,0.497,1.6882,-0.0021,2.6643,-0.0068
209,41.8,862.04,0.0003,0.0292,0.008,0.0085,0.0659,0.7389,0.1488,497.4736,0.4965,1.6847,-0.0018,2.6639,-0.0069
210,42.0,858.73,0.0003,0.0291,0.0078,0.0083,0.0654,0.7395,0.1492,496.0141,0.4961,1.6811,-0.0014,2.6635,-0.0069
211,42.2,855.42,0.0003,0.0289,0.0076,0.0081,0.0649,0.7401,0.1497,494.5604,0.4956,1.6776,-0.0011,2.663,-0.007
212,42.4,852.11,0.0003,0.0288,0.0075,0.0078,0.0644,0.7406,0.1502,493.0923,0.4951,1.674,-0.0008,2.6626,-0.0071
213,42.6,848.8,0.0002,0.0286,0.0073,0.0076,0.064,0.7412,0.1506,491.6198,0.4947,1.6704,-0.0005,2.6622,-0.0071
214,42.8,845.49,0.0002,0.0284,0.0071,0.0074,0.0635,0.7418,0.1511,490.153,0.4942,1.6668,-0.0001,2.6617,-0.0072
215,43.0,842.18,0.0002,0.0283,0.0069,0.0072,0.063,0.7423,0.1516,488.6717,0.4938,1.6632,0.0002,2.6613,-0.0073
216,43.2,839.03,0.0002,0.0281,0.0068,0.0071,0.0626,0.7428,0.152,486.9702,0.4937,1.6592,0.0002,2.6617,-0.0066
217,43.4,835.88,0.0002,0.0279,0.0066,0.0069,0.0622,0.7434,0.1524,485.2628,0.4937,1.6551,0.0002,2.6621,-0.006
218,43.6,832.73,0.0002,0.0278,0.0065,0.0067,0.0617,0.7438,0.1529,483.5494,0.4937,1.6511,0.0002,2.6625,-0.0053
219,43.8,829.58,0.0002,0.0276,0.0063,0.0065,0.0613,0.7444,0.1533,481.8195,0.4936,1.647,0.0002,2.6628,-0.0047
220,44.0,826.43,0.0002,0.0275,0.0062,0.0064,0.0608,0.7449,0.1538,480.0937,0.4936,1.6429,0.0003,2.6632,-0.0041
221,44.2,823.28,0.0002,0.0273,0.006,0.0062,0.0604,0.7454,0.1542,478.3618,0.4936,1.6388,0.0003,2.6636,-0.0034
222,44.4,820.13,0.0001,0.0272,0.0059,0.006,0.0599,0.7459,0.1546,476.6235,0.4935,1.6347,0.0003,2.664,-0.0028
223,44.6,816.98,0.0001,0.027,0.0057,0.0059,0.0595,0.7464,0.155,474.8684,0.4935,1.6306,0.0003,2.6644,-0.0021
224,44.8,813.83,0.0001,0.0268,0.0056,0.0057,0.0591,0.7469,0.1555,473.1173,0.4935,1.6265,0.0003,2.6647,-0.0015
225,45.0,810.68,0.0001,0.0267,0.0054,0.0055,0.0586,0.7474,0.1559,471.3597,0.4934,1.6223,0.0003,2.6651,-0.0009
226,45.2,807.65,0.0001,0.0265,0.0053,0.0054,0.0582,0.7478,0.1563,469.4465,0.493,1.6178,0.0007,2.6648,-0.0012
227,45.4,804.61,0.0001,0.0264,0.0052,0.0053,0.0578,0.7482,0.1567,467.5254,0.4925,1.6133,0.0011,2.6645,-0.0015
228,45.6,801.58,0.0001,0.0262,0.0051,0.0051,0.0574,0.7487,0.1571,465.5964,0.492,1.6087,0.0014,2.6642,-0.0019
229,45.8,798.55,0.0001,0.0261,0.005,0.005,0.057,0.7491,0.1575,463.6701,0.4915,1.6041,0.0018,2.6638,-0.0022
230,46.0,795.51,0.0001,0.0259,0.0049,0.0049,0.0566,0.7495,0.1579,461.725,0.491,1.5995,0.0022,2.6635,-0.0025
231,46.2,792.48,0.0001,0.0258,0.0047,0.0047,0.0561,0.75,0.1583,459.7717,0.4905,1.5949,0.0025,2.6632,-0.0029
232,46.4,789.45,0.0001,0.0256,0.0046,0.0046,0.0557,0.7504,0.1587,457.81,0.49,1.5903,0.0029,2.6629,-0.0032
233,46.6,786.41,0.0001,0.0254,0.0045,0.0045,0.0553,0.7508,0.1591,455.8509,0.4895,1.5857,0.0033,2.6625,-0.0035
234,46.8,783.38,0.0001,0.0253,0.0044,0.0043,0.0549,0.7512,0.1595,453.8722,0.489,1.581,0.0036,2.6622,-0.0038
235,47.0,780.35,0.0001,0.0251,0.0043,0.0042,0.0545,0.7517,0.1599,451.8849,0.4885,1.5764,0.004,2.6619,-0.0042
236,47.2,777.47,0.0001,0.025,0.0042,0.0041,0.0541,0.7521,0.1603,449.9222,0.4874,1.5722,0.0043,2.6616,-0.0041
237,47.4,774.59,0.0001,0.0248,0.0041,0.004,0.0537,0.7524,0.1606,447.9621,0.4863,1.568,0.0047,2.6613,-0.0041
238,47.6,771.71,0.0001,0.0247,0.004,0.0039,0.0533,0.7528,0.161,445.9821,0.4852,1.5637,0.005,2.661,-0.0041
239,47.8,768.83,0.0001,0.0245,0.0039,0.0038,0.053,0.7532,0.1614,443.9932,0.4841,1.5596,0.0053,2.6607,-0.0041
240,48.0,765.95,0.0001,0.0244,0.0038,0.0037,0.0526,0.7535,0.1617,442.0068,0.483,1.5553,0.0057,2.6604,-0.004
241,48.2,763.08,0.0,0.0242,0.0037,0.0036,0.0522,0.7539,0.1621,440.0,0.4819,1.5511,0.006,2.6602,-0.004
242,48.4,760.2,0.0,0.0241,0.0036,0.0035,0.0518,0.7543,0.1624,437.9954,0.4807,1.5468,0.0064,2.6599,-0.004
243,48.6,757.32,0.0,0.0239,0.0035,0.0034,0.0514,0.7546,0.1628,435.9702,0.4796,1.5426,0.0067,2.6596,-0.004
244,48.8,754.44,0.0,0.0238,0.0034,0.0033,0.0511,0.755,0.1632,433.9355,0.4785,1.5383,0.007,2.6593,-0.0039
245,49.0,751.56,0.0,0.0237,0.0033,0.0032,0.0507,0.7554,0.1635,431.9028,0.4774,1.534,0.0074,2.659,-0.0039
246,49.2,748.82,0.0,0.0235,0.0032,0.0031,0.0503,0.7557,0.1639,429.9302,0.4765,1.5292,0.0074,2.6589,-0.004
247,49.4,746.08,0.0,0.0234,0.0032,0.003,0.05,0.756,0.1642,427.9603,0.4757,1.5245,0.0074,2.6589,-0.0042
248,49.6,743.34,0.0,0.0232,0.0031,0.0029,0.0496,0.7564,0.1645,425.9812,0.4749,1.5197,0.0074,2.6588,-0.0043
249,49.8,740.59,0.0,0.0231,0.003,0.0029,0.0493,0.7567,0.1649,423.9929,0.4741,1.515,0.0074,2.6588,-0.0045
250,50.0,737.85,0.0,0.0229,0.0029,0.0028,0.0489,0.757,0.1652,421.9834,0.4733,1.5102,0.0074,2.6587,-0.0046
251,50.2,735.11,0.0,0.0228,0.0029,0.0027,0.0485,0.7573,0.1655,419.9762,0.4725,1.5054,0.0075,2.6586,-0.0047
252,50.4,732.37,0.0,0.0227,0.0028,0.0026,0.0482,0.7576,0.1659,417.9593,0.4716,1.5005,0.0075,2.6586,-0.0049
253,50.6,729.63,0.0,0.0225,0.0027,0.0025,0.0478,0.758,0.1662,415.9327,0.4708,1.4957,0.0075,2.6585,-0.005
254,50.8,726.88,0.0,0.0224,0.0026,0.0025,0.0475,0.7583,0.1665,413.884,0.47,1.4908,0.0075,2.6585,-0.0052
255,51.0,724.14,0.0,0.0222,0.0026,0.0024,0.0471,0.7586,0.1669,411.8373,0.4692,1.4859,0.0075,2.6584,-0.0053
256,51.2,721.61,0.0,0.0221,0.0025,0.0023,0.0468,0.7589,0.1672,409.9878,0.469,1.4818,0.0083,2.6586,-0.0063
257,51.4,719.09,0.0,0.022,0.0025,0.0023,0.0465,0.7591,0.1675,408.1176,0.4689,1.4776,0.0092,2.6588,-0.0073
258,51.6,716.56,0.0,0.0218,0.0024,0.0022,0.0462,0.7594,0.1678,406.2388,0.4688,1.4734,0.01,2.659,-0.0083
259,51.8,714.03,0.0,0.0217,0.0023,0.0022,0.0458,0.7597,0.1681,404.3637,0.4686,1.4692,0.0109,2.6593,-0.0093
260,52.0,711.5,0.0,0.0216,0.0023,0.0021,0.0455,0.7599,0.1684,402.4674,0.4685,1.465,0.0117,2.6595,-0.0102
261,52.2,708.97,0.0,0.0214,0.0022,0.0021,0.0452,0.7602,0.1687,400.5621,0.4683,1.4607,0.0125,2.6597,-0.0112
262,52.4,706.44,0.0,0.0213,0.0022,0.002,0.0449,0.7605,0.169,398.6603,0.4682,1.4565,0.0134,2.6599,-0.0122
263,52.6,703.92,0.0,0.0212,0.0021,0.0019,0.0446,0.7607,0.1693,396.7367,0.4681,1.4522,0.0142,2.6601,-0.0132
264,52.8,701.39,0.0,0.021,0.0021,0.0019,0.0443,0.761,0.1696,394.8164,0.4679,1.4479,0.015,2.6603,-0.0142
265,53.0,698.86,0.0,0.0209,0.002,0.0018,0.0439,0.7613,0.1698,392.874,0.4678,1.4436,0.0159,2.6605,-0.0152
266,53.2,696.64,0.0,0.0208,0.002,0.0018,0.0437,0.7615,0.1701,391.1138,0.4677,1.439,0.0158,2.6608,-0.015
267,53.4,694.42,0.0,0.0207,0.0019,0.0018,0.0434,0.7617,0.1704,389.3328,0.4675,1.4344,0.0158,2.6611,-0.0147
268,53.6,692.2,0.0,0.0206,0.0019,0.0017,0.0431,0.7619,0.1706,387.5564,0.4674,1.4298,0.0158,2.6614,-0.0145
269,53.8,689.98,0.0,0.0204,0.0019,0.0017,0.0428,0.7622,0.1709,385.772,0.4672,1.4251,0.0157,2.6617,-0.0143
270,54.0,687.76,0.0,0.0203,0.0018,0.0016,0.0426,0.7624,0.1711,383.9792,0.4671,1.4204,0.0157,2.662,-0.014
271,54.2,685.55,0.0,0.0202,0.0018,0.0016,0.0423,0.7626,0.1714,382.1649,0.4669,1.4157,0.0156,2.6623,-0.0138
272,54.4,683.33,0.0,0.0201,0.0017,0.0016,0.042,0.7628,0.1716,380.3551,0.4668,1.411,0.0156,2.6626,-0.0136
273,54.6,681.11,0.0,0.02,0.0017,0.0015,0.0417,0.763,0.1719,378.5367,0.4666,1.4063,0.0155,2.6629,-0.0133
274,54.8,678.89,0.0,0.0198,0.0017,0.0015,0.0415,0.7633,0.1722,376.6962,0.4665,1.4016,0.0155,2.6632,-0.0131
275,55.0,676.67,0.0,0.0197,0.0016,0.0014,0.0412,0.7635,0.1724,374.86,0.4663,1.3968,0.0154,2.6635,-0.0129
276,55.2,674.57,0.0,0.0196,0.0016,0.0014,0.0409,0.7637,0.1726,373.2158,0.4657,1.3928,0.0152,2.6637,-0.0134
277,55.4,672.47,0.0,0.0195,0.0016,0.0014,0.0407,0.7639,0.1729,371.5643,0.4651,1.3887,0.0149,2.6639,-0.0139
278,55.6,670.37,0.0,0.0194,0.0015,0.0014,0.0404,0.764,0.1731,369.9054,0.4645,1.3846,0.0146,2.664,-0.0145
279,55.8,668.27,0.0,0.0193,0.0015,0.0013,0.0402,0.7642,0.1733,368.2391,0.4639,1.3805,0.0144,2.6642,-0.015
280,56.0,666.18,0.0,0.0192,0.0015,0.0013,0.0399,0.7644,0.1736,366.5651,0.4633,1.3763,0.0141,2.6644,-0.0155
281,56.2,664.08,0.0,0.0191,0.0014,0.0013,0.0397,0.7646,0.1738,364.8835,0.4627,1.3722,0.0139,2.6645,-0.016
282,56.4,661.98,0.0,0.0189,0.0014,0.0013,0.0394,0.7648,0.174,363.1942,0.4621,1.3681,0.0136,2.6647,-0.0166
283,56.6,659.88,0.0,0.0188,0.0014,0.0012,0.0391,0.765,0.1743,361.4969,0.4615,1.3639,0.0133,2.6649,-0.0171
284,56.8,657.78,0.0,0.0187,0.0013,0.0012,0.0389,0.7652,0.1745,359.7916,0.4609,1.3597,0.0131,2.665,-0.0176
285,57.0,655.68,0.0,0.0186,0.0013,0.0012,0.0386,0.7654,0.1747,358.0782,0.4603,1.3555,0.0128,2.6652,-0.0182
286,57.2,653.79,0.0,0.0185,0.0013,0.0012,0.0384,0.7655,0.175,356.6371,0.4594,1.3517,0.0127,2.6654,-0.019
287,57.4,651.89,0.0,0.0184,0.0013,0.0011,0.0382,0.7657,0.1752,355.1901,0.4585,1.3479,0.0125,2.6657,-0.0199
288,57.6,650.0,0.0,0.0183,0.0013,0.0011,0.038,0.7659,0.1754,353.7372,0.4576,1.3441,0.0124,2.6659,-0.0208
289,57.8,648.1,0.0,0.0182,0.0012,0.0011,0.0377,0.766,0.1756,352.2783,0.4566,1.3402,0.0123,2.6662,-0.0216
290,58.0,646.21,0.0,0.0181,0.0012,0.0011,0.0375,0.7662,0.1758,350.7991,0.4557,1.3363,0.0122,2.6664,-0.0225
291,58.2,644.31,0.0,0.018,0.0012,0.0011,0.0373,0.7663,0.176,349.3279,0.4548,1.3324,0.012,2.6666,-0.0234
292,58.4,642.42,0.0,0.0179,0.0012,0.001,0.0371,0.7665,0.1762,347.8505,0.4539,1.3285,0.0119,2.6669,-0.0242
293,58.6,640.53,0.0,0.0178,0.0012,0.001,0.0368,0.7667,0.1764,346.3669,0.4529,1.3247,0.0118,2.6671,-0.0251
294,58.8,638.63,0.0,0.0177,0.0011,0.001,0.0366,0.7668,0.1766,344.8768,0.452,1.3207,0.0116,2.6674,-0.026
295,59.0,636.74,0.0,0.0176,0.0011,0.001,0.0364,0.767,0.1768,343.3657,0.4511,1.3168,0.0115,2.6676,-0.0269
296,59.2,635.07,0.0,0.0175,0.0011,0.001,0.0362,0.7671,0.177,342.0234,0.4507,1.3135,0.0108,2.6681,-0.0261
297,59.4,633.41,0.0,0.0174,0.0011,0.001,0.036,0.7672,0.1772,340.6758,0.4503,1.3102,0.01,2.6685,-0.0253
298,59.6,631.74,0.0,0.0173,0.0011,0.001,0.0358,0.7674,0.1773,339.3229,0.4498,1.3068,0.0093,2.669,-0.0245
299,59.8,630.08,0.0,0.0172,0.0011,0.0009,0.0356,0.7675,0.1775,337.9645,0.4494,1.3035,0.0086,2.6694,-0.0237
300,60.0,628.42,0.0,0.0171,0.001,0.0009,0.0354,0.7677,0.1777,336.6007,0.449,1.3002,0.0078,2.6699,-0.0229
301,60.2,626.75,0.0,0.0171,0.001,0.0009,0.0352,0.7678,0.1779,335.2313,0.4486,1.2968,0.0071,2.6704,-0.0222
302,60.4,625.09,0.0,0.017,0.001,0.0009,0.035,0.7679,0.1781,333.8563,0.4482,1.2934,0.0064,2.6708,-0.0214
303,60.6,623.42,0.0,0.0169,0.001,0.0009,0.0348,0.7681,0.1782,332.4605,0.4478,1.2901,0.0056,2.6713,-0.0206
304,60.8,621.76,0.0,0.0168,0.001,0.0009,0.0346,0.7682,0.1784,331.074,0.4474,1.2867,0.0049,2.6717,-0.0198
305,61.0,620.1,0.0,0.0167,0.001,0.0009,0.0344,0.7683,0.1786,329.6817,0.447,1.2833,0.0042,2.6722,-0.019
306,61.2,618.38,0.0,0.0166,0.001,0.0008,0.0342,0.7685,0.1788,328.2225,0.447,1.2809,0.0035,2.6723,-0.0186
307,61.4,616.67,0.0,0.0165,0.0009,0.0008,0.034,0.7686,0.179,326.7568,0.447,1.2785,0.0028,2.6725,-0.0181
308,61.6,614.95,0.0,0.0164,0.0009,0.0008,0.0338,0.7688,0.1792,325.2845,0.447,1.2761,0.0022,2.6726,-0.0177
309,61.8,613.24,0.0,0.0163,0.0009,0.0008,0.0336,0.7689,0.1793,323.8055,0.447,1.2737,0.0015,2.6727,-0.0172
310,62.0,611.52,0.0,0.0162,0.0009,0.0008,0.0334,0.769,0.1795,322.3197,0.447,1.2712,0.0008,2.6728,-0.0168
311,62.2,609.8,0.0,0.0161,0.0009,0.0008,0.0332,0.7692,0.1797,320.8271,0.447,1.2688,0.0002,2.673,-0.0163
312,62.4,608.09,0.0,0.016,0.0009,0.0008,0.033,0.7693,0.1799,319.3274,0.447,1.2664,-0.0005,2.6731,-0.0159
313,62.6,606.37,0.0,0.016,0.0009,0.0008,0.0328,0.7694,0.1801,317.8207,0.447,1.2639,-0.0012,2.6732,-0.0154
314,62.8,604.66,0.0,0.0159,0.0008,0.0007,0.0326,0.7696,0.1802,316.3068,0.447,1.2615,-0.0018,2.6733,-0.015
315,63.0,602.94,0.0,0.0158,0.0008,0.0007,0.0324,0.7697,0.1804,314.7841,0.447,1.259,-0.0025,2.6735,-0.0145
316,63.2,601.45,0.0,0.0157,0.0008,0.0007,0.0323,0.7698,0.1806,313.4039,0.4472,1.2573,-0.0032,2.6737,-0.0143
317,63.4,599.95,0.0,0.0156,0.0008,0.0007,0.0321,0.77,0.1808,312.0192,0.4475,1.2557,-0.0039,2.674,-0.014
318,63.6,598.46,0.0,0.0155,0.0008,0.0007,0.0319,0.7701,0.1809,310.6284,0.4478,1.254,-0.0046,2.6743,-0.0138
319,63.8,596.97,0.0,0.0154,0.0008,0.0007,0.0317,0.7702,0.1811,309.2313,0.4481,1.2523,-0.0053,2.6746,-0.0135
320,64.0,595.47,0.0,0.0154,0.0008,0.0007,0.0316,0.7703,0.1812,307.8279,0.4484,1.2506,-0.006,2.6748,-0.0133
321,64.2,593.98,0.0,0.0153,0.0008,0.0007,0.0314,0.7704,0.1814,306.418,0.4487,1.249,-0.0066,2.6751,-0.013
322,64.4,592.48,0.0,0.0152,0.0007,0.0007,0.0312,0.7705,0.1816,305.0016,0.4489,1.2473,-0.0073,2.6754,-0.0128
323,64.6,590.99,0.0,0.0151,0.0007,0.0007,0.031,0.7707,0.1817,303.5787,0.4492,1.2456,-0.008,2.6757,-0.0125
324,64.8,589.5,0.0,0.015,0.0007,0.0006,0.0309,0.7708,0.1819,302.149,0.4495,1.2439,-0.0087,2.676,-0.0123
325,65.0,588.0,0.0,0.015,0.0007,0.0006,0.0307,0.7709,0.182,300.7125,0.4498,1.2422,-0.0094,2.6762,-0.0121
326,65.2,586.51,0.0,0.0149,0.0007,0.0006,0.0305,0.771,0.1822,299.2691,0.4501,1.2405,-0.0101,2.6765,-0.0118
327,65.4,585.23,0.0,0.0148,0.0007,0.0006,0.0304,0.7711,0.1823,298.057,0.45,1.2389,-0.0104,2.6765,-0.0113
328,65.6,583.99,0.0,0.0147,0.0007,0.0006,0.0302,0.7712,0.1825,296.8838,0.4499,1.2373,-0.0107,2.6765,-0.0108
329,65.8,582.75,0.0,0.0147,0.0007,0.0006,0.0301,0.7713,0.1826,295.7042,0.4498,1.2356,-0.0109,2.6765,-0.0102
330,66.0,581.5,0.0,0.0146,0.0007,0.0006,0.0299,0.7714,0.1827,294.5199,0.4497,1.234,-0.0112,2.6764,-0.0097
331,66.2,580.26,0.0,0.0145,0.0007,0.0006,0.0298,0.7715,0.1829,293.3309,0.4496,1.2324,-0.0115,2.6764,-0.0091
332,66.4,579.02,0.0,0.0145,0.0006,0.0006,0.0296,0.7716,0.183,292.137,0.4495,1.2307,-0.0117,2.6764,-0.0086
333,66.6,577.78,0.0,0.0144,0.0006,0.0006,0.0295,0.7717,0.1831,290.9381,0.4494,1.2291,-0.012,2.6764,-0.008
334,66.8,576.54,0.0,0.0143,0.0006,0.0006,0.0294,0.7718,0.1832,289.7344,0.4492,1.2274,-0.0123,2.6763,-0.0075
335,67.0,575.29,0.0,0.0143,0.0006,0.0006,0.0292,0.7719,0.1834,288.5256,0.4491,1.2258,-0.0125,2.6763,-0.0069
336,67.2,574.05,0.0,0.0142,0.0006,0.0005,0.0291,0.772,0.1835,287.3117,0.449,1.2241,-0.0128,2.6763,-0.0064
337,67.4,572.81,0.0,0.0141,0.0006,0.0005,0.0289,0.7721,0.1836,286.0944,0.4489,1.2225,-0.0131,2.6763,-0.0059
338,67.6,571.57,0.0,0.0141,0.0006,0.0005,0.0288,0.7722,0.1838,284.8701,0.4488,1.2208,-0.0133,2.6762,-0.0053
339,67.8,570.44,0.0,0.014,0.0006,0.0005,0.0286,0.7723,0.1839,283.7464,0.4488,1.2193,-0.0136,2.6764,-0.0049
340,68.0,569.46,0.0,0.014,0.0006,0.0005,0.0285,0.7724,0.184,282.7455,0.4489,1.2179,-0.0139,2.6767,-0.0047
341,68.2,568.47,0.0,0.0139,0.0006,0.0005,0.0284,0.7724,0.1841,281.7392,0.449,1.2165,-0.0143,2.6771,-0.0045
342,68.4,567.49,0.0,0.0139,0.0006,0.0005,0.0283,0.7725,0.1842,280.7312,0.4491,1.215,-0.0146,2.6774,-0.0043
343,68.6,566.5,0.0,0.0138,0.0006,0.0005,0.0282,0.7726,0.1843,279.7177,0.4491,1.2136,-0.0149,2.6777,-0.0041
344,68.8,565.51,0.0,0.0137,0.0005,0.0005,0.0281,0.7727,0.1844,278.7024,0.4492,1.2122,-0.0152,2.6781,-0.004
345,69.0,564.53,0.0,0.0137,0.0005,0.0005,0.028,0.7728,0.1845,277.6815,0.4493,1.2108,-0.0155,2.6784,-0.0038
346,69.2,563.54,0.0,0.0136,0.0005,0.0005,0.0278,0.7728,0.1846,276.6586,0.4494,1.2093,-0.0159,2.6787,-0.0036
347,69.4,562.56,0.0,0.0136,0.0005,0.0005,0.0277,0.7729,0.1847,275.6302,0.4495,1.2079,-0.0162,2.6791,-0.0034
348,69.6,561.57,0.0,0.0135,0.0005,0.0005,0.0276,0.773,0.1848,274.5997,0.4496,1.2065,-0.0165,2.6794,-0.0032
349,69.8,560.59,0.0,0.0135,0.0005,0.0004,0.0275,0.7731,0.185,273.5653,0.4497,1.2051,-0.0168,2.6798,-0.003
350,70.0,559.6,0.0,0.0134,0.0005,0.0004,0.0274,0.7731,0.185,272.5252,0.4497,1.2036,-0.0172,2.6801,-0.0028
351,70.2,558.61,0.0,0.0134,0.0005,0.0004,0.0273,0.7732,0.1852,271.483,0.4498,1.2022,-0.0175,2.6804,-0.0026
352,70.4,557.63,0.0,0.0133,0.0005,0.0004,0.0272,0.7733,0.1853,270.4348,0.4499,1.2007,-0.0178,2.6808,-0.0024
353,70.6,556.77,0.0,0.0133,0.0005,0.0004,0.0271,0.7734,0.1853,269.5125,0.4504,1.1999,-0.0181,2.6814,-0.002
354,70.8,555.98,0.0,0.0132,0.0005,0.0004,0.027,0.7734,0.1854,268.6503,0.4512,1.1994,-0.0185,2.6822,-0.0014
355,71.0,555.19,0.0,0.0132,0.0005,0.0004,0.0269,0.7735,0.1855,267.7854,0.4519,1.1988,-0.0188,2.683,-0.0009
356,71.2,554.4,0.0,0.0131,0.0005,0.0004,0.0268,0.7736,0.1856,266.9195,0.4527,1.1983,-0.0191,2.6837,-0.0003
357,71.4,553.6,0.0,0.0131,0.0005,0.0004,0.0267,0.7736,0.1857,266.0489,0.4534,1.1977,-0.0195,2.6845,0.0002
358,71.6,552.81,0.0,0.0131,0.0004,0.0004,0.0266,0.7737,0.1858,265.1754,0.4542,1.1972,-0.0198,2.6853,0.0008
359,71.8,552.02,0.0,0.013,0.0004,0.0004,0.0265,0.7738,0.1859,264.301,0.4549,1.1967,-0.0202,2.6861,0.0013
360,72.0,551.23,0.0,0.013,0.0004,0.0004,0.0264,0.7738,0.1859,263.4217,0.4556,1.1961,-0.0205,2.6869,0.0019
361,72.2,550.44,0.0,0.0129,0.0004,0.0004,0.0263,0.7739,0.186,262.5395,0.4564,1.1955,-0.0208,2.6877,0.0024
362,72.4,549.65,0.0,0.0129,0.0004,0.0004,0.0262,0.7739,0.1861,261.6563,0.4571,1.195,-0.0212,2.6884,0.0029
363,72.6,548.85,0.0,0.0128,0.0004,0.0004,0.0261,0.774,0.1862,260.7681,0.4578,1.1944,-0.0215,2.6892,0.0035
364,72.8,548.06,0.0,0.0128,0.0004,0.0004,0.026,0.7741,0.1863,259.8769,0.4586,1.1939,-0.0218,2.69,0.004
365,73.0,547.27,0.0,0.0128,0.0004,0.0004,0.0259,0.7741,0.1864,258.9826,0.4593,1.1934,-0.0222,2.6908,0.0046
366,73.2,546.48,0.0,0.0127,0.0004,0.0003,0.0259,0.7742,0.1864,258.0872,0.46,1.1928,-0.0225,2.6916,0.0051
367,73.4,545.69,0.0,0.0127,0.0004,0.0003,0.0258,0.7742,0.1865,257.1867,0.4608,1.1923,-0.0228,2.6924,0.0057
