cm,K,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,m/s,cm,KW/m2,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K
112.8,448.94,0.19131,0.010306,4.0139E-06,0.020624,0.77776,2.7584,14.1,7.0129,317.82,320.14,322.32,322.7,324.38,324.46,327.22,327.98,49.2808279151233,64.248735396115,57.6680153984858,57.6593444291556,55.1905789061865,54.3654301923566,52.1104596026556,52.2398315464359,65.719099202591
114,446.94,0.19157,0.010162,3.7858E-06,0.020337,0.77793,2.7532,14.25,6.9525,315.16,318.86,320.98,321.35,323.04,323.12,325.88,326.66,45.0422024328296,62.0685105347309,56.016069123065,56.0562217777831,53.6376733276155,52.8128772175878,50.6458290484024,50.8143680468428,64.6884842920284
115.2,444.93,0.19183,0.010019,3.5575E-06,0.02005,0.7781,2.748,14.4,6.8922,312.51,317.57,319.63,320,321.7,321.77,324.54,325.33,40.3596332986314,59.8088622195741,54.3148230228176,54.4049630089021,52.0394081442132,51.2132795278725,49.1385795480496,49.3477456425316,63.641181635793
116.4,442.93,0.19209,0.0098755,3.3293E-06,0.019763,0.77827,2.7428,14.55,6.8318,309.85,316.29,318.28,318.65,320.36,320.42,323.2,324,35.0585225016685,57.4604211610044,52.5575874636574,52.7019923722054,50.3894830296958,49.5630911061851,47.5836106238272,47.8361787771557,62.577152380082
117.6,440.98,0.19234,0.0097364,3.1393E-06,0.019485,0.77844,2.7365,14.7,6.7714,307.2,315,316.93,317.3,319.02,319.08,321.86,322.68,28.7965275684413,55.0109080092303,50.7405163552757,50.9431055197855,48.6846998552934,47.8549892905641,45.9760807377054,46.2752633704013,61.5410432150772
118.8,439.05,0.19259,0.0095991,2.9662E-06,0.01921,0.7786,2.7299,14.85,6.7111,304.54,313.72,315.58,315.95,317.68,317.73,320.53,321.35,20.7219690184114,52.4480695545604,48.8548871659735,49.120260585628,46.9169478973217,46.0836196495024,44.3091412690429,44.6598253467252,60.613529842767
120,437.13,0.19284,0.0094619,2.7931E-06,0.018936,0.77876,2.7232,15,6.6507,301.88,312.43,314.23,314.6,316.35,316.39,319.19,320.02,5.43727873113012,49.7533918441748,46.8945625845897,47.2271108580654,45.0810381424386,44.2425134909851,42.5781634174139,42.9837178475757,59.6716012857037
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,,,,,,,,,,,,,,,,,,,,,,,,,,
