cm,K,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,m/s,cm,KW/m2,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K
112.8,501.62,0.18293,0.014947,1.1623E-05,0.029912,0.7722,2.3761,14.1,7.6676,395.2,325.15,328.67,328.9,331.63,331.95,334,334.17,154.970965022484,41.1970872756801,40.3212102992953,40.2380417018522,40.9023226724351,41.0341321341149,40.8900966005217,40.5832477754061,65.9946967566334
114,498.81,0.18334,0.014723,1.0997E-05,0.029465,0.77246,2.3609,14.25,7.5737,386.49,323.8,327.18,327.41,330.1,330.42,332.47,332.65,146.331814722568,39.896115099092,39.0128184062623,38.9268544837622,39.6257492042737,39.7567604314034,39.62701098998,39.3370054783025,64.9823052838232
115.2,496,0.18374,0.0145,1.0371E-05,0.029017,0.77273,2.3458,14.4,7.4799,377.79,322.45,325.7,325.93,328.57,328.89,330.93,331.12,137.153199014824,38.5499675745648,37.6576685417459,37.5699347883384,38.3066573848463,38.4382621875651,38.3223172577025,38.0499671484746,63.9538896393331
116.4,493.19,0.18415,0.014276,9.7449E-06,0.02857,0.773,2.3306,14.55,7.3861,369.09,321.1,324.21,324.44,327.05,327.36,329.4,329.59,127.310643702716,37.1564260929385,36.2505172376892,36.16213489273,36.9391391345278,37.0715524357964,36.9716107303969,36.7178430739062,62.9086639502064
117.6,490.58,0.18452,0.014069,9.2227E-06,0.028156,0.77324,2.317,14.7,7.2923,360.39,319.75,322.73,322.95,325.52,325.83,327.86,328.06,116.64475984801,35.7085423953429,34.7879289409416,34.6972621398288,35.5204166642228,35.6566964257767,35.5696499842211,35.3355345226303,61.9564363081028
118.8,488.05,0.18488,0.01387,8.7466E-06,0.027756,0.77348,2.3042,14.85,7.1985,351.68,318.4,321.24,321.46,324,324.3,326.32,326.54,104.899952335547,34.1979531551232,33.2595850846038,33.166247903554,34.0426203456784,34.1818665376834,34.1101158016211,33.8969025133566,61.0393315821856
120,485.53,0.18525,0.01367,8.2705E-06,0.027357,0.77372,2.2914,15,7.1047,342.98,317.04,319.76,319.97,322.47,322.77,324.79,325.01,91.6575146946501,32.6190128606002,31.6591219082273,31.5632697925928,32.4961536185438,32.6419974878989,32.5852727470555,32.3944439680634,60.1082357085949
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,,,,,,,,,,,,,,,,,,,,,,,,,,
