s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANOL,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS
 1.6400447E+002, 2.8450769E-001,-5.7187708E-002,-2.0755856E-001,-1.1588448E-002, 5.3126413E-006, 0.0000000E+000, 0.0000000E+000, 7.1488838E-003, 8.1782874E-003, 0.0000000E+000, 1.3489655E-005, 0.0000000E+000, 0.0000000E+000
 1.6600150E+002, 2.7400946E-001,-5.4805244E-002,-2.0951980E-001,-1.1558193E-002, 5.2008804E-006, 0.0000000E+000, 0.0000000E+000,-2.8661934E-003,-1.8685800E-003, 0.0000000E+000, 1.2967539E-005, 0.0000000E+000, 0.0000000E+000
 1.6800761E+002, 2.7856014E-001,-5.5936895E-002,-1.7343435E-001,-1.1577244E-002, 5.5251135E-006, 0.0000000E+000, 0.0000000E+000, 3.6481313E-002, 3.7617175E-002, 0.0000000E+000, 1.3209533E-005, 0.0000000E+000, 0.0000000E+000
 1.7000285E+002, 2.8456644E-001,-5.7255065E-002,-1.9068302E-001,-1.2205778E-002, 6.0819437E-006, 0.0000000E+000, 0.0000000E+000, 2.3785367E-002, 2.4428658E-002, 0.0000000E+000, 1.3464029E-005, 0.0000000E+000, 0.0000000E+000
 1.7200040E+002, 2.8028667E-001,-5.6395705E-002,-2.5155893E-001,-1.1591443E-002, 6.2072431E-006, 0.0000000E+000, 0.0000000E+000,-3.9724786E-002,-3.9253199E-002, 0.0000000E+000, 1.3270513E-005, 0.0000000E+000, 0.0000000E+000
 1.7400224E+002, 2.7945761E-001,-5.6168191E-002,-2.1050223E-001,-1.2018690E-002, 6.5497000E-006, 0.0000000E+000, 0.0000000E+000,-1.1503592E-004, 7.7505682E-004, 0.0000000E+000, 1.3280481E-005, 0.0000000E+000, 0.0000000E+000
 1.7600330E+002, 2.8307085E-001,-5.6683294E-002,-2.2807604E-001,-1.1119752E-002, 6.7987469E-006, 0.0000000E+000, 0.0000000E+000,-1.3992780E-002,-1.2801440E-002, 0.0000000E+000, 1.3373739E-005, 0.0000000E+000, 0.0000000E+000
 1.7800514E+002, 2.7821671E-001,-5.5809898E-002,-2.4323073E-001,-1.1175032E-002, 6.7180706E-006, 0.0000000E+000, 0.0000000E+000,-3.2504279E-002,-3.1992235E-002, 0.0000000E+000, 1.3179699E-005, 0.0000000E+000, 0.0000000E+000
 1.8000360E+002, 2.8272715E-001,-5.6638835E-002,-2.0688469E-001,-1.1006532E-002, 7.6015240E-006, 0.0000000E+000, 0.0000000E+000, 6.6197026E-003, 8.2046900E-003, 0.0000000E+000, 1.3399452E-005, 0.0000000E+000, 0.0000000E+000
 1.8200316E+002, 2.8657053E-001,-5.7597520E-002,-1.8918423E-001,-1.1219808E-002, 7.3451649E-006, 0.0000000E+000, 0.0000000E+000, 2.7715667E-002, 2.8576315E-002, 0.0000000E+000, 1.3598295E-005, 0.0000000E+000, 0.0000000E+000
 1.8400786E+002, 2.9101403E-001,-5.8491043E-002,-2.3013433E-001,-1.1881151E-002, 8.3123369E-006, 0.0000000E+000, 0.0000000E+000,-1.0358742E-002,-9.4841752E-003, 0.0000000E+000, 1.3790883E-005, 0.0000000E+000, 0.0000000E+000
