s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ETHYLENE,MLR_PRODUCTS,MLR_INTERMEDIATE PRODUCTS
 9.6003819E+000, 1.4008867E+001,-4.4732171E+000,-1.1517808E+001,-2.2979431E-001,-1.5903715E-004, 0.0000000E+000, 0.0000000E+000,-2.4265845E+000,-2.2121106E+000, 1.2737161E-001, 3.3179508E-004,-1.8025049E-067,-8.4492581E-069
 9.8000612E+000, 1.5572445E+001,-5.3703841E+000,-8.3276392E+000,-2.2338161E-001,-1.6251786E-004, 0.0000000E+000, 0.0000000E+000, 1.3753743E+000, 1.6508778E+000, 1.2737161E-001, 3.3179508E-004,-2.8413895E-067,-1.6951161E-068
 1.0000367E+001, 1.4792623E+001,-4.7351037E+000,-9.7226840E+000,-2.2764162E-001,-1.5527427E-004, 0.0000000E+000, 0.0000000E+000,-1.4398382E-001, 1.0703842E-001, 1.2737161E-001, 3.3179508E-004,-4.4616358E-067,-3.2924936E-068
 1.0200141E+001, 1.5737264E+001,-5.2968697E+000,-8.6175742E+000,-2.2607533E-001,-1.6245259E-004, 0.0000000E+000, 0.0000000E+000, 1.3584633E+000, 1.5965827E+000, 1.2737161E-001, 3.3179508E-004,-7.0027009E-067,-6.2052567E-068
 1.0400431E+001, 1.6140925E+001,-5.1101708E+000,-1.0609513E+001,-2.4177040E-001,-1.6260754E-004, 0.0000000E+000, 0.0000000E+000,-8.2094963E-002, 1.7930892E-001, 1.2737161E-001, 3.3179508E-004,-1.0996951E-066,-1.1363375E-067
 1.0600303E+001, 1.4929969E+001,-4.6231009E+000,-6.6922895E+000,-2.3259317E-001,-1.5928700E-004, 0.0000000E+000, 0.0000000E+000, 3.0906397E+000, 3.3818258E+000, 1.2737161E-001, 3.3179508E-004,-1.7217382E-066,-2.0162250E-067
 1.0800433E+001, 1.4084468E+001,-4.5566871E+000,-1.3950040E+001,-2.4128691E-001,-1.6294479E-004, 0.0000000E+000, 0.0000000E+000,-4.8301790E+000,-4.6637094E+000, 1.2737161E-001, 3.3179508E-004,-2.6878820E-066,-3.4775707E-067
 1.1000264E+001, 1.4944325E+001,-4.8191580E+000,-7.5748903E+000,-2.3763952E-001,-1.6181114E-004, 0.0000000E+000, 0.0000000E+000, 2.0873574E+000, 2.3124757E+000, 1.2737161E-001, 3.3179508E-004,-4.1815537E-066,-5.8473264E-067
 1.1200177E+001, 1.6012722E+001,-5.2619930E+000,-1.0434940E+001,-2.2940943E-001,-1.5763277E-004, 0.0000000E+000, 0.0000000E+000,-1.8982432E-001, 8.6221014E-002, 1.2737161E-001, 3.3179508E-004,-6.4739202E-066,-9.6030797E-067
 1.1400187E+001, 1.3967701E+001,-4.3975027E+000,-9.1488048E+000,-2.2195155E-001,-1.6057167E-004, 0.0000000E+000, 0.0000000E+000,-2.1672113E-002, 1.9928102E-001, 1.2737161E-001, 3.3179508E-004,-9.9226294E-066,-1.5372959E-066
 1.1600420E+001, 1.5514816E+001,-4.9658038E+000,-9.0704330E+000,-2.2442223E-001,-1.6372203E-004, 0.0000000E+000, 0.0000000E+000, 9.0695276E-001, 1.2539936E+000, 1.2737161E-001, 3.3179508E-004,-1.5055011E-065,-2.4058862E-066
 1.1800053E+001, 1.5713156E+001,-4.9529196E+000,-8.1921325E+000,-2.2209009E-001,-1.5756937E-004, 0.0000000E+000, 0.0000000E+000, 2.0518990E+000, 2.3458560E+000, 1.2737161E-001, 3.3179508E-004,-2.2400510E-065,-3.6576090E-066
 1.2000346E+001, 1.4889244E+001,-4.2894375E+000,-1.0533091E+001,-2.3122032E-001,-1.5977357E-004, 0.0000000E+000, 0.0000000E+000,-5.1259136E-001,-1.6466430E-001, 1.2737161E-001, 3.3179508E-004,-3.2880848E-065,-5.4441043E-066
 1.2200296E+001, 1.3966709E+001,-3.9742967E+000,-1.1029341E+001,-2.2767785E-001,-1.6201675E-004, 0.0000000E+000, 0.0000000E+000,-1.5130752E+000,-1.2647693E+000, 1.2737161E-001, 3.3179508E-004,-4.7849285E-065,-7.9848595E-066
 1.2400048E+001, 1.5310922E+001,-4.9688457E+000,-8.0006188E+000,-2.4647578E-001,-1.5636437E-004, 0.0000000E+000, 0.0000000E+000, 1.8837484E+000, 2.0948250E+000, 1.2737161E-001, 3.3179508E-004,-6.9022381E-065,-1.1554587E-065
