s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
101,2.05,2.38,2.57,2.62,2.36,1.93
101.2,2.17,2.58,2.82,2.94,2.96,2.79
101.4,2.14,2.51,2.76,2.86,2.75,2.42
101.6,2.3,2.68,2.83,2.81,2.67,2.42
101.8,2.23,2.59,2.79,2.88,2.85,2.66
102,2.24,2.63,2.81,2.76,2.55,2.21
102.2,2.06,2.39,2.56,2.59,2.46,2.21
102.4,2.25,2.57,2.75,2.8,2.64,2.34
102.6,2.44,2.9,3.12,3.03,2.89,2.6
102.8,2.17,2.54,2.78,2.9,2.7,2.3
103,2.22,2.61,2.85,2.92,2.94,2.81
103.2,2.01,2.32,2.52,2.61,2.48,2.18
103.4,2.37,2.79,3.04,3.15,3.12,2.91
103.6,2.3,2.73,3,3.11,3,2.69
103.8,2.16,2.53,2.69,2.7,2.58,2.3
104,2.33,2.68,2.93,2.99,2.76,2.38
104.2,2.31,2.74,2.95,2.92,2.84,2.63
104.4,2.31,2.76,3.05,3.18,2.77,2.17
104.6,2.4,2.92,3.34,3.64,3.74,3.46
104.8,2.16,2.5,2.76,2.9,2.82,2.58
105,2.3,2.65,2.81,2.83,2.76,2.57
105.2,2.37,2.77,3,3.03,2.86,2.51
105.4,2.3,2.68,2.92,3.03,2.95,2.65
105.6,2.42,2.82,3.05,3.15,3.06,2.8
105.8,2.34,2.72,2.95,3,2.9,2.62
106,2.33,2.71,2.93,2.97,2.94,2.74
106.2,2.25,2.61,2.82,2.87,2.65,2.25
106.4,2.53,2.96,3.25,3.4,3.37,3.13
106.6,2.19,2.58,2.91,3.15,3.09,2.75
106.8,2.24,2.64,2.89,3.04,3.15,3.1
107,2.24,2.62,2.87,3.01,2.92,2.62
107.2,2.51,2.95,3.27,3.4,3.33,3.04
107.4,2.18,2.55,2.85,3.05,2.96,2.64
107.6,2.48,2.96,3.21,3.2,3.13,2.92
107.8,2.4,2.85,3.17,3.31,2.93,2.3
108,2.5,3.06,3.46,3.68,3.75,3.54
108.2,2.34,2.77,3.13,3.37,3.24,2.87
108.4,2.55,3.06,3.31,3.32,3.2,2.89
108.6,2.24,2.62,2.86,2.95,2.82,2.55
108.8,2.38,2.8,3.06,3.2,3.23,3.1
109,2.36,2.76,3.03,3.14,2.97,2.62
109.2,2.45,2.9,3.18,3.41,3.53,3.45
109.4,2.32,2.67,2.91,3.03,2.95,2.68
109.6,2.48,2.93,3.18,3.22,3.15,2.91
109.8,2.43,2.81,3.06,3.21,3.03,2.63
110,2.66,3.16,3.44,3.45,3.33,3.06
110.2,2.42,2.89,3.21,3.41,3.31,2.94
110.4,2.33,2.72,2.99,3.14,3.08,2.87
110.6,2.5,2.94,3.2,3.32,3.39,3.29
110.8,2.37,2.77,3.06,3.19,2.96,2.55
111,2.43,2.85,3.08,3.16,3.21,3.12
111.2,2.42,2.84,3.13,3.26,3.06,2.67
111.4,2.59,3.07,3.38,3.5,3.5,3.29
111.6,2.44,2.84,3.11,3.29,3.25,3.02
111.8,2.68,3.15,3.43,3.52,3.4,3.1
112,2.49,2.96,3.35,3.68,3.65,3.27
112.2,2.57,3.05,3.43,3.64,3.69,3.51
112.4,2.61,3.12,3.43,3.59,3.54,3.22
112.6,2.53,2.93,3.18,3.31,3.26,3.01
112.8,2.51,2.98,3.25,3.31,3.25,3.07
113,2.54,3.01,3.32,3.53,3.49,3.21
113.2,2.65,3.12,3.51,3.79,3.8,3.6
113.4,2.61,3.11,3.4,3.43,3.4,3.2
113.6,2.59,3.07,3.46,3.71,3.48,2.98
113.8,2.54,3.04,3.44,3.74,3.94,3.94
114,2.58,3.04,3.33,3.49,3.52,3.41
114.2,2.58,3.03,3.3,3.39,3.21,2.84
114.4,2.46,2.89,3.23,3.47,3.5,3.35
114.6,2.53,2.96,3.24,3.37,3.4,3.29
114.8,2.52,2.96,3.26,3.47,3.41,3.15
115,2.55,2.99,3.37,3.69,3.77,3.6
115.2,2.66,3.18,3.58,3.83,3.9,3.71
115.4,2.56,3.02,3.31,3.49,3.43,3.17
115.6,2.72,3.24,3.65,3.95,3.88,3.56
115.8,2.61,3.17,3.6,3.88,3.98,3.79
116,2.63,3.12,3.52,3.82,3.89,3.68
116.2,2.8,3.31,3.64,3.83,3.76,3.58
116.4,2.54,3.02,3.4,3.7,3.84,3.71
116.6,2.81,3.32,3.69,3.81,3.61,3.28
116.8,2.34,2.76,3.06,3.29,3.39,3.29
117,2.78,3.34,3.73,3.93,3.93,3.75
117.2,2.43,2.84,3.18,3.45,3.5,3.38
117.4,2.49,2.91,3.17,3.22,3.23,3.14
117.6,2.66,3.14,3.48,3.75,3.63,3.27
117.8,2.86,3.46,3.86,3.97,3.99,3.75
118,2.69,3.23,3.63,3.85,3.6,3.09
118.2,2.58,3.02,3.39,3.63,3.69,3.56
118.4,2.54,3.02,3.31,3.5,3.6,3.58
118.6,2.54,3.01,3.38,3.64,3.54,3.24
118.8,2.76,3.3,3.75,4.01,4.12,3.96
119,2.73,3.28,3.73,4.01,4.01,3.73
119.2,2.8,3.34,3.76,4.06,4.1,3.86
119.4,2.6,3.1,3.53,3.86,3.89,3.63
119.6,2.68,3.21,3.63,3.93,4.09,3.99
119.8,2.53,3,3.4,3.74,3.72,3.43
120,2.81,3.35,3.8,4.1,4.21,4.05
120.2,2.87,3.49,4,4.42,4.45,4.09
120.4,2.69,3.2,3.62,3.92,3.94,3.71
120.6,2.64,3.17,3.55,3.79,3.88,3.77
120.8,2.51,2.94,3.28,3.55,3.57,3.44
121,2.58,3.06,3.44,3.71,3.85,3.77
121.2,2.57,3.04,3.37,3.61,3.66,3.54
121.4,2.83,3.38,3.76,3.93,3.89,3.69
121.6,2.61,3.12,3.53,3.83,3.85,3.58
121.8,2.61,3.06,3.4,3.7,3.78,3.66
122,2.54,2.99,3.35,3.61,3.75,3.72
122.2,2.57,2.94,3.22,3.44,3.46,3.32
122.4,2.82,3.36,3.66,3.82,3.89,3.85
122.6,2.66,3.13,3.48,3.67,3.59,3.27
122.8,2.56,3.04,3.4,3.69,3.79,3.74
123,2.37,2.82,3.14,3.39,3.49,3.44
123.2,2.6,3.07,3.45,3.75,3.77,3.64
123.4,2.6,3.12,3.5,3.76,3.88,3.79
123.6,2.63,3.1,3.47,3.73,3.67,3.41
123.8,2.82,3.4,3.84,4.15,4.22,4.07
124,2.6,3.13,3.52,3.82,3.83,3.59
124.2,2.82,3.31,3.74,4.11,4.3,4.29
124.4,2.85,3.45,3.85,3.99,3.9,3.67
124.6,2.76,3.32,3.78,4.16,4.19,3.85
124.8,2.88,3.46,3.94,4.33,4.47,4.39
125,2.87,3.47,3.92,4.12,4.17,3.92
125.2,2.82,3.39,3.94,4.45,4.41,4.09
125.4,2.78,3.35,3.79,4.11,4.35,4.32
125.6,2.83,3.38,3.8,4.15,4.13,3.88
125.8,3,3.62,4.13,4.4,4.44,4.24
126,2.84,3.4,3.85,4.22,4.35,4.21
126.2,2.92,3.52,4.07,4.49,4.7,4.67
126.4,2.59,3.08,3.48,3.86,4,3.86
126.6,3.14,3.83,4.41,4.77,4.86,4.69
126.8,3.02,3.61,4.11,4.5,4.49,4.13
127,2.87,3.45,3.95,4.39,4.55,4.44
127.2,2.83,3.35,3.8,4.12,4.21,4.06
127.4,2.85,3.46,3.91,4.25,4.36,4.28
127.6,2.69,3.22,3.62,3.96,4.15,4.12
127.8,2.93,3.55,4.08,4.56,4.65,4.53
128,2.64,3.2,3.67,4.05,4.33,4.27
128.2,2.88,3.47,3.97,4.44,4.44,4.21
128.4,2.41,2.95,3.39,3.81,4.09,4.06
128.6,2.86,3.41,3.92,4.45,4.82,5.02
128.8,2.96,3.57,4.06,4.45,4.55,4.48
129,2.83,3.48,3.92,4.21,4.34,4.15
129.2,2.89,3.51,4.08,4.52,4.52,4.26
129.4,2.74,3.3,3.81,4.31,4.73,4.87
129.6,2.85,3.44,3.89,4.28,4.41,4.37
129.8,2.88,3.43,3.9,4.28,4.41,4.28
130,2.87,3.43,3.9,4.33,4.48,4.34
130.2,2.83,3.35,3.83,4.25,4.56,4.64
130.4,2.88,3.44,3.92,4.32,4.37,4.14
130.6,2.76,3.3,3.68,3.95,4.11,4.09
130.8,2.96,3.49,4.01,4.43,4.49,4.34
131,2.75,3.31,3.73,3.99,4.15,4.13
131.2,2.74,3.27,3.77,4.22,4.22,3.96
131.4,2.98,3.59,4.09,4.57,4.83,4.85
131.6,2.77,3.3,3.81,4.27,4.52,4.46
131.8,2.9,3.51,4.01,4.44,4.74,4.92
132,3.25,4.02,4.69,5.31,5.33,4.87
132.2,2.88,3.5,4.07,4.62,4.94,5
132.4,2.84,3.41,3.83,4.19,4.42,4.44
132.6,2.84,3.4,3.85,4.26,4.33,4.15
132.8,2.95,3.56,4.07,4.54,4.93,5.19
133,2.6,3.11,3.57,3.97,4.09,3.9
133.2,3.09,3.76,4.34,4.78,5.06,5.12
133.4,3,3.6,4.12,4.56,4.62,4.43
133.6,3,3.65,4.14,4.51,4.6,4.43
133.8,3.05,3.68,4.19,4.62,4.78,4.67
134,2.93,3.55,4.09,4.51,4.66,4.59
134.2,3.32,4.1,4.62,5.02,5.23,5.1
134.4,3.04,3.74,4.41,4.83,4.64,4.22
134.6,3.02,3.78,4.52,5.28,5.7,5.48
134.8,2.97,3.64,4.3,5.06,5.59,5.83
135,2.78,3.4,3.88,4.28,4.44,4.35
135.2,2.89,3.5,4.04,4.53,4.77,4.65
135.4,2.85,3.44,3.93,4.38,4.63,4.66
135.6,3.1,3.74,4.19,4.49,4.67,4.67
135.8,3.03,3.69,4.31,4.74,4.59,4.17
136,2.86,3.47,4.04,4.56,4.9,4.95
136.2,2.88,3.45,3.98,4.51,4.83,4.95
136.4,2.89,3.45,3.91,4.33,4.48,4.42
136.6,3,3.6,4.12,4.56,4.8,4.81
136.8,2.88,3.52,4.02,4.46,4.59,4.49
137,2.99,3.61,4.19,4.74,4.93,4.82
137.2,2.91,3.58,4.07,4.49,4.73,4.65
137.4,3.02,3.7,4.32,4.9,5,4.84
137.6,3.15,3.98,4.68,5.25,5.56,5.32
137.8,3.41,4.23,5.06,5.84,5.88,5.52
138,3,3.7,4.31,4.83,5.2,5.26
138.2,2.91,3.52,4.05,4.53,4.75,4.69
138.4,2.9,3.47,4.01,4.5,4.72,4.74
138.6,2.78,3.36,3.77,4.05,4.21,4.23
138.8,2.75,3.29,3.73,4.12,4.25,4.17
139,2.89,3.48,3.96,4.35,4.47,4.42
139.2,2.74,3.32,3.77,4.19,4.49,4.58
139.4,2.55,3.05,3.47,3.85,4,3.96
139.6,3.01,3.61,3.97,4.22,4.4,4.47
139.8,2.61,3.16,3.6,4.02,4.05,3.81
140,3.1,3.78,4.37,4.88,5.28,5.35
140.2,2.93,3.58,4.07,4.54,4.6,4.32
140.4,3.11,3.78,4.33,4.75,4.94,4.91
140.6,3.15,3.81,4.39,4.89,5.03,4.91
140.8,3.04,3.69,4.22,4.66,4.76,4.63
141,3.14,3.9,4.57,5.15,5.41,5.25
141.2,3.17,3.91,4.57,5.22,5.54,5.46
141.4,2.91,3.55,4.11,4.62,4.85,4.85
141.6,2.94,3.55,4.1,4.57,4.77,4.66
141.8,3.22,3.9,4.49,5.03,5.32,5.42
142,2.98,3.63,4.13,4.56,4.77,4.73
142.2,3.18,3.86,4.46,4.92,5.01,4.86
142.4,3.08,3.75,4.31,4.74,4.89,4.73
142.6,2.99,3.62,4.16,4.72,5.1,5.27
142.8,3.25,3.92,4.46,4.89,5.03,4.88
143,3.2,3.91,4.52,5.12,5.46,5.39
143.2,3.19,3.9,4.62,5.4,5.86,6.01
143.4,3.05,3.74,4.37,4.97,5.29,5.3
143.6,3.09,3.76,4.4,5.05,5.42,5.42
143.8,3.03,3.69,4.21,4.65,4.96,5.07
144,2.87,3.5,4.06,4.56,4.67,4.52
144.2,3.2,3.91,4.58,5.28,5.89,6.14
144.4,3.26,3.98,4.62,5.08,5.09,4.9
144.6,2.79,3.43,4.01,4.55,4.76,4.61
144.8,3.09,3.78,4.35,4.86,5.2,5.33
145,3.05,3.77,4.44,5.03,5.11,4.84
145.2,3.31,4.08,4.73,5.25,5.65,5.76
145.4,3.08,3.8,4.51,5.22,5.29,4.99
145.6,3.15,3.92,4.68,5.54,6.19,6.3
145.8,2.94,3.56,4.18,4.83,5.27,5.5
146,2.91,3.52,4.05,4.6,4.9,4.97
146.2,2.9,3.51,4.03,4.52,4.8,4.84
146.4,2.97,3.58,4.19,4.79,5.11,5.16
146.6,2.81,3.42,3.93,4.48,4.89,5.1
146.8,2.71,3.29,3.77,4.23,4.44,4.46
147,3.21,3.91,4.41,4.89,5.21,5.3
147.2,3.11,3.76,4.36,4.87,5.03,4.92
147.4,3.04,3.74,4.31,4.86,5.26,5.41
147.6,2.76,3.31,3.78,4.21,4.38,4.33
147.8,3.28,4.03,4.65,5.13,5.34,5.3
148,3.13,3.9,4.62,5.29,5.42,5.12
148.2,3.01,3.69,4.29,4.92,5.39,5.57
148.4,2.8,3.38,3.92,4.42,4.62,4.65
148.6,2.82,3.43,3.93,4.45,4.75,4.79
148.8,2.84,3.45,3.97,4.39,4.62,4.66
149,3.06,3.78,4.35,4.91,5.18,5.17
149.2,2.98,3.64,4.24,4.85,5.1,5.07
149.4,3.13,3.81,4.39,4.9,5.2,5.22
149.6,3.25,3.98,4.7,5.4,5.62,5.47
149.8,2.96,3.62,4.16,4.7,5.13,5.31
150,2.99,3.64,4.23,4.72,4.84,4.76
150.2,3.08,3.82,4.46,5.03,5.43,5.53
150.4,3.1,3.82,4.49,5.19,5.44,5.41
150.6,3.09,3.8,4.49,5.19,5.69,5.91
150.8,3.15,3.85,4.43,4.96,5.29,5.38
151,3.05,3.75,4.42,5.14,5.43,5.38
151.2,3.1,3.79,4.41,4.97,5.4,5.58
151.4,2.84,3.46,4.03,4.65,4.94,4.91
151.6,3.15,3.89,4.6,5.3,5.74,5.94
151.8,2.77,3.37,3.86,4.3,4.49,4.43
152,3.17,3.87,4.56,5.22,5.63,5.81
152.2,3.07,3.8,4.3,4.69,4.89,4.85
152.4,3.24,3.96,4.67,5.27,5.42,5.31
152.6,3.15,3.88,4.48,5.05,5.48,5.63
152.8,3.25,3.97,4.67,5.28,5.35,5.15
153,3.04,3.78,4.38,4.85,5.13,5.11
153.2,3.25,3.99,4.64,5.32,5.7,5.81
153.4,3.18,3.92,4.54,5.01,5.21,5.18
153.6,3.01,3.72,4.38,5.08,5.44,5.44
153.8,3.14,3.86,4.48,5.1,5.47,5.65
154,3.07,3.75,4.27,4.72,4.99,4.98
154.2,3.17,3.85,4.48,5.05,5.26,5.31
154.4,3.02,3.71,4.27,4.8,5.14,5.18
154.6,2.96,3.59,4.14,4.66,4.91,4.96
154.8,3.15,3.87,4.41,4.82,5.03,5.04
155,2.97,3.6,4.15,4.63,4.78,4.72
155.2,3.19,3.91,4.5,5.03,5.37,5.51
155.4,2.84,3.48,4.01,4.52,4.73,4.63
155.6,3.26,3.99,4.62,5.3,5.79,6.02
155.8,2.83,3.4,3.89,4.34,4.59,4.67
156,3.23,3.93,4.57,5.12,5.37,5.29
156.2,3.04,3.72,4.26,4.79,5.11,5.21
156.4,2.96,3.65,4.23,4.84,5.2,5.24
156.6,3.18,3.92,4.55,5.14,5.37,5.38
156.8,3.03,3.74,4.35,4.89,5.21,5.23
157,3.11,3.79,4.43,5.02,5.35,5.43
157.2,3.08,3.77,4.32,4.83,5.1,5.2
157.4,3.04,3.68,4.26,4.88,5.26,5.35
157.6,3.08,3.75,4.28,4.74,4.96,5
157.8,2.85,3.47,3.98,4.49,4.75,4.79
158,3.1,3.81,4.4,4.99,5.38,5.57
158.2,3.13,3.84,4.43,5.01,5.32,5.31
158.4,3.09,3.77,4.39,5.02,5.33,5.39
158.6,3.01,3.66,4.21,4.69,4.98,4.99
158.8,2.99,3.61,4.23,4.91,5.29,5.42
159,3.19,3.95,4.57,5.14,5.49,5.6
159.2,2.83,3.48,4.07,4.65,4.91,4.92
159.4,2.94,3.6,4.18,4.74,5.16,5.4
159.6,2.93,3.54,4.09,4.63,4.85,4.82
159.8,3.08,3.81,4.42,5.01,5.46,5.64
160,3.08,3.79,4.42,5.08,5.37,5.34
160.2,3.15,3.85,4.47,5.05,5.41,5.5
160.4,2.93,3.5,4.04,4.57,4.89,4.99
160.6,3.35,4.14,4.7,5.13,5.35,5.36
160.8,3.1,3.84,4.5,5.21,5.52,5.46
161,3.21,3.91,4.65,5.43,6.02,6.35
161.2,2.9,3.52,4.11,4.69,5.02,5.15
161.4,3.27,3.98,4.57,5.2,5.54,5.61
161.6,3.27,4.04,4.78,5.53,5.86,5.81
161.8,3.33,4.08,4.77,5.46,5.99,6.23
162,3.4,4.18,4.94,5.77,6.21,6.34
162.2,3.41,4.24,4.83,5.34,5.72,5.81
162.4,3.24,3.96,4.58,5.13,5.33,5.28
162.6,3.39,4.2,4.92,5.63,6.01,6.1
162.8,3.21,3.93,4.6,5.23,5.57,5.59
163,3.21,3.86,4.55,5.31,5.81,6.07
163.2,3.33,4.16,4.69,5.19,5.58,5.81
163.4,3.44,4.34,5.16,5.82,5.81,5.42
163.6,3.12,3.89,4.67,5.46,5.95,5.87
163.8,3.3,4.04,4.78,5.6,6.25,6.69
164,3.07,3.8,4.42,5.02,5.33,5.41
164.2,2.99,3.68,4.32,5.03,5.58,5.92
164.4,2.98,3.65,4.25,4.73,4.9,4.86
164.6,3.14,3.85,4.45,5.02,5.48,5.7
164.8,2.96,3.63,4.24,4.8,4.96,4.87
165,3.12,3.91,4.6,5.33,5.86,5.97
165.2,3.3,4.03,4.81,5.66,6.06,6.17
165.4,3.12,3.89,4.52,5.12,5.63,5.75
165.6,3.36,4.19,5.05,5.92,6.22,6.16
165.8,3.17,3.96,4.69,5.46,6.09,6.3
166,3.23,3.95,4.63,5.27,5.56,5.66
166.2,2.99,3.68,4.26,4.81,5.18,5.33
166.4,2.92,3.53,4.14,4.76,5.08,5.16
166.6,3.23,3.98,4.6,5.16,5.53,5.68
166.8,2.94,3.58,4.14,4.69,4.92,4.88
167,3.34,4.1,4.82,5.46,5.81,5.91
167.2,2.79,3.4,3.94,4.49,4.79,4.83
167.4,3.22,3.92,4.56,5.18,5.54,5.66
167.6,3.04,3.76,4.43,5.18,5.7,5.91
167.8,3.18,3.94,4.59,5.22,5.58,5.7
168,3.21,3.97,4.6,5.25,5.64,5.72
168.2,3.49,4.27,4.96,5.56,5.8,5.75
168.4,3.24,4,4.66,5.32,5.74,5.86
168.6,3.18,3.95,4.66,5.35,5.58,5.49
168.8,3.36,4.22,4.97,5.65,6,5.92
169,3.12,3.86,4.57,5.33,5.79,5.9
169.2,3.28,3.97,4.65,5.34,5.77,5.97
169.4,3.22,3.97,4.58,5.17,5.61,5.76
169.6,3.37,4.21,5,5.78,6.03,5.94
169.8,3.3,4,4.66,5.41,5.98,6.17
170,3.33,4.06,4.8,5.57,6.06,6.37
170.2,3.08,3.76,4.36,4.94,5.31,5.4
170.4,3.19,3.91,4.58,5.25,5.6,5.75
170.6,2.9,3.55,4.13,4.76,5.21,5.41
170.8,3.16,3.87,4.51,5.18,5.65,5.93
171,3.02,3.76,4.41,5.14,5.58,5.71
171.2,3.2,3.91,4.65,5.41,5.86,6.02
171.4,2.93,3.58,4.13,4.62,4.96,5.06
171.6,3.38,4.11,4.8,5.48,5.89,6.14
171.8,2.99,3.68,4.33,5,5.34,5.35
172,3.4,4.21,4.95,5.72,6.33,6.7
172.2,3.19,3.89,4.54,5.15,5.34,5.12
172.4,3.4,4.19,4.91,5.68,6.3,6.68
172.6,2.96,3.6,4.21,4.81,5.07,5.01
172.8,3.56,4.42,5.12,5.88,6.48,6.79
173,3.3,4.05,4.77,5.48,5.83,5.84
173.2,3.54,4.4,5.19,5.86,6.33,6.53
173.4,3.06,3.8,4.41,4.99,5.17,5.06
173.6,3.42,4.23,4.97,5.66,6.06,6.2
173.8,3.24,4.05,4.69,5.34,5.75,5.89
174,3.38,4.16,4.9,5.65,5.95,5.95
174.2,3.44,4.3,5.06,5.82,6.44,6.65
174.4,3.34,4.14,4.88,5.63,5.88,5.81
174.6,3.42,4.25,5.06,5.89,6.45,6.59
174.8,3.1,3.8,4.48,5.2,5.75,6.11
175,2.83,3.51,4.14,4.83,5.23,5.38
175.2,3.03,3.75,4.34,4.91,5.32,5.49
175.4,3.06,3.73,4.35,5,5.34,5.47
175.6,3.55,4.37,5.07,5.79,6.27,6.48
175.8,3.02,3.69,4.3,4.88,5.2,5.22
176,3.47,4.24,4.89,5.55,5.99,6.26
176.2,3.08,3.78,4.43,5.09,5.48,5.6
176.4,3.37,4.16,4.82,5.38,5.72,5.79
176.6,3.4,4.25,5.06,5.87,6.14,6.09
176.8,3,3.71,4.44,5.26,5.82,5.91
177,3.43,4.26,4.94,5.62,6.16,6.54
177.2,2.96,3.65,4.29,4.93,5.23,5.24
177.4,3.13,3.84,4.52,5.3,5.91,6.31
177.6,2.96,3.6,4.18,4.78,5.17,5.34
177.8,3.07,3.8,4.47,5.17,5.62,5.87
178,2.89,3.57,4.14,4.72,5.12,5.28
178.2,3.18,3.91,4.58,5.25,5.59,5.7
178.4,3.11,3.81,4.49,5.22,5.73,5.94
178.6,3.31,4.08,4.82,5.68,6.25,6.54
178.8,3.26,4.06,4.78,5.5,5.87,5.94
179,3.45,4.22,4.89,5.6,6.08,6.27
179.2,3.23,3.96,4.61,5.23,5.56,5.64
179.4,3.15,3.87,4.51,5.19,5.65,5.82
179.6,3.39,4.16,4.93,5.72,6.16,6.31
179.8,3.05,3.78,4.39,5.04,5.47,5.6
180,3.45,4.27,5.1,6.03,6.63,6.88
180.2,3.29,4.11,4.79,5.45,5.97,6.25
180.4,3.27,4.07,4.82,5.59,5.82,5.67
180.6,3.49,4.39,5.14,5.88,6.35,6.51
180.8,3.11,3.89,4.7,5.59,5.98,5.8
181,3.4,4.19,4.94,5.78,6.46,6.8
181.2,3.24,3.96,4.64,5.32,5.82,6.16
181.4,3.28,4.07,4.76,5.55,5.93,5.97
181.6,3.63,4.5,5.32,6.16,6.7,6.84
181.8,3.37,4.17,4.97,5.87,6.41,6.55
182,3.6,4.51,5.22,5.93,6.41,6.59
182.2,3,3.66,4.28,4.86,5.11,5.06
182.4,3.66,4.56,5.33,6.05,6.6,6.91
182.6,2.93,3.58,4.21,4.86,5.15,5.23
182.8,3.19,3.97,4.62,5.31,5.84,6.16
183,2.99,3.71,4.39,5.1,5.4,5.38
183.2,3.31,4.1,4.89,5.82,6.52,6.97
183.4,3.21,3.99,4.72,5.52,6.04,6.16
183.6,3.64,4.57,5.47,6.47,6.99,7.13
183.8,3.49,4.35,5.04,5.79,6.39,6.6
184,3.75,4.69,5.51,6.09,6.33,6.39
184.2,3.12,3.88,4.58,5.31,5.65,5.64
184.4,3.46,4.28,5.09,5.93,6.47,6.78
184.6,3.06,3.83,4.44,4.93,5.24,5.28
184.8,3.67,4.62,5.57,6.56,6.89,6.82
185,3.48,4.37,5.16,5.92,6.47,6.6
185.2,3.35,4.12,4.84,5.59,6.04,6.23
185.4,3.37,4.18,4.88,5.56,6,6.23
185.6,3.14,3.91,4.56,5.21,5.57,5.62
185.8,3.43,4.26,5.1,6,6.52,6.76
186,3.44,4.29,4.98,5.73,6.33,6.61
186.2,3.64,4.53,5.34,5.95,6.2,6.21
186.4,3.41,4.25,5,5.68,6.05,5.98
186.6,3.62,4.56,5.37,6.23,6.65,6.75
186.8,3.31,4.11,4.89,5.65,6.05,6.1
187,3.35,4.17,4.96,5.88,6.55,6.87
187.2,3.24,4.04,4.73,5.39,5.76,5.91
187.4,3.45,4.31,5.05,5.81,6.35,6.51
187.6,3.42,4.26,5.04,5.8,6.19,6.3
187.8,3.08,3.83,4.45,5.05,5.44,5.58
188,3.24,3.98,4.68,5.39,5.81,6
188.2,3.33,4.17,4.9,5.66,6.17,6.43
188.4,2.97,3.65,4.29,4.96,5.32,5.44
188.6,3.71,4.62,5.39,6.16,6.68,6.99
188.8,2.99,3.71,4.35,4.98,5.28,5.28
189,3.58,4.44,5.22,5.95,6.34,6.47
189.2,3.27,4.08,4.79,5.49,5.92,6.03
189.4,3.62,4.59,5.54,6.52,6.75,6.62
189.6,3.37,4.23,5.02,5.85,6.42,6.53
189.8,3.48,4.34,5.26,6.33,7.07,7.49
190,3.29,4.1,4.83,5.52,5.95,6.1
190.2,3.35,4.18,5.02,5.91,6.38,6.39
190.4,3.57,4.4,5.19,6.01,6.58,6.89
190.6,3.27,4.03,4.8,5.66,6.08,6.21
190.8,3.48,4.38,5.25,6.19,6.84,6.98
191,3.49,4.39,5.32,6.38,6.89,6.98
191.2,3.27,4.09,4.81,5.49,6.02,6.21
191.4,3.38,4.23,5,5.81,6.24,6.34
191.6,3.19,3.99,4.74,5.56,6.14,6.49
191.8,3.23,4.05,4.77,5.56,6.17,6.52
192,3.47,4.32,5.22,6.17,6.69,6.85
192.2,3.55,4.43,5.29,6.29,7.11,7.54
192.4,3.21,3.97,4.6,5.16,5.56,5.74
192.6,3.54,4.49,5.35,6.12,6.38,6.39
192.8,3.36,4.23,5.07,5.96,6.43,6.39
193,3.73,4.67,5.63,6.65,7.3,7.6
193.2,3.21,4.01,4.82,5.63,6.02,5.93
193.4,4.04,5.07,5.98,6.98,7.78,8.26
193.6,3.46,4.31,5.14,5.98,6.35,6.39
193.8,3.26,4.04,4.84,5.74,6.48,6.86
194,3.34,4.12,4.83,5.57,6.09,6.38
194.2,3.57,4.49,5.25,5.94,6.29,6.36
194.4,3.39,4.23,4.98,5.7,6.15,6.31
194.6,3.51,4.42,5.27,6.23,6.74,6.89
194.8,3.33,4.18,4.99,5.89,6.54,6.86
195,3.4,4.3,5.11,5.93,6.42,6.61
195.2,3.31,4.11,4.88,5.69,6.17,6.31
195.4,3.29,4.11,4.88,5.72,6.29,6.57
195.6,3.2,3.94,4.67,5.45,6.02,6.28
195.8,3.53,4.33,5.07,5.88,6.44,6.75
196,3.29,4.1,4.82,5.56,6.05,6.27
196.2,3.32,4.17,4.98,5.84,6.29,6.41
196.4,3.33,4.15,4.95,5.83,6.46,6.77
196.6,3.46,4.32,5.18,6.12,6.71,6.94
196.8,3.5,4.37,5.08,5.78,6.27,6.46
197,3.44,4.27,5.11,5.95,6.28,6.27
197.2,3.19,4.01,4.79,5.62,6.34,6.7
197.4,3.65,4.55,5.52,6.61,7.26,7.51
197.6,3.43,4.38,5.33,6.44,7,7.14
197.8,3.44,4.27,5.16,6.25,7.16,7.47
198,3.78,4.72,5.58,6.4,7.07,7.5
198.2,3.57,4.57,5.54,6.58,6.84,6.61
198.4,3.36,4.17,4.99,5.93,6.69,7.06
198.6,3.28,4.06,4.79,5.6,6.16,6.53
198.8,3.26,4.05,4.75,5.47,5.95,6.08
199,3.57,4.42,5.28,6.22,6.77,7
199.2,3.27,4.04,4.71,5.46,6.06,6.4
199.4,3.63,4.51,5.28,5.93,6.26,6.34
199.6,3.28,4.12,4.85,5.64,6.1,6.25
199.8,3.36,4.16,4.94,5.79,6.32,6.56
200,3.38,4.22,5,5.77,6.18,6.34
