x,Wp2,Wp4,Wp6,Up2,Up4,Up6,Yp2,Yp4,Yp6,Wp2_rms,Wp4_rms,Wp6_rms,Up2_rms,Up4_rms,Up6_rms,Yp2_rms,Yp4_rms,Yp6_rms
 2.266E-01, 1.058E+00, 1.295E+00, 1.361E+00,-5.872E-01,-1.743E-01,-1.146E-01, 1.838E-01, 1.072E-01, 9.874E-02, 6.571E-01, 6.177E-01, 6.419E-01, 3.461E-01, 4.513E-01, 5.011E-01, 1.498E-01, 1.026E-01, 1.055E-01
 2.422E-01, 9.969E-01, 1.131E+00, 1.142E+00,-5.671E-01,-1.769E-01,-1.262E-01, 1.598E-01, 9.440E-02, 8.573E-02, 6.153E-01, 5.512E-01, 5.711E-01, 3.569E-01, 4.307E-01, 4.853E-01, 1.423E-01, 8.988E-02, 1.008E-01
 2.578E-01, 9.000E-01, 9.270E-01, 9.604E-01,-5.344E-01,-1.857E-01,-1.413E-01, 1.414E-01, 8.060E-02, 7.143E-02, 5.928E-01, 4.547E-01, 5.472E-01, 3.558E-01, 4.115E-01, 4.701E-01, 1.375E-01, 7.669E-02, 9.317E-02
 2.734E-01, 8.309E-01, 7.225E-01, 7.939E-01,-5.001E-01,-1.873E-01,-1.520E-01, 1.310E-01, 6.801E-02, 5.823E-02, 5.428E-01, 4.002E-01, 5.263E-01, 3.433E-01, 4.013E-01, 4.569E-01, 1.333E-01, 6.977E-02, 8.427E-02
 2.891E-01, 7.239E-01, 5.658E-01, 6.542E-01,-4.683E-01,-1.813E-01,-1.510E-01, 1.162E-01, 5.738E-02, 4.844E-02, 5.116E-01, 4.194E-01, 4.699E-01, 3.433E-01, 3.868E-01, 4.491E-01, 1.220E-01, 6.841E-02, 7.822E-02
 3.047E-01, 6.308E-01, 5.125E-01, 5.784E-01,-4.376E-01,-1.837E-01,-1.378E-01, 1.046E-01, 5.042E-02, 4.153E-02, 4.796E-01, 4.249E-01, 4.409E-01, 3.408E-01, 3.719E-01, 4.420E-01, 1.207E-01, 6.713E-02, 7.343E-02
 3.203E-01, 5.939E-01, 4.156E-01, 5.124E-01,-4.058E-01,-1.945E-01,-1.329E-01, 9.684E-02, 4.140E-02, 3.664E-02, 4.652E-01, 4.150E-01, 3.834E-01, 3.340E-01, 3.534E-01, 4.144E-01, 1.162E-01, 5.938E-02, 6.815E-02
 3.359E-01, 4.994E-01, 3.485E-01, 4.413E-01,-3.718E-01,-1.889E-01,-1.402E-01, 8.360E-02, 3.427E-02, 3.066E-02, 4.417E-01, 4.302E-01, 3.577E-01, 3.347E-01, 3.313E-01, 3.742E-01, 1.001E-01, 5.098E-02, 5.978E-02
 3.516E-01, 4.000E-01, 3.157E-01, 3.581E-01,-3.343E-01,-1.786E-01,-1.473E-01, 7.046E-02, 2.983E-02, 2.701E-02, 4.259E-01, 4.332E-01, 3.403E-01, 3.357E-01, 3.248E-01, 3.379E-01, 8.561E-02, 4.546E-02, 5.360E-02
 3.672E-01, 3.193E-01, 2.651E-01, 2.922E-01,-2.990E-01,-1.795E-01,-1.571E-01, 6.074E-02, 2.554E-02, 2.294E-02, 4.182E-01, 3.737E-01, 3.325E-01, 3.338E-01, 3.179E-01, 3.099E-01, 8.369E-02, 4.105E-02, 4.921E-02
 3.828E-01, 2.207E-01, 1.943E-01, 2.193E-01,-2.701E-01,-1.832E-01,-1.605E-01, 4.721E-02, 2.193E-02, 1.725E-02, 3.895E-01, 3.336E-01, 2.850E-01, 3.242E-01, 2.989E-01, 2.908E-01, 7.801E-02, 3.882E-02, 4.225E-02
 3.984E-01, 1.387E-01, 1.536E-01, 1.700E-01,-2.483E-01,-1.823E-01,-1.520E-01, 3.485E-02, 1.873E-02, 1.287E-02, 3.410E-01, 3.115E-01, 2.601E-01, 3.069E-01, 2.771E-01, 2.790E-01, 6.551E-02, 3.808E-02, 3.725E-02
 4.141E-01, 8.014E-02, 9.594E-02, 1.368E-01,-2.384E-01,-1.681E-01,-1.436E-01, 2.499E-02, 1.333E-02, 1.073E-02, 2.875E-01, 3.078E-01, 2.471E-01, 2.857E-01, 2.607E-01, 2.621E-01, 5.500E-02, 3.402E-02, 3.482E-02
 4.297E-01, 1.816E-02, 6.290E-02, 1.082E-01,-2.319E-01,-1.596E-01,-1.453E-01, 1.619E-02, 9.041E-03, 9.379E-03, 2.252E-01, 2.714E-01, 2.406E-01, 2.535E-01, 2.417E-01, 2.461E-01, 4.508E-02, 2.845E-02, 3.116E-02
 4.453E-01,-3.068E-02, 3.052E-02, 9.343E-02,-2.217E-01,-1.593E-01,-1.454E-01, 7.784E-03, 6.120E-03, 7.808E-03, 1.658E-01, 2.291E-01, 2.291E-01, 2.177E-01, 2.175E-01, 2.330E-01, 3.307E-02, 2.153E-02, 2.697E-02
 4.609E-01,-5.775E-02, 4.312E-03, 5.938E-02,-2.169E-01,-1.611E-01,-1.456E-01, 3.486E-03, 3.311E-03, 5.902E-03, 1.326E-01, 1.730E-01, 2.023E-01, 1.751E-01, 1.875E-01, 2.163E-01, 2.352E-02, 1.330E-02, 2.254E-02
 4.766E-01,-4.419E-02,-1.338E-02, 3.696E-02,-2.122E-01,-1.629E-01,-1.560E-01, 8.590E-04, 1.223E-03, 3.590E-03, 1.288E-01, 1.378E-01, 1.610E-01, 1.428E-01, 1.622E-01, 1.908E-01, 6.847E-03, 5.940E-03, 1.542E-02
 4.922E-01,-5.921E-02,-1.466E-02, 2.119E-02,-2.029E-01,-1.579E-01,-1.570E-01, 3.369E-05, 1.220E-04, 1.716E-03, 1.063E-01, 1.316E-01, 1.535E-01, 1.212E-01, 1.410E-01, 1.636E-01, 2.473E-04, 6.990E-04, 7.542E-03
