s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 8.8000595E+001, 3.0135022E+001, 0.0000000E+000,-8.9803364E+000,-1.8941338E+001,-1.2499151E+000, 2.2352503E-002, 0.0000000E+000, 0.0000000E+000, 9.1177494E-001, 9.8578543E-001,-9.2937311E-001, 6.4699995E-004,-1.0412536E-002
 9.0000801E+001, 2.9550970E+001, 0.0000000E+000,-8.6531562E+000,-2.0258054E+001,-1.2719973E+000, 2.1721082E-002, 0.0000000E+000, 0.0000000E+000,-6.8207294E-001,-6.1051635E-001,-9.2442669E-001, 6.4699996E-004,-1.1034595E-002
 9.2001289E+001, 2.9592791E+001, 0.0000000E+000,-8.7364367E+000,-2.0389973E+001,-1.2677327E+000, 2.1526503E-002, 0.0000000E+000, 0.0000000E+000,-8.5722256E-001,-7.7982454E-001,-9.2388575E-001, 6.4699996E-004,-1.1116220E-002
 9.4000412E+001, 2.9709441E+001, 0.0000000E+000,-8.7877545E+000,-1.8582931E+001,-1.4151952E+000, 2.2520159E-002, 0.0000000E+000, 0.0000000E+000, 8.7999609E-001, 9.4608058E-001,-9.3080466E-001, 6.4699995E-004,-1.0192082E-002
 9.6000412E+001, 2.9849667E+001, 0.0000000E+000,-8.7648453E+000,-2.0259654E+001,-1.3528004E+000, 2.2740639E-002, 0.0000000E+000, 0.0000000E+000,-5.6728668E-001,-5.0489178E-001,-9.2432328E-001, 6.4699995E-004,-1.1147233E-002
 9.8001129E+001, 2.9813303E+001, 0.0000000E+000,-8.8377701E+000,-1.8749000E+001,-1.3092434E+000, 2.2445957E-002, 0.0000000E+000, 0.0000000E+000, 8.7503330E-001, 9.3973516E-001,-9.3018195E-001, 6.4699996E-004,-1.0264298E-002
 1.0000143E+002, 2.9615034E+001, 0.0000000E+000,-8.6126429E+000,-1.9356366E+001,-1.3185174E+000, 2.3024131E-002, 0.0000000E+000, 0.0000000E+000, 2.8631528E-001, 3.5053120E-001,-9.2779125E-001, 6.4699995E-004,-1.0652274E-002
 1.0200149E+002, 2.9717047E+001, 0.0000000E+000,-8.6343369E+000,-2.0803055E+001,-1.2366434E+000, 2.2936982E-002, 0.0000000E+000, 0.0000000E+000,-1.0136081E+000,-9.3405172E-001,-9.2236638E-001, 6.4699996E-004,-1.1265203E-002
 1.0400079E+002, 2.9802016E+001, 0.0000000E+000,-8.7147919E+000,-1.8739839E+001,-1.2643218E+000, 2.3284224E-002, 0.0000000E+000, 0.0000000E+000, 1.0347439E+000, 1.1063474E+000,-9.3028901E-001, 6.4699996E-004,-1.0163120E-002
 1.0600043E+002, 2.9973546E+001, 0.0000000E+000,-8.7078077E+000,-2.0331016E+001,-1.2995484E+000, 2.3554807E-002, 0.0000000E+000, 0.0000000E+000,-4.0861159E-001,-3.4127125E-001,-9.2419567E-001, 6.4699996E-004,-1.1014931E-002
 1.0800021E+002, 2.9724378E+001, 0.0000000E+000,-8.7168484E+000,-1.9886296E+001,-1.3627345E+000, 2.3408376E-002, 0.0000000E+000, 0.0000000E+000,-2.8572782E-001,-2.1809286E-001,-9.2579315E-001, 6.4699996E-004,-1.0878824E-002
 1.1000149E+002, 2.9391157E+001, 0.0000000E+000,-8.7062437E+000,-1.9138987E+001,-1.1696194E+000, 2.3391729E-002, 0.0000000E+000, 0.0000000E+000, 3.2764154E-001, 3.9969847E-001,-9.2883337E-001, 6.4699996E-004,-1.0347830E-002
 1.1200053E+002, 2.9814913E+001, 0.0000000E+000,-8.8608000E+000,-1.9014839E+001,-1.1521160E+000, 2.2891869E-002, 0.0000000E+000, 0.0000000E+000, 7.3268795E-001, 8.1004896E-001,-9.2914509E-001, 6.4699995E-004,-1.0415012E-002
 1.1400140E+002, 3.0062667E+001, 0.0000000E+000,-8.7140080E+000,-2.0877543E+001,-1.2798661E+000, 2.3670567E-002, 0.0000000E+000, 0.0000000E+000,-8.5091889E-001,-7.8507944E-001,-9.2199550E-001, 6.4699995E-004,-1.1380210E-002
 1.1600079E+002, 2.9514014E+001, 0.0000000E+000,-8.6889324E+000,-1.9429919E+001,-1.2409803E+000, 2.3250609E-002, 0.0000000E+000, 0.0000000E+000, 1.0600801E-001, 1.7743295E-001,-9.2767681E-001, 6.4699995E-004,-1.0497881E-002
 1.1800027E+002, 2.9541372E+001, 0.0000000E+000,-8.6811953E+000,-1.9279668E+001,-1.1159647E+000, 2.3044401E-002, 0.0000000E+000, 0.0000000E+000, 4.1139615E-001, 4.8758888E-001,-9.2819175E-001, 6.4699995E-004,-1.0490745E-002
 1.2000141E+002, 2.9998661E+001, 0.0000000E+000,-8.8502932E+000,-2.0443381E+001,-1.2126956E+000, 2.3229676E-002, 0.0000000E+000, 0.0000000E+000,-5.5935948E-001,-4.8447947E-001,-9.2371530E-001, 6.4699995E-004,-1.1088878E-002
 1.2200061E+002, 2.9659040E+001, 0.0000000E+000,-8.6161321E+000,-2.0134151E+001,-1.0253149E+000, 2.2760793E-002, 0.0000000E+000, 0.0000000E+000,-1.6633681E-001,-9.3796909E-002,-9.2487259E-001, 6.4699995E-004,-1.0963510E-002
 1.2400015E+002, 2.9663982E+001, 0.0000000E+000,-8.7261144E+000,-1.8581204E+001,-1.0050201E+000, 2.3298698E-002, 0.0000000E+000, 0.0000000E+000, 1.2997104E+000, 1.3749422E+000,-9.3113240E-001, 6.4699996E-004,-9.8359113E-003
 1.2600105E+002, 2.9649401E+001, 0.0000000E+000,-8.6797571E+000,-2.0592219E+001,-9.3771471E-001, 2.3231852E-002, 0.0000000E+000, 0.0000000E+000,-6.0843104E-001,-5.3705820E-001,-9.2322724E-001, 6.4699996E-004,-1.1129974E-002
 1.2800089E+002, 2.9921991E+001, 0.0000000E+000,-8.6964398E+000,-2.1120304E+001,-1.2399507E+000, 2.3850289E-002, 0.0000000E+000, 0.0000000E+000,-1.1779571E+000,-1.1108534E+000,-9.2117115E-001, 6.4699996E-004,-1.1431155E-002
 1.3000047E+002, 2.9563572E+001, 0.0000000E+000,-8.5916659E+000,-1.9959374E+001,-1.2735669E+000, 2.3297862E-002, 0.0000000E+000, 0.0000000E+000,-2.9658214E-001,-2.3773635E-001,-9.2561403E-001, 6.4699996E-004,-1.0860133E-002
 1.3200081E+002, 2.9767913E+001, 0.0000000E+000,-8.5907746E+000,-1.9780843E+001,-1.1981265E+000, 2.2603262E-002, 0.0000000E+000, 0.0000000E+000, 1.4974171E-001, 2.2077210E-001,-9.2636092E-001, 6.4699996E-004,-1.0656209E-002
 1.3400090E+002, 2.9608118E+001, 0.0000000E+000,-8.6335579E+000,-1.8784644E+001,-1.1458612E+000, 2.2480189E-002, 0.0000000E+000, 0.0000000E+000, 9.8674104E-001, 1.0665353E+000,-9.3015928E-001, 6.4699996E-004,-1.0152484E-002
 1.3600020E+002, 2.9997090E+001, 0.0000000E+000,-8.8386392E+000,-1.9298671E+001,-1.0929168E+000, 2.3006606E-002, 0.0000000E+000, 0.0000000E+000, 7.1208722E-001, 7.8986990E-001,-9.2820252E-001, 6.4699996E-004,-1.0380898E-002
 1.3800024E+002, 2.9418829E+001, 0.0000000E+000,-8.6084448E+000,-1.9234396E+001,-1.0245115E+000, 2.3188136E-002, 0.0000000E+000, 0.0000000E+000, 5.0977443E-001, 5.7466557E-001,-9.2848392E-001, 6.4699995E-004,-1.0341041E-002
 1.4000096E+002, 2.9834483E+001, 0.0000000E+000,-8.7461637E+000,-2.1605363E+001,-1.2177699E+000, 2.2485261E-002, 0.0000000E+000, 0.0000000E+000,-1.7802688E+000,-1.7123283E+000,-9.1927367E-001, 6.4699995E-004,-1.1716301E-002
 1.4200021E+002, 2.9872682E+001, 0.0000000E+000,-8.6243384E+000,-2.0274317E+001,-1.2158598E+000, 2.1919776E-002, 0.0000000E+000, 0.0000000E+000,-2.8266342E-001,-2.1991346E-001,-9.2434256E-001, 6.4699995E-004,-1.1040695E-002
 1.4400108E+002, 2.9711133E+001, 0.0000000E+000,-8.7360163E+000,-1.9512309E+001,-1.1501119E+000, 2.2125069E-002, 0.0000000E+000, 0.0000000E+000, 2.6846695E-001, 3.3482097E-001,-9.2738734E-001, 6.4699996E-004,-1.0524103E-002
 1.4600041E+002, 2.9659798E+001, 0.0000000E+000,-8.6269378E+000,-1.9647005E+001,-1.0323155E+000, 2.2044271E-002, 0.0000000E+000, 0.0000000E+000, 2.9263692E-001, 3.7558314E-001,-9.2690712E-001, 6.4699996E-004,-1.0562481E-002
 1.4800002E+002, 2.9414558E+001, 0.0000000E+000,-8.6034158E+000,-1.9960591E+001,-1.0063189E+000, 2.1900883E-002, 0.0000000E+000, 0.0000000E+000,-2.1375298E-001,-1.3386677E-001,-9.2568365E-001, 6.4699996E-004,-1.0747320E-002
 1.5000060E+002, 3.0047343E+001, 0.0000000E+000,-8.7972493E+000,-2.0742903E+001,-1.2125923E+000, 2.2061352E-002, 0.0000000E+000, 0.0000000E+000,-7.5115304E-001,-6.8334063E-001,-9.2259611E-001, 6.4699995E-004,-1.1246309E-002
 1.5200052E+002, 2.9973797E+001, 0.0000000E+000,-8.6890132E+000,-1.9342203E+001,-1.1291151E+000, 2.2514184E-002, 0.0000000E+000, 0.0000000E+000, 7.6554361E-001, 8.3597998E-001,-9.2800461E-001, 6.4699996E-004,-1.0437634E-002
 1.5400055E+002, 2.9511434E+001, 0.0000000E+000,-8.6163291E+000,-1.9714534E+001,-1.1682914E+000, 2.2728038E-002, 0.0000000E+000, 0.0000000E+000,-3.2333716E-002, 3.5007527E-002,-9.2659445E-001, 6.4699996E-004,-1.0652206E-002
 1.5600061E+002, 2.9855060E+001, 0.0000000E+000,-8.6412922E+000,-2.0641802E+001,-1.1573664E+000, 2.2895834E-002, 0.0000000E+000, 0.0000000E+000,-6.2712555E-001,-5.6250502E-001,-9.2313587E-001, 6.4699996E-004,-1.1085389E-002
 1.5800102E+002, 2.9761057E+001, 0.0000000E+000,-8.6931510E+000,-1.9180997E+001,-1.2117481E+000, 2.1945838E-002, 0.0000000E+000, 0.0000000E+000, 6.2949871E-001, 6.9710624E-001,-9.2861444E-001, 6.4699996E-004,-1.0376381E-002
 1.6000064E+002, 2.9544228E+001, 0.0000000E+000,-8.6297859E+000,-1.9751778E+001,-1.2258132E+000, 2.1207520E-002, 0.0000000E+000, 0.0000000E+000,-1.2092455E-001,-4.1941531E-002,-9.2644163E-001, 6.4699995E-004,-1.0681934E-002
 1.6200119E+002, 2.9702018E+001, 0.0000000E+000,-8.6148181E+000,-2.0120469E+001,-1.1130596E+000, 2.2371801E-002, 0.0000000E+000, 0.0000000E+000,-1.9185830E-001,-1.2395650E-001,-9.2501787E-001, 6.4699996E-004,-1.0885841E-002
 1.6400096E+002, 2.9911231E+001, 0.0000000E+000,-8.6826235E+000,-1.9473841E+001,-1.2244371E+000, 2.2870642E-002, 0.0000000E+000, 0.0000000E+000, 4.8232851E-001, 5.5320004E-001,-9.2747669E-001, 6.4699996E-004,-1.0548232E-002
 1.6600014E+002, 2.9633188E+001, 0.0000000E+000,-8.6163226E+000,-1.8844775E+001,-1.1020877E+000, 2.2651364E-002, 0.0000000E+000, 0.0000000E+000, 1.0145667E+000, 1.0926542E+000,-9.2999523E-001, 6.4699996E-004,-1.0132484E-002
 1.6800037E+002, 2.9609466E+001, 0.0000000E+000,-8.5827031E+000,-2.1658079E+001,-1.2297761E+000, 2.2322749E-002, 0.0000000E+000, 0.0000000E+000,-1.9003367E+000,-1.8387696E+000,-9.1911802E-001, 6.4699995E-004,-1.1743375E-002
 1.7000104E+002, 2.9637700E+001, 0.0000000E+000,-8.6439555E+000,-1.8971612E+001,-1.0762344E+000, 2.2314805E-002, 0.0000000E+000, 0.0000000E+000, 8.9519041E-001, 9.6821255E-001,-9.2948308E-001, 6.4699996E-004,-1.0184494E-002
 1.7200026E+002, 2.9842081E+001, 0.0000000E+000,-8.7748648E+000,-1.9137066E+001,-1.0896600E+000, 2.2390012E-002, 0.0000000E+000, 0.0000000E+000, 7.9075328E-001, 8.6288095E-001,-9.2886673E-001, 6.4699995E-004,-1.0303304E-002
 1.7400146E+002, 2.9901037E+001, 0.0000000E+000,-8.7375480E+000,-2.0489558E+001,-1.1091394E+000, 2.2117077E-002, 0.0000000E+000, 0.0000000E+000,-4.8719324E-001,-4.1309143E-001,-9.2352126E-001, 6.4699995E-004,-1.1113543E-002
