flow-time,hrr-total,hrr-kW,time-exp,HHR-theoretical-kW
0.965,16444.93306,16.44493306,,
0.9675,16655.67034,16.65567034,,
0.97,16936.0002,16.9360002,,
0.9725,17157.36618,17.15736618,,
0.975,17475.57553,17.47557553,,
0.9775,17838.08692,17.83808692,,
0.98,18204.66973,18.20466973,,
0.9825,18625.40957,18.62540957,,
0.985,18810.35797,18.81035797,,
0.9875,18972.08629,18.97208629,,
0.99,19135.67961,19.13567961,,
0.9925,19258.25621,19.25825621,,
0.995,19404.08047,19.40408047,,
0.9975,19551.25207,19.55125207,,
1,19719.33251,19.71933251,,
1.0025,19962.94751,19.96294751,,
1.005,20225.88767,20.22588767,,
1.0075,20408.11854,20.40811854,,
1.01,20563.38884,20.56338884,,
1.0125,20654.53646,20.65453646,,
1.015,20784.75046,20.78475046,,
1.0175,20876.97171,20.87697171,,
1.02,20893.06827,20.89306827,,
1.0225,21090.03946,21.09003946,,
1.025,21370.43596,21.37043596,,
1.0275,21535.89656,21.53589656,,
1.03,21861.21962,21.86121962,,
1.0325,22168.05407,22.16805407,,
1.035,22285.57279,22.28557279,,
1.0375,22511.6569,22.5116569,,
1.04,22628.01196,22.62801196,,
1.0425,22593.82696,22.59382696,,
1.045,22711.83136,22.71183136,,
1.0475,22806.79041,22.80679041,,
1.05,22726.05615,22.72605615,,
1.0525,22937.48796,22.93748796,,
1.055,22901.06997,22.90106997,,
1.0575,22974.80405,22.97480405,,
1.06,23103.71893,23.10371893,,
1.0625,23165.89079,23.16589079,,
1.065,23389.25114,23.38925114,,
1.0675,23592.52063,23.59252063,,
1.07,23666.92621,23.66692621,,
1.0725,23780.08657,23.78008657,,
1.075,23866.40318,23.86640318,,
1.0775,23877.06544,23.87706544,,
1.08,24065.73319,24.06573319,,
1.0825,24019.84643,24.01984643,,
1.085,24145.24274,24.14524274,,
1.0875,24277.47664,24.27747664,,
1.09,24316.59286,24.31659286,,
1.0925,24492.58535,24.49258535,,
1.095,24694.08761,24.69408761,,
1.0975,24784.81693,24.78481693,,
1.1,24871.77503,24.87177503,,
1.1025,25037.37327,25.03737327,,
1.105,25052.22743,25.05222743,,
1.1075,25209.90605,25.20990605,,
1.11,25442.40956,25.44240956,,
1.1125,25515.37271,25.51537271,,
1.115,25730.29966,25.73029966,,
1.1175,25848.27905,25.84827905,,
1.12,25923.75969,25.92375969,,
1.1225,26028.53455,26.02853455,,
1.125,26069.93829,26.06993829,,
1.1275,26073.51062,26.07351062,,
1.13,26085.61119,26.08561119,,
1.1325,26069.20187,26.06920187,,
1.135,26047.56917,26.04756917,,
1.1375,26066.76972,26.06676972,,
1.14,26077.21168,26.07721168,,
1.1425,26056.57088,26.05657088,,
1.145,26082.11085,26.08211085,,
1.1475,26041.82505,26.04182505,,
1.15,26046.05974,26.04605974,,
1.1525,26080.63169,26.08063169,,
1.155,26151.6615,26.1516615,,
1.1575,26248.98973,26.24898973,,
1.16,26328.82357,26.32882357,,
1.1625,26387.49199,26.38749199,,
1.165,26494.06096,26.49406096,,
1.1675,26672.61922,26.67261922,,
1.17,26785.20501,26.78520501,,
1.1725,26818.46248,26.81846248,,
1.175,26799.4041,26.7994041,,
1.1775,26839.94154,26.83994154,,
1.18,26759.95627,26.75995627,,
1.1825,26770.20851,26.77020851,,
1.185,26802.0315,26.8020315,,
1.1875,26767.53099,26.76753099,,
1.19,26806.35183,26.80635183,,
1.1925,26756.08105,26.75608105,,
1.195,26754.34966,26.75434966,,
1.1975,26740.63959,26.74063959,,
1.2,26841.61058,26.84161058,,
1.2025,26688.14653,26.68814653,,
1.205,26723.4866,26.7234866,,
1.2075,26746.06169,26.74606169,,
1.21,26679.50197,26.67950197,,
1.2125,26650.99536,26.65099536,,
1.215,26663.81066,26.66381066,,
1.2175,26743.54894,26.74354894,,
1.22,26672.37054,26.67237054,,
1.2225,26636.63984,26.63663984,,
1.225,26797.29574,26.79729574,,
1.2275,26694.29855,26.69429855,,
1.23,26622.10687,26.62210687,,
1.2325,26694.2118,26.6942118,,
1.235,26505.40459,26.50540459,,
1.2375,26493.90121,26.49390121,,
1.24,26516.61979,26.51661979,,
1.2425,26457.27807,26.45727807,,
1.245,26313.71129,26.31371129,,
1.2475,26153.47885,26.15347885,,
1.25,26006.89693,26.00689693,,
1.2525,25712.92415,25.71292415,,
1.255,25269.4081,25.2694081,,
1.2575,24733.50359,24.73350359,,
1.26,24237.683,24.237683,,
1.2625,23657.37218,23.65737218,,
1.265,23127.65998,23.12765998,,
1.2675,22657.1486,22.6571486,,
1.27,22257.86999,22.25786999,,
1.2725,21820.85036,21.82085036,,
1.275,21554.85056,21.55485056,,
1.2775,21264.52697,21.26452697,,
1.28,21100.19894,21.10019894,,
1.2825,20916.19374,20.91619374,,
1.285,20834.6526,20.8346526,,
1.2875,20719.43717,20.71943717,,
1.29,20604.03791,20.60403791,,
1.2925,20571.39443,20.57139443,,
1.295,20516.25821,20.51625821,,
1.2975,20514.74708,20.51474708,,
1.3,20364.08776,20.36408776,,
1.3025,20260.14657,20.26014657,,
1.305,19890.82017,19.89082017,,
