s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,HFG_x5_y10,HFG_x10_y10,HFG_x15_y10,HFG_x22_y10,HFG_x5_y30,HFG_x10_y30,HFG_x15_y30,HFG_x22_y30,HFG_x5_y50,HFG_x10_y50,HFG_x15_y50,HFG_x22_y50,HFG_x5_y70,HFG_x10_y70,HFG_x15_y70,HFG_x22_y70,HFG_x5_y90,HFG_x10_y90,HFG_x15_y90,HFG_x22_y90,HFG_x5_y110,HFG_x10_y110,HFG_x15_y110,HFG_x22_y110,HFG_x5_y130,HFG_x10_y130,HFG_x15_y130,HFG_x22_y130
18.8,28.74,43.18,15.34,4.93,44.84,27.16,13.43,5.07,21.38,21.62,13.36,4.22,5.25,4.09,3.14,1.66,3.77,3.11,3.53,3.04,2.95,2.13,1.78,1.49,2.19,1.76,1.21,0.7
19,22.23,40.91,11.3,3.75,33.28,15.81,6.27,2.58,23.62,12.68,9.07,3.48,20.89,20.77,19.2,4.39,10.37,12.69,6.22,2.35,3.43,4.1,2.82,1.75,1.74,1.97,1.32,0.87
19.2,24.37,40.72,22.91,4.36,42.81,30.24,14.92,3.74,33.74,24.48,14.83,3.78,19.69,17.18,11.4,6.9,8.93,6.67,2.92,1.26,4.65,3.12,2.24,1.58,3.31,3.29,2.57,1.1
19.4,36.79,40.17,20.47,4.17,44.12,15.89,7.44,3.2,35.76,22.02,11,3.49,25.02,13.42,6.27,3.11,14.65,13.53,10.97,5.01,11.06,6.98,4.89,1.61,6.4,3.65,1.56,1.16
19.6,24.93,42.67,19.52,4.5,43.27,24.49,8.19,2.86,35.62,20.75,8.72,2.22,27.46,13.87,5.06,1.63,18.25,6.94,2.41,0.98,7,4.02,1.8,0.86,4.59,3.32,2.36,0.67
19.8,26.34,40.85,16.74,4.36,42.14,28.78,12.01,2.94,31.32,14.5,7.33,2.02,19.85,13.49,8.8,2.06,16.08,14.71,6.55,1.82,11.87,7.92,2.07,0.73,8.89,4.32,1.86,0.82
20,26.18,40.64,29.69,5.08,33.85,22.26,14.01,4.44,22.06,19.85,17.5,10.63,19.41,9.76,5.77,4.39,10.85,4.33,2.08,1.64,5.6,3.4,1.51,0.79,2.97,1.88,1.13,0.45
20.2,36.82,35.78,14.31,4.84,44,21.58,10.42,5.64,32.76,33.93,32.46,16.05,9.57,11.91,13.13,4.51,3.45,4.01,5.12,2.61,2.52,2.64,2.35,1.01,1.89,1.45,0.96,0.48
20.4,21.89,40.45,17.33,4.72,42.76,25.22,9.55,3.66,18.6,7.34,4.87,2.82,13.1,9.98,8.38,3.48,7.67,4.69,4.44,2.67,4.56,3.55,3.68,1.98,3.12,2.81,3.15,1.66
20.6,23.54,40.24,22.94,4.52,36.93,17.61,8.82,3.22,30.44,15.73,13.85,3.69,14.64,7.51,4.7,1.79,9.43,5.29,3.47,2.15,7.26,5.03,3.18,2.32,5.74,3.86,2.45,2
20.8,27.57,38.65,19.02,4.87,51.32,28.82,14.86,4.03,30.85,17.72,9.98,3.55,16.21,10.62,5.06,2.06,5.79,6.05,3.19,0.73,2.9,2.91,1.71,0.85,2,1.26,1.02,0.62
