s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
99.8,3.16,3.95,4.65,5.41,5.92,6.07
100,3.2,4.05,4.82,5.79,6.36,6.55
100,3.33,4.1,4.82,5.65,6.37,7.11
100,3.09,3.86,4.53,5.37,6.04,6.79
101,3.13,3.92,4.66,5.6,6.37,7.09
101,3.31,4.11,4.75,5.53,6.03,6.45
101,2.83,3.47,3.93,4.4,4.64,4.77
101,3.04,3.71,4.23,4.74,5.01,4.88
101,3.23,3.98,4.58,5.21,5.59,5.64
102,3.14,3.86,4.44,5.12,5.61,5.88
102,3.31,4.11,4.74,5.46,5.95,6.56
102,3.58,4.42,5.14,5.87,6.23,6.5
102,3.5,4.31,4.92,5.7,6.16,6.37
102,3.25,3.96,4.58,5.25,5.67,5.83
103,3.17,3.94,4.49,4.99,5.08,4.89
103,3.41,4.24,4.93,5.58,5.9,5.76
103,3.54,4.35,5.06,5.83,6.35,6.49
103,3.66,4.57,5.36,6.14,6.71,7.04
103,3.49,4.38,5.14,6,6.54,6.74
104,3.59,4.41,5.13,5.88,6.21,6.21
104,3.53,4.31,4.9,5.53,5.82,6.01
104,3.24,3.94,4.47,5.04,5.28,5.41
104,3.22,3.93,4.49,5.09,5.36,5.24
104,3.19,3.95,4.54,5.23,5.63,5.77
105,3.47,4.24,4.86,5.53,5.89,5.88
105,3.56,4.36,4.99,5.61,5.97,5.95
105,3.52,4.3,4.92,5.55,5.84,5.77
105,3.52,4.33,4.96,5.61,5.92,5.89
105,3.49,4.33,5.01,5.74,6.12,6.02
106,3.56,4.48,5.37,6.38,7.17,7.42
106,3.32,4.15,4.94,5.92,6.65,7.1
106,3.63,4.6,5.48,6.48,7.21,7.62
106,3.62,4.53,5.25,6.07,6.66,7.49
106,3.3,4.18,4.92,5.94,6.74,7.74
107,3.32,4.18,4.87,5.81,6.48,7.17
107,3.27,4.12,4.78,5.57,5.96,6.12
107,3.28,4.06,4.67,5.35,5.69,5.7
107,3.34,4.2,4.92,5.77,6.27,6.29
107,3.44,4.29,4.97,5.78,6.27,6.2
108,3.53,4.44,5.18,6.04,6.6,6.66
108,3.46,4.3,5.02,5.9,6.5,6.62
108,3.57,4.43,5.15,6.04,6.58,6.78
108,3.29,4.03,4.73,5.55,6.12,6.37
108,3.35,4.14,4.8,5.61,6.19,6.43
109,3.39,4.15,4.88,5.63,6.08,6.23
109,3.5,4.37,5.09,5.94,6.51,6.84
109,3.63,4.6,5.53,6.73,7.57,7.74
109,3.2,3.95,4.64,5.48,6.11,6.29
109,3.45,4.25,4.92,5.67,6.1,6.33
110,3.34,4.15,4.84,5.6,6.03,6.19
110,3.6,4.42,5.08,5.72,6.1,6.23
110,3.41,4.25,4.95,5.7,6.08,6.17
110,3.26,4.04,4.71,5.51,6,6.15
110,3.72,4.6,5.38,6.09,6.57,6.63
111,3.41,4.23,4.94,5.67,6.04,6.07
111,3.39,4.17,4.82,5.54,5.91,5.78
111,3.46,4.32,5.08,5.92,6.4,6.49
111,3.54,4.42,5.15,5.89,6.29,6.34
111,3.75,4.7,5.52,6.48,7.05,7.26
112,3.7,4.67,5.58,6.62,7.29,7.82
112,3.88,4.96,6.02,7.42,8.31,9.03
112,3.68,4.64,5.54,6.63,7.25,7.5
112,3.59,4.47,5.24,6.16,6.79,7.06
112,3.8,4.83,5.69,6.68,7.28,7.55
113,3.64,4.57,5.48,6.6,7.43,7.81
113,3.78,4.79,5.66,6.74,7.52,7.76
113,3.6,4.46,5.18,6.11,6.82,7.1
113,3.52,4.4,5.19,6.19,6.82,6.91
113,3.49,4.36,5.21,6.2,6.87,7.03
114,3.56,4.39,5.2,6.23,7.02,7.28
114,3.56,4.5,5.35,6.37,7.17,7.55
114,3.62,4.54,5.43,6.57,7.27,7.59
114,3.56,4.47,5.29,6.41,7.2,7.87
114,3.48,4.34,5.1,6.03,6.62,6.89
115,3.6,4.46,5.21,6.1,6.68,7.14
115,3.53,4.42,5.17,6.21,7,7.46
115,3.81,4.73,5.52,6.44,7.17,7.29
115,3.73,4.67,5.48,6.3,6.59,6.37
115,3.71,4.69,5.58,6.67,7.4,7.35
116,3.67,4.6,5.54,6.7,7.66,7.92
116,3.75,4.7,5.61,6.83,7.71,8.31
116,3.6,4.51,5.32,6.39,7.23,7.87
116,3.91,4.85,5.76,6.8,7.52,7.97
116,3.79,4.8,5.69,6.83,7.57,8.05
117,3.81,4.78,5.66,6.75,7.5,7.84
117,3.76,4.67,5.4,6.28,6.88,7.06
117,3.81,4.79,5.52,6.3,6.87,6.9
117,3.68,4.66,5.44,6.32,6.78,6.83
117,3.88,4.87,5.72,6.74,7.45,7.56
118,3.88,4.87,5.72,6.76,7.41,7.46
118,3.87,4.82,5.66,6.71,7.39,7.61
118,3.98,4.96,5.84,6.89,7.56,7.95
118,3.97,4.96,5.86,6.97,7.65,7.95
118,3.81,4.73,5.54,6.37,6.85,7.07
119,4.07,5.07,5.89,6.71,7.06,6.98
119,3.85,4.8,5.56,6.3,6.57,6.59
119,3.87,4.85,5.72,6.78,7.46,7.68
119,3.89,4.86,5.71,6.85,7.68,7.97
119,4.11,5.19,6.23,7.53,8.36,8.45
120,3.89,4.87,5.79,6.87,7.52,7.66
120,4.09,5.1,5.99,7.04,7.68,8
120,3.85,4.85,5.8,7.07,7.96,8.57
120,3.89,4.92,5.91,7.14,8,8.68
120,3.82,4.94,5.88,7.1,7.89,8.23
121,4.05,5.06,6.04,7.15,7.89,8.18
121,3.82,4.84,5.8,7.03,7.92,8.19
121,3.81,4.82,5.81,7.03,8.02,8.39
121,3.91,4.97,5.93,7.1,7.91,8.23
121,4.1,5.25,6.35,7.7,8.52,8.68
122,4.05,5.18,6.26,7.67,8.63,9.14
122,4.32,5.42,6.56,7.98,8.99,9.71
122,3.89,4.87,5.72,6.73,7.36,7.77
122,4.06,5.07,6.17,7.27,7.9,8.24
122,3.51,4.46,5.41,6.53,7.29,7.57
123,3.87,4.91,5.93,7.1,8.06,8.75
123,3.53,4.42,5.23,6.1,6.69,6.9
123,3.94,5.03,6.04,7.22,7.98,8.4
123,3.63,4.61,5.55,6.59,7.22,7.39
123,3.81,4.81,5.71,6.81,7.52,7.87
124,3.77,4.74,5.65,6.73,7.41,7.75
124,3.65,4.62,5.44,6.37,6.88,6.95
124,3.71,4.7,5.56,6.55,6.99,7.03
124,3.85,4.92,5.99,7.23,8.02,8.4
124,3.83,4.88,5.94,7.24,8.47,9.37
125,4.06,5.19,6.31,7.79,9.29,10.6
125,3.85,4.92,5.95,7.33,8.63,9.86
125,3.82,4.79,5.71,6.89,7.85,8.62
125,3.9,4.88,5.68,6.65,7.28,7.54
125,4.03,5.09,6.06,7.17,7.92,7.94
126,3.97,4.97,5.9,6.99,7.76,7.94
126,4.14,5.22,6.23,7.43,8.39,8.64
126,3.96,5.04,6.05,7.38,8.38,8.77
126,4.31,5.46,6.55,7.95,8.86,9.11
126,4.2,5.32,6.39,7.7,8.52,8.78
127,3.84,4.87,5.99,7.34,8.26,8.78
127,3.74,4.72,5.7,6.92,7.82,8.21
127,3.74,4.69,5.59,6.72,7.63,8.17
127,3.7,4.63,5.52,6.57,7.36,7.72
127,3.63,4.58,5.44,6.49,7.19,7.47
128,3.59,4.5,5.3,6.18,6.76,6.99
128,3.55,4.49,5.34,6.33,6.96,7.25
128,3.58,4.52,5.36,6.42,7.12,7.49
128,3.8,4.86,5.71,6.77,7.57,7.78
128,3.94,4.97,5.91,6.86,7.35,7.3
129,3.86,4.92,6,7.28,8.13,8.43
129,4.11,5.27,6.44,7.9,9.59,10.6
129,4.29,5.51,6.79,8.44,10.4,11.2
129,4.07,5.2,6.28,7.62,8.92,9.69
129,3.98,4.99,5.99,7.27,8.44,9.57
130,4.12,5.27,6.31,7.71,8.77,9.25
130,4.09,5.15,6.13,7.26,8.04,8.09
130,4.44,5.6,6.63,7.79,8.57,8.58
130,4.16,5.26,6.21,7.21,7.73,7.59
130,4.28,5.45,6.49,7.66,8.42,8.46
131,4.01,5.09,6.13,7.46,8.44,8.94
131,4.08,5.22,6.36,7.9,8.99,9.54
131,4.52,5.72,6.86,8.17,8.83,8.96
131,4.04,5.16,6.18,7.45,8.18,8.54
131,4.28,5.45,6.56,7.97,8.9,9.32
132,4.4,5.65,6.89,8.5,9.66,10.3
132,4.45,5.73,7.08,8.88,10,10.6
132,4.2,5.42,6.67,8.36,9.7,10.5
132,4.51,5.74,7.02,8.68,9.97,10.4
132,4.32,5.58,6.78,8.42,9.66,10.1
133,4.3,5.49,6.73,8.34,9.56,10
133,4.48,5.69,6.96,8.67,9.96,10.3
133,4.47,5.8,7.09,8.77,10.1,10.8
133,4.17,5.35,6.63,8.31,9.53,10.2
133,3.96,4.99,6.12,7.47,8.42,9.2
134,3.81,4.8,5.77,6.94,7.81,8.33
134,3.41,4.3,5.16,6.15,6.91,7.51
134,3.5,4.42,5.3,6.33,7.01,7.31
134,3.55,4.47,5.37,6.41,7.15,7.64
134,3.74,4.76,5.72,6.89,7.76,8.25
135,4.12,5.25,6.32,7.5,8.27,8.7
135,3.95,5.04,6.01,7.15,7.89,8.09
135,4.03,5.09,6.16,7.42,8.26,8.79
135,3.64,4.62,5.5,6.51,7.06,7.34
135,3.93,4.92,5.83,6.87,7.59,8.12
136,3.84,4.93,5.88,7,7.56,7.77
136,3.87,4.93,6,7.29,8.03,8.07
136,4.08,5.21,6.32,7.73,8.75,9.28
136,4.17,5.34,6.51,7.94,9.1,10.1
136,4.22,5.41,6.61,8.12,9.28,10.2
137,4.37,5.56,6.81,8.41,9.61,10.4
137,4.38,5.49,6.52,7.62,8.5,8.76
137,4.24,5.4,6.38,7.56,8.29,8.41
137,4.3,5.48,6.63,8.06,8.98,9.12
137,4.39,5.54,6.64,7.99,9.05,9.42
138,4.56,5.77,7,8.61,9.82,10.3
138,4.41,5.62,6.8,8.28,9.28,9.8
138,4.37,5.51,6.63,8.04,9.08,9.76
138,4.44,5.6,6.77,8.22,9.19,9.58
138,4.43,5.68,6.84,8.23,9.12,9.4
139,4.47,5.75,7.03,8.64,9.71,10.1
139,4.45,5.67,6.95,8.58,9.91,11.1
139,4.4,5.63,6.87,8.48,9.87,11.1
139,4.61,5.93,7.21,8.86,10.3,11.7
139,4.67,5.98,7.33,9.05,10.5,11.7
140,4.58,5.84,7.15,8.75,9.93,10.7
140,4.61,5.91,7.2,8.75,9.7,9.9
140,4.55,5.78,6.95,8.52,9.78,10.6
140,4.32,5.53,6.78,8.44,9.88,10.6
140,4.25,5.46,6.67,8.28,9.62,10.2
141,4.71,6.02,7.39,9.13,10.4,10.7
141,4.46,5.69,7.02,8.72,9.95,10.6
141,4.62,5.97,7.44,9.25,10.6,11.8
141,4.3,5.58,6.91,8.71,10.1,11.1
141,4.35,5.58,6.93,8.92,10.6,12
142,4.36,5.58,6.85,8.44,9.67,10.7
142,4.05,5.18,6.36,7.91,9.07,9.75
142,4.19,5.35,6.58,8.21,9.51,10.2
142,4.11,5.21,6.31,7.54,8.49,9.03
142,3.83,4.85,5.83,7,7.78,8.08
143,3.8,4.81,5.88,7.2,8.25,8.95
143,4.01,5.09,6.24,7.66,8.86,9.56
143,3.9,4.96,6,7.25,8.11,8.59
143,3.75,4.75,5.78,7,7.88,8.32
143,3.83,4.8,5.78,6.92,7.82,8.27
144,3.73,4.69,5.66,6.81,7.66,8.08
144,3.63,4.6,5.53,6.61,7.39,7.75
144,3.44,4.37,5.25,6.29,7.01,7.28
144,3.94,5.05,6.08,7.3,8.12,8.49
144,3.76,4.77,5.71,6.91,7.76,8.09
145,4.22,5.34,6.42,7.67,8.59,9.06
145,3.78,4.81,5.76,6.92,7.65,7.79
145,4.1,5.12,6.17,7.52,8.49,8.99
145,4.17,5.31,6.47,7.87,8.83,9.47
145,4.18,5.27,6.26,7.45,8.33,8.79
146,4.52,5.72,6.9,8.29,9.4,10.1
146,4.34,5.55,6.72,8.2,9.4,10.4
146,4.37,5.55,6.77,8.3,9.51,10.4
146,4.44,5.73,7.02,8.66,9.8,10.1
146,4.49,5.74,7,8.64,9.88,10.5
147,4.42,5.63,6.87,8.5,9.75,10.1
147,4.39,5.54,6.73,8.25,9.54,10
147,4.35,5.53,6.73,8.25,9.35,9.54
147,4.44,5.67,7.04,8.9,10.3,10.9
147,4.39,5.67,7.05,9.01,10.8,11.9
148,4.41,5.68,7.08,8.98,10.6,11.9
148,4.36,5.58,6.96,8.82,10.4,11.7
148,4.24,5.5,6.83,8.46,9.6,10.4
148,4.19,5.3,6.48,7.94,9.02,9.7
148,3.97,5.09,6.22,7.75,8.97,9.56
149,3.97,5.08,6.24,7.63,8.74,9.18
149,4.24,5.41,6.62,8.11,9.15,9.5
149,4.26,5.46,6.69,8.31,9.59,10.2
149,4.16,5.4,6.75,8.58,10,11.2
149,4.25,5.47,6.79,8.48,9.69,10.6
150,4.14,5.31,6.47,7.89,8.74,9.15
150,4.51,5.77,7.06,8.7,9.77,10.1
150,4.4,5.64,6.92,8.56,9.75,10.2
150,4.67,6.02,7.42,9.34,10.9,11.8
150,4.63,5.85,7.23,8.98,10.4,11
151,4.55,5.82,7.13,8.96,10.4,11.1
151,4.59,5.86,7.26,9.08,10.5,11.3
151,4.25,5.43,6.65,8.18,9.27,9.72
151,4.37,5.44,6.57,7.92,8.99,9.67
151,4.03,5.11,6.28,7.74,8.79,9.4
152,3.82,4.88,5.9,7.16,8.13,8.74
152,4.34,5.59,6.91,8.63,10.1,11.2
152,4.26,5.38,6.55,7.82,8.75,9.24
152,4.06,5.2,6.36,7.8,8.84,9.37
152,4.18,5.26,6.38,7.78,8.91,9.52
153,4.22,5.42,6.66,8.18,9.28,9.8
153,4.05,5.13,6.2,7.5,8.53,9.23
153,4.23,5.36,6.55,7.9,8.79,9.11
153,3.91,4.98,6.04,7.39,8.38,8.78
153,4.3,5.53,6.82,8.49,9.79,10.3
154,4.15,5.32,6.55,8.11,9.18,9.74
154,4.29,5.52,6.81,8.45,9.63,10.3
154,4.3,5.45,6.75,8.35,9.86,10.9
154,4.34,5.56,6.9,8.64,10.3,11.4
154,4.35,5.51,6.72,8.2,9.39,10.2
155,4.45,5.69,7.01,8.7,10.1,10.8
155,4.63,5.99,7.46,9.4,11,12.2
155,4.5,5.85,7.28,9.24,10.8,12.1
155,4.49,5.77,7.08,8.84,10.2,11.1
155,4.8,6.13,7.4,9.07,10.3,11
156,4.74,6.11,7.48,9.17,10.2,10.2
156,4.5,5.76,7.07,8.76,10.1,10.6
156,4.61,5.93,7.39,9.44,11.4,12.5
156,4.65,6.03,7.64,10,12.5,14.9
156,4.81,6.25,7.87,10.2,12.6,15.6
157,4.58,5.99,7.5,9.57,11.2,12.6
157,4.34,5.61,7.05,8.98,10.4,11.4
157,4.4,5.64,6.99,8.75,10.2,11.1
157,4.31,5.45,6.72,8.28,9.56,10.3
157,4.17,5.32,6.55,8.13,9.42,10.2
158,4.1,5.25,6.51,8.02,9.17,9.77
158,3.89,4.91,5.97,7.2,8.14,8.66
158,3.96,5.05,6.2,7.62,8.68,9.18
158,3.71,4.73,5.74,6.99,7.97,8.64
158,4.02,5.11,6.32,7.79,8.93,9.55
159,3.85,4.92,5.96,7.22,8.17,8.67
159,4.03,5.08,6.18,7.5,8.43,8.86
159,3.92,4.93,5.99,7.31,8.4,9
159,4.11,5.27,6.49,8.05,9.31,9.93
159,4.43,5.66,6.89,8.39,9.45,10.2
160,4,5.06,6.1,7.32,8.07,8.48
160,4.66,5.9,7.16,8.57,9.48,10
160,4.21,5.37,6.43,7.78,8.53,8.84
160,4.46,5.65,6.88,8.29,9.24,9.69
160,4.35,5.58,6.81,8.25,9.07,9.12
161,4.31,5.51,6.74,8.17,9.09,9.29
161,4.27,5.46,6.69,8.24,9.39,9.89
161,4.52,5.87,7.33,9.32,11,12.4
161,4.46,5.74,7.19,9.14,10.8,11.8
161,4.63,5.85,7.19,8.9,10.2,11.1
162,4.72,6.04,7.4,9.17,10.3,10.6
162,4.47,5.72,6.92,8.44,9.47,9.52
162,4.9,6.27,7.71,9.58,11,11.5
162,4.73,6.05,7.53,9.52,11.1,11.8
162,4.99,6.37,7.91,10.1,11.9,12.8
163,4.98,6.39,7.87,9.78,11.4,12.7
163,5.01,6.42,7.9,9.69,11,11.7
163,4.84,6.24,7.75,9.74,11.1,11.9
163,5.03,6.51,8.07,10.1,11.6,13
163,4.91,6.38,7.96,10.1,11.7,12.6
164,5.04,6.46,8.04,10,11.6,12.7
164,4.56,5.88,7.43,9.47,11.1,12.4
164,4.21,5.34,6.68,8.33,9.59,10.4
164,4.54,5.75,7.12,8.72,9.96,10.6
164,4.05,5.2,6.45,7.89,9.03,9.73
165,4.04,5.24,6.51,8.05,9.13,9.65
165,4.05,5.25,6.46,8.05,9.28,10
165,4.14,5.25,6.4,7.76,8.85,9.57
165,3.98,5.06,6.21,7.52,8.47,8.97
165,3.9,5.01,6.14,7.58,8.75,9.48
166,4.12,5.21,6.33,7.73,8.82,9.5
166,4.23,5.35,6.49,7.97,9.15,9.72
166,4.46,5.69,6.93,8.4,9.47,10.1
166,4.23,5.42,6.63,8.09,9.16,9.55
166,4.35,5.58,6.96,8.77,10.2,11.1
167,4.53,5.93,7.47,9.58,11.7,13.2
167,4.82,6.35,8.11,10.5,13.4,15
167,4.8,6.38,8.3,11.4,16.2,19.3
167,4.82,6.24,7.98,10.8,14.9,18.5
167,4.51,5.85,7.24,9.25,11.7,14.9
168,4.36,5.62,6.94,8.67,10.1,11.6
168,4.37,5.51,6.74,8.28,9.49,10.2
168,4.07,5.16,6.33,7.76,8.83,9.35
168,4.21,5.38,6.64,8.2,9.42,10.1
168,4.05,5.19,6.35,7.71,8.66,9.13
169,4.12,5.21,6.39,7.69,8.65,9.1
169,4.42,5.75,7.19,8.99,10.3,11
169,4.1,5.22,6.4,7.83,8.88,9.38
169,4.29,5.48,6.78,8.42,9.76,10.4
169,4.13,5.27,6.48,7.98,9.06,9.51
170,4.84,6.2,7.62,9.3,10.4,10.6
170,4.41,5.67,6.96,8.62,9.82,10.5
170,4.62,5.92,7.37,9.25,10.7,11.4
170,4.63,6.04,7.56,9.62,11.4,12.3
170,4.73,6.2,7.8,10,12.1,13.1
171,4.65,5.99,7.58,9.77,12.4,14.5
171,4.97,6.4,8.01,10.2,12.7,15.2
171,4.78,6.19,7.74,9.89,11.9,14
171,4.62,5.98,7.44,9.48,11.2,12.3
171,4.72,6.13,7.64,9.65,11.3,12.1
172,4.93,6.49,8.11,10.4,12.3,12.8
172,4.4,5.71,7.06,8.85,10.3,10.9
172,4.37,5.58,7.01,8.82,10.2,11.1
172,3.98,5.1,6.28,7.74,8.86,9.38
172,4.39,5.55,6.89,8.56,9.87,10.5
173,4.03,5.14,6.3,7.7,8.85,9.7
173,4.09,5.2,6.38,7.85,9,9.59
173,4.31,5.49,6.78,8.41,9.74,10.5
173,4.23,5.37,6.57,7.98,9,9.45
173,4.14,5.27,6.48,7.97,9.14,9.76
174,4.11,5.2,6.36,7.68,8.66,9.21
174,4.05,5.16,6.35,7.76,8.85,9.46
174,4.04,5.15,6.28,7.67,8.72,9.25
174,4.09,5.26,6.38,7.72,8.7,9.26
174,4.34,5.52,6.8,8.42,9.71,10.3
175,4.43,5.65,6.88,8.29,9.29,9.55
175,4.7,6.05,7.5,9.22,10.2,10.4
175,4.65,5.97,7.43,9.3,11,12.2
175,4.88,6.35,8.01,10.2,12.6,14.4
175,4.94,6.43,8.18,10.7,13.7,15.5
176,5.05,6.59,8.36,10.9,13.9,16.1
176,4.86,6.24,7.81,10.1,12.4,14.6
176,4.83,6.18,7.74,9.93,11.9,13.4
176,5.03,6.48,7.99,9.99,11.6,12.2
176,4.83,6.23,7.72,9.68,11.2,11.6
177,4.64,5.91,7.32,9.15,10.6,11.3
177,4.53,5.78,7.16,8.9,10.3,10.9
177,4.45,5.67,6.99,8.71,10.1,10.7
177,4.49,5.77,7.2,9.09,10.6,11.6
177,4.39,5.62,6.88,8.38,9.54,10.1
178,4.05,5.2,6.46,7.93,9.02,9.6
178,4.18,5.29,6.52,8.07,9.29,10
178,4.05,5.14,6.32,7.73,8.87,9.54
178,3.97,5.1,6.28,7.73,8.79,9.36
178,4.07,5.21,6.4,7.83,8.87,9.37
179,4.24,5.44,6.73,8.36,9.64,10.4
179,4.23,5.42,6.68,8.26,9.57,10.4
179,4.34,5.5,6.81,8.46,9.67,10.1
179,4.54,5.82,7.2,8.94,10.2,10.8
179,4.38,5.58,6.85,8.46,9.58,10.2
180,4.61,5.92,7.31,8.93,9.9,10.3
180,4.26,5.38,6.58,8.01,8.95,9.49
180,4.46,5.74,7,8.41,9.32,9.77
180,4.52,5.78,7.05,8.62,9.56,9.78
180,4.92,6.21,7.68,9.44,10.7,11.4
181,4.73,6.05,7.45,9.21,10.6,11.4
181,4.55,5.72,7.09,8.76,10,10.7
181,4.59,5.78,6.99,8.49,9.63,10.3
181,4.46,5.69,6.98,8.41,9.43,9.96
181,4.44,5.68,7.05,8.73,10,10.6
182,4.61,5.93,7.37,9.18,10.6,11.5
182,4.76,6.1,7.56,9.41,10.9,11.8
182,4.32,5.51,6.79,8.39,9.58,10.1
182,4.8,6.12,7.64,9.61,11.1,11.8
182,4.31,5.51,6.82,8.46,9.79,10.5
183,4.18,5.34,6.59,8.12,9.31,10.1
183,4.24,5.44,6.73,8.32,9.6,10.3
183,4.35,5.61,6.94,8.58,9.73,10.2
183,4.76,5.97,7.42,9.14,10.6,11.2
183,4.43,5.66,6.99,8.66,9.91,10.5
184,4.45,5.67,7,8.62,9.84,10.4
184,4.38,5.6,6.91,8.47,9.74,10.5
184,4.36,5.6,6.91,8.45,9.58,10.2
184,4.3,5.5,6.83,8.53,9.82,10.5
184,4.41,5.63,6.92,8.57,9.92,10.7
185,4.33,5.48,6.72,8.25,9.38,9.9
185,4.32,5.52,6.75,8.27,9.46,9.94
185,4.32,5.56,6.88,8.48,9.7,10.2
185,4.21,5.38,6.58,8.09,9.31,9.9
185,4.65,5.98,7.43,9.29,10.7,11.5
186,4.94,6.34,7.9,9.93,11.4,12.6
186,4.58,5.84,7.19,8.91,10.3,11.7
186,4.77,6.1,7.54,9.37,10.9,12.6
186,4.63,5.96,7.36,9.09,10.3,11
186,4.81,6.19,7.61,9.37,10.6,11.2
187,4.98,6.48,8.01,9.91,11.1,11.4
187,4.92,6.44,8.08,10.2,11.7,12.3
187,5.28,6.96,8.82,11.4,13.8,15.1
187,5.14,6.71,8.42,10.8,13.4,15.9
187,5.15,6.66,8.27,10.5,12.7,14.8
188,5.21,6.74,8.37,10.6,12.3,13.4
188,5.21,6.74,8.35,10.6,12.2,12.8
188,5.33,6.88,8.53,10.7,12.4,13.2
188,5.34,6.98,8.78,11.2,12.9,13.6
188,5.15,6.72,8.55,11,12.8,13.7
189,4.6,5.97,7.52,9.64,11.4,12.6
189,4.99,6.57,8.29,10.6,12.4,13.5
189,4.4,5.66,7.04,8.84,10.3,11.1
189,4.77,6.12,7.69,9.68,11.3,12.1
189,4.34,5.59,6.94,8.61,9.95,10.7
190,4.44,5.75,7.15,8.95,10.3,11
190,4.35,5.61,6.94,8.63,9.95,10.7
190,4.76,6.14,7.57,9.44,11.1,12.2
