time(s)_15O2_coarse,Heat release rate(kW)_15O2_coarse,time(s)_15O2_medium,Heat release rate(kW)_15O2_medium,time(s)_15O2_fine,Heat release rate(kW)_15O2_fine,time(s)_17O2_coarse,Heat release rate(kW)_17O2_coarse,time(s)_17O2_medium,Heat release rate(kW)_17O2_medium,time(s)_17O2_fine,Heat release rate(kW)_17O2_fine,time(s)_21O2_coarse,Heat release rate(kW)_21O2_coarse,time(s)_21O2_medium,Heat release rate(kW)_21O2_medium,time(s)_21O2_fine,Heat release rate(kW)_21O2_fine
12.3454,13.7,11.3962,12.3,11.0726,12.3,12.3684,10.5,11.4163,10.2,11.09,17,12.2101,13.9,11.3925,11.3,10.9563,12.3
12.36,14.5,11.4044,11.8,11.08,12.6,12.3811,10.8,11.4236,10.4,11.0968,16.4,12.2222,13.5,11.4001,11.3,10.9628,12.9
12.3743,14.5,11.4124,11.4,11.0874,12.7,12.3968,11.4,11.4311,10.9,11.1031,15.9,12.2341,12.9,11.4081,11.2,10.9694,13.5
12.3893,13.6,11.4208,11.1,11.094,12.9,12.4135,12.2,11.4385,11.6,11.1098,15,12.2466,12.5,11.4158,11.3,10.9755,14.2
12.404,12.5,11.4292,11,11.1012,13.2,12.4301,13.4,11.447,12.8,11.1167,14,12.2596,12,11.4234,11.7,10.9815,14.6
12.4188,11.4,11.4372,11.4,11.1082,13.1,12.4467,14.7,11.4558,14.4,11.1232,13,12.2724,11.8,11.4307,12,10.9875,14.6
12.4329,10.9,11.4458,11.9,11.1144,13.1,12.4651,15,11.4645,15.8,11.129,12.2,12.285,11.7,11.4382,11.9,10.993,14.5
12.4467,10.8,11.4542,12.6,11.121,12.9,12.4837,15.1,11.4737,16.4,11.1346,11.6,12.2965,11.5,11.4458,11.7,10.9987,14.5
12.4608,10.9,11.4616,13.3,11.128,12.8,12.5026,13.9,11.4836,16.2,11.1402,11.2,12.3088,11,11.4532,11.6,11.0048,14.2
12.4741,11.3,11.4687,13.9,11.1343,13.1,12.5216,13.1,11.494,15.8,11.1464,11,12.3211,10.6,11.4604,11.4,11.0109,13.8
12.487,11.7,11.4755,14.5,11.1408,13.5,12.5396,13.3,11.5031,15.4,11.1527,10.9,12.3342,10.9,11.468,11,11.0167,13.7
12.5001,12.2,11.4822,14.9,11.148,13.4,12.5561,13.5,11.5131,14.5,11.1592,10.8,12.347,11.3,11.4758,10.7,11.0223,13.6
12.5142,12.6,11.4887,15.2,11.1549,13.6,12.5711,13.1,11.5236,13.2,11.1655,10.9,12.3598,11.7,11.484,10.4,11.0272,13.5
12.5272,12.9,11.4952,15.3,11.162,13.5,12.5872,13.5,11.5345,11.9,11.1721,11,12.3737,12.6,11.4925,10.1,11.0322,13.1
12.5389,12.8,11.5023,15.3,11.169,12.9,12.6036,13.8,11.5452,10.8,11.179,10.9,12.387,13.6,11.501,9.84,11.0377,12.1
12.5501,12.4,11.5097,15.5,11.1752,12.5,12.62,13.7,11.5563,9.89,11.185,10.8,12.3998,13.9,11.5095,9.59,11.0427,11
12.5613,11.9,11.5169,15.4,11.181,12.5,12.6361,13.1,11.5678,8.88,11.191,10.5,12.4123,13.8,11.5173,9.38,11.0474,10.1
12.5743,11.7,11.5244,15.1,11.1869,12.4,12.6529,11.9,11.5788,8.34,11.1971,10,12.4233,13.5,11.5261,9.35,11.0526,9.31
12.5884,11.8,11.5313,14.5,11.1926,12.5,12.6694,11.2,11.5892,8.43,11.2035,9.48,12.4347,13.1,11.5344,9.53,11.0584,8.83
12.6022,11.7,11.5383,13.8,11.1984,12.8,12.6847,11.3,11.5997,8.74,11.2097,9.06,12.4462,12.9,11.544,10.2,11.0641,8.74
12.6162,11.8,11.5454,13,11.204,13,12.6975,11.6,11.6105,9.01,11.2159,8.75,12.4579,12.7,11.5529,11.2,11.0696,8.79
12.6309,12.2,11.5525,12.4,11.2096,13.2,12.7097,11.9,11.6212,9.27,11.2224,8.59,12.4692,12.4,11.5616,12.6,11.0756,8.91
12.6462,12.7,11.5596,11.8,11.2153,13.6,12.7237,12.3,11.6313,9.69,11.2291,8.51,12.4817,11.9,11.5711,14.7,11.0813,9.08
12.6613,13.5,11.5666,11.4,11.2213,14.1,12.7351,12.5,11.6404,9.96,11.2362,8.58,12.4938,11.2,11.5805,15.8,11.0868,9.33
12.6756,13.8,11.5741,11.2,11.2277,14.1,12.7457,12.7,11.6495,10.3,11.2435,8.98,12.5061,10.8,11.5898,16.3,11.0925,9.67
12.6888,13.9,11.5821,11.1,11.234,13.7,12.7571,13.2,11.6597,10.9,11.2507,9.66,12.5187,10.5,11.598,17,11.0984,10.1
12.7014,13.6,11.59,11.1,11.2404,13.1,12.7704,13.4,11.6702,11.8,11.258,10.6,12.5321,10.8,11.6069,17.3,11.1039,10.5
12.7135,13.4,11.5981,11.3,11.2465,12.6,12.7852,13.6,11.6808,12.5,11.265,11.7,12.545,11.4,11.6171,17.2,11.1097,10.9
12.7266,13.3,11.6056,11.4,11.2522,12.1,12.8026,12.8,11.6915,13.2,11.2723,12.9,12.5593,11.9,11.6275,16.4,11.1158,11.1
12.7407,13.4,11.6132,11.6,11.2576,11.8,12.8216,12.7,11.7022,13.4,11.2793,13.7,12.5742,13,11.638,15.3,11.1218,11.6
12.7545,13.8,11.6209,11.8,11.2628,11.9,12.8409,13.1,11.7128,13.3,11.2866,14.1,12.5887,14,11.6479,13.9,11.127,12.1
12.7689,14,11.6294,11.8,11.268,12,12.858,13.2,11.7235,12.9,11.2942,14.1,12.6012,14.3,11.6581,12.6,11.1326,12.6
12.7837,13.5,11.6377,11.8,11.2731,12,12.8747,13.6,11.7343,12.4,11.3015,14.4,12.6135,14,11.6683,11.8,11.1388,13
12.798,12.5,11.6452,11.8,11.2782,11.8,12.8921,13.9,11.7447,12.5,11.3087,14.6,12.6252,13.6,11.6785,11.1,11.1446,13.3
12.812,11.8,11.652,11.8,11.2838,11.8,12.909,14.7,11.7543,13.1,11.3156,15,12.6378,13,11.6888,10.6,11.1504,13.8
12.8264,11.4,11.6597,11.7,11.2907,11.8,12.9264,14.8,11.7639,13.7,11.323,15,12.6511,12.7,11.6979,10.5,11.1561,14.1
12.841,11.4,11.6679,11.4,11.2972,11.7,12.9429,13.9,11.7728,14.3,11.3302,15.3,12.6655,12.3,11.7074,10.3,11.1619,14
12.8562,11.5,11.6763,11.4,11.3035,11.6,12.9593,12.4,11.782,14.8,11.3374,15.6,12.6793,12,11.7166,10.2,11.1677,13.8
12.8726,11.8,11.6846,11.5,11.3102,11.4,12.977,11.3,11.7911,14.6,11.345,15.7,12.6927,11.4,11.7265,10.1,11.1732,13.9
12.8893,12.2,11.6934,11.8,11.3171,11,12.9941,10.5,11.8,13.8,11.3525,15.5,12.7061,10.8,11.7362,10.1,11.1783,14.1
12.904,12.7,11.7019,12.3,11.3232,10.9,13.0108,10.4,11.8086,13.1,11.3595,15.4,12.7201,10.5,11.7458,10.2,11.1834,14.2
12.9176,13.1,11.7104,13,11.3289,10.7,13.0259,10.5,11.8169,12.3,11.3664,15.5,12.7347,10.7,11.7546,10.2,11.189,14.2
12.9312,13.1,11.719,14,11.3352,10.5,13.0411,11,11.8253,12,11.3729,15.3,12.7492,11.3,11.7635,10.2,11.1954,14.3
12.9448,13,11.7285,15.2,11.3414,10.6,13.0569,11.7,11.8334,11.8,11.3793,14.8,12.7643,11.8,11.7729,10.8,11.2016,14.1
12.9582,12.7,11.7381,15.9,11.348,10.7,13.0733,12.9,11.8415,11.9,11.3861,14.1,12.7792,12.9,11.7822,12.6,11.2075,13.8
12.9717,12.6,11.7471,16.3,11.355,10.5,13.0905,14.1,11.8496,12.2,11.3926,13.3,12.7925,13.7,11.7919,14.8,11.2131,13.5
12.9857,12.4,11.7558,16.1,11.3621,10.5,13.1065,15.3,11.858,12.6,11.3985,12.6,12.8049,14.1,11.8013,16.6,11.2186,13.2
12.9993,12.1,11.7655,15.2,11.369,10.9,13.1219,15.2,11.8666,13,11.4048,11.8,12.8175,14,11.81,17.5,11.2244,13
13.0137,12.3,11.7743,14.3,11.3761,11.2,13.1389,14.7,11.8754,13.5,11.4112,11,12.829,13.6,11.8186,17.7,11.23,12.9
13.0269,12.2,11.7831,13.5,11.3831,11.9,13.1555,13.2,11.8841,14,11.4174,10.4,12.8404,13.2,11.8275,17.1,11.2356,13.1
13.039,12.5,11.7918,12.9,11.3896,12.8,13.1719,12.1,11.8924,14.4,11.4235,9.9,12.8517,12.9,11.8357,16.7,11.241,13.1
13.0511,12.6,11.8006,12.5,11.396,13.7,13.1887,11.3,11.9004,14.6,11.4301,9.59,12.864,12.4,11.8423,16.7,11.2463,13.1
13.0626,12.7,11.8087,11.9,11.4025,14.5,13.205,11.5,11.909,14.6,11.4369,9.42,12.8757,12.1,11.848,16.7,11.2517,12.9
13.0753,12.9,11.8154,11.6,11.4089,15.4,13.2196,12.4,11.9173,14.5,11.4433,9.39,12.8887,11.6,11.8539,16.5,11.2573,12.5
13.0878,13.1,11.8217,11.2,11.4149,15.9,13.2341,13.1,11.9251,14.2,11.4498,9.43,12.9018,11.1,11.8605,16.2,11.2627,12.6
13.1003,13.6,11.8278,11,11.4216,16.1,13.249,12.9,11.9329,13.7,11.4563,9.47,12.9147,10.8,11.8679,15.4,11.2674,12.7
13.1126,14.2,11.8348,11,11.4282,16.5,13.2638,13.9,11.9406,13.3,11.4635,9.5,12.9278,10.6,11.8767,14.5,11.2719,12.8
13.1252,14.3,11.8415,11.1,11.435,16.7,13.2774,14.7,11.9485,12.8,11.4713,9.44,12.9417,10.9,11.886,13.7,11.2767,12.3
13.1388,14.2,11.8479,11,11.4416,16.6,13.2907,14.8,11.9565,12.4,11.4786,9.31,12.9535,11.4,11.8951,13.3,11.2817,11.4
13.1523,13.9,11.8555,10.8,11.4477,17,13.3043,13.7,11.9657,12,11.486,9.01,12.9651,11.9,11.9035,13.5,11.287,10.3
13.1655,13.7,11.8628,10.7,11.4537,17.8,13.3172,12.2,11.9745,11.7,11.4935,8.77,12.9792,12.7,11.9118,13.6,11.2926,9.44
13.1789,13.3,11.8705,10.7,11.4602,18.1,13.3301,11.3,11.9845,11.5,11.5009,8.72,12.9937,13.6,11.9205,13.5,11.2984,8.96
13.1928,12.9,11.8784,11,11.4667,18.1,13.3426,10.8,11.9943,11.6,11.5084,8.95,13.0071,13.9,11.9292,13,11.3042,8.7
13.2059,12.3,11.8857,11.2,11.4734,18.4,13.355,11.1,12.0047,11.5,11.5158,9.47,13.0205,13.7,11.938,12.5,11.3099,8.74
13.2196,11.7,11.8928,11.6,11.4797,18.6,13.3674,11.7,12.0163,11.3,11.5229,10.2,13.0336,13.3,11.9463,12,11.3153,8.97
13.235,11.1,11.8996,11.9,11.4861,18.6,13.3798,12.2,12.0283,10.9,11.5293,10.9,13.0463,13,11.9545,11.5,11.32,9.33
13.2507,10.9,11.9063,12,11.4924,18.3,13.3924,12.6,12.0398,10.7,11.5353,11.6,13.0583,12.7,11.9627,11.1,11.3254,9.79
13.2668,11.2,11.9129,11.8,11.4993,17.5,13.4063,12.7,12.0509,10.6,11.5413,12.4,13.0717,12.4,11.9705,10.8,11.3313,10.4
13.2831,11.8,11.9201,11.3,11.5064,16.5,13.4212,13,12.0618,10.7,11.5474,13.2,13.0841,12,11.9779,10.6,11.3368,10.9
13.2983,12.8,11.9279,10.8,11.5129,15.9,13.4365,13.1,12.0725,11,11.5539,14,13.0957,11.5,11.9849,10.8,11.3415,11.3
13.3124,13.6,11.9353,10.3,11.519,15.3,13.4538,13.4,12.0829,11.5,11.5606,14.6,13.108,11.1,11.9929,11.4,11.3461,11.7
13.3262,14.2,11.9432,9.91,11.5247,14.5,13.4721,13.9,12.0935,12.4,11.5674,15,13.1214,10.8,12.0008,12.6,11.3508,12.1
13.3389,14.3,11.9522,10.1,11.5302,13.6,13.4902,14.4,12.1043,13.4,11.5741,15.3,13.1344,10.9,12.0094,14.2,11.3555,12.6
13.352,14.2,11.9614,10.6,11.5358,12.8,13.5067,15,12.1145,14.3,11.581,15.9,13.1482,11.1,12.0178,15.4,11.3605,13.2
13.3656,13.6,11.9712,11.4,11.5416,12,13.5236,16.3,12.1239,15.1,11.5877,16.5,13.1621,11.6,12.0259,15.9,11.3655,13.8
13.3791,12.9,11.9814,12.3,11.5472,11.4,13.5405,16.4,12.1332,15.7,11.5939,16.8,13.1757,12.3,12.0344,16.1,11.3709,14.4
13.3921,12.5,11.9914,13.3,11.553,11.1,13.5587,15.1,12.1429,15.8,11.6002,16.9,13.1897,13.3,12.0438,16.2,11.3767,15
13.4043,12.3,12.0015,14.3,11.5592,11,13.5762,12.8,12.1526,15.6,11.6066,16.8,13.2036,13.7,12.0536,15.9,11.3824,15.6
13.4166,12.1,12.0114,14.7,11.5656,10.9,13.5929,11.9,12.1617,14.9,11.6129,16.6,13.217,13.8,12.0637,15.2,11.3878,16.1
13.4295,11.7,12.0221,14.4,11.5719,10.8,13.6093,10.5,12.1708,14,11.6192,16.4,13.2305,13.6,12.073,14.4,11.3935,16.2
13.4423,11.4,12.0323,14.3,11.5781,10.9,13.6257,9.92,12.1802,12.8,11.6251,15.9,13.244,13.2,12.0825,13.3,11.3996,16.2
13.4549,11.4,12.0429,14.2,11.5838,11,13.6415,9.47,12.1893,11.7,11.6311,15.4,13.2576,13,12.0921,12.1,11.4052,16.1
13.4665,11.5,12.0512,14.4,11.5901,11.1,13.6581,9.32,12.1982,10.9,11.6372,14.7,13.2712,12.6,12.1024,11.2,11.411,15.9
13.4786,11.7,12.0599,14.3,11.5968,11.5,13.6741,9.64,12.2074,10.3,11.6434,13.8,13.2845,12.2,12.1123,10.8,11.417,15.3
13.4916,12.3,12.069,14.3,11.6035,11.9,13.6902,10.3,12.2171,9.83,11.6492,13,13.2969,11.6,12.121,10.6,11.4234,14.6
13.5059,13.1,12.0775,14.2,11.6101,12.5,13.7066,11.5,12.2268,9.78,11.6547,12.3,13.3092,11.1,12.1289,10.8,11.429,13.9
13.5201,14.1,12.086,14.1,11.6167,13.3,13.7224,12.8,12.2364,10.1,11.6599,11.8,13.3217,10.7,12.1367,11.2,11.4345,13.4
13.5327,14.9,12.0946,13.8,11.6226,14,13.7394,14.1,12.2457,11,11.6655,11.3,13.3352,10.8,12.1462,11.4,11.4398,13.1
13.5448,15.1,12.1033,13.6,11.6293,14.7,13.7555,15.7,12.255,12.3,11.6716,10.9,13.3479,11,12.1554,11,11.4452,12.8
13.5562,14.8,12.1119,13.2,11.6358,15.3,13.7714,15.8,12.2642,13.7,11.6775,10.7,13.361,11.4,12.1653,10.5,11.4507,12.6
13.5678,14.3,12.1203,12.9,11.6421,15.8,13.7883,15.5,12.2741,15,11.6833,10.7,13.375,12,12.1749,10.1,11.4558,12.6
13.58,13.8,12.1286,12.5,11.6485,16,13.8032,15.1,12.283,16,11.6895,10.5,13.3886,13.2,12.1844,9.54,11.4606,12.7
13.5926,13.2,12.1371,12,11.6548,16.3,13.8177,14.1,12.2914,16.5,11.6964,10.1,13.4013,13.7,12.1935,9.17,11.4663,12.6
13.6074,12.7,12.1461,11.5,11.6611,16.5,13.8316,13.2,12.2996,16.9,11.7028,9.78,13.413,13.8,12.2028,9.08,11.4717,12.7
13.6221,12.1,12.1564,11.2,11.6676,16.4,13.8457,12.6,12.309,16.8,11.7098,9.3,13.424,13.7,12.2117,9.37,11.4774,13
13.6367,11.4,12.1667,11,11.6743,16.2,13.8596,12.5,12.3186,16.2,11.7166,8.93,13.4347,13.5,12.2203,9.64,11.4831,13.2
13.6521,11,12.176,10.9,11.681,16.6,13.8735,12.8,12.3282,15.5,11.7231,8.63,13.4447,13.2,12.229,10.1,11.4884,13.1
13.6675,10.8,12.1856,11.1,11.6876,16.9,13.8865,12.9,12.3375,14.9,11.7303,8.39,13.4545,13.1,12.2373,10.7,11.4936,12.8
13.6826,11,12.1952,11.3,11.6947,17.2,13.9003,13.4,12.3462,14.2,11.7374,8.24,13.4648,12.8,12.2452,11.2,11.499,12.4
13.6973,11.7,12.2045,11.6,11.7018,17.4,13.914,14.2,12.3551,13.7,11.7441,8.18,13.4768,12.3,12.2529,11.6,11.5043,12
13.7123,12.7,12.2135,12.2,11.7091,17.3,13.9283,14.3,12.3635,13.5,11.7513,8.31,13.4892,11.9,12.2608,12.1,11.5094,11.8
13.7265,13.4,12.2221,12.7,11.7164,17,13.9414,13.3,12.3715,13.6,11.7588,8.68,13.5012,11.4,12.2694,12.6,11.5147,11.5
13.7401,14.2,12.2302,13.2,11.7235,16.9,13.9552,12.1,12.3803,13.9,11.7663,9.28,13.5136,10.9,12.2778,13.5,11.5197,11.1
13.7532,14.5,12.2381,13.7,11.7306,16.7,13.9695,11.6,12.3893,14.3,11.7737,10.2,13.5259,10.6,12.2856,14.2,11.5243,10.8
13.7668,14.4,12.2466,14.2,11.7378,16.4,13.9838,11.7,12.3975,14.5,11.7806,11.2,13.5386,10.8,12.2931,14.5,11.5289,10.7
13.7799,13.6,12.255,14.5,11.7449,16.4,13.9986,12.2,12.4053,14.3,11.7869,11.9,13.5512,11.1,12.2998,14.6,11.5337,10.7
13.7933,12.9,12.2637,15.2,11.7518,16.3,14.0129,12.3,12.4131,13.9,11.7934,12.4,13.5646,11.5,12.3063,14.9,11.5387,11
13.8066,12.4,12.2731,15.6,11.7582,15.8,14.0292,12.3,12.4206,13.2,11.8001,12.9,13.5774,12.3,12.3125,14.7,11.544,11.5
13.8202,11.9,12.2825,15.5,11.7646,15.6,14.0465,12.3,12.4283,12.3,11.8062,13.5,13.5906,13.4,12.3187,14.7,11.5497,12.2
13.8334,11.6,12.2915,14.9,11.7718,14.9,14.063,12.7,12.4359,11.5,11.8123,14,13.6036,13.9,12.3247,14.7,11.5558,12.9
13.847,11.3,12.3004,14.2,11.7791,14,14.0794,13.3,12.4439,10.8,11.8185,14.5,13.616,13.9,12.3309,14.8,11.5619,13.6
13.8601,11.3,12.3087,13.5,11.7862,13.4,14.0955,13.4,12.4521,10.3,11.8254,14.8,13.6282,13.6,12.3382,14.5,11.5678,14.1
13.8727,11.3,12.3169,12.9,11.7939,13,14.1105,13.3,12.4608,9.62,11.8323,15,13.64,13.4,12.3464,14,11.5735,14.4
13.8862,11.8,12.325,12.5,11.8015,12.6,14.1243,13.2,12.4693,9.11,11.8393,15.1,13.6527,13.1,12.3551,13.3,11.5787,14.7
13.9,12.2,12.3331,12.1,11.8089,12.6,14.1373,12.7,12.4772,9.01,11.8468,15.4,13.665,12.9,12.3639,12.3,11.5843,14.7
13.9149,13.1,12.3417,12,11.8167,12.4,14.1495,12,12.4843,9.12,11.8546,15.7,13.6773,12.3,12.3729,11.1,11.5897,14.6
13.9291,14,12.3504,11.9,11.8247,12.5,14.1631,11.5,12.4913,9.45,11.8623,16,13.6892,12,12.3816,10.4,11.5951,14.5
13.9425,14.6,12.3594,11.7,11.8327,12.6,14.1757,11.4,12.4986,10.2,11.8699,15.9,13.7012,11.9,12.3903,9.93,11.6003,14.4
13.9554,14.7,12.3684,11.5,11.8405,12.8,14.1881,11.5,12.5065,11.2,11.8775,15.7,13.7128,11.5,12.3981,9.97,11.6056,14.2
13.9688,14.2,12.3783,11.4,11.8482,13.5,14.2009,11.9,12.5143,12.4,11.885,15.4,13.7246,10.8,12.4048,9.9,11.6108,14
13.982,13.4,12.3878,11.5,11.8557,14.1,14.2148,12.7,12.5224,13.5,11.8927,15.1,13.7367,10.5,12.4126,9.64,11.6157,13.9
13.9954,13,12.3969,11.5,11.863,14.7,14.2286,13.9,12.5304,14.5,11.9011,14.5,13.7497,10.8,12.4206,9.49,11.6207,13.7
14.0088,12.8,12.4058,11.4,11.8702,15.4,14.243,14.9,12.5381,15.3,11.9089,14.1,13.7625,11.3,12.4286,9.65,11.6258,13.4
14.0231,12.4,12.4145,11.1,11.8772,15.5,14.2579,15,12.5462,15.9,11.916,13.4,13.7761,12,12.4365,10.1,11.6309,13.1
14.0374,11.9,12.4234,11.2,11.8841,15.2,14.2706,14.3,12.5543,15.9,11.9227,12.7,13.7902,13.2,12.444,10.6,11.6362,12.8
14.0521,11.4,12.4316,11.5,11.8911,15,14.2829,13.5,12.562,15.6,11.9293,12.1,13.8044,14.1,12.4517,11.4,11.6418,12.3
14.0668,11.2,12.4399,11.9,11.898,15,14.2944,13,12.5697,15,11.9359,11.5,13.8175,14.1,12.4587,11.8,11.6475,11.8
14.0828,11,12.4488,12.3,11.9046,14.8,14.3053,12.6,12.5773,14.3,11.9418,11,13.8296,13.7,12.4673,12.2,11.6531,11.3
14.0978,11.3,12.4579,12.8,11.9112,14.7,14.3171,12.1,12.5855,13.5,11.9472,10.7,13.8413,13,12.4754,13,11.6587,11
14.1124,12.1,12.4674,13.1,11.918,14.8,14.3313,12,12.5937,12.9,11.953,10.4,13.8526,12.8,12.483,13.5,11.6637,10.8
14.1269,12.8,12.4766,13.3,11.9245,15.1,14.3474,12.1,12.6019,12.3,11.9589,10.2,13.864,12.5,12.4907,13.8,11.6684,10.6
14.1402,13.6,12.485,13.6,11.9308,15.4,14.3627,12.2,12.6101,11.8,11.965,10.1,13.8757,12.2,12.4984,14.4,11.6729,10.3
14.1535,14.1,12.4944,13.9,11.9369,15.6,14.3781,12.4,12.618,11.3,11.9714,10.1,13.8875,11.9,12.5064,14.9,11.6776,10
14.1668,14.3,12.5038,14.6,11.943,15.5,14.393,12.5,12.6259,11.2,11.9778,10.1,13.9001,11.6,12.5145,15.7,11.6829,9.58
14.1796,14,12.5121,15.1,11.949,15.3,14.4095,12.6,12.6337,11.2,11.9839,10.1,13.9129,11.6,12.5227,16.5,11.6888,9.34
14.1923,13.3,12.5209,15.2,11.955,14.9,14.4256,12.7,12.6415,11.4,11.9896,9.92,13.9255,11,12.5317,17.2,11.6941,9.44
14.2059,12.6,12.5302,15.1,11.9613,14.5,14.443,13,12.6494,11.6,11.9954,9.78,13.9372,10.7,12.5406,17.2,11.6989,9.69
14.2187,12.4,12.5391,14.9,11.9675,14,14.4613,13,12.6572,11.7,12.0012,9.64,13.9499,10.9,12.55,16,11.7046,9.99
14.2313,12.4,12.5477,14.6,11.9736,13.7,14.4785,12.6,12.6652,11.8,12.0076,9.4,13.9625,11.3,12.5597,14.6,11.7114,10.5
14.2443,12.3,12.5552,14.3,11.9804,13.4,14.4942,12.8,12.673,11.8,12.0146,9.15,13.9745,11.9,12.5708,13.1,11.7175,11
14.2571,11.8,12.5626,14,11.9872,13,14.5093,14.1,12.6805,11.6,12.0216,8.99,13.9874,12.8,12.5821,11.8,11.7237,11.7
14.2699,11.6,12.5699,13.7,11.9935,12.7,14.5237,14.9,12.6877,11.3,12.0283,9.01,14.0007,13.6,12.5928,11.1,11.73,12.2
14.2816,11.3,12.5771,13.4,12.0004,12.3,14.5372,15.7,12.6948,11,12.0352,9.22,14.0137,13.9,12.6028,10.9,11.7357,12.4
14.2932,11.7,12.5845,13.1,12.0079,11.4,14.5508,15.3,12.7019,10.5,12.0422,9.72,14.0254,13.7,12.6126,10.8,11.7417,12.4
14.3067,12.1,12.5915,12.9,12.0151,10.7,14.5641,13.4,12.709,10,12.0491,10.4,14.0363,13.2,12.6223,11.1,11.748,12.3
14.3214,12.7,12.5987,12.9,12.0226,10.2,14.5777,11.9,12.7161,9.84,12.0559,11.1,14.0472,12.8,12.6316,11.3,11.7541,12.2
14.3362,13.6,12.6061,12.6,12.03,9.54,14.5908,10.8,12.7235,9.71,12.0624,11.7,14.0584,12.5,12.641,11.5,11.7598,12.4
14.3507,14.4,12.6128,12.4,12.0374,9.2,14.6043,10.1,12.7306,9.89,12.0685,12.2,14.0689,12.4,12.6505,11.8,11.7652,12.6
14.365,14.5,12.6194,12.1,12.0452,8.96,14.6183,10.2,12.7389,10.3,12.0738,12.9,14.08,12.2,12.6592,11.9,11.7704,12.8
14.379,14,12.6259,11.9,12.0516,8.85,14.6321,10.6,12.7484,11,12.079,13.3,14.0915,11.9,12.6674,12.2,11.7759,12.9
14.3925,13.5,12.6328,11.7,12.0578,8.9,14.6462,11.3,12.7582,11.6,12.0846,13.7,14.1033,11.2,12.6769,12.2,11.7818,12.8
14.4055,13.3,12.6401,11.7,12.0651,8.86,14.6614,12.2,12.7674,12.6,12.0902,13.9,14.1155,10.7,12.6862,11.8,11.7876,12.7
14.4194,13.3,12.6473,11.7,12.0725,8.67,14.6766,13.1,12.7754,13.8,12.0956,14.2,14.1285,10.5,12.695,11.7,11.7933,12.8
14.4339,12.8,12.6541,11.8,12.0796,8.65,14.6925,14.4,12.7838,15,12.101,14.3,14.142,10.8,12.7034,11.5,11.7987,13
14.4488,12,12.6602,11.9,12.0869,8.72,14.7096,15.3,12.7927,15.9,12.1063,14.2,14.1549,11.3,12.7118,11.2,11.8037,13.2
14.4637,11.1,12.6661,11.8,12.0938,8.81,14.7254,14.9,12.8024,16.4,12.1115,14.2,14.1686,11.9,12.7203,11.2,11.8087,13.4
14.4787,10.9,12.6717,11.7,12.1006,9.14,14.7421,14.1,12.8127,16.4,12.1166,14.2,14.1822,12.6,12.7289,11.1,11.8139,13.4
14.4935,10.9,12.6772,11.5,12.1074,9.54,14.7596,12.9,12.8233,15.5,12.1219,14.5,14.1949,13.5,12.7376,11.2,11.8193,13.4
14.5071,11.2,12.6827,11.4,12.1136,9.92,14.7775,12.5,12.8339,13.7,12.1274,14.9,14.2071,14,12.7455,11.3,11.8246,13.1
14.5209,11.9,12.6885,11.2,12.1195,10.4,14.7953,12.2,12.844,12.7,12.1326,15.2,14.2192,14,12.7526,11.4,11.8295,12.5
14.5346,12.6,12.6953,11,12.1256,10.7,14.8123,12.9,12.8532,12.1,12.1379,15.5,14.2305,13.8,12.7584,11.4,11.8348,11.9
14.5489,13.5,12.7023,10.9,12.1321,10.9,14.8288,14.2,12.862,11.8,12.1434,15.6,14.2427,13.5,12.7641,11.2,11.8399,11.4
14.5628,14.1,12.7092,10.7,12.1382,11.1,14.8448,15.4,12.8708,11.6,12.1481,15.6,14.2556,13.1,12.7702,11.3,11.8445,11
14.5761,14.1,12.7165,10.5,12.1443,11.4,14.8595,14.8,12.8793,11.5,12.1526,15.5,14.2691,13,12.7765,11.4,11.8488,11
14.5895,13.7,12.7239,10.3,12.1508,11.7,14.874,13.5,12.8884,11.7,12.1577,15.4,14.2826,12.4,12.7822,11.6,11.8526,11.1
14.6031,13,12.7317,10,12.1575,11.9,14.8887,12.4,12.8986,11.9,12.1629,15.4,14.2956,11.9,12.7884,11.5,11.8562,11.2
14.6174,12.5,12.7393,9.76,12.1642,12.2,14.9045,11,12.9088,12.2,12.1681,15.1,14.3075,11.5,12.7952,11.3,11.8598,11.5
14.632,12.3,12.7476,9.67,12.1711,12.2,14.921,10.1,12.9193,12.4,12.1732,14.6,14.3203,10.9,12.8025,11.5,11.8641,11.6
14.6466,12.4,12.7567,10,12.1773,12.2,14.938,9.96,12.9301,12.4,12.1783,14,14.3337,10.5,12.8092,11.4,11.8689,11.4
14.6613,11.9,12.7661,10.6,12.1834,12.5,14.9543,9.94,12.9402,12.1,12.1837,13,14.3475,10.8,12.8161,11.2,11.8742,10.8
14.6751,11.7,12.7746,11.4,12.1903,12.8,14.9706,10.3,12.9508,11.8,12.189,12.1,14.3618,11.3,12.8226,11.1,11.8797,10.5
14.6888,11.6,12.7823,12.3,12.1968,13.1,14.9872,11.1,12.9618,11.3,12.1934,11.3,14.3764,11.8,12.8287,10.9,11.8853,10.3
14.7024,12,12.7897,13,12.2026,13.7,,,12.9731,10.9,12.1982,10.6,14.3907,12.9,12.8338,10.8,11.891,10.2
14.7169,12.6,12.7977,13.8,12.2086,14.2,,,12.9838,10.5,12.2034,9.87,14.4046,13.7,12.8386,10.8,11.8964,10.3
