height(cm)_15O2_coarse,Radiative emission (kW/m)_15O2_coarse,height(cm)_15O2_medium,Radiative emission (kW/m)_15O2_medium,height(cm)_15O2_fine,Radiative emission (kW/m)_15O2_fine,height(cm)_17O2_coarse,Radiative emission (kW/m)_17O2_coarse,height(cm)_17O2_medium,Radiative emission (kW/m)_17O2_medium,height(cm)_17O2_fine,Radiative emission (kW/m)_17O2_fine,height(cm)_21O2_coarse,Radiative emission (kW/m)_21O2_coarse,height(cm)_21O2_medium,Radiative emission (kW/m)_21O2_medium,height(cm)_21O2_fine,Radiative emission (kW/m)_21O2_fine
44.5833,3.991832108,26.75,7.893337112,17.8333,7.272175723,44.5833,3.857443149,26.75,8.481137805,17.8333,8.183568636,44.5833,3.785334859,26.75,10.20320842,17.8333,10.33162321
45.4167,3.903863226,27.25,7.842975324,18.1667,7.28389038,45.4167,3.691588244,27.25,8.423926765,18.1667,8.178812794,45.4167,3.580070475,27.25,10.09161073,18.1667,10.33388237
46.25,3.815973032,27.75,7.790805651,18.5,7.294659239,46.25,3.526739447,27.75,8.362508066,18.5,8.173719928,46.25,3.381234589,27.75,9.971551339,18.5,10.33370503
47.0833,3.72808291,28.25,7.736733131,18.8333,7.30466392,47.0833,3.363583248,28.25,8.296841137,18.8333,8.168442965,47.0833,3.189303041,28.25,9.843511418,18.8333,10.33073766
47.9167,3.6400979,28.75,7.680591843,19.1667,7.314008028,47.9167,3.202848847,28.75,8.226926269,19.1667,8.163074465,47.9167,3.004633083,28.75,9.708051617,19.1667,10.32473875
48.75,3.551916602,29.25,7.622151567,19.5,7.322718771,48.75,3.045227373,29.25,8.152753945,19.5,8.157636542,48.75,2.827466248,29.25,9.565810213,19.5,10.31562277
49.5833,3.463464766,29.75,7.561126286,19.8333,7.330756416,49.5833,2.891315782,29.75,8.074257826,19.8333,8.152079108,49.5833,2.657941118,29.75,9.417473578,19.8333,10.30348152
50.4167,3.374728491,30.25,7.497184842,20.1667,7.338030839,50.4167,2.741602843,30.25,7.991289059,20.1667,8.146287186,50.4167,2.49611103,30.25,9.26373643,20.1667,10.28857825
51.25,3.285761472,30.75,7.429970863,20.5,7.34442302,51.25,2.596486137,30.75,7.90361722,20.5,8.140094282,51.25,2.341964228,30.75,9.105263597,20.5,10.27131203
52.0833,3.19666335,31.25,7.359140172,20.8333,7.349807769,52.0833,2.456292629,31.25,7.810954233,20.8333,8.133298208,52.0833,2.195443423,31.25,8.942654697,20.8333,10.25215577
