cm,K,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,cm,kW/m2,kW/m2,cm,kW/m2,cm,kW/m2
z,T_CL,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_Soot,r_rad1,HF,radHF,z_rad,HF_vert,r_rad2,HF_hori
 5.4500000E+001, 5.8716027E+002, 1.8115889E-001, 1.5135670E-002, 4.2096277E-004, 2.2389242E-004, 3.4759321E-002, 4.2096277E-004, 7.6788030E-001, 0.0000000E+000,NaN,NaN,NaN, 7.4311927E+001, 2.6779850E-001,NaN,NaN
 5.5500000E+001, 5.7908228E+002, 1.8192022E-001, 1.4762231E-002, 3.6829635E-004, 1.9443850E-004, 3.3923123E-002, 3.6829635E-004, 7.6846340E-001, 0.0000000E+000,NaN,NaN,NaN, 7.5688073E+001, 2.6674853E-001,NaN,NaN
 5.6500000E+001, 5.7108659E+002, 1.8267506E-001, 1.4385856E-002, 3.2312951E-004, 1.6850182E-004, 3.3094100E-002, 3.2312951E-004, 7.6903022E-001, 0.0000000E+000,NaN,NaN,NaN, 7.7064220E+001, 2.5577415E-001,NaN,NaN
 5.7500000E+001, 5.6296168E+002, 1.8344210E-001, 1.3999088E-002, 2.8230627E-004, 1.4371906E-004, 3.2251901E-002, 2.8230627E-004, 7.6959858E-001, 0.0000000E+000,NaN,NaN,NaN, 7.8440367E+001, 2.5041209E-001,NaN,NaN
 5.8500000E+001, 5.5472895E+002, 1.8422182E-001, 1.3603784E-002, 2.4325383E-004, 1.1981960E-004, 3.1395754E-002, 2.4325383E-004, 7.7017232E-001, 0.0000000E+000,NaN,NaN,NaN, 7.9816514E+001, 2.4513415E-001,NaN,NaN
 5.9500000E+001, 5.4663967E+002, 1.8499185E-001, 1.3212507E-002, 2.0541424E-004, 9.8775137E-005, 3.0549737E-002, 2.0541424E-004, 7.7073631E-001, 0.0000000E+000,NaN,NaN,NaN, 8.1192661E+001, 2.3483872E-001,NaN,NaN
 6.0500000E+001, 5.3876891E+002, 1.8573497E-001, 1.2831795E-002, 1.7230835E-004, 8.1318351E-005, 2.9733005E-002, 1.7230835E-004, 7.7127430E-001, 0.0000000E+000,NaN,NaN,NaN, 8.2568807E+001, 2.2982033E-001,NaN,NaN
 6.1500000E+001, 5.3121530E+002, 1.8643442E-001, 1.2471000E-002, 1.4403209E-004, 6.5807809E-005, 2.8964385E-002, 1.4403209E-004, 7.7177632E-001, 0.0000000E+000,NaN,NaN,NaN, 8.3944954E+001, 2.2488515E-001,NaN,NaN
 6.2500000E+001, 5.2404991E+002, 1.8708832E-001, 1.2132425E-002, 1.1887915E-004, 5.3390983E-005, 2.8245495E-002, 1.1887915E-004, 7.7224262E-001, 0.0000000E+000,NaN,NaN,NaN, 8.5321101E+001, 2.1525732E-001,NaN,NaN
 6.3500000E+001, 5.1728306E+002, 1.8769399E-001, 1.1815768E-002, 9.8917638E-005, 4.4756117E-005, 2.7579329E-002, 9.8917638E-005, 7.7266832E-001, 0.0000000E+000,NaN,NaN,NaN, 8.6697248E+001, 2.1056370E-001,NaN,NaN
 6.4500000E+001, 5.1097325E+002, 1.8824663E-001, 1.1524949E-002, 8.2751829E-005, 3.8790380E-005, 2.6971279E-002, 8.2751829E-005, 7.7305284E-001, 0.0000000E+000,NaN,NaN,NaN, 8.8073394E+001, 2.0141974E-001,NaN,NaN
 6.5500000E+001, 5.0499643E+002, 1.8876029E-001, 1.1253412E-002, 6.9119772E-005, 3.4137561E-005, 2.6406081E-002, 6.9119772E-005, 7.7340784E-001, 0.0000000E+000,NaN,NaN,NaN, 8.9449541E+001, 1.9697157E-001,NaN,NaN
 6.6500000E+001, 4.9912475E+002, 1.8926497E-001, 1.0985611E-002, 5.6900892E-005, 2.9977706E-005, 2.5850792E-002, 5.6900892E-005, 7.7375485E-001, 0.0000000E+000,NaN,NaN,NaN, 9.0825688E+001, 1.9260806E-001,NaN,NaN
 6.7500000E+001, 4.9347597E+002, 1.8975598E-001, 1.0723586E-002, 4.6810102E-005, 2.6078945E-005, 2.5310721E-002, 4.6810102E-005, 7.7409001E-001, 0.0000000E+000,NaN,NaN,NaN, 9.2201835E+001, 1.8414288E-001,NaN,NaN
 6.8500000E+001, 4.8815096E+002, 1.9022055E-001, 1.0474149E-002, 3.9179407E-005, 2.2066626E-005, 2.4800031E-002, 3.9179407E-005, 7.7440485E-001, 0.0000000E+000,NaN,NaN,NaN, 9.3577982E+001, 1.8004457E-001,NaN,NaN
 6.9500000E+001, 4.8313847E+002, 1.9065551E-001, 1.0239706E-002, 3.3233501E-005, 1.7679636E-005, 2.4322174E-002, 3.3233501E-005, 7.7469847E-001, 0.0000000E+000,NaN,NaN,NaN, 9.4954128E+001, 1.7603693E-001,NaN,NaN
 7.0500000E+001, 4.7842042E+002, 1.9106808E-001, 1.0016701E-002, 2.8425665E-005, 1.3098516E-005, 2.3869108E-002, 2.8425665E-005, 7.7497616E-001, 0.0000000E+000,NaN,NaN,NaN, 9.6330275E+001, 1.6829300E-001,NaN,NaN
 7.1500000E+001, 4.7395728E+002, 1.9146556E-001, 9.8024049E-003, 2.3070734E-005, 9.0247413E-006, 2.3432454E-002, 2.3070734E-005, 7.7524442E-001, 0.0000000E+000,NaN,NaN,NaN, 9.7706422E+001, 1.6455520E-001,NaN,NaN
 7.2500000E+001, 4.6965131E+002, 1.9185720E-001, 9.5922140E-003, 1.6465087E-005, 6.0644566E-006, 2.3001809E-002, 1.6465087E-005, 7.7550978E-001, 0.0000000E+000,NaN,NaN,NaN, 9.9082569E+001, 1.5734263E-001,NaN,NaN
