cm,K,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg
z,T_CL,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_Soot
 5.7537879E+001, 5.9936606E+002, 1.7785463E-001, 1.7136823E-002, 2.8472900E-004, 3.4461182E-005, 2.7289362E-002, 2.2331686E-004, 7.7712085E-001, 2.2022492E-005
 5.8542929E+001, 5.8984439E+002, 1.7886745E-001, 1.6619615E-002, 2.3756669E-004, 2.6851269E-005, 2.6537343E-002, 1.8632682E-004, 7.7747826E-001, 1.8341198E-005
 5.9547980E+001, 5.8082368E+002, 1.7980858E-001, 1.6133849E-002, 1.9921942E-004, 2.1615915E-005, 2.5839089E-002, 1.5625052E-004, 7.7780233E-001, 1.5359148E-005
 6.0553030E+001, 5.7212382E+002, 1.8069579E-001, 1.5670129E-002, 1.6929066E-004, 1.8034288E-005, 2.5181558E-002, 1.3277699E-004, 7.7809922E-001, 1.3048448E-005
 6.1558081E+001, 5.6399833E+002, 1.8151162E-001, 1.5238516E-002, 1.4742379E-004, 1.5527874E-005, 2.4577659E-002, 1.1562650E-004, 7.7836472E-001, 1.1369079E-005
 6.2563131E+001, 5.5645972E+002, 1.8226360E-001, 1.4837311E-002, 1.3093587E-004, 1.3628953E-005, 2.4021501E-002, 1.0269480E-004, 7.7860465E-001, 1.0103919E-005
 6.3568182E+001, 5.4940531E+002, 1.8297491E-001, 1.4456543E-002, 1.1672310E-004, 1.1946908E-005, 2.3495617E-002, 9.1547528E-005, 7.7882982E-001, 9.0119516E-006
 6.4573232E+001, 5.4261551E+002, 1.8366858E-001, 1.4085370E-002, 1.0269765E-004, 1.0292049E-005, 2.2982752E-002, 8.0547177E-005, 7.7904962E-001, 7.9289929E-006
 6.5578283E+001, 5.3599135E+002, 1.8434642E-001, 1.3723742E-002, 8.7812785E-005, 8.6071343E-006, 2.2481425E-002, 6.8872773E-005, 7.7926590E-001, 6.7756229E-006
 6.6583333E+001, 5.2954180E+002, 1.8500269E-001, 1.3374063E-002, 7.2916044E-005, 6.9756117E-006, 2.1995981E-002, 5.7189054E-005, 7.7947589E-001, 5.6217851E-006
 6.7588384E+001, 5.2327813E+002, 1.8563335E-001, 1.3037341E-002, 5.9337893E-005, 5.5649963E-006, 2.1529561E-002, 4.6539524E-005, 7.7967667E-001, 4.5708153E-006
 6.8593434E+001, 5.1720132E+002, 1.8623797E-001, 1.2713306E-002, 4.7644371E-005, 4.3820795E-006, 2.1082574E-002, 3.7368134E-005, 7.7986742E-001, 3.6656969E-006
 6.9598485E+001, 5.1128127E+002, 1.8681843E-001, 1.2400660E-002, 3.8112382E-005, 3.4527758E-006, 2.0653666E-002, 2.9892064E-005, 7.8004831E-001, 2.9281459E-006
 7.0603535E+001, 5.0555301E+002, 1.8737575E-001, 1.2099027E-002, 3.0541375E-005, 2.7403117E-006, 2.0242068E-002, 2.3954019E-005, 7.8021993E-001, 2.3427890E-006
 7.1608586E+001, 5.0004926E+002, 1.8790764E-001, 1.1809978E-002, 2.4609306E-005, 2.1865119E-006, 1.9849429E-002, 1.9301417E-005, 7.8038203E-001, 1.8855094E-006
 7.2613636E+001, 4.9477171E+002, 1.8841869E-001, 1.1531286E-002, 1.9967663E-005, 1.7341137E-006, 1.9472320E-002, 1.5660912E-005, 7.8053643E-001, 1.5285867E-006
 7.3618687E+001, 4.8980786E+002, 1.8890278E-001, 1.1266476E-002, 1.6469001E-005, 1.3625145E-006, 1.9115230E-002, 1.2916863E-005, 7.8068154E-001, 1.2597508E-006
 7.4623737E+001, 4.8511862E+002, 1.8935823E-001, 1.1016818E-002, 1.3737288E-005, 1.0718341E-006, 1.8779337E-002, 1.0774343E-005, 7.8081734E-001, 1.0494950E-006
 7.5628788E+001, 4.8058103E+002, 1.8979142E-001, 1.0779287E-002, 1.1217865E-005, 8.3998863E-007, 1.8459868E-002, 8.7983255E-006, 7.8094637E-001, 8.5532414E-007
 7.6633838E+001, 4.7619383E+002, 1.9020836E-001, 1.0550539E-002, 8.9276365E-006, 6.5315728E-007, 1.8152396E-002, 7.0020678E-006, 7.8107037E-001, 6.7897092E-007
 7.7638889E+001, 4.7191160E+002, 1.9061541E-001, 1.0326958E-002, 6.9764690E-006, 5.0836546E-007, 1.7852259E-002, 5.4717404E-006, 7.8119105E-001, 5.2911075E-007
 7.8643939E+001, 4.6771058E+002, 1.9101270E-001, 1.0108474E-002, 5.3575891E-006, 3.9123696E-007, 1.7559353E-002, 4.2020307E-006, 7.8130847E-001, 4.0518483E-007
 7.9648990E+001, 4.6362691E+002, 1.9139889E-001, 9.8958695E-003, 4.0323296E-006, 2.9573645E-007, 1.7274668E-002, 3.1626115E-006, 7.8142229E-001, 3.0408627E-007
 8.0654040E+001, 4.5968944E+002, 1.9177054E-001, 9.6910446E-003, 3.0048694E-006, 2.2113003E-007, 1.7000738E-002, 2.3567603E-006, 7.8153151E-001, 2.2606396E-007
 8.1659091E+001, 4.5589508E+002, 1.9213228E-001, 9.4915083E-003, 2.1916149E-006, 1.6157670E-007, 1.6734134E-002, 1.7189136E-006, 7.8163758E-001, 1.6455676E-007
 8.2664141E+001, 4.5220364E+002, 1.9248637E-001, 9.2960015E-003, 1.6013399E-006, 1.1832353E-007, 1.6473194E-002, 1.2559528E-006, 7.8174114E-001, 1.2006619E-007
 8.3669192E+001, 4.4868434E+002, 1.9282908E-001, 9.1066322E-003, 1.1918866E-006, 8.8205488E-008, 1.6220665E-002, 9.3481300E-007, 7.8184117E-001, 8.9282335E-008
 8.4674242E+001, 4.4535597E+002, 1.9315852E-001, 8.9244931E-003, 9.1457504E-007, 6.7331233E-008, 1.5977936E-002, 7.1731375E-007, 7.8193717E-001, 6.8471474E-008
 8.5679293E+001, 4.4216955E+002, 1.9347242E-001, 8.7508843E-003, 7.1460479E-007, 5.2093714E-008, 1.5746661E-002, 5.6047434E-007, 7.8202857E-001, 5.3480550E-008
 8.6684343E+001, 4.3906239E+002, 1.9377841E-001, 8.5816127E-003, 5.6181687E-007, 4.0547725E-008, 1.5521222E-002, 4.4064068E-007, 7.8211761E-001, 4.2031633E-008
 8.7689394E+001, 4.3611363E+002, 1.9406114E-001, 8.4251838E-003, 4.4419242E-007, 3.1847766E-008, 1.5312919E-002, 3.4838621E-007, 7.8219985E-001, 3.3219815E-008
 8.8694444E+001, 4.3330312E+002, 1.9432120E-001, 8.2812828E-003, 3.5332385E-007, 2.5253373E-008, 1.5121321E-002, 2.7711674E-007, 7.8227547E-001, 2.6414948E-008
 8.9699495E+001, 4.3071444E+002, 1.9455986E-001, 8.1492071E-003, 2.8766324E-007, 2.0467278E-008, 1.4945493E-002, 2.2561822E-007, 7.8234485E-001, 2.1498693E-008
 9.0704545E+001, 4.2828346E+002, 1.9478078E-001, 8.0269437E-003, 2.3703819E-007, 1.6799936E-008, 1.4782740E-002, 1.8591231E-007, 7.8240905E-001, 1.7710295E-008
 9.1709596E+001, 4.2590909E+002, 1.9499904E-001, 7.9061421E-003, 1.9461870E-007, 1.3723764E-008, 1.4621945E-002, 1.5264212E-007, 7.8247248E-001, 1.4538283E-008
 9.2714646E+001, 4.2354328E+002, 1.9521533E-001, 7.7864268E-003, 1.5488084E-007, 1.0896133E-008, 1.4462598E-002, 1.2147517E-007, 7.8253533E-001, 1.1568207E-008
 9.3719697E+001, 4.2119127E+002, 1.9542782E-001, 7.6688143E-003, 1.2066317E-007, 8.4915034E-009, 1.4306056E-002, 9.4637781E-008, 7.8259706E-001, 9.0106027E-009
 9.4724747E+001, 4.1882236E+002, 1.9564139E-001, 7.5505941E-003, 9.3435113E-008, 6.5971466E-009, 1.4148716E-002, 7.3282442E-008, 7.8265911E-001, 6.9755546E-009
 9.5729798E+001, 4.1647588E+002, 1.9585012E-001, 7.4350497E-003, 7.1996897E-008, 5.1044906E-009, 1.3994944E-002, 5.6468155E-008, 7.8271974E-001, 5.3734939E-009
 9.6734848E+001, 4.1416354E+002, 1.9605528E-001, 7.3214775E-003, 5.4822170E-008, 3.9162166E-009, 1.3843801E-002, 4.2997781E-008, 7.8277933E-001, 4.0904133E-009
 9.7739899E+001, 4.1194795E+002, 1.9625014E-001, 7.2136053E-003, 4.1758675E-008, 3.0094980E-009, 1.3700249E-002, 3.2751902E-008, 7.8283592E-001, 3.1147066E-009
 9.8744949E+001, 4.0983877E+002, 1.9644033E-001, 7.1083123E-003, 3.2077467E-008, 2.3303858E-009, 1.3560133E-002, 2.5158798E-008, 7.8289115E-001, 2.3918170E-009
 9.9750000E+001, 4.0778423E+002, 1.9662490E-001, 7.0061354E-003, 2.4976195E-008, 1.8304832E-009, 1.3424167E-002, 1.9589173E-008, 7.8294475E-001, 1.8617596E-009
