s,m/s
Time,"w"
 1.1723467E+000, 3.0815976E+000
 1.1733829E+000, 3.0850460E+000
 1.1744191E+000, 3.0958854E+000
 1.1754553E+000, 3.1113839E+000
 1.1764915E+000, 3.1235778E+000
 1.1775277E+000, 3.1341793E+000
 1.1785639E+000, 3.1426633E+000
 1.1796001E+000, 3.1451877E+000
 1.1806363E+000, 3.1363184E+000
 1.1816725E+000, 3.1205413E+000
 1.1827087E+000, 3.0995513E+000
 1.1837449E+000, 3.0759361E+000
 1.1847811E+000, 3.0479712E+000
 1.1858173E+000, 3.0070627E+000
 1.1868535E+000, 2.9738958E+000
 1.1878897E+000, 2.9500477E+000
 1.1889259E+000, 2.9386740E+000
 1.1899621E+000, 2.9347280E+000
 1.1909983E+000, 2.9379243E+000
 1.1920345E+000, 2.9588357E+000
 1.1930707E+000, 2.9794067E+000
 1.1941069E+000, 3.0083519E+000
 1.1951431E+000, 3.0383882E+000
 1.1961793E+000, 3.0638571E+000
 1.1972155E+000, 3.1012552E+000
 1.1982517E+000, 3.1296169E+000
 1.1992879E+000, 3.1478389E+000
 1.2003241E+000, 3.1638877E+000
 1.2013603E+000, 3.1640502E+000
 1.2023965E+000, 3.1707593E+000
 1.2034327E+000, 3.1824745E+000
 1.2044689E+000, 3.1617551E+000
 1.2055051E+000, 3.1791044E+000
 1.2064254E+000, 3.1570631E+000
 1.2073456E+000, 3.1676421E+000
 1.2082658E+000, 3.1493729E+000
 1.2091861E+000, 3.1534164E+000
 1.2101063E+000, 3.1595975E+000
 1.2110265E+000, 3.1752778E+000
 1.2119467E+000, 3.1896640E+000
 1.2128670E+000, 3.2055219E+000
 1.2137872E+000, 3.2232022E+000
 1.2147074E+000, 3.2366901E+000
 1.2156276E+000, 3.2464850E+000
 1.2165479E+000, 3.2516232E+000
 1.2174681E+000, 3.2488774E+000
 1.2183883E+000, 3.2409302E+000
 1.2193086E+000, 3.2311551E+000
 1.2202288E+000, 3.2088766E+000
 1.2211490E+000, 3.1859781E+000
 1.2220692E+000, 3.1631149E+000
 1.2229895E+000, 3.1391399E+000
 1.2239097E+000, 3.1193336E+000
 1.2248299E+000, 3.1038219E+000
 1.2258422E+000, 3.0908866E+000
 1.2268544E+000, 3.0834310E+000
 1.2278667E+000, 3.0836515E+000
 1.2288789E+000, 3.0901084E+000
 1.2298912E+000, 3.0977210E+000
 1.2309034E+000, 3.1044233E+000
 1.2319157E+000, 3.1109352E+000
 1.2329279E+000, 3.1181924E+000
 1.2339402E+000, 3.1157354E+000
 1.2349524E+000, 3.1064142E+000
 1.2359647E+000, 3.0895560E+000
 1.2369769E+000, 3.0673242E+000
 1.2379892E+000, 3.0415948E+000
 1.2390014E+000, 3.0154364E+000
 1.2400137E+000, 2.9858894E+000
 1.2410259E+000, 2.9590594E+000
 1.2420382E+000, 2.9380484E+000
 1.2430504E+000, 2.9214873E+000
 1.2440627E+000, 2.9122926E+000
 1.2450749E+000, 2.9060471E+000
 1.2460872E+000, 2.9085556E+000
 1.2470994E+000, 2.9181410E+000
 1.2481117E+000, 2.9255863E+000
 1.2491239E+000, 2.9437179E+000
 1.2501362E+000, 2.9637707E+000
 1.2511484E+000, 2.9750351E+000
 1.2521607E+000, 2.9876756E+000
 1.2531729E+000, 3.0042925E+000
 1.2541852E+000, 3.0114402E+000
 1.2551974E+000, 3.0104761E+000
 1.2562097E+000, 3.0122149E+000
