Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,BLNK,HVAC,GEOM,VEGE,Total T_USED (s)
  105, 3.086E+02, 9.843E+03, 4.705E+03, 6.330E+03, 6.873E+03, 1.365E+03, 8.881E+02, 1.804E+01, 3.197E+05, 1.984E+02, 1.239E+05, 0.000E+00, 0.000E+00, 4.557E+03, 0.000E+00, 4.787E+05
  106, 2.750E+02, 9.838E+03, 4.795E+03, 6.321E+03, 6.911E+03, 1.384E+03, 9.317E+02, 1.823E+01, 3.207E+05, 1.998E+02, 1.228E+05, 0.000E+00, 0.000E+00, 4.536E+03, 0.000E+00, 4.787E+05
  107, 4.788E+02, 1.017E+04, 4.789E+03, 6.147E+03, 6.888E+03, 1.238E+03, 1.513E+03, 2.021E+01, 3.171E+05, 1.970E+02, 1.258E+05, 0.000E+00, 0.000E+00, 4.410E+03, 0.000E+00, 4.787E+05
  108, 1.157E+03, 1.023E+04, 4.687E+03, 6.146E+03, 6.801E+03, 1.211E+03, 1.722E+03, 2.027E+01, 3.166E+05, 2.027E+02, 1.255E+05, 0.000E+00, 0.000E+00, 4.451E+03, 0.000E+00, 4.787E+05
  109, 1.312E+03, 1.017E+04, 4.646E+03, 6.148E+03, 6.790E+03, 1.220E+03, 2.275E+03, 2.010E+01, 3.141E+05, 2.061E+02, 1.274E+05, 0.000E+00, 0.000E+00, 4.413E+03, 0.000E+00, 4.787E+05
  110, 1.298E+03, 1.003E+04, 4.752E+03, 6.159E+03, 6.820E+03, 1.219E+03, 2.249E+03, 2.027E+01, 3.128E+05, 1.983E+02, 1.287E+05, 0.000E+00, 0.000E+00, 4.433E+03, 0.000E+00, 4.787E+05
  111, 1.503E+03, 1.013E+04, 4.791E+03, 5.911E+03, 6.680E+03, 1.069E+03, 3.514E+03, 2.043E+01, 3.167E+05, 1.970E+02, 1.238E+05, 0.000E+00, 0.000E+00, 4.299E+03, 0.000E+00, 4.787E+05
  112, 4.727E+02, 9.858E+03, 4.636E+03, 5.916E+03, 6.685E+03, 1.173E+03, 2.063E+03, 1.998E+01, 3.140E+05, 1.912E+02, 1.293E+05, 0.000E+00, 0.000E+00, 4.309E+03, 0.000E+00, 4.787E+05
  113, 5.849E+02, 1.008E+04, 4.712E+03, 5.983E+03, 6.755E+03, 1.146E+03, 2.432E+03, 2.053E+01, 3.170E+05, 1.947E+02, 1.255E+05, 0.000E+00, 0.000E+00, 4.319E+03, 0.000E+00, 4.787E+05
  114, 5.911E+02, 1.038E+04, 4.726E+03, 5.978E+03, 6.801E+03, 1.151E+03, 2.473E+03, 2.059E+01, 3.085E+05, 1.949E+02, 1.335E+05, 0.000E+00, 0.000E+00, 4.332E+03, 0.000E+00, 4.787E+05
  115, 8.009E+02, 1.014E+04, 4.677E+03, 5.581E+03, 6.608E+03, 9.731E+02, 3.748E+03, 2.050E+01, 3.145E+05, 1.904E+02, 1.273E+05, 0.000E+00, 0.000E+00, 4.153E+03, 0.000E+00, 4.787E+05
  116, 3.758E+02, 9.979E+03, 4.702E+03, 6.035E+03, 6.774E+03, 1.270E+03, 1.022E+03, 1.708E+01, 3.121E+05, 2.007E+02, 1.318E+05, 0.000E+00, 0.000E+00, 4.396E+03, 0.000E+00, 4.787E+05
  117, 4.260E+02, 9.975E+03, 4.620E+03, 5.996E+03, 6.792E+03, 1.248E+03, 1.451E+03, 1.814E+01, 3.068E+05, 1.962E+02, 1.369E+05, 0.000E+00, 0.000E+00, 4.360E+03, 0.000E+00, 4.787E+05
  118, 3.854E+02, 1.007E+04, 4.710E+03, 6.108E+03, 6.811E+03, 1.251E+03, 1.413E+03, 1.879E+01, 3.147E+05, 1.986E+02, 1.287E+05, 0.000E+00, 0.000E+00, 4.362E+03, 0.000E+00, 4.787E+05
  119, 6.028E+02, 1.010E+04, 4.779E+03, 5.863E+03, 6.767E+03, 1.113E+03, 2.108E+03, 2.177E+01, 3.178E+05, 1.933E+02, 1.252E+05, 0.000E+00, 0.000E+00, 4.237E+03, 0.000E+00, 4.787E+05
  120, 1.127E+03, 9.972E+03, 4.716E+03, 6.119E+03, 6.449E+03, 1.226E+03, 1.886E+03, 1.900E+01, 3.155E+05, 1.976E+02, 1.270E+05, 0.000E+00, 0.000E+00, 4.509E+03, 0.000E+00, 4.787E+05
  121, 1.179E+03, 1.024E+04, 4.798E+03, 6.210E+03, 6.516E+03, 1.248E+03, 1.981E+03, 1.896E+01, 3.150E+05, 1.976E+02, 1.269E+05, 0.000E+00, 0.000E+00, 4.443E+03, 0.000E+00, 4.787E+05
  122, 1.160E+03, 1.024E+04, 4.868E+03, 6.331E+03, 6.571E+03, 1.314E+03, 2.020E+03, 1.920E+01, 3.093E+05, 1.977E+02, 1.322E+05, 0.000E+00, 0.000E+00, 4.554E+03, 0.000E+00, 4.787E+05
  123, 1.345E+03, 1.060E+04, 4.941E+03, 6.127E+03, 6.610E+03, 1.141E+03, 2.593E+03, 2.086E+01, 3.063E+05, 1.974E+02, 1.345E+05, 0.000E+00, 0.000E+00, 4.338E+03, 0.000E+00, 4.787E+05
  124, 1.303E+03, 1.024E+04, 4.750E+03, 6.147E+03, 6.607E+03, 1.108E+03, 2.581E+03, 2.041E+01, 3.144E+05, 1.929E+02, 1.270E+05, 0.000E+00, 0.000E+00, 4.394E+03, 0.000E+00, 4.787E+05
  125, 1.366E+03, 1.018E+04, 4.704E+03, 6.092E+03, 6.581E+03, 1.091E+03, 2.999E+03, 2.061E+01, 3.151E+05, 1.914E+02, 1.260E+05, 0.000E+00, 0.000E+00, 4.370E+03, 0.000E+00, 4.787E+05
  126, 1.355E+03, 1.038E+04, 4.881E+03, 6.208E+03, 6.654E+03, 1.102E+03, 2.892E+03, 2.061E+01, 3.149E+05, 1.942E+02, 1.257E+05, 0.000E+00, 0.000E+00, 4.382E+03, 0.000E+00, 4.787E+05
  127, 1.521E+03, 1.057E+04, 4.838E+03, 5.864E+03, 6.592E+03, 9.939E+02, 4.156E+03, 2.051E+01, 3.055E+05, 1.902E+02, 1.342E+05, 0.000E+00, 0.000E+00, 4.251E+03, 0.000E+00, 4.787E+05
