cm,K,K,cm,K,K,K,K,K,K,K,K,K,K,cm,cm,kW/m2,kW/m2,kW/m2,kW/m2,cm,kW/m2
z,T_CL,T_CL_RMS,r,T_20,T_20_RMS,T_60,T_60_RMS,T_100,T_100_RMS,T_140,T_140_RMS,T_180,T_180_RMS,r2,HF_00-y,HF_00,HF_41,HF_61,HF_81,z2,HF_207
 1.8276415E+002, 7.0833862E+002, 1.8315007E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.5808000E+002, 9.2540000E+000, 6.4123993E-001, 2.3189319E+000, 2.4237833E+000, 2.4462086E+000,NaN,NaN
 1.8672642E+002, 7.0833862E+002, 1.8315007E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.6256000E+002, 9.4530000E+000, 5.2628279E-001, 1.9703944E+000, 2.0556173E+000, 2.0750334E+000,NaN,NaN
 1.9068868E+002, 6.6556682E+002, 1.6050613E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.6704000E+002, 9.6520000E+000, 5.2628279E-001, 1.9703944E+000, 2.0556173E+000, 2.0750334E+000,NaN,NaN
 1.9465094E+002, 6.6556682E+002, 1.6050613E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.7152000E+002, 9.8510000E+000, 5.2628279E-001, 1.9703944E+000, 2.0556173E+000, 2.0750334E+000,NaN,NaN
 1.9861321E+002, 6.6556682E+002, 1.6050613E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.7600000E+002, 1.0050000E+001, 5.2628279E-001, 1.9703944E+000, 2.0556173E+000, 2.0750334E+000,NaN,NaN
 2.0257547E+002, 6.6556682E+002, 1.6050613E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.8048000E+002, 1.0249000E+001, 4.3507698E-001, 1.6860094E+000, 1.7559003E+000, 1.7725080E+000,NaN,NaN
 2.0653774E+002, 6.6556682E+002, 1.6050613E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.8496000E+002, 1.0448000E+001, 4.3507698E-001, 1.6860094E+000, 1.7559003E+000, 1.7725080E+000,NaN,NaN
 2.1050000E+002, 6.3114909E+002, 1.4128453E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.8944000E+002, 1.0647000E+001, 4.3507698E-001, 1.6860094E+000, 1.7559003E+000, 1.7725080E+000,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.9392000E+002, 1.0846000E+001, 4.3507698E-001, 1.6860094E+000, 1.7559003E+000, 1.7725080E+000,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.9840000E+002, 1.1045000E+001, 4.3507698E-001, 1.6860094E+000, 1.7559003E+000, 1.7725080E+000,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.0288000E+002, 1.1244000E+001, 3.6207594E-001, 1.4516614E+000, 1.5094968E+000, 1.5235975E+000,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.0736000E+002, 1.1443000E+001, 3.6207594E-001, 1.4516614E+000, 1.5094968E+000, 1.5235975E+000,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.1184000E+002, 1.1642000E+001, 3.6207594E-001, 1.4516614E+000, 1.5094968E+000, 1.5235975E+000,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.1632000E+002, 1.1841000E+001, 3.6207594E-001, 1.4516614E+000, 1.5094968E+000, 1.5235975E+000,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.2080000E+002, 1.2040000E+001, 3.0316358E-001, 1.2568151E+000, 1.3051086E+000, 1.3170348E+000,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.2528000E+002, 1.2239000E+001, 3.0316358E-001, 1.2568151E+000, 1.3051086E+000, 1.3170348E+000,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.2976000E+002, 1.2438000E+001, 3.0316358E-001, 1.2568151E+000, 1.3051086E+000, 1.3170348E+000,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.3424000E+002, 1.2637000E+001, 3.0316358E-001, 1.2568151E+000, 1.3051086E+000, 1.3170348E+000,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.3872000E+002, 1.2836000E+001, 3.0316358E-001, 1.2568151E+000, 1.3051086E+000, 1.3170348E+000,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.4320000E+002, 1.3035000E+001, 2.5526370E-001, 1.0935047E+000, 1.1341942E+000, 1.1442698E+000,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.4768000E+002, 1.3234000E+001, 2.5526370E-001, 1.0935047E+000, 1.1341942E+000, 1.1442698E+000,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.5216000E+002, 1.3433000E+001, 2.5526370E-001, 1.0935047E+000, 1.1341942E+000, 1.1442698E+000,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.5664000E+002, 1.3632000E+001, 2.5526370E-001, 1.0935047E+000, 1.1341942E+000, 1.1442698E+000,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.6112000E+002, 1.3831000E+001, 2.1604344E-001, 9.5562466E-001, 9.9021307E-001, 9.9873738E-001,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.6560000E+002, 1.4030000E+001, 2.1604344E-001, 9.5562466E-001, 9.9021307E-001, 9.9873738E-001,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.7008000E+002, 1.4229000E+001, 2.1604344E-001, 9.5562466E-001, 9.9021307E-001, 9.9873738E-001,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.7456000E+002, 1.4428000E+001, 2.1604344E-001, 9.5562466E-001, 9.9021307E-001, 9.9873738E-001,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.7904000E+002, 1.4627000E+001, 2.1604344E-001, 9.5562466E-001, 9.9021307E-001, 9.9873738E-001,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.8352000E+002, 1.4826000E+001, 1.8372153E-001, 8.3844297E-001, 8.6810085E-001, 8.7534026E-001,NaN,NaN
