s,m/s
Time,"w"
 1.9896087E+000, 2.2725787E+000
 1.9916149E+000, 2.2440161E+000
 1.9936211E+000, 2.2125513E+000
 1.9956273E+000, 2.1866306E+000
 1.9976334E+000, 2.1616783E+000
 1.9996396E+000, 2.1399566E+000
 2.0016458E+000, 2.1184723E+000
 2.0036519E+000, 2.0995387E+000
 2.0056581E+000, 2.0824647E+000
 2.0076643E+000, 2.0675176E+000
 2.0096704E+000, 2.0569026E+000
 2.0116766E+000, 2.0497869E+000
 2.0136828E+000, 2.0460922E+000
 2.0156890E+000, 2.0431985E+000
 2.0176951E+000, 2.0422244E+000
 2.0197013E+000, 2.0433791E+000
 2.0217075E+000, 2.0464289E+000
 2.0237136E+000, 2.0506658E+000
 2.0257198E+000, 2.0564308E+000
 2.0277260E+000, 2.0649372E+000
 2.0297322E+000, 2.0727228E+000
 2.0317383E+000, 2.0822237E+000
 2.0337445E+000, 2.0897418E+000
 2.0357507E+000, 2.0957060E+000
 2.0377568E+000, 2.0986686E+000
 2.0397630E+000, 2.0993066E+000
 2.0417692E+000, 2.0973264E+000
 2.0437753E+000, 2.0941510E+000
 2.0457815E+000, 2.0896345E+000
 2.0477877E+000, 2.0828293E+000
 2.0495619E+000, 2.0751609E+000
 2.0513361E+000, 2.0651506E+000
 2.0531103E+000, 2.0539905E+000
 2.0548845E+000, 2.0439526E+000
 2.0566587E+000, 2.0337677E+000
 2.0584330E+000, 2.0225471E+000
 2.0602072E+000, 2.0119551E+000
 2.0619814E+000, 2.0011641E+000
 2.0637556E+000, 1.9893204E+000
 2.0657072E+000, 1.9778494E+000
 2.0676588E+000, 1.9680518E+000
 2.0696105E+000, 1.9595814E+000
 2.0715621E+000, 1.9534056E+000
 2.0735137E+000, 1.9487078E+000
 2.0756605E+000, 1.9452005E+000
 2.0778073E+000, 1.9441861E+000
 2.0799541E+000, 1.9460984E+000
 2.0821009E+000, 1.9508304E+000
 2.0842477E+000, 1.9584113E+000
 2.0863945E+000, 1.9711458E+000
 2.0885413E+000, 1.9876650E+000
 2.0906881E+000, 2.0079600E+000
 2.0928349E+000, 2.0323167E+000
 2.0949817E+000, 2.0594815E+000
 2.0969084E+000, 2.0847593E+000
 2.0988352E+000, 2.1128537E+000
 2.1007619E+000, 2.1427532E+000
 2.1026887E+000, 2.1740127E+000
 2.1046154E+000, 2.2066390E+000
 2.1065422E+000, 2.2386846E+000
 2.1084689E+000, 2.2697659E+000
 2.1103957E+000, 2.2992553E+000
 2.1123224E+000, 2.3277772E+000
 2.1142492E+000, 2.3533702E+000
 2.1161759E+000, 2.3767710E+000
 2.1181027E+000, 2.3963996E+000
 2.1202221E+000, 2.4134080E+000
 2.1223415E+000, 2.4250640E+000
 2.1244610E+000, 2.4322703E+000
 2.1265804E+000, 2.4378783E+000
 2.1286998E+000, 2.4433368E+000
 2.1308192E+000, 2.4477961E+000
 2.1329386E+000, 2.4525875E+000
 2.1350581E+000, 2.4601422E+000
 2.1371775E+000, 2.4715515E+000
 2.1392969E+000, 2.4844556E+000
 2.1414163E+000, 2.4977510E+000
 2.1435358E+000, 2.5157743E+000
 2.1456552E+000, 2.5416189E+000
 2.1477746E+000, 2.5702045E+000
 2.1498940E+000, 2.6076818E+000
 2.1520135E+000, 2.6514598E+000
 2.1541329E+000, 2.6976103E+000
 2.1562523E+000, 2.7483634E+000
 2.1583717E+000, 2.8053083E+000
 2.1604912E+000, 2.8660431E+000
 2.1626106E+000, 2.9222356E+000
 2.1647300E+000, 2.9713904E+000
 2.1668494E+000, 3.0092664E+000
 2.1689688E+000, 3.0351490E+000
 2.1710883E+000, 3.0496649E+000
 2.1732077E+000, 3.0484440E+000
 2.1753271E+000, 3.0312486E+000
 2.1774465E+000, 3.0006130E+000
 2.1795660E+000, 2.9647413E+000
 2.1816854E+000, 2.9282621E+000
 2.1838048E+000, 2.8910105E+000
 2.1859242E+000, 2.8565135E+000
 2.1880437E+000, 2.8281879E+000
 2.1901631E+000, 2.8059635E+000
 2.1922825E+000, 2.7886080E+000
 2.1944019E+000, 2.7726340E+000
 2.1965214E+000, 2.7572645E+000
 2.1986408E+000, 2.7392355E+000
 2.2007602E+000, 2.7155611E+000
 2.2028796E+000, 2.6834784E+000
 2.2049990E+000, 2.6421935E+000
 2.2071185E+000, 2.5912201E+000
 2.2094498E+000, 2.5300003E+000
 2.2117812E+000, 2.4632227E+000
 2.2141126E+000, 2.3961906E+000
 2.2164439E+000, 2.3398068E+000
 2.2187753E+000, 2.2935545E+000
 2.2211067E+000, 2.2549824E+000
 2.2234380E+000, 2.2260936E+000
 2.2257694E+000, 2.2087927E+000
 2.2281008E+000, 2.2037349E+000
 2.2304321E+000, 2.2054840E+000
