s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PRODUCTS,MLR_ETHYLENE,MLR_INTERMEDIATE PRODUCTS 2,MLR_PRODUCTS 2,MLR_NITROGEN,MLR_EHTYLENE,MLR_PILOT FUEL
 5.3001503E+001, 0.0000000E+000, 0.0000000E+000, 1.0196347E-003, 6.6954988E-003, 2.6056327E-003, 2.6319301E-003, 0.0000000E+000,-2.7626530E-004,-4.3876700E-004, 1.2676431E-002, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 4.1043323E-001, 0.0000000E+000, 2.1951872E-005
 5.4000076E+001, 0.0000000E+000, 0.0000000E+000, 9.8403751E-004, 3.7899783E-003, 2.4091204E-003, 2.4199821E-003, 0.0000000E+000,-2.6872358E-004,-3.9881166E-003, 9.3343948E-003, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 4.1906161E-001, 0.0000000E+000, 2.1951872E-005
 5.5002369E+001, 0.0000000E+000, 0.0000000E+000, 9.5461406E-004, 5.5802659E-003, 2.5201175E-003, 2.4478922E-003, 0.0000000E+000,-2.6365697E-004,-2.3498288E-003, 1.1239233E-002, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 4.2770454E-001, 0.0000000E+000, 2.1951872E-005
 5.6000713E+001, 0.0000000E+000, 0.0000000E+000, 9.2157388E-004, 7.9639796E-003, 2.4487757E-003, 2.3512139E-003, 0.0000000E+000,-2.5906562E-004,-1.5823721E-004, 1.3426477E-002, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 4.3634579E-001, 0.0000000E+000, 2.1951872E-005
 5.7001984E+001, 0.0000000E+000, 0.0000000E+000, 8.9497759E-004, 5.2998536E-003, 2.2099603E-003, 2.2405208E-003, 0.0000000E+000,-2.5182281E-004,-3.5315076E-003, 1.0393489E-002, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 4.4498443E-001, 0.0000000E+000, 2.1951872E-005
 5.8000328E+001, 0.0000000E+000, 0.0000000E+000, 8.7029525E-004, 6.2383861E-003, 2.0893504E-003, 2.1688053E-003, 0.0000000E+000,-2.4643066E-004,-2.9818622E-003, 1.1120406E-002, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 4.5362265E-001, 0.0000000E+000, 2.1951872E-005
 5.9001598E+001, 0.0000000E+000, 0.0000000E+000, 8.4443372E-004, 1.2193733E-002, 2.3482627E-003, 2.2947618E-003, 0.0000000E+000,-2.4429511E-004, 3.1763673E-003, 1.7436896E-002, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 4.6226069E-001, 0.0000000E+000, 2.1951872E-005
 6.0002872E+001, 0.0000000E+000, 0.0000000E+000, 8.1869276E-004, 8.8663646E-003, 2.2984948E-003, 2.1312271E-003, 0.0000000E+000,-2.3786890E-004,-5.5320989E-004, 1.3876910E-002, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 4.7091196E-001, 0.0000000E+000, 2.1951872E-005
 6.1001217E+001, 0.0000000E+000, 0.0000000E+000, 7.9718477E-004, 3.6362064E-003, 2.2227270E-003, 2.0969695E-003, 0.0000000E+000,-2.3255654E-004,-6.0598655E-003, 8.5205311E-003, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 4.7955046E-001, 0.0000000E+000, 2.1951872E-005
 6.2002487E+001, 0.0000000E+000, 0.0000000E+000, 7.7680832E-004, 1.0588246E-002, 2.2123075E-003, 2.1132910E-003, 0.0000000E+000,-2.2783845E-004, 6.9607537E-004, 1.5462814E-002, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 4.8818855E-001, 0.0000000E+000, 2.1951872E-005
 6.3000832E+001, 0.0000000E+000, 0.0000000E+000, 7.5797322E-004, 7.3233149E-003, 2.1298616E-003, 2.0812823E-003, 0.0000000E+000,-2.2770780E-004,-2.9011944E-003, 1.2064724E-002, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 4.9682731E-001, 0.0000000E+000, 2.1951872E-005
 6.4002106E+001, 0.0000000E+000, 0.0000000E+000, 7.3891382E-004, 1.0955070E-002, 2.1364263E-003, 2.0633417E-003, 0.0000000E+000,-2.2360755E-004, 5.3877326E-004, 1.5670144E-002, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 5.0546547E-001, 0.0000000E+000, 2.1951872E-005
 6.5000000E+001, 0.0000000E+000, 0.0000000E+000, 7.1985783E-004, 8.6945947E-003, 1.9764031E-003, 1.8612634E-003, 0.0000000E+000,-2.1813969E-004,-2.3801264E-003, 1.3033979E-002, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 5.1410159E-001, 0.0000000E+000, 2.1951872E-005
