s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PRODUCTS,MLR_INTERMEDIATE PRODUCTS 2,MLR_PRODUCTS 2,MLR_NITROGEN,MLR_PROPANE,MLR_PILOT FUEL
 4.0000446E+001, 5.5121286E-001, 0.0000000E+000,-2.2051852E-003,-1.0732247E+000, 1.4080901E-004, 5.7077923E-004, 0.0000000E+000,-7.9486133E-003,-5.4350046E-001,-5.3145406E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9811968E-001, 1.7893443E-004, 2.1951872E-005
 4.1005089E+001, 4.6614962E-002, 0.0000000E+000,-6.8116120E-004,-4.3424535E-001, 1.6315564E-004, 3.6171993E-004, 0.0000000E+000,-1.5485265E-003,-4.0605124E-001,-3.8933520E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0677793E-001, 1.7893443E-004, 2.1951872E-005
 4.2004025E+001, 9.5403311E-004, 0.0000000E+000,-1.2023197E-004,-1.5306948E-001, 1.7644302E-004, 4.1061577E-004, 0.0000000E+000,-6.7931237E-004,-1.6626050E-001,-1.5232793E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1545303E-001, 1.7893443E-004, 2.1951872E-005
 4.3008270E+001, 4.3813530E-008, 0.0000000E+000, 1.7526845E-005,-3.8502436E-002, 1.6635600E-004, 3.7463236E-004, 0.0000000E+000,-6.8698853E-004,-5.1609114E-002,-3.8630866E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2411755E-001, 1.7893443E-004, 2.1951872E-005
 4.4016342E+001, 1.2020795E-008, 0.0000000E+000, 5.4887955E-005,-2.1691246E-004, 9.5317033E-005, 3.7088820E-004, 0.0000000E+000,-7.4517243E-004,-1.3831462E-002,-4.4097968E-004, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.3281790E-001, 1.7893443E-004, 2.1951872E-005
 4.5007885E+001, 0.0000000E+000, 0.0000000E+000, 7.3623893E-005, 1.0447882E-002, 6.6474342E-007, 4.0947487E-004, 0.0000000E+000,-6.6113971E-004,-2.6950322E-003, 1.0270506E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.4145482E-001, 1.7893443E-004, 2.1951872E-005
 4.6015953E+001, 0.0000000E+000, 0.0000000E+000, 7.6040525E-005, 1.2336447E-002, 1.4787866E-005, 3.8516692E-004, 0.0000000E+000,-6.2856102E-004,-3.7652658E-004, 1.2183881E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.5009492E-001, 1.7893443E-004, 2.1951872E-005
 4.7008739E+001, 0.0000000E+000, 0.0000000E+000, 8.4389414E-005, 1.1843409E-002, 8.2263065E-005, 5.0791846E-004, 0.0000000E+000,-6.4764876E-004,-8.1506574E-004, 1.1870331E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.5873143E-001, 1.7893443E-004, 2.1951872E-005
 4.8004536E+001, 0.0000000E+000, 0.0000000E+000, 8.6972831E-005, 7.4706689E-003, 1.5870028E-004, 4.7463827E-004, 0.0000000E+000,-4.8274889E-004,-5.0107806E-003, 7.7082314E-003, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.6732122E-001, 1.7893443E-004, 2.1951872E-005
 4.9000328E+001, 0.0000000E+000, 0.0000000E+000, 9.3159029E-005, 9.8360996E-003, 1.9388513E-004, 4.7549098E-004, 0.0000000E+000,-3.2728050E-004,-2.8101556E-003, 1.0271354E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.7592962E-001, 1.7893443E-004, 2.1951872E-005
 5.0010986E+001, 0.0000000E+000, 0.0000000E+000, 9.2122521E-005, 1.1653651E-002, 2.0056839E-004, 4.1422409E-004, 0.0000000E+000,-3.3851842E-004,-1.0512339E-003, 1.2022048E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8459550E-001, 1.7893443E-004, 2.1951872E-005
 5.1006779E+001, 0.0000000E+000, 0.0000000E+000, 8.9666641E-005, 8.0088795E-003, 1.8758862E-004, 3.9821215E-004, 0.0000000E+000,-4.0793716E-004,-4.4790810E-003, 8.2764097E-003, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.9325876E-001, 1.7893443E-004, 2.1951872E-005
 5.2000710E+001, 0.0000000E+000, 0.0000000E+000, 9.0919884E-005, 9.0573052E-003, 1.5748716E-004, 3.3576052E-004, 0.0000000E+000,-4.6915782E-004,-4.4051206E-003, 9.1723149E-003, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.0184685E-001, 1.7893443E-004, 2.1951872E-005
 5.3010105E+001, 0.0000000E+000, 0.0000000E+000, 9.1433573E-005, 1.2486984E-002, 1.0258199E-004, 3.9141245E-004, 0.0000000E+000,-5.2070641E-004,-1.4464708E-003, 1.2551706E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1050728E-001, 1.7893443E-004, 2.1951872E-005
 5.4010056E+001, 0.0000000E+000, 0.0000000E+000, 9.5234416E-005, 1.5528698E-002, 9.5049707E-005, 4.4448519E-004, 0.0000000E+000,-5.3952144E-004, 1.3890780E-003, 1.5623946E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1918855E-001, 1.7893443E-004, 2.1951872E-005
 5.5000118E+001, 0.0000000E+000, 0.0000000E+000, 8.9158936E-005, 1.4699657E-002, 1.4966355E-004, 3.4647520E-004, 0.0000000E+000,-3.7265539E-004, 8.0195923E-004, 1.4912299E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2777499E-001, 1.7893443E-004, 2.1951872E-005
 5.6003677E+001, 0.0000000E+000, 0.0000000E+000, 8.6500190E-005, 1.4381011E-002, 1.3291763E-004, 3.4725117E-004, 0.0000000E+000,-5.0120461E-004, 4.3048212E-004, 1.4446476E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3639472E-001, 1.7893443E-004, 2.1951872E-005
 5.7009663E+001, 0.0000000E+000, 0.0000000E+000, 8.8250404E-005, 1.4082082E-002, 1.5491831E-004, 3.5796447E-004, 0.0000000E+000,-3.5752679E-004, 1.2168840E-004, 1.4325688E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.4507532E-001, 1.7893443E-004, 2.1951872E-005
 5.8001678E+001, 0.0000000E+000, 0.0000000E+000, 8.4245071E-005, 1.2997534E-002, 1.7071329E-004, 3.3415110E-004, 0.0000000E+000,-3.3807297E-004,-4.5399252E-004, 1.3248571E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.5371001E-001, 1.7893443E-004, 2.1951872E-005
 5.9005272E+001, 0.0000000E+000, 0.0000000E+000, 8.3575542E-005, 1.3249953E-002, 1.8277450E-004, 3.2069119E-004, 0.0000000E+000,-3.2469820E-004,-1.2586719E-003, 1.3512296E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.6232600E-001, 1.7893443E-004, 2.1951872E-005
 6.0009953E+001, 0.0000000E+000, 0.0000000E+000, 8.4162774E-005, 1.3175227E-002, 1.5661701E-004, 3.3569082E-004, 0.0000000E+000,-4.0088741E-004,-1.8277403E-003, 1.3350810E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.7099956E-001, 1.7893443E-004, 2.1951872E-005
 6.1012123E+001, 0.0000000E+000, 0.0000000E+000, 8.4438429E-005, 1.5270154E-002, 1.8087781E-004, 3.4832697E-004, 0.0000000E+000,-3.2257361E-004, 7.4610659E-004, 1.5561224E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.7967648E-001, 1.7893443E-004, 2.1951872E-005
 6.2011559E+001, 0.0000000E+000, 0.0000000E+000, 8.3758962E-005, 1.3830374E-002, 1.8611239E-004, 3.3069697E-004, 0.0000000E+000,-3.2710023E-004,-1.0063513E-003, 1.4103843E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.8831032E-001, 1.7893443E-004, 2.1951872E-005
 6.3008183E+001, 0.0000000E+000, 0.0000000E+000, 8.3539069E-005, 1.5580339E-002, 1.8771542E-004, 3.6195264E-004, 0.0000000E+000,-3.1218605E-004, 7.1990043E-004, 1.5901360E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.9694059E-001, 1.7893443E-004, 2.1951872E-005
 6.4013168E+001, 0.0000000E+000, 0.0000000E+000, 7.9347463E-005, 1.4012337E-002, 1.9517780E-004, 3.1529579E-004, 0.0000000E+000,-2.7322092E-004,-9.4724262E-004, 1.4328937E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.0559109E-001, 1.7893443E-004, 2.1951872E-005
 6.5000000E+001, 0.0000000E+000, 0.0000000E+000, 7.7260184E-005, 1.5643983E-002, 1.9173555E-004, 2.9890684E-004, 0.0000000E+000,-3.0719705E-004, 2.1339462E-004, 1.5904689E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.1419220E-001, 1.7893443E-004, 2.1951872E-005
