cm,K,K,cm,K,K,K,K,K,K,K,K,K,K,cm,cm,kW/m2,kW/m2,kW/m2,kW/m2,cm,kW/m2
z,T_CL,T_CL_RMS,r,T_20,T_20_RMS,T_60,T_60_RMS,T_100,T_100_RMS,T_140,T_140_RMS,T_180,T_180_RMS,r2,HF_00-y,HF_00,HF_41,HF_61,HF_81,z2,HF_207
 7.2500000E+001, 1.1749358E+003, 1.5423042E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.1328000E+002, 7.2640000E+000, 2.2224038E-001, 1.0499207E+000, 1.0706544E+000, 1.0520738E+000, 1.6200000E+002, 8.4185707E-001
 7.4500000E+001, 1.1718071E+003, 1.5788254E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.1776000E+002, 7.4630000E+000, 2.1084603E-001, 1.0086382E+000, 1.0251340E+000, 1.0119398E+000, 1.6650000E+002, 8.2338003E-001
 7.6500000E+001, 1.1677657E+003, 1.6122572E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.2224000E+002, 7.6620000E+000, 2.0012801E-001, 9.6986211E-001, 9.8161241E-001, 9.7381881E-001, 1.7100000E+002, 8.0495047E-001
 7.8500000E+001, 1.1627967E+003, 1.6454858E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.2672000E+002, 7.8610000E+000, 1.9003874E-001, 9.3341856E-001, 9.3998501E-001, 9.3756285E-001, 1.7550000E+002, 7.8673431E-001
 8.0500000E+001, 1.1568456E+003, 1.6804645E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.3120000E+002, 8.0600000E+000, 1.8888157E-001, 9.1664732E-001, 9.2032908E-001, 9.2087315E-001, 1.8000000E+002, 7.6884143E-001
 8.2500000E+001, 1.1495821E+003, 1.7186164E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.3568000E+002, 8.2590000E+000, 1.7992296E-001, 8.8511339E-001, 8.8326595E-001, 8.8873482E-001,NaN,NaN
 8.4500000E+001, 1.1412101E+003, 1.7615492E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.4016000E+002, 8.4580000E+000, 1.6346015E-001, 8.2730307E-001, 8.1378394E-001, 8.2854806E-001,NaN,NaN
 8.6500000E+001, 1.1319374E+003, 1.8061290E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.4464000E+002, 8.6570000E+000, 1.5589280E-001, 8.0077089E-001, 7.8124159E-001, 8.0028563E-001,NaN,NaN
 8.8500000E+001, 1.1215111E+003, 1.8537502E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.4912000E+002, 8.8560000E+000, 1.4873013E-001, 7.7566414E-001, 7.5009186E-001, 7.7311495E-001,NaN,NaN
 9.0500000E+001, 1.1104035E+003, 1.9037102E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.5360000E+002, 9.0550000E+000, 1.4194625E-001, 7.5187507E-001, 7.2028509E-001, 7.4694976E-001,NaN,NaN
 9.2500000E+001, 1.0987933E+003, 1.9536506E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.5808000E+002, 9.2540000E+000, 1.3551732E-001, 7.2930338E-001, 6.9177502E-001, 7.2171209E-001,NaN,NaN
 9.4500000E+001, 1.0865996E+003, 2.0016653E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.6256000E+002, 9.4530000E+000, 1.2942091E-001, 7.0785548E-001, 6.6451763E-001, 6.9733166E-001,NaN,NaN
 9.6500000E+001, 1.0737919E+003, 2.0479020E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.6704000E+002, 9.6520000E+000, 1.2363654E-001, 6.8744465E-001, 6.3847113E-001, 6.7374621E-001,NaN,NaN
 9.8500000E+001, 1.0606483E+003, 2.0942050E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.7152000E+002, 9.8510000E+000, 1.1814502E-001, 6.6799046E-001, 6.1359507E-001, 6.5090065E-001,NaN,NaN
