s,kW,kW
Time,HRR,HRR_rad_loss
5.813560E+00,1.585611E+01,7.838823E+00
5.824010E+00,1.665228E+01,7.348900E+00
5.834540E+00,1.737343E+01,7.020164E+00
5.845130E+00,1.748823E+01,6.413368E+00
5.855910E+00,1.756184E+01,5.699892E+00
5.867790E+00,1.734804E+01,8.627734E+00
5.879330E+00,1.688924E+01,7.739577E+00
5.890880E+00,1.640941E+01,6.774834E+00
5.901720E+00,1.597140E+01,5.627542E+00
5.912120E+00,1.541235E+01,4.592477E+00
5.922240E+00,1.469410E+01,7.556530E+00
5.933130E+00,1.350214E+01,6.468733E+00
5.944760E+00,1.272042E+01,5.281696E+00
5.955870E+00,1.254773E+01,4.391346E+00
5.968790E+00,1.298094E+01,3.671505E+00
5.982040E+00,1.375080E+01,7.379340E+00
5.995490E+00,1.446008E+01,6.654696E+00
6.007650E+00,1.508994E+01,6.118504E+00
6.020090E+00,1.560167E+01,5.395578E+00
6.032370E+00,1.575050E+01,4.866313E+00
6.043600E+00,1.566697E+01,8.018279E+00
6.053580E+00,1.544904E+01,7.481351E+00
6.062750E+00,1.575465E+01,7.013815E+00
6.071490E+00,1.641175E+01,6.467780E+00
6.080250E+00,1.718335E+01,5.868723E+00
6.089170E+00,1.769263E+01,8.047784E+00
6.098570E+00,1.764809E+01,7.555745E+00
6.107710E+00,1.728363E+01,6.670216E+00
6.116900E+00,1.701525E+01,5.580864E+00
6.126030E+00,1.665354E+01,4.728316E+00
6.135160E+00,1.532996E+01,6.647013E+00
6.144020E+00,1.422501E+01,6.228975E+00
6.153140E+00,1.328012E+01,5.419240E+00
6.162820E+00,1.320350E+01,4.684252E+00
6.172700E+00,1.357073E+01,4.306220E+00
6.181960E+00,1.357268E+01,5.384548E+00
6.191600E+00,1.368050E+01,5.576484E+00
6.201150E+00,1.392633E+01,5.420181E+00
6.210450E+00,1.396467E+01,5.182331E+00
6.220190E+00,1.419118E+01,4.949896E+00
6.229990E+00,1.490100E+01,5.639936E+00
6.239850E+00,1.572557E+01,5.787617E+00
6.249750E+00,1.603727E+01,5.595701E+00
6.259600E+00,1.604302E+01,5.227209E+00
6.269050E+00,1.626513E+01,4.951347E+00
6.277820E+00,1.672106E+01,6.046906E+00
6.286850E+00,1.676643E+01,6.385774E+00
