D,m,cm,m/s,m/s
height_over_D,z,x,UMean_x,UMean_z
2.000000E+00,5.300000E-01,1.000000E+00,-2.274390E-02,2.926520E+00
2.000000E+00,5.300000E-01,1.400000E+00,-2.078620E-02,2.691940E+00
2.000000E+00,5.300000E-01,1.800000E+00,-1.222110E-02,2.409250E+00
2.000000E+00,5.300000E-01,2.200000E+00,-7.047490E-03,2.143850E+00
2.000000E+00,5.300000E-01,2.600000E+00,-2.019340E-03,1.933700E+00
2.000000E+00,5.300000E-01,3.000000E+00,3.080160E-03,1.774780E+00
2.000000E+00,5.300000E-01,3.400000E+00,6.537000E-03,1.646480E+00
2.000000E+00,5.300000E-01,3.800000E+00,1.023700E-02,1.526300E+00
2.000000E+00,5.300000E-01,4.200000E+00,1.318030E-02,1.412660E+00
2.000000E+00,5.300000E-01,4.600000E+00,1.210360E-02,1.295500E+00
2.000000E+00,5.300000E-01,5.000000E+00,9.342050E-03,1.170980E+00
2.000000E+00,5.300000E-01,5.400000E+00,2.136150E-03,1.038290E+00
2.000000E+00,5.300000E-01,5.800000E+00,-7.121530E-03,9.028330E-01
2.000000E+00,5.300000E-01,6.200000E+00,-1.782270E-02,7.667620E-01
2.000000E+00,5.300000E-01,6.600000E+00,-2.791910E-02,6.396950E-01
2.000000E+00,5.300000E-01,7.000000E+00,-3.770530E-02,5.259570E-01
2.000000E+00,5.300000E-01,7.400000E+00,-4.568850E-02,4.297370E-01
2.000000E+00,5.300000E-01,7.800000E+00,-5.232730E-02,3.515450E-01
2.000000E+00,5.300000E-01,8.200000E+00,-5.610660E-02,2.865500E-01
2.000000E+00,5.300000E-01,8.600000E+00,-5.900810E-02,2.355340E-01
2.000000E+00,5.300000E-01,9.000000E+00,-6.021150E-02,1.943320E-01
2.000000E+00,5.300000E-01,9.400000E+00,-6.124150E-02,1.621640E-01
2.000000E+00,5.300000E-01,9.800000E+00,-6.054960E-02,1.372730E-01
2.000000E+00,5.300000E-01,1.020000E+01,-6.032900E-02,1.202470E-01
2.000000E+00,5.300000E-01,1.060000E+01,-5.890850E-02,1.097360E-01
2.000000E+00,5.300000E-01,1.100000E+01,-5.833050E-02,1.040200E-01
2.000000E+00,5.300000E-01,1.140000E+01,-5.700850E-02,1.000170E-01
