XO2                    ,eta
0.208449049,1.004007818
0.20844003,1.003162937
0.20843101,1.002412138
0.208421996,1.001710358
0.208412983,1.001064077
0.208403965,1.00045284
0.208394944,0.999842835
0.208385933,0.99920675
0.208376917,0.99855799
0.2083679,0.997882924
0.208358885,0.997186027
0.208349868,0.996452781
0.208340851,0.995704441
0.208331834,0.994928288
0.208322817,0.994131042
0.208313798,0.993324941
0.208304787,0.992518793
0.208295769,0.991742808
0.208286757,0.990983314
0.208277737,0.990222704
0.208268721,0.989469289
0.208259706,0.988752787
0.20825069,0.98816137
0.20824167,0.987743635
0.208232649,0.987494566
0.208223632,0.98739672
0.20821462,0.987442698
0.208205605,0.987615163
0.208196589,0.988015032
0.208187571,0.988609081
0.208178559,0.989389365
0.208169545,0.990411731
0.208160525,0.991689007
0.208151511,0.993246284
0.208142494,0.995022333
0.208133481,0.996935625
0.208124464,0.998901646
0.208115447,1.000835823
0.208106429,1.002740393
0.20809741,1.00456361
0.208088395,1.006361538
0.208079382,1.008075878
0.208070365,1.009640161
0.208061347,1.011187618
0.20805233,1.012676214
0.208043318,1.014031379
0.208034302,1.015222683
0.208025285,1.016187449
0.20801627,1.016943988
0.208007253,1.017458878
0.207998234,1.017688452
0.207989218,1.017605309
0.207980203,1.01715737
0.207971186,1.016432888
0.207962173,1.015399919
0.207953158,1.014127747
0.207944144,1.012634562
0.207935129,1.010892686
0.20792611,1.008996041
0.207917093,1.006907282
0.207908076,1.004663046
0.207899059,1.002297903
0.207890047,0.999855271
0.207881032,0.997337602
0.207872013,0.994829252
0.207862999,0.992281586
0.207853988,0.989771537
0.207844974,0.987374663
0.207835957,0.985058087
0.207826937,0.982908587
0.207817918,0.980949604
0.207808909,0.979222289
0.207799894,0.977727983
0.20779088,0.976406248
0.207781861,0.975323301
0.207772844,0.974461254
0.207763828,0.973790996
0.207754808,0.973342587
0.207745796,0.973109348
0.207736784,0.973036276
0.207727771,0.973119063
0.207718757,0.973356556
0.207709744,0.973678179
0.207700724,0.97413952
0.207691703,0.974645635
0.207682693,0.975129794
0.207673677,0.97561781
0.207664662,0.976090178
0.207655646,0.976490503
0.207646629,0.976807342
0.207637611,0.977007728
0.207628593,0.977112553
0.207619574,0.977091905
0.207610558,0.977054367
0.207601539,0.976978532
