cm,K,m/s,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol
z,T_CL,w_CL,T_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_FUEL,X_H2O,X_N2
192.0731707,367.98788,2.538770111,40.53552294,0.763819796,0.202060023,0.004440826,3.42E-10,0.005921101,0.787578049
193.902439,366.7759696,2.527684046,39.76810715,0.761031138,0.202191831,0.004367827,2.63E-10,0.005823769,0.787616572
195.7317073,365.5282024,2.515972965,39.02935183,0.75855625,0.202327372,0.004292757,2.03E-10,0.005723677,0.787656194
197.5609756,364.2886406,2.504859814,38.29581104,0.755455528,0.202462055,0.004218175,1.58E-10,0.005624233,0.787695537
199.3902439,363.1386347,2.494403999,37.54364384,0.753142156,0.202586935,0.004148988,1.23E-10,0.005531983,0.787732094
201.2195122,362.0915486,2.484450831,36.81610462,0.752594964,0.202700463,0.004086101,9.52E-11,0.005448135,0.787765301
203.0487805,361.1138592,2.475395437,36.11624789,0.751854465,0.202806244,0.004027517,7.35E-11,0.005370023,0.787796215
204.8780488,360.1726142,2.467106216,35.40341219,0.74863637,0.202907871,0.003971235,5.70E-11,0.00529498,0.787825915
206.7073171,359.2596801,2.458413048,34.65207693,0.742721491,0.203006341,0.0039167,4.43E-11,0.005222266,0.787854693
208.5365854,358.3410782,2.448943625,33.90268027,0.736419088,0.203105378,0.003861851,3.44E-11,0.005149135,0.787883636
210.3658537,357.4233007,2.438306831,33.2051642,0.733608527,0.203204396,0.003807007,2.67E-11,0.005076009,0.787912587
212.195122,356.5989967,2.428088593,32.57002351,0.734123212,0.203293406,0.003757705,2.08E-11,0.005010273,0.787938616
214.0243902,355.8972565,2.421651038,31.97001694,0.732598643,0.203369208,0.003715715,1.62E-11,0.004954286,0.78796079
215.8536585,355.264344,2.41687611,31.39399872,0.731373504,0.203437479,0.003677896,1.27E-11,0.004903861,0.787980764
217.6829268,354.6229032,2.412620085,30.84821111,0.72979634,0.203506487,0.003639669,9.91E-12,0.004852892,0.788000951
219.5121951,353.9539619,2.408789261,30.30652762,0.72641723,0.203578355,0.00359986,7.76E-12,0.004799813,0.788021972
221.3414634,353.23392,2.403072763,29.75217232,0.723654782,0.203655754,0.003556988,6.11E-12,0.00474265,0.788044608
223.1707317,352.4683951,2.394940053,29.17299745,0.721016954,0.203738147,0.00351135,4.81E-12,0.004681799,0.788068704
225,351.6518797,2.384792843,28.59031936,0.717576528,0.203826185,0.003462593,3.77E-12,0.004616791,0.78809443
226.8292683,350.8145673,2.374083671,28.03827967,0.712886486,0.203916401,0.003412624,2.96E-12,0.004550165,0.788120811
228.6585366,350.0170707,2.365216289,27.53678697,0.707111053,0.204002273,0.003365058,2.33E-12,0.004486745,0.788145924
230.4878049,349.2947433,2.358497326,27.09459508,0.700902688,0.204079958,0.003322027,1.84E-12,0.00442937,0.788168645
232.3170732,348.6293181,2.354363181,26.67941626,0.693638336,0.20415142,0.003282443,1.45E-12,0.00437659,0.788189547
234.1463415,347.9584305,2.350838125,26.29844029,0.687851117,0.204223367,0.003242589,1.16E-12,0.004323452,0.788210593
235.9756098,347.2748678,2.346486589,25.95351062,0.68473098,0.204296627,0.003202008,9.27E-13,0.004269345,0.78823202
237.804878,346.587147,2.341525047,25.6328562,0.683101008,0.204370297,0.003161199,7.52E-13,0.004214932,0.788253572
239.6341463,345.9210269,2.335167799,25.31341818,0.683896516,0.204441646,0.003121676,6.16E-13,0.004162235,0.788274443
241.4634146,345.2996852,2.32741572,24.97270621,0.686272231,0.204508251,0.003084781,5.08E-13,0.004113041,0.788293927
243.2926829,344.7099272,2.31878972,24.60803257,0.689255655,0.204571581,0.0030497,4.19E-13,0.004066267,0.788312453
245.1219512,344.1281884,2.309806912,24.25223951,0.691523808,0.204634124,0.003015053,3.46E-13,0.004020071,0.788330752
246.9512195,343.5365109,2.301672022,23.89071223,0.691486139,0.204697779,0.002979792,2.86E-13,0.003973056,0.788349374
248.7804878,342.9572515,2.295251517,23.51911405,0.688397048,0.204760111,0.002945263,2.37E-13,0.003927018,0.788367608
250.6097561,342.3971766,2.290589114,23.1379343,0.682748063,0.204820393,0.002911873,1.96E-13,0.003882498,0.788385236
252.4390244,341.8376319,2.2875066,22.74830447,0.674982915,0.204880633,0.002878508,1.62E-13,0.003838011,0.788402847
254.2682927,341.2974067,2.284751484,22.36349762,0.667321562,0.204938768,0.002846307,1.34E-13,0.003795076,0.78841985
256.097561,340.7864077,2.281473896,22.00535036,0.660631298,0.204993696,0.00281588,1.11E-13,0.003754507,0.788435916
257.9268293,340.2769952,2.277524729,21.67751778,0.65519694,0.205048439,0.002785562,9.27E-14,0.003714082,0.788451917
259.7560976,339.779233,2.272180728,21.3784648,0.651246896,0.205101912,0.002755945,7.76E-14,0.003674593,0.788467549
261.5853659,339.2947489,2.265863164,21.08895897,0.647379477,0.205153957,0.002727121,6.44E-14,0.003636162,0.78848276
263.4146341,338.8343981,2.260415289,20.79970027,0.642353985,0.205203429,0.002699719,5.30E-14,0.003599625,0.788497227
265.2439024,338.427726,2.256552994,20.50403686,0.637398202,0.205247115,0.00267552,4.32E-14,0.003567359,0.788510006
267.0731707,338.0753499,2.254196075,20.2069184,0.632739126,0.20528492,0.002654579,3.50E-14,0.003539439,0.788521062
268.902439,337.7310833,2.252373069,19.94227302,0.628543689,0.205321751,0.002634178,2.82E-14,0.003512237,0.788531834
270.7317073,337.3881091,2.250859819,19.70792729,0.623793971,0.205358369,0.002613894,2.26E-14,0.003485192,0.788542545
272.5609756,337.0634957,2.249455205,19.48579272,0.619225724,0.205392973,0.002594723,1.83E-14,0.003459631,0.788552674
274.3902439,336.751787,2.248220993,19.26873747,0.61576256,0.205426215,0.002576308,1.49E-14,0.003435078,0.788562398
276.2195122,336.4313727,2.246243171,19.06370594,0.614261506,0.205460412,0.002557366,1.22E-14,0.003409821,0.788572401
278.0487805,336.0843412,2.243208335,18.87454474,0.614218296,0.205497482,0.00253683,1.00E-14,0.003382441,0.788583247
279.8780488,335.717438,2.239028437,18.69834952,0.613979697,0.205536676,0.002515118,8.18E-15,0.003353491,0.788594715
281.7073171,335.3444919,2.234343219,18.52366285,0.612932276,0.205576532,0.00249304,6.66E-15,0.003324053,0.788606375
283.5365854,334.9706335,2.229190494,18.33771763,0.61210532,0.205616525,0.002470885,5.44E-15,0.003294513,0.788618077
285.3658537,334.5977876,2.224122647,18.13785095,0.610413018,0.205656461,0.002448763,4.44E-15,0.003265017,0.788629759
287.195122,334.2313955,2.21769755,17.90754536,0.609683511,0.205695766,0.002426991,3.63E-15,0.003235988,0.788641254
289.0243902,333.8498349,2.209499493,17.64777966,0.608819484,0.205736753,0.002404288,2.96E-15,0.003205718,0.788653242
290.8536585,333.4559077,2.199799978,17.36758177,0.607539894,0.205779065,0.00238085,2.42E-15,0.003174467,0.788665618
292.6829268,333.0832206,2.189732708,17.08175151,0.605913712,0.205819063,0.002358696,1.98E-15,0.003144928,0.788677314
294.5121951,332.7225401,2.179017689,16.8203457,0.60519329,0.205857703,0.002337292,1.62E-15,0.00311639,0.788688615
296.3414634,332.3655755,2.168617912,16.60947364,0.606684781,0.205895879,0.002316145,1.32E-15,0.003088194,0.788699781
298.1707317,332.0098265,2.15796726,16.44524015,0.613068749,0.205933879,0.002295097,1.07E-15,0.003060129,0.788710895
300,331.6511971,2.148811377,16.21074595,0.603159946,0.205972421,0.002273748,8.88E-16,0.003031664,0.788722166
