cm,K,m/s,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol
z,T_CL,w_CL,T_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_FUEL,X_H2O,X_N2
131,425.6220144,2.852786969,96.3283317,0.942095754,0.19428239,0.008039547,7.00E-07,0.012059321,0.785618042
132,423.9812059,2.846643647,94.40461884,0.937036103,0.194485836,0.007936049,5.76E-07,0.011904073,0.785673466
133,422.3351292,2.839881148,92.51762508,0.932597408,0.194689626,0.007832372,4.79E-07,0.011748558,0.785728966
134,420.7073543,2.833024897,90.68522163,0.92784361,0.194890784,0.007730031,4.04E-07,0.011595047,0.785783735
135,419.086768,2.825699462,88.90669886,0.924516715,0.195090665,0.007628334,3.43E-07,0.011442501,0.785838156
136,417.4660164,2.817955935,87.13783365,0.921242004,0.195290456,0.007526679,2.94E-07,0.011290019,0.785892552
137,415.8675291,2.810333326,85.41312184,0.917601211,0.19548731,0.007426517,2.53E-07,0.011139776,0.785946143
138,414.2851876,2.803205416,83.75975671,0.913839562,0.195681779,0.007327564,2.19E-07,0.010991347,0.785999091
139,412.7247513,2.79527518,82.16410693,0.909955001,0.195873284,0.007230118,1.90E-07,0.010845177,0.786051231
140,411.2215257,2.78704691,80.64626455,0.907795385,0.196057451,0.0071364,1.66E-07,0.0107046,0.786101383
