cm,kW/m,kW/m,cm,K,K,K,K,K,K,K,K,K,K,K,K,cm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
z,RHRRPUL,RHRRPUL_rms,r,T_1p0D,T_1p5D,T_2p0D,T_2p5D,T_3p0D,T_3p5D,T_rms_1p0D,T_rms_1p5D,T_rms_2p0D,T_rms_2p5D,T_rms_3p0D,T_rms_3p5D,x,soot_0p5D,soot_1p0D,soot_1p5D,soot_2p5D,soot_3p5D,soot_rms_0p5D,soot_rms_1p0D,soot_rms_1p5D,soot_rms_2p5D,soot_rms_3p5D
 3.2500000E+001, 5.0432005E+000, 5.2286398E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.1500000E+001, 1.1001318E-007, 7.9171244E-008, 1.1652792E-006, 4.8072272E-003, 2.1377825E-002, 4.0033682E-008, 1.6324119E-007, 7.5712628E-006, 1.7906357E-002, 4.7145182E-002
 3.3500000E+001, 4.9973152E+000, 5.3884220E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.2500000E+001, 1.0613162E-008, 2.8538273E-009, 1.5996980E-008, 2.0911381E-003, 1.2321114E-002, 3.1000061E-009, 2.7956687E-009, 6.1517286E-008, 1.1777018E-002, 2.9057892E-002
 3.4500000E+001, 4.9517476E+000, 5.5501657E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.3500000E+001, 1.0613162E-008, 2.8538273E-009, 1.5996980E-008, 2.0911381E-003, 1.2321114E-002, 3.1000061E-009, 2.7956687E-009, 6.1517286E-008, 1.1777018E-002, 2.9057892E-002
 3.5500000E+001, 4.9052864E+000, 5.7121595E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.4500000E+001, 2.6291272E-010, 5.4029114E-011, 1.6282161E-010, 2.4306900E-004, 3.6494571E-003, 7.6585833E-011, 3.3149670E-011, 5.5370583E-010, 1.5960102E-003, 1.0984837E-002
 3.6500000E+001, 4.8610636E+000, 5.8721282E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.5500000E+001, 2.6291272E-010, 5.4029114E-011, 1.6282161E-010, 2.4306900E-004, 3.6494571E-003, 7.6585833E-011, 3.3149670E-011, 5.5370583E-010, 1.5960102E-003, 1.0984837E-002
 3.7500000E+001, 4.8076144E+000, 5.9906959E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.6500000E+001, 4.6353838E-012, 1.3175662E-012, 1.7270396E-012, 7.3924710E-006, 3.7771166E-004, 1.5633741E-012, 5.1674491E-013, 4.2909257E-012, 4.4133139E-005, 1.5875830E-003
 3.8500000E+001, 4.7466048E+000, 6.0542060E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.7500000E+001, 4.6353838E-012, 1.3175662E-012, 1.7270396E-012, 7.3924710E-006, 3.7771166E-004, 1.5633741E-012, 5.1674491E-013, 4.2909257E-012, 4.4133139E-005, 1.5875830E-003
 3.9500000E+001, 4.6765785E+000, 6.0869336E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.8500000E+001, 5.7751858E-014, 3.1615109E-014, 2.2226160E-014, 1.1825597E-007, 1.4182203E-005, 2.1105661E-014, 1.2636871E-014, 2.8317893E-014, 6.0613212E-007, 5.6056457E-005
 4.0500000E+001, 4.5901609E+000, 6.0760419E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.9500000E+001, 5.7751858E-014, 3.1615109E-014, 2.2226160E-014, 1.1825597E-007, 1.4182203E-005, 2.1105661E-014, 1.2636871E-014, 2.8317893E-014, 6.0613212E-007, 5.6056457E-005
 4.1500000E+001, 4.4841215E+000, 6.0456868E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.0500000E+001, 7.9628961E-016, 8.1490079E-016, 6.6494095E-016, 1.1111162E-009, 2.3323921E-007, 1.7662125E-016, 1.8297341E-016, 1.6650857E-016, 5.3939135E-009, 6.2105226E-007
