cm,kW/m,kW/m,cm,K,K,K,K,K,K,K,K,K,K,K,K,cm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
z,RHRRPUL,RHRRPUL_rms,r,T_1p0D,T_1p5D,T_2p0D,T_2p5D,T_3p0D,T_3p5D,T_rms_1p0D,T_rms_1p5D,T_rms_2p0D,T_rms_2p5D,T_rms_3p0D,T_rms_3p5D,x,soot_0p5D,soot_1p0D,soot_1p5D,soot_2p5D,soot_3p5D,soot_rms_0p5D,soot_rms_1p0D,soot_rms_1p5D,soot_rms_2p5D,soot_rms_3p5D
 1.5409091E+001, 9.7549403E+000, 7.3239051E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.6807229E+000, 6.8359870E-002, 1.4306681E-001, 1.8542269E-001, 1.5335585E-001, 1.1628040E-001, 8.1176809E-002, 2.4470471E-001, 3.1769833E-001, 2.2893515E-001, 1.1339746E-001
 1.5906061E+001, 9.9104431E+000, 7.5418575E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.1867470E+000, 9.1780730E-002, 1.9566158E-001, 2.2089616E-001, 1.7051652E-001, 1.2369817E-001, 1.0736767E-001, 3.2799680E-001, 3.5935887E-001, 2.5167815E-001, 1.1888130E-001
 1.6403030E+001, 1.0053262E+001, 7.7309084E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.6927711E+000, 1.1884691E-001, 2.5005083E-001, 2.6561682E-001, 1.9424574E-001, 1.3073600E-001, 1.4756658E-001, 3.9898528E-001, 4.0691556E-001, 2.8791445E-001, 1.2757199E-001
 1.6900000E+001, 1.0186336E+001, 7.9088708E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.1987952E+000, 1.7532634E-001, 3.2007988E-001, 3.3090359E-001, 2.1790071E-001, 1.3879917E-001, 2.4536191E-001, 4.6150931E-001, 4.7398590E-001, 3.1329722E-001, 1.4115869E-001
 1.7396970E+001, 1.0311061E+001, 8.0687884E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.7048193E+000, 2.9697094E-001, 4.3556249E-001, 4.0840497E-001, 2.4201106E-001, 1.4681668E-001, 4.0605681E-001, 5.5403327E-001, 5.3557090E-001, 3.3700380E-001, 1.5528352E-001
 1.7893939E+001, 1.0427120E+001, 8.2070190E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.2108434E+000, 5.1749753E-001, 5.8023087E-001, 5.0079068E-001, 2.6695232E-001, 1.5259323E-001, 5.8535884E-001, 6.3517652E-001, 5.9052933E-001, 3.5738611E-001, 1.6126161E-001
 1.8390909E+001, 1.0531566E+001, 8.3252770E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.7168675E+000, 8.5315387E-001, 7.6380456E-001, 6.1220169E-001, 3.0097008E-001, 1.5838397E-001, 7.0132959E-001, 7.0115390E-001, 6.4757346E-001, 3.9040882E-001, 1.6360910E-001
 1.8887879E+001, 1.0629755E+001, 8.4432468E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.2228916E+000, 1.2512225E+000, 9.6053637E-001, 7.2626827E-001, 3.3471948E-001, 1.6514514E-001, 6.9185684E-001, 7.2503765E-001, 6.8749501E-001, 4.2447371E-001, 1.6697426E-001
 1.9384848E+001, 1.0726697E+001, 8.5754360E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.7289157E+000, 1.5606401E+000, 1.1707604E+000, 8.4473518E-001, 3.6142574E-001, 1.7260723E-001, 5.7516963E-001, 7.1720577E-001, 7.0949901E-001, 4.4963032E-001, 1.7663942E-001
 1.9881818E+001, 1.0819774E+001, 8.7143360E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.2349398E+000, 1.7870431E+000, 1.3303993E+000, 9.4241479E-001, 3.7914685E-001, 1.8068583E-001, 3.6709460E-001, 6.7915766E-001, 7.0690536E-001, 4.6468039E-001, 1.8886372E-001
