s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PLUME FLUID MIXTURE
 3.937E+01, 0.000E+00, 0.000E+00, 4.038E-01, 4.091E-04,-2.668E-01, 0.000E+00, 0.000E+00, 4.931E-02, 1.374E-01, 0.000E+00, 4.749E-02
 3.940E+01, 0.000E+00, 0.000E+00, 3.895E-01, 4.082E-04,-2.655E-01, 0.000E+00, 0.000E+00, 3.503E-02, 1.243E-01, 0.000E+00, 4.749E-02
 3.946E+01, 0.000E+00, 0.000E+00, 3.684E-01, 4.065E-04,-2.632E-01, 0.000E+00, 0.000E+00, 1.515E-02, 1.056E-01, 0.000E+00, 4.749E-02
 3.949E+01, 0.000E+00, 0.000E+00, 3.435E-01, 4.074E-04,-2.607E-01, 0.000E+00, 0.000E+00,-5.153E-03, 8.322E-02, 0.000E+00, 4.749E-02
 3.955E+01, 0.000E+00, 0.000E+00, 3.083E-01, 4.083E-04,-2.578E-01, 0.000E+00, 0.000E+00,-3.474E-02, 5.087E-02, 0.000E+00, 4.749E-02
 3.958E+01, 0.000E+00, 0.000E+00, 2.678E-01, 4.097E-04,-2.550E-01, 0.000E+00, 0.000E+00,-7.172E-02, 1.319E-02, 0.000E+00, 4.749E-02
 3.961E+01, 0.000E+00, 0.000E+00, 2.394E-01, 4.099E-04,-2.533E-01, 0.000E+00, 0.000E+00,-9.830E-02,-1.342E-02, 0.000E+00, 4.749E-02
 3.966E+01, 0.000E+00, 0.000E+00, 1.961E-01, 4.213E-04,-2.510E-01, 0.000E+00, 0.000E+00,-1.393E-01,-5.441E-02, 0.000E+00, 4.749E-02
 3.969E+01, 0.000E+00, 0.000E+00, 1.555E-01, 4.343E-04,-2.492E-01, 0.000E+00, 0.000E+00,-1.794E-01,-9.326E-02, 0.000E+00, 4.749E-02
 3.972E+01, 0.000E+00, 0.000E+00, 1.329E-01, 4.336E-04,-2.484E-01, 0.000E+00, 0.000E+00,-2.030E-01,-1.150E-01, 0.000E+00, 4.749E-02
 3.978E+01, 0.000E+00, 0.000E+00, 1.089E-01, 4.316E-04,-2.479E-01, 0.000E+00, 0.000E+00,-2.300E-01,-1.386E-01, 0.000E+00, 4.749E-02
 3.981E+01, 0.000E+00, 0.000E+00, 9.543E-02, 4.397E-04,-2.480E-01, 0.000E+00, 0.000E+00,-2.473E-01,-1.521E-01, 0.000E+00, 4.749E-02
 3.987E+01, 0.000E+00, 0.000E+00, 9.805E-02, 4.345E-04,-2.488E-01, 0.000E+00, 0.000E+00,-2.499E-01,-1.503E-01, 0.000E+00, 4.749E-02
 3.990E+01, 0.000E+00, 0.000E+00, 1.121E-01, 4.304E-04,-2.500E-01, 0.000E+00, 0.000E+00,-2.397E-01,-1.375E-01, 0.000E+00, 4.749E-02
 3.993E+01, 0.000E+00, 0.000E+00, 1.255E-01, 4.280E-04,-2.511E-01, 0.000E+00, 0.000E+00,-2.277E-01,-1.252E-01, 0.000E+00, 4.749E-02
 3.997E+01, 0.000E+00, 0.000E+00, 1.400E-01, 4.560E-04,-2.522E-01, 0.000E+00, 0.000E+00,-2.141E-01,-1.118E-01, 0.000E+00, 4.749E-02
 4.000E+01, 0.000E+00, 0.000E+00, 1.561E-01, 4.568E-04,-2.531E-01, 0.000E+00, 0.000E+00,-1.987E-01,-9.656E-02, 0.000E+00, 4.749E-02
