,r(cm),TMean(K),T_rms(K),ur_rms(m/s),uz_rms(m/s),ur_Mean(m/s),uz_Mean(m/s),uzT_cov((m/s)K),uruz_cov(m/s)
155,-11.04,654.08,484.252,0.496,0.5282,0.0522,0.9599,125.3217,-0.091
156,-11.01,654.41,484.221,0.4958,0.5294,0.0521,0.962,125.491,-0.0912
157,-10.98,654.78,484.2107,0.4957,0.5307,0.052,0.9642,125.728,-0.0914
158,-10.94,655.16,484.2107,0.4956,0.5321,0.0519,0.9664,125.9537,-0.0916
159,-10.91,655.53,484.2004,0.4955,0.5334,0.0517,0.9686,126.1774,-0.0918
160,-10.88,655.91,484.2004,0.4953,0.5347,0.0516,0.9709,126.3932,-0.092
161,-10.85,656.29,484.19,0.4952,0.5361,0.0515,0.9731,126.6139,-0.0922
162,-10.82,656.66,484.1797,0.4951,0.5374,0.0514,0.9753,126.8426,-0.0924
163,-10.78,657.04,484.1797,0.495,0.5387,0.0512,0.9775,127.06,-0.0926
164,-10.75,657.41,484.1694,0.4949,0.54,0.0511,0.9797,127.2788,-0.0929
165,-10.72,657.79,484.1694,0.4948,0.5413,0.051,0.9819,127.4928,-0.0931
166,-10.69,658.17,484.1591,0.4946,0.5426,0.0509,0.9841,127.7052,-0.0933
167,-10.66,658.54,484.1591,0.4945,0.5439,0.0507,0.9863,127.9157,-0.0935
168,-10.62,658.92,484.1487,0.4944,0.5452,0.0506,0.9886,128.1246,-0.0937
169,-10.59,659.29,484.1384,0.4943,0.5465,0.0505,0.9908,128.3352,-0.0939
170,-10.56,659.67,484.1384,0.4942,0.5478,0.0504,0.993,128.5409,-0.0941
171,-10.53,660.05,484.1281,0.4941,0.5491,0.0503,0.9952,128.7448,-0.0943
172,-10.5,660.47,484.1694,0.494,0.5507,0.0502,0.9975,129.1412,-0.0947
173,-10.46,660.89,484.2107,0.4939,0.5522,0.0501,0.9998,129.5456,-0.095
174,-10.43,661.32,484.252,0.4938,0.5538,0.05,1.0021,129.9512,-0.0954
175,-10.4,661.74,484.2933,0.4937,0.5553,0.0499,1.0044,130.3483,-0.0957
176,-10.37,662.17,484.3346,0.4936,0.5568,0.0498,1.0067,130.7435,-0.096
177,-10.34,662.59,484.3656,0.4935,0.5584,0.0497,1.009,131.1467,-0.0964
178,-10.3,663.01,484.4069,0.4934,0.5599,0.0496,1.0114,131.4717,-0.0967
179,-10.27,663.44,484.4481,0.4933,0.5614,0.0495,1.0137,131.8609,-0.0971
180,-10.24,663.86,484.4894,0.4932,0.5629,0.0494,1.016,132.2582,-0.0974
181,-10.21,664.29,484.5307,0.4931,0.5644,0.0494,1.0183,132.6435,-0.0977
182,-10.18,664.71,484.572,0.493,0.5659,0.0493,1.0206,133.027,-0.0981
183,-10.14,665.13,484.6029,0.4929,0.5674,0.0492,1.0229,133.4185,-0.0984
184,-10.11,665.56,484.6442,0.4928,0.5689,0.0491,1.0252,133.7979,-0.0988
185,-10.08,665.98,484.6855,0.4927,0.5704,0.049,1.0275,134.1755,-0.0991
186,-10.05,666.41,484.7267,0.4926,0.5719,0.0489,1.0298,134.551,-0.0995
187,-10.02,666.86,484.7783,0.4925,0.5735,0.0488,1.0322,134.9571,-0.0998
188,-9.98,667.37,484.8402,0.4924,0.5753,0.0486,1.0347,135.5423,-0.1004
189,-9.95,667.88,484.9021,0.4923,0.5771,0.0485,1.0371,136.1917,-0.1008
190,-9.92,668.39,484.9639,0.4922,0.5789,0.0483,1.0396,136.7718,-0.1014
191,-9.89,668.91,485.0258,0.4921,0.5807,0.0481,1.0421,137.3389,-0.1019
192,-9.86,669.42,485.0979,0.492,0.5825,0.048,1.0446,137.9039,-0.1024
193,-9.82,669.93,485.1598,0.4919,0.5842,0.0478,1.0471,138.4763,-0.1029
194,-9.79,670.44,485.2216,0.4919,0.586,0.0476,1.0496,139.0462,-0.1034
195,-9.76,670.96,485.2834,0.4918,0.5878,0.0475,1.052,139.6701,-0.1039
196,-9.73,671.47,485.3555,0.4917,0.5895,0.0473,1.0545,140.2349,-0.1044
197,-9.7,671.98,485.4173,0.4916,0.5913,0.0471,1.057,140.7971,-0.1049
198,-9.66,672.49,485.4791,0.4915,0.593,0.047,1.0595,141.3568,-0.1054
199,-9.63,673.01,485.5409,0.4914,0.5948,0.0468,1.062,141.9034,-0.1059
200,-9.6,673.52,485.6027,0.4913,0.5965,0.0466,1.0645,142.458,-0.1064
201,-9.57,674.03,485.6748,0.4912,0.5982,0.0465,1.0669,143.0674,-0.1069
202,-9.54,674.54,485.7366,0.4911,0.6,0.0463,1.0694,143.6169,-0.1074
203,-9.5,675.13,485.8498,0.491,0.602,0.0461,1.0721,144.3031,-0.108
204,-9.47,675.78,485.9938,0.4909,0.6042,0.0458,1.0748,145.1717,-0.1088
205,-9.44,676.42,486.1378,0.4908,0.6065,0.0455,1.0776,145.9798,-0.1095
206,-9.41,677.07,486.2818,0.4907,0.6087,0.0452,1.0803,146.8413,-0.1102
207,-9.38,677.72,486.4257,0.4906,0.6109,0.0449,1.0831,147.6415,-0.1109
208,-9.34,678.36,486.5696,0.4905,0.6132,0.0446,1.0858,148.5067,-0.1116
209,-9.31,679.01,486.7135,0.4905,0.6154,0.0443,1.0886,149.2897,-0.1124
210,-9.28,679.65,486.8573,0.4904,0.6176,0.044,1.0914,150.08,-0.1131
211,-9.25,680.3,487.001,0.4903,0.6198,0.0437,1.0941,150.9338,-0.1138
212,-9.22,680.94,487.1447,0.4902,0.6219,0.0434,1.0969,151.7169,-0.1145
213,-9.18,681.59,487.2884,0.4901,0.6241,0.0431,1.0996,152.5536,-0.1152
214,-9.15,682.24,487.432,0.49,0.6263,0.0428,1.1024,153.3186,-0.1159
215,-9.12,682.88,487.5859,0.4899,0.6285,0.0425,1.1051,154.1693,-0.1166
216,-9.09,683.53,487.7294,0.4898,0.6306,0.0422,1.1079,154.9271,-0.1174
217,-9.06,684.17,487.8729,0.4898,0.6328,0.0419,1.1107,155.6924,-0.1181
218,-9.02,684.82,488.0164,0.4897,0.6349,0.0416,1.1134,156.5114,-0.1188
219,-8.99,685.42,488.1905,0.4896,0.6372,0.0413,1.1163,157.3857,-0.1196
220,-8.96,686.01,488.3851,0.4895,0.6394,0.041,1.1192,158.2976,-0.1204
221,-8.93,686.6,488.5693,0.4895,0.6417,0.0407,1.1221,159.1961,-0.1212
222,-8.9,687.19,488.7535,0.4894,0.644,0.0404,1.125,160.0912,-0.1221
