edges of bins (ppm),center of bins (ppm),pdf 2.5D 20.9% OI 0cm,pdf 2.5D 20.9% OI 1cm,pdf 2.5D 20.9% OI 2cm,pdf 2.5D 20.9% OI 3cm,pdf 2.5D 20.9% OI 4cm,pdf 2.5D 20.9% OI 5cm,pdf 2.5D 20.9% OI 6cm,pdf 2.5D 20.9% OI 7cm,pdf 2.5D 20.9% OI 8cm,pdf 2.5D 20.9% OI 9cm,pdf 2.5D 20.9% OI 10cm,pdf 2.5D 20.9% OI 11cm,pdf 2.5D 20.9% OI 12cm,pdf 2.5D 20.9% OI 13cm,pdf 2.5D 20.9% OI 14cm,pdf 2.5D 20.9% OI 15cm
5.5237,5.5419,0.0080,0.0113,0.0098,0.0072,0.0052,0.0034,0.0038,0.0021,0.0010,0.0010,0.0004,0.0001,0.0001,0.0001,0.0000,0.0000
5.5601,5.5784,0.0093,0.0104,0.0102,0.0092,0.0058,0.0037,0.0027,0.0019,0.0008,0.0006,0.0004,0.0000,0.0001,0.0001,0.0000,0.0000
5.5966,5.6148,0.0078,0.0105,0.0101,0.0079,0.0042,0.0046,0.0032,0.0021,0.0006,0.0007,0.0003,0.0003,0.0001,0.0001,0.0000,0.0000
5.6331,5.6513,0.0083,0.0098,0.0099,0.0073,0.0055,0.0038,0.0033,0.0016,0.0009,0.0011,0.0004,0.0003,0.0002,0.0002,0.0000,0.0000
5.6695,5.6878,0.0076,0.0089,0.0104,0.0072,0.0054,0.0039,0.0035,0.0016,0.0009,0.0011,0.0003,0.0001,0.0002,0.0001,0.0000,0.0001
5.7060,5.7242,0.0084,0.0089,0.0099,0.0072,0.0050,0.0041,0.0029,0.0018,0.0007,0.0009,0.0003,0.0002,0.0002,0.0001,0.0000,0.0000
5.7424,5.7607,0.0080,0.0086,0.0094,0.0073,0.0048,0.0037,0.0034,0.0019,0.0009,0.0011,0.0003,0.0002,0.0002,0.0001,0.0000,0.0000
5.7789,5.7971,0.0078,0.0097,0.0097,0.0069,0.0050,0.0039,0.0035,0.0019,0.0007,0.0007,0.0005,0.0001,0.0001,0.0000,0.0000,0.0000
5.8154,5.8336,0.0075,0.0088,0.0097,0.0074,0.0049,0.0034,0.0033,0.0018,0.0006,0.0006,0.0003,0.0001,0.0003,0.0000,0.0000,0.0000
5.8518,5.8701,0.0076,0.0088,0.0080,0.0069,0.0059,0.0035,0.0031,0.0011,0.0008,0.0009,0.0005,0.0001,0.0001,0.0000,0.0000,0.0001
5.8883,5.9065,0.0066,0.0081,0.0091,0.0071,0.0047,0.0035,0.0032,0.0016,0.0007,0.0008,0.0003,0.0001,0.0001,0.0001,0.0000,0.0000
5.9247,5.9430,0.0067,0.0084,0.0087,0.0066,0.0040,0.0037,0.0032,0.0017,0.0008,0.0006,0.0004,0.0002,0.0002,0.0001,0.0000,0.0001
5.9612,5.9794,0.0059,0.0075,0.0091,0.0067,0.0045,0.0035,0.0031,0.0013,0.0010,0.0008,0.0003,0.0002,0.0001,0.0001,0.0000,0.0000
5.9977,6.0159,0.0067,0.0085,0.0084,0.0066,0.0048,0.0035,0.0029,0.0017,0.0006,0.0009,0.0005,0.0002,0.0000,0.0001,0.0000,0.0000
6.0341,6.0524,0.0063,0.0087,0.0089,0.0057,0.0049,0.0030,0.0026,0.0014,0.0008,0.0008,0.0003,0.0001,0.0001,0.0001,0.0000,0.0000
6.0706,6.0888,0.0067,0.0075,0.0082,0.0061,0.0046,0.0032,0.0026,0.0014,0.0008,0.0008,0.0006,0.0002,0.0001,0.0002,0.0000,0.0000
6.1071,6.1253,0.0064,0.0083,0.0085,0.0055,0.0042,0.0040,0.0029,0.0014,0.0008,0.0006,0.0004,0.0002,0.0001,0.0001,0.0000,0.0000
6.1435,6.1617,0.0065,0.0082,0.0077,0.0066,0.0037,0.0035,0.0029,0.0013,0.0008,0.0007,0.0004,0.0001,0.0000,0.0000,0.0000,0.0000
6.1800,6.1982,0.0061,0.0076,0.0077,0.0055,0.0047,0.0036,0.0029,0.0012,0.0004,0.0009,0.0002,0.0002,0.0002,0.0000,0.0000,0.0000
6.2164,6.2347,0.0050,0.0077,0.0079,0.0052,0.0047,0.0033,0.0025,0.0014,0.0007,0.0005,0.0001,0.0001,0.0000,0.0001,0.0000,0.0000
6.2529,6.2711,0.0059,0.0073,0.0068,0.0059,0.0039,0.0035,0.0028,0.0014,0.0005,0.0006,0.0002,0.0001,0.0002,0.0000,0.0000,0.0000
6.2893,6.3076,0.0053,0.0065,0.0076,0.0055,0.0045,0.0031,0.0028,0.0010,0.0006,0.0004,0.0004,0.0001,0.0001,0.0000,0.0000,0.0000
6.3258,6.3440,0.0050,0.0069,0.0065,0.0049,0.0042,0.0034,0.0029,0.0012,0.0005,0.0008,0.0003,0.0002,0.0003,0.0001,0.0000,0.0000
6.3623,6.3805,0.0061,0.0073,0.0073,0.0055,0.0044,0.0030,0.0030,0.0010,0.0006,0.0006,0.0004,0.0002,0.0002,0.0001,0.0000,0.0000
6.3987,6.4170,0.0052,0.0061,0.0068,0.0051,0.0040,0.0032,0.0030,0.0013,0.0007,0.0004,0.0003,0.0001,0.0001,0.0000,0.0000,0.0000
6.4352,6.4534,0.0049,0.0059,0.0063,0.0052,0.0040,0.0024,0.0027,0.0013,0.0005,0.0007,0.0003,0.0000,0.0002,0.0000,0.0000,0.0000
6.4716,6.4899,0.0050,0.0069,0.0067,0.0051,0.0038,0.0024,0.0023,0.0013,0.0002,0.0008,0.0002,0.0002,0.0001,0.0000,0.0000,0.0000
6.5081,6.5263,0.0049,0.0060,0.0070,0.0059,0.0041,0.0031,0.0023,0.0010,0.0006,0.0005,0.0003,0.0002,0.0001,0.0001,0.0000,0.0000
6.5446,6.5628,0.0048,0.0060,0.0062,0.0050,0.0037,0.0028,0.0020,0.0011,0.0007,0.0006,0.0003,0.0002,0.0001,0.0000,0.0000,0.0000
6.5810,6.5993,0.0043,0.0062,0.0058,0.0048,0.0039,0.0029,0.0025,0.0012,0.0006,0.0006,0.0003,0.0001,0.0001,0.0000,0.0000,0.0000
6.6175,6.6357,0.0040,0.0055,0.0068,0.0054,0.0037,0.0026,0.0024,0.0010,0.0008,0.0004,0.0002,0.0001,0.0001,0.0001,0.0000,0.0000
6.6540,6.6722,0.0040,0.0059,0.0055,0.0047,0.0032,0.0026,0.0026,0.0010,0.0005,0.0006,0.0003,0.0001,0.0003,0.0001,0.0000,0.0000
6.6904,6.7086,0.0049,0.0052,0.0054,0.0048,0.0038,0.0019,0.0021,0.0012,0.0007,0.0006,0.0002,0.0000,0.0001,0.0000,0.0000,0.0000
6.7269,6.7451,0.0042,0.0063,0.0051,0.0046,0.0035,0.0028,0.0019,0.0009,0.0006,0.0003,0.0002,0.0001,0.0000,0.0000,0.0000,0.0000
6.7633,6.7816,0.0034,0.0054,0.0055,0.0051,0.0035,0.0027,0.0023,0.0009,0.0004,0.0004,0.0002,0.0002,0.0001,0.0001,0.0000,0.0000
6.7998,6.8180,0.0040,0.0049,0.0052,0.0043,0.0029,0.0026,0.0020,0.0007,0.0006,0.0005,0.0003,0.0001,0.0002,0.0000,0.0000,0.0000
6.8362,6.8545,0.0037,0.0051,0.0058,0.0051,0.0030,0.0026,0.0022,0.0012,0.0003,0.0005,0.0003,0.0001,0.0001,0.0001,0.0000,0.0000
6.8727,6.8909,0.0039,0.0058,0.0045,0.0047,0.0028,0.0024,0.0020,0.0010,0.0005,0.0003,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000
6.9092,6.9274,0.0033,0.0049,0.0054,0.0044,0.0028,0.0030,0.0018,0.0010,0.0003,0.0005,0.0001,0.0003,0.0000,0.0000,0.0000,0.0000
6.9456,6.9639,0.0039,0.0048,0.0051,0.0040,0.0031,0.0020,0.0021,0.0009,0.0004,0.0006,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000
6.9821,7.0003,0.0034,0.0047,0.0052,0.0045,0.0029,0.0022,0.0018,0.0006,0.0003,0.0005,0.0003,0.0000,0.0001,0.0001,0.0000,0.0000
7.0186,7.0368,0.0035,0.0046,0.0054,0.0042,0.0021,0.0024,0.0024,0.0010,0.0007,0.0002,0.0002,0.0001,0.0000,0.0000,0.0000,0.0000
7.0550,7.0732,0.0043,0.0041,0.0053,0.0037,0.0029,0.0019,0.0023,0.0008,0.0003,0.0003,0.0002,0.0001,0.0001,0.0001,0.0000,0.0000
7.0915,7.1097,0.0037,0.0042,0.0043,0.0042,0.0026,0.0022,0.0015,0.0010,0.0005,0.0006,0.0003,0.0000,0.0001,0.0001,0.0000,0.0000
7.1279,7.1462,0.0035,0.0042,0.0043,0.0040,0.0030,0.0020,0.0013,0.0010,0.0004,0.0004,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000
7.1644,7.1826,0.0034,0.0043,0.0041,0.0038,0.0026,0.0020,0.0016,0.0011,0.0004,0.0004,0.0002,0.0002,0.0001,0.0000,0.0000,0.0000
7.2008,7.2191,0.0036,0.0042,0.0041,0.0042,0.0027,0.0022,0.0018,0.0008,0.0005,0.0004,0.0003,0.0001,0.0001,0.0001,0.0000,0.0000
7.2373,7.2555,0.0030,0.0047,0.0047,0.0039,0.0028,0.0019,0.0018,0.0009,0.0005,0.0004,0.0004,0.0000,0.0000,0.0000,0.0000,0.0000
7.2738,7.2920,0.0033,0.0040,0.0045,0.0038,0.0027,0.0020,0.0015,0.0007,0.0004,0.0004,0.0002,0.0000,0.0001,0.0001,0.0000,0.0000
7.3102,7.3285,0.0028,0.0038,0.0042,0.0041,0.0029,0.0020,0.0014,0.0008,0.0005,0.0003,0.0002,0.0001,0.0002,0.0001,0.0000,0.0000
7.3467,7.3649,0.0027,0.0037,0.0043,0.0039,0.0023,0.0015,0.0014,0.0009,0.0005,0.0001,0.0002,0.0000,0.0001,0.0000,0.0000,0.0000
7.3831,7.4014,0.0024,0.0034,0.0042,0.0043,0.0025,0.0020,0.0016,0.0008,0.0005,0.0002,0.0003,0.0001,0.0002,0.0001,0.0000,0.0000
7.4196,7.4378,0.0028,0.0039,0.0042,0.0046,0.0022,0.0014,0.0016,0.0007,0.0002,0.0005,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000
7.4561,7.4743,0.0027,0.0040,0.0046,0.0038,0.0025,0.0015,0.0017,0.0010,0.0003,0.0003,0.0002,0.0001,0.0001,0.0001,0.0000,0.0000
7.4925,7.5108,0.0030,0.0032,0.0042,0.0038,0.0027,0.0015,0.0010,0.0008,0.0004,0.0002,0.0003,0.0002,0.0000,0.0000,0.0000,0.0000
7.5290,7.5472,0.0023,0.0037,0.0035,0.0035,0.0019,0.0016,0.0019,0.0006,0.0004,0.0003,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000
7.5655,7.5837,0.0025,0.0032,0.0035,0.0037,0.0025,0.0014,0.0015,0.0007,0.0003,0.0003,0.0001,0.0000,0.0001,0.0000,0.0000,0.0000
7.6019,7.6201,0.0031,0.0030,0.0035,0.0032,0.0023,0.0017,0.0012,0.0006,0.0003,0.0002,0.0002,0.0000,0.0000,0.0001,0.0000,0.0000
7.6384,7.6566,0.0030,0.0030,0.0036,0.0035,0.0024,0.0020,0.0009,0.0005,0.0005,0.0001,0.0001,0.0000,0.0001,0.0000,0.0000,0.0000
7.6748,7.6931,0.0020,0.0032,0.0032,0.0031,0.0020,0.0019,0.0012,0.0008,0.0004,0.0002,0.0001,0.0000,0.0002,0.0000,0.0000,0.0000
7.7113,7.7295,0.0026,0.0028,0.0032,0.0031,0.0023,0.0019,0.0013,0.0008,0.0003,0.0003,0.0001,0.0000,0.0001,0.0000,0.0000,0.0000
7.7477,7.7660,0.0023,0.0033,0.0037,0.0033,0.0018,0.0012,0.0012,0.0007,0.0003,0.0003,0.0001,0.0000,0.0000,0.0001,0.0000,0.0000
7.7842,7.8024,0.0021,0.0033,0.0033,0.0039,0.0021,0.0017,0.0013,0.0009,0.0004,0.0001,0.0002,0.0000,0.0001,0.0000,0.0000,0.0000
7.8207,7.8389,0.0024,0.0029,0.0032,0.0032,0.0022,0.0012,0.0013,0.0007,0.0003,0.0001,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000
7.8571,7.8754,0.0020,0.0030,0.0038,0.0035,0.0020,0.0012,0.0017,0.0006,0.0001,0.0004,0.0002,0.0001,0.0001,0.0000,0.0000,0.0000
7.8936,7.9118,0.0027,0.0026,0.0035,0.0031,0.0023,0.0009,0.0013,0.0006,0.0003,0.0002,0.0000,0.0001,0.0001,0.0000,0.0000,0.0000
7.9300,7.9483,0.0019,0.0024,0.0034,0.0030,0.0020,0.0010,0.0013,0.0006,0.0004,0.0002,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000
7.9665,7.9847,0.0022,0.0026,0.0035,0.0035,0.0021,0.0012,0.0010,0.0007,0.0005,0.0002,0.0001,0.0000,0.0001,0.0001,0.0000,0.0000
8.0030,8.0212,0.0017,0.0028,0.0033,0.0029,0.0020,0.0013,0.0013,0.0007,0.0004,0.0001,0.0001,0.0000,0.0001,0.0001,0.0000,0.0000
8.0394,8.0577,0.0021,0.0020,0.0037,0.0027,0.0015,0.0015,0.0013,0.0007,0.0002,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000
8.0759,8.0941,0.0018,0.0022,0.0035,0.0031,0.0017,0.0012,0.0012,0.0005,0.0004,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000
8.1123,8.1306,0.0017,0.0024,0.0035,0.0026,0.0014,0.0011,0.0009,0.0007,0.0003,0.0002,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000
8.1488,8.1670,0.0019,0.0028,0.0028,0.0030,0.0019,0.0014,0.0009,0.0004,0.0002,0.0002,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000
8.1853,8.2035,0.0020,0.0024,0.0033,0.0031,0.0015,0.0012,0.0011,0.0004,0.0004,0.0003,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000
8.2217,8.2400,0.0017,0.0025,0.0029,0.0028,0.0021,0.0011,0.0015,0.0005,0.0002,0.0001,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000
8.2582,8.2764,0.0022,0.0026,0.0023,0.0027,0.0017,0.0011,0.0014,0.0006,0.0000,0.0002,0.0002,0.0000,0.0001,0.0000,0.0000,0.0000
8.2946,8.3129,0.0016,0.0021,0.0031,0.0028,0.0017,0.0009,0.0012,0.0006,0.0003,0.0002,0.0002,0.0000,0.0000,0.0001,0.0000,0.0000
8.3311,8.3493,0.0017,0.0021,0.0026,0.0024,0.0018,0.0012,0.0011,0.0005,0.0004,0.0001,0.0002,0.0001,0.0000,0.0000,0.0000,0.0000
8.3676,8.3858,0.0019,0.0022,0.0025,0.0030,0.0015,0.0011,0.0009,0.0003,0.0003,0.0002,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000
8.4040,8.4223,0.0017,0.0020,0.0027,0.0027,0.0015,0.0009,0.0010,0.0005,0.0002,0.0002,0.0001,0.0000,0.0001,0.0001,0.0000,0.0000
8.4405,8.4587,0.0019,0.0020,0.0028,0.0028,0.0013,0.0010,0.0010,0.0005,0.0003,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8.4770,8.4952,0.0012,0.0023,0.0029,0.0029,0.0016,0.0009,0.0010,0.0004,0.0004,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000
8.5134,8.5316,0.0012,0.0023,0.0026,0.0027,0.0019,0.0011,0.0008,0.0003,0.0003,0.0001,0.0001,0.0000,0.0001,0.0000,0.0000,0.0000
8.5499,8.5681,0.0017,0.0018,0.0026,0.0025,0.0015,0.0009,0.0011,0.0004,0.0001,0.0000,0.0002,0.0000,0.0001,0.0001,0.0000,0.0000
8.5863,8.6046,0.0016,0.0017,0.0025,0.0025,0.0018,0.0011,0.0010,0.0003,0.0001,0.0001,0.0001,0.0000,0.0000,0.0001,0.0000,0.0000
8.6228,8.6410,0.0014,0.0017,0.0027,0.0023,0.0015,0.0010,0.0008,0.0005,0.0002,0.0001,0.0001,0.0000,0.0001,0.0000,0.0000,0.0000
8.6593,8.6775,0.0014,0.0019,0.0019,0.0021,0.0011,0.0009,0.0011,0.0005,0.0003,0.0003,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000
8.6957,8.7139,0.0014,0.0017,0.0024,0.0023,0.0018,0.0009,0.0008,0.0006,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000
8.7322,8.7504,0.0012,0.0015,0.0027,0.0026,0.0013,0.0011,0.0009,0.0007,0.0002,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000
8.7686,8.7869,0.0018,0.0019,0.0021,0.0019,0.0016,0.0007,0.0006,0.0005,0.0004,0.0002,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000
8.8051,8.8233,0.0014,0.0014,0.0022,0.0021,0.0012,0.0007,0.0008,0.0003,0.0002,0.0001,0.0001,0.0000,0.0001,0.0000,0.0000,0.0000
8.8415,8.8598,0.0015,0.0017,0.0024,0.0018,0.0015,0.0008,0.0009,0.0004,0.0003,0.0001,0.0001,0.0000,0.0000,0.0001,0.0000,0.0000
8.8780,8.8962,0.0015,0.0019,0.0020,0.0016,0.0018,0.0005,0.0009,0.0003,0.0001,0.0001,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000
8.9145,8.9327,0.0011,0.0010,0.0018,0.0019,0.0016,0.0010,0.0009,0.0004,0.0002,0.0001,0.0003,0.0000,0.0000,0.0001,0.0000,0.0000
8.9509,8.9692,0.0016,0.0011,0.0020,0.0020,0.0013,0.0008,0.0009,0.0003,0.0002,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000
8.9874,9.0056,0.0011,0.0015,0.0024,0.0018,0.0015,0.0008,0.0009,0.0003,0.0003,0.0001,0.0002,0.0000,0.0001,0.0001,0.0000,0.0000
9.0238,9.0421,0.0009,0.0013,0.0021,0.0021,0.0016,0.0008,0.0007,0.0006,0.0002,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000
9.0603,9.0785,0.0010,0.0014,0.0020,0.0016,0.0016,0.0008,0.0007,0.0003,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9.0968,9.1150,0.0012,0.0010,0.0019,0.0016,0.0011,0.0005,0.0008,0.0006,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9.1332,9.1515,0.0011,0.0015,0.0016,0.0016,0.0012,0.0010,0.0005,0.0004,0.0003,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9.1697,9.1879,0.0011,0.0012,0.0018,0.0018,0.0012,0.0009,0.0005,0.0004,0.0003,0.0001,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000
9.2061,9.2244,0.0009,0.0014,0.0019,0.0018,0.0013,0.0004,0.0008,0.0005,0.0002,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000
9.2426,9.2608,0.0011,0.0009,0.0019,0.0018,0.0010,0.0007,0.0008,0.0005,0.0001,0.0001,0.0001,0.0000,0.0000,0.0001,0.0000,0.0000
9.2791,9.2973,0.0013,0.0014,0.0021,0.0016,0.0013,0.0007,0.0007,0.0003,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9.3155,9.3338,0.0007,0.0014,0.0020,0.0017,0.0009,0.0010,0.0008,0.0004,0.0002,0.0001,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000
9.3520,9.3702,0.0010,0.0012,0.0017,0.0015,0.0014,0.0006,0.0008,0.0002,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000
9.3885,9.4067,0.0010,0.0011,0.0017,0.0017,0.0014,0.0008,0.0007,0.0003,0.0002,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9.4249,9.4431,0.0007,0.0010,0.0014,0.0014,0.0014,0.0005,0.0007,0.0004,0.0002,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000
9.4614,9.4796,0.0007,0.0013,0.0022,0.0014,0.0014,0.0008,0.0007,0.0003,0.0003,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000
9.4978,9.5161,0.0010,0.0013,0.0018,0.0013,0.0012,0.0009,0.0007,0.0003,0.0001,0.0000,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000
9.5343,9.5525,0.0008,0.0011,0.0014,0.0016,0.0009,0.0006,0.0006,0.0004,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000
9.5708,9.5890,0.0010,0.0009,0.0014,0.0012,0.0013,0.0007,0.0007,0.0003,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000
9.6072,9.6254,0.0008,0.0010,0.0012,0.0020,0.0014,0.0007,0.0007,0.0003,0.0001,0.0001,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000
9.6437,9.6619,0.0009,0.0008,0.0015,0.0019,0.0010,0.0007,0.0006,0.0004,0.0001,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000
9.6801,9.6984,0.0006,0.0009,0.0016,0.0013,0.0012,0.0005,0.0007,0.0002,0.0002,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000
9.7166,9.7348,0.0008,0.0009,0.0017,0.0017,0.0012,0.0005,0.0007,0.0001,0.0001,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000
9.7530,9.7713,0.0009,0.0006,0.0016,0.0015,0.0010,0.0008,0.0006,0.0003,0.0002,0.0001,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000
9.7895,9.8077,0.0006,0.0010,0.0013,0.0015,0.0009,0.0005,0.0008,0.0003,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9.8260,9.8442,0.0008,0.0008,0.0013,0.0016,0.0009,0.0005,0.0005,0.0002,0.0003,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000
9.8624,9.8807,0.0009,0.0011,0.0014,0.0011,0.0009,0.0007,0.0005,0.0002,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9.8989,9.9171,0.0008,0.0007,0.0014,0.0011,0.0011,0.0006,0.0003,0.0001,0.0003,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000
9.9353,9.9536,0.0007,0.0006,0.0014,0.0012,0.0010,0.0006,0.0006,0.0003,0.0001,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000
9.9718,9.9900,0.0007,0.0008,0.0011,0.0009,0.0010,0.0008,0.0005,0.0003,0.0003,0.0001,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000
10.0083,10.0265,0.0007,0.0009,0.0015,0.0009,0.0009,0.0006,0.0003,0.0004,0.0002,0.0001,0.0000,0.0001,0.0000,0.0001,0.0000,0.0000
10.0447,10.0630,0.0007,0.0007,0.0009,0.0010,0.0011,0.0006,0.0005,0.0004,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000
10.0812,10.0994,0.0005,0.0007,0.0016,0.0012,0.0006,0.0005,0.0003,0.0003,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10.1176,10.1359,0.0007,0.0007,0.0011,0.0007,0.0011,0.0003,0.0004,0.0004,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000
10.1541,10.1723,0.0007,0.0007,0.0012,0.0009,0.0006,0.0004,0.0003,0.0002,0.0002,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000
10.1906,10.2088,0.0007,0.0008,0.0010,0.0011,0.0008,0.0006,0.0003,0.0003,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10.2270,10.2453,0.0006,0.0008,0.0012,0.0011,0.0008,0.0006,0.0007,0.0003,0.0002,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000
10.2635,10.2817,0.0006,0.0007,0.0013,0.0012,0.0011,0.0003,0.0006,0.0003,0.0002,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10.3000,10.3182,0.0006,0.0008,0.0012,0.0013,0.0008,0.0006,0.0004,0.0002,0.0002,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000
10.3364,10.3546,0.0006,0.0006,0.0010,0.0011,0.0006,0.0004,0.0003,0.0003,0.0002,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10.3729,10.3911,0.0006,0.0007,0.0010,0.0009,0.0008,0.0008,0.0004,0.0002,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10.4093,10.4276,0.0007,0.0007,0.0010,0.0009,0.0007,0.0005,0.0005,0.0002,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10.4458,10.4640,0.0005,0.0005,0.0010,0.0014,0.0007,0.0005,0.0002,0.0002,0.0002,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10.4823,10.5005,0.0008,0.0007,0.0011,0.0008,0.0008,0.0007,0.0004,0.0004,0.0002,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000
10.5187,10.5369,0.0006,0.0005,0.0011,0.0011,0.0007,0.0003,0.0004,0.0003,0.0002,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000
10.5552,10.5734,0.0004,0.0005,0.0009,0.0011,0.0009,0.0006,0.0002,0.0003,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10.5916,10.6099,0.0005,0.0003,0.0010,0.0008,0.0007,0.0006,0.0004,0.0003,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10.6281,10.6463,0.0004,0.0007,0.0011,0.0008,0.0008,0.0004,0.0004,0.0003,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10.6645,10.6828,0.0005,0.0008,0.0011,0.0005,0.0005,0.0004,0.0003,0.0001,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10.7010,10.7192,0.0008,0.0006,0.0012,0.0009,0.0007,0.0004,0.0001,0.0002,0.0000,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000
10.7375,10.7557,0.0007,0.0004,0.0009,0.0010,0.0004,0.0004,0.0004,0.0002,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10.7739,10.7922,0.0004,0.0004,0.0009,0.0005,0.0007,0.0004,0.0003,0.0002,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10.8104,10.8286,0.0004,0.0006,0.0008,0.0010,0.0004,0.0004,0.0003,0.0001,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000
10.8468,10.8651,0.0006,0.0005,0.0008,0.0006,0.0005,0.0005,0.0003,0.0003,0.0001,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10.8833,10.9015,0.0005,0.0005,0.0014,0.0007,0.0005,0.0003,0.0004,0.0002,0.0002,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000
10.9198,10.9380,0.0005,0.0004,0.0008,0.0009,0.0006,0.0004,0.0001,0.0003,0.0001,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10.9562,10.9745,0.0007,0.0007,0.0006,0.0010,0.0005,0.0005,0.0004,0.0002,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10.9927,11.0109,0.0003,0.0007,0.0006,0.0007,0.0004,0.0004,0.0005,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
